table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
2093,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['NA', '&nbsp;']","['9', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['3', '&nbsp;']","['4', 'i']","['3', '&nbsp;']","['4', '  ']","['4', '  ']"
2093,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['241', '&nbsp;']","['338', '&nbsp;']","['366', '&nbsp;']","['D', '&nbsp;']","['458', '&nbsp;']","['825', '&nbsp;']","['398', 'i']","['322', '&nbsp;']","['273', '  ']","['390', '  ']"
2093,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['1', '&nbsp;']","['10', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['36', '&nbsp;']","['7', '&nbsp;']","['*', '&nbsp;']","['12', 'i']","['154', '  ']","['224 - 231', '  ']"
2093,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0 - 5,132', '  ']","['0 - 217', '  ']"
2093,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['61,475', '&nbsp;']","['54,066', '&nbsp;']","['59,162', '&nbsp;']","['69,251', '&nbsp;']","['72,157', '&nbsp;']","['73,245', '&nbsp;']","['75,804', '&nbsp;']","['73,503', '&nbsp;']","['79,001', '  ']","['87,528', '  ']"
2093,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2093,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['178', '&nbsp;']","['83', '&nbsp;']","['99', 'i']","['52', 'i']","['95', 'i']","['118', 'i']","['145', '  ']","['NA', '&nbsp;']"
2093,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2093,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['76', '&nbsp;']","['101', '  ']","['136', '&nbsp;']"
2093,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['373', '&nbsp;']","['337', '  ']","['577', '&nbsp;']"
2093,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2093,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['976', '&nbsp;']","['509', '&nbsp;']","['688', 'i']","['539', '&nbsp;']","['628', '&nbsp;']","['351', '&nbsp;']","['547', '&nbsp;']","['407', '&nbsp;']","['364', '  ']","['482', '&nbsp;']"
2093,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,735', '&nbsp;']","['1,574', '&nbsp;']","['1,358', 'i']","['1,051', '&nbsp;']","['1,212', '&nbsp;']","['1,276', '&nbsp;']","['1,475', '&nbsp;']","['1,378', '&nbsp;']","['1,300', '  ']","['1,380', '&nbsp;']"
2093,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2093,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,178', '&nbsp;']","['985', '&nbsp;']","['1,245', '&nbsp;']","['1,561', '&nbsp;']","['1,306', '&nbsp;']","['1,359', '&nbsp;']","['1,446', '&nbsp;']","['1,151', '&nbsp;']","['1,773', '  ']","['2,272', '&nbsp;']"
2093,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,753', '&nbsp;']","['1,992', '&nbsp;']","['1,741', '&nbsp;']","['1,396', '&nbsp;']","['1,455', '&nbsp;']","['1,650', '&nbsp;']","['2,293', '&nbsp;']","['2,437', '&nbsp;']","['2,159', '  ']","['2,516', '&nbsp;']"
2093,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['11,350', '&nbsp;']","['10,403', '&nbsp;']","['11,674', '&nbsp;']","['12,691', '&nbsp;']","['12,419', '&nbsp;']","['13,238', '&nbsp;']","['14,343', '&nbsp;']","['13,261', '&nbsp;']","['15,587', '  ']","['15,143', '&nbsp;']"
2093,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['7,000', '&nbsp;']","['5,692', '&nbsp;']","['6,907', '&nbsp;']","['8,126', '&nbsp;']","['10,298', '&nbsp;']","['11,430', '&nbsp;']","['12,979', '&nbsp;']","['9,541', '&nbsp;']","['8,949', '  ']","['14,230', '&nbsp;']"
2093,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['11,785', '&nbsp;']","['10,442', '&nbsp;']","['8,856', '&nbsp;']","['12,485', '&nbsp;']","['10,317', '&nbsp;']","['9,741', '&nbsp;']","['9,366', '&nbsp;']","['11,534', '&nbsp;']","['15,515', '  ']","['14,505', '&nbsp;']"
2093,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['24,671', '&nbsp;']","['21,368', '&nbsp;']","['25,777', '&nbsp;']","['30,497', '&nbsp;']","['34,056', '&nbsp;']","['33,054', '&nbsp;']","['32,647', '&nbsp;']","['33,226', '&nbsp;']","['32,771', '  ']","['36,287', '&nbsp;']"
