table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_dod_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
8006,r012,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,11,"['100,320', '']","['5,575', '']","['26,509', '']","['28,374', '']","['1,165', '']","['4,063', '']","['951', '']","['98', '']","['0', '']","['33,076', '']","['509', '']"
8006,r013,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,12,"['98,372', '']","['922', '']","['6,614', '']","['82,011', '']","['457', '']","['746', '']","['38', '']","['2,265', '']","['223', '']","['5,096', '']","['0', '']"
8006,r014,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,13,"['90,404', '']","['62,591', '']","['0', '']","['166', '']","['715', '']","['223', '']","['1,265', '']","['1,662', '']","['385', '']","['23,344', '']","['53', '']"
8006,r015,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,14,"['79,587', '']","['1,055', '']","['33,761', '']","['15,812', '']","['57', '']","['5,780', '']","['1,167', '']","['492', '']","['0', '']","['21,463', '']","['0', '']"
8006,r016,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,15,"['78,334', '']","['332', '']","['127', '']","['15,924', '']","['467', '']","['4,436', '']","['53', '']","['3,324', '']","['0', '']","['53,671', '']","['0', '']"
8006,r017,All institutions -> Stanford U.,All institutions,Stanford U.,2,16,"['76,467', '']","['6,830', '']","['710', '']","['17,399', '']","['820', '']","['17,107', '']","['557', '']","['174', '']","['0', '']","['32,427', '']","['443', '']"
8006,r018,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,17,"['73,021', '']","['40,227', '']","['0', '']","['0', '']","['0', '']","['447', '']","['0', '']","['597', '']","['0', '']","['31,750', '']","['0', '']"
8006,r019,All institutions -> Harvard U.,All institutions,Harvard U.,2,18,"['72,042', '']","['3,695', '']","['368', '']","['30,667', '']","['108', '']","['18,515', '']","['16', '']","['2,750', '']","['0', '']","['15,923', '']","['0', '']"
8006,r020,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,19,"['65,558', '']","['0', '']","['33,557', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['32,001', '']","['0', '']"
8006,r021,All institutions -> Duke U.,All institutions,Duke U.,2,20,"['61,602', '']","['587', '']","['2,048', '']","['33,544', '']","['906', '']","['1,308', '']","['71', '']","['266', '']","['0', '']","['22,736', '']","['136', '']"
8006,r022,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,21,"['59,476', '']","['3,722', '']","['579', '']","['10,183', '']","['646', '']","['622', '']","['0', '']","['1,102', '']","['4', '']","['42,165', '']","['453', '']"
8006,r023,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,22,"['58,649', '']","['12,968', '']","['190', '']","['4,176', '']","['68', '']","['5,020', '']","['362', '']","['508', '']","['199', '']","['34,024', '']","['1,134', '']"
8006,r024,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,23,"['52,673', '']","['5,007', '']","['30', '']","['1,917', '']","['118', '']","['2,896', '']","['43', '']","['0', '']","['12', '']","['40,128', '']","['2,522', '']"
8006,r025,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,24,"['51,902', '']","['10,715', '']","['117', '']","['9,443', '']","['213', '']","['5,225', '']","['2,905', '']","['4,513', '']","['0', '']","['17,301', '']","['1,470', '']"
8006,r026,All institutions -> George Mason U.,All institutions,George Mason U.,2,25,"['51,849', '']","['11,907', '']","['932', '']","['3,118', '']","['662', '']","['1,624', '']","['201', '']","['384', '']","['0', '']","['33,021', '']","['0', '']"
8006,r027,All institutions -> Naval Postgraduate School,All institutions,Naval Postgraduate School,2,26,"['50,967', '']","['3,743', '']","['4,978', '']","['1,209', '']","['1,869', '']","['5,605', '']","['40', '']","['4,932', '']","['3,798', '']","['19,372', '']","['5,421', '']"
8006,r028,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,27,"['50,437', '']","['2,805', '']","['911', '']","['20,851', '']","['5,088', '']","['2,387', '']","['43', '']","['211', '']","['498', '']","['17,615', '']","['28', '']"
8006,r029,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,28,"['49,219', '']","['12,517', '']","['1,306', '']","['12,859', '']","['307', '']","['4,982', '']","['351', '']","['531', '']","['0', '']","['16,221', '']","['145', '']"
8006,r030,All institutions -> Cornell U.,All institutions,Cornell U.,2,29,"['49,165', '']","['5,920', '']","['226', '']","['12,494', '']","['0', '']","['13,851', '']","['202', '']","['507', '']","['0', '']","['15,965', '']","['0', '']"
8006,r031,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,30,"['47,432', '']","['1,725', '']","['37', '']","['3,199', '']","['1,513', '']","['1,905', '']","['0', '']","['16', '']","['9', '']","['39,020', '']","['8', '']"
8006,r032,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,31,"['46,847', '']","['331', '']","['51', '']","['5,217', '']","['30', '']","['783', '']","['0', '']","['0', '']","['0', '']","['40,435', '']","['0', '']"
8006,r033,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,32,"['45,744', '']","['1,628', '']","['0', '']","['16,329', '']","['0', '']","['11,468', '']","['261', '']","['21', '']","['919', '']","['13,934', '']","['1,184', '']"
8006,r034,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,33,"['45,446', '']","['2,012', '']","['185', '']","['34,164', '']","['46', '']","['4,191', '']","['0', '']","['41', '']","['100', '']","['4,702', '']","['5', '']"
8006,r035,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,34,"['42,934', '']","['654', '']","['606', '']","['15,411', '']","['564', '']","['4,289', '']","['125', '']","['140', '']","['231', '']","['20,346', '']","['568', '']"
8006,r036,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,35,"['42,813', '']","['0', '']","['0', '']","['5,750', '']","['243', '']","['9,424', '']","['523', '']","['130', '']","['1,661', '']","['24,909', '']","['173', '']"
8006,r037,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,36,"['41,850', '']","['3,140', '']","['2,565', '']","['2,061', '']","['58', '']","['15,554', '']","['84', '']","['0', '']","['0', '']","['18,388', '']","['0', '']"
8006,r038,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,37,"['40,514', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['40,485', '']","['29', '']"
8006,r039,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,38,"['39,374', '']","['14,527', '']","['0', '']","['849', '']","['0', '']","['13,065', '']","['2,790', '']","['183', '']","['0', '']","['7,794', '']","['166', '']"
8006,r040,All institutions -> U. Florida,All institutions,U. Florida,2,39,"['39,140', '']","['1,819', '']","['0', '']","['14,224', '']","['142', '']","['345', '']","['102', '']","['1,268', '']","['0', '']","['21,240', '']","['0', '']"
8006,r041,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,40,"['38,834', '']","['7,539', '']","['286', '']","['2,735', '']","['393', '']","['1,531', '']","['648', '']","['1,002', '']","['4,381', '']","['18,974', '']","['1,345', '']"
8006,r042,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,41,"['37,913', '']","['0', '']","['0', '']","['10,451', '']","['0', '']","['713', '']","['85', '']","['0', '']","['0', '']","['26,664', '']","['0', '']"
8006,r043,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,42,"['37,403', '']","['0', '']","['0', '']","['33,883', '']","['0', '']","['3,520', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8006,r044,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,43,"['35,768', '']","['334', '']","['460', '']","['2,269', '']","['260', '']","['2,843', '']","['0', '']","['0', '']","['0', '']","['24,483', '']","['5,119', '']"
8006,r045,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,44,"['35,252', '']","['8,169', '']","['23', '']","['10,585', '']","['95', '']","['1,701', '']","['90', '']","['469', '']","['0', '']","['13,776', '']","['344', '']"
8006,r046,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,45,"['35,239', '']","['671', '']","['0', '']","['13,786', '']","['1,162', '']","['1,369', '']","['26', '']","['218', '']","['0', '']","['17,284', '']","['723', '']"
8006,r047,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,46,"['34,170', '']","['6,577', '']","['80', '']","['18,421', '']","['0', '']","['91', '']","['0', '']","['0', '']","['0', '']","['9,001', '']","['0', '']"
8006,r048,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,47,"['33,479', '']","['2,584', '']","['1,518', '']","['6,242', '']","['857', '']","['6,746', '']","['27', '']","['0', '']","['1,663', '']","['13,788', '']","['54', '']"
8006,r049,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,48,"['33,180', '']","['2,237', '']","['426', '']","['4,744', '']","['2,372', '']","['1,209', '']","['0', '']","['241', '']","['7,702', '']","['14,242', '']","['7', '']"
8006,r050,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,49,"['32,776', '']","['4,478', '']","['0', '']","['930', '']","['0', '']","['1,322', '']","['376', '']","['2,259', '']","['0', '']","['23,041', '']","['370', '']"
8006,r051,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,50,"['32,274', '']","['2,664', '']","['526', '']","['382', '']","['0', '']","['8,422', '']","['58', '']","['30', '']","['0', '']","['19,743', '']","['449', '']"
8006,r052,All institutions -> Mercer U.,All institutions,Mercer U.,2,51,"['31,981', '']","['0', '']","['0', '']","['63', '']","['0', '']","['0', '']","['0', '']","['0', '']","['6', '']","['31,912', '']","['0', '']"
8006,r053,All institutions -> U.S. Air Force Academy,All institutions,U.S. Air Force Academy,2,52,"['31,818', '']","['150', '']","['34', '']","['369', '']","['0', '']","['2,348', '']","['0', '']","['3', '']","['0', '']","['28,914', '']","['0', '']"
8006,r054,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,53,"['31,014', '']","['1,126', '']","['0', '']","['476', '']","['0', '']","['113', '']","['107', '']","['986', '']","['0', '']","['28,140', '']","['66', '']"
8006,r055,All institutions -> U. Arizona,All institutions,U. Arizona,2,54,"['30,845', '']","['5,152', '']","['260', '']","['8,817', '']","['144', '']","['2,529', '']","['166', '']","['523', '']","['0', '']","['13,229', '']","['25', '']"
8006,r056,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,55,"['30,794', '']","['6,830', '']","['467', '']","['1,831', '']","['0', '']","['13,201', '']","['0', '']","['0', '']","['0', '']","['8,270', '']","['195', '']"
8006,r057,All institutions -> Princeton U.,All institutions,Princeton U.,2,56,"['30,518', '']","['2,430', '']","['313', '']","['2,508', '']","['999', '']","['4,732', '']","['145', '']","['500', '']","['0', '']","['18,882', '']","['9', '']"
8006,r058,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,57,"['29,477', '']","['8,806', '']","['2,095', '']","['1,483', '']","['40', '']","['5,458', '']","['0', '']","['0', '']","['0', '']","['11,595', '']","['0', '']"
8006,r059,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,58,"['29,220', '']","['0', '']","['20,490', '']","['462', '']","['0', '']","['4,894', '']","['0', '']","['0', '']","['0', '']","['3,255', '']","['119', '']"
8006,r060,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,59,"['28,768', '']","['1,317', '']","['0', '']","['2,319', '']","['189', '']","['2,695', '']","['2', '']","['0', '']","['814', '']","['21,432', '']","['0', '']"
8006,r061,All institutions -> Yale U.,All institutions,Yale U.,2,60,"['27,839', '']","['816', '']","['150', '']","['11,579', '']","['0', '']","['8,208', '']","['328', '']","['31', '']","['0', '']","['6,685', '']","['42', '']"
8006,r062,All institutions -> U. Utah,All institutions,U. Utah,2,61,"['27,748', '']","['3,335', '']","['397', '']","['13,073', '']","['219', '']","['2,338', '']","['2,237', '']","['815', '']","['0', '']","['5,290', '']","['44', '']"
8006,r063,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,62,"['26,220', '']","['0', '']","['0', '']","['26,220', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8006,r064,All institutions -> Air Force Institute of Technology,All institutions,Air Force Institute of Technology,2,63,"['24,584', '']","['1,424', '']","['175', '']","['0', '']","['197', '']","['7,868', '']","['0', '']","['0', '']","['0', '']","['14,920', '']","['0', '']"
8006,r065,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,64,"['24,324', '']","['2,131', '']","['361', '']","['18,684', '']","['297', '']","['2,002', '']","['0', '']","['203', '']","['0', '']","['613', '']","['33', '']"
8006,r066,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,65,"['23,219', '']","['222', '']","['78', '']","['12,729', '']","['260', '']","['728', '']","['0', '']","['385', '']","['0', '']","['8,806', '']","['11', '']"
8006,r067,All institutions -> U. Chicago,All institutions,U. Chicago,2,66,"['21,814', '']","['1,388', '']","['0', '']","['2,830', '']","['381', '']","['7,659', '']","['312', '']","['1,052', '']","['0', '']","['8,192', '']","['0', '']"
8006,r068,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,67,"['21,588', '']","['1,453', '']","['22', '']","['17,404', '']","['101', '']","['290', '']","['305', '']","['0', '']","['0', '']","['2,010', '']","['3', '']"
8006,r069,All institutions -> U. Miami,All institutions,U. Miami,2,68,"['21,486', '']","['0', '']","['11,655', '']","['8,001', '']","['0', '']","['171', '']","['884', '']","['0', '']","['0', '']","['775', '']","['0', '']"
8006,r070,All institutions -> U. Delaware,All institutions,U. Delaware,2,69,"['21,335', '']","['342', '']","['1,107', '']","['1,440', '']","['181', '']","['3,097', '']","['188', '']","['25', '']","['0', '']","['14,635', '']","['320', '']"
8006,r071,All institutions -> Stevens Institute of Technology,All institutions,Stevens Institute of Technology,2,70,"['21,258', '']","['1,921', '']","['0', '']","['0', '']","['0', '']","['211', '']","['0', '']","['0', '']","['0', '']","['18,251', '']","['875', '']"
8006,r072,All institutions -> New York U.,All institutions,New York U.,2,71,"['20,716', '']","['2,327', '']","['0', '']","['7,243', '']","['2,048', '']","['3,947', '']","['1,259', '']","['0', '']","['0', '']","['3,499', '']","['393', '']"
8006,r073,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,72,"['20,121', '']","['347', '']","['130', '']","['4,508', '']","['0', '']","['2,316', '']","['125', '']","['263', '']","['615', '']","['11,817', '']","['0', '']"
8006,r074,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,73,"['20,113', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['20,113', '']","['0', '']"
8006,r075,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,74,"['20,082', '']","['0', '']","['0', '']","['3,857', '']","['20', '']","['8,459', '']","['0', '']","['0', '']","['0', '']","['7,746', '']","['0', '']"
8006,r076,All institutions -> Florida State U.,All institutions,Florida State U.,2,75,"['19,797', '']","['437', '']","['1,302', '']","['181', '']","['200', '']","['712', '']","['3,292', '']","['0', '']","['0', '']","['13,673', '']","['0', '']"
8006,r077,"All institutions -> U. Massachusetts, Lowell",All institutions,"U. Massachusetts, Lowell",2,76,"['19,101', '']","['1,144', '']","['606', '']","['656', '']","['0', '']","['7,255', '']","['0', '']","['396', '']","['0', '']","['9,038', '']","['6', '']"
8006,r078,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,77,"['18,901', '']","['244', '']","['772', '']","['2,072', '']","['229', '']","['1,166', '']","['0', '']","['0', '']","['0', '']","['14,418', '']","['0', '']"
8006,r079,All institutions -> Rice U.,All institutions,Rice U.,2,78,"['18,504', '']","['1,621', '']","['210', '']","['1,451', '']","['207', '']","['2,461', '']","['1,517', '']","['0', '']","['0', '']","['10,768', '']","['269', '']"
8006,r080,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,79,"['18,413', '']","['627', '']","['0', '']","['1,545', '']","['0', '']","['385', '']","['142', '']","['1', '']","['90', '']","['15,623', '']","['0', '']"
8006,r081,All institutions -> Brown U.,All institutions,Brown U.,2,80,"['18,197', '']","['4,318', '']","['197', '']","['2,842', '']","['2,686', '']","['1,136', '']","['0', '']","['208', '']","['46', '']","['6,764', '']","['0', '']"
8006,r082,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,81,"['18,045', '']","['9,659', '']","['457', '']","['3,758', '']","['242', '']","['786', '']","['0', '']","['173', '']","['0', '']","['902', '']","['2,068', '']"
8006,r083,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,82,"['17,970', '']","['794', '']","['94', '']","['3,204', '']","['23', '']","['651', '']","['0', '']","['83', '']","['591', '']","['12,451', '']","['79', '']"
8006,r084,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,83,"['17,806', '']","['1,631', '']","['3,287', '']","['2,134', '']","['12', '']","['205', '']","['17', '']","['0', '']","['563', '']","['9,493', '']","['464', '']"
8006,r085,All institutions -> Boston U.,All institutions,Boston U.,2,84,"['17,764', '']","['2,401', '']","['234', '']","['5,354', '']","['392', '']","['1,188', '']","['256', '']","['0', '']","['0', '']","['7,573', '']","['366', '']"
8006,r086,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,85,"['17,288', '']","['0', '']","['0', '']","['8,596', '']","['0', '']","['1,410', '']","['0', '']","['68', '']","['0', '']","['7,214', '']","['0', '']"
8006,r087,All institutions -> U. Maine,All institutions,U. Maine,2,86,"['17,105', '']","['0', '']","['57', '']","['0', '']","['0', '']","['269', '']","['0', '']","['0', '']","['0', '']","['16,770', '']","['9', '']"
8006,r088,All institutions -> Michigan Technological U.,All institutions,Michigan Technological U.,2,87,"['17,082', '']","['1,277', '']","['2,452', '']","['0', '']","['46', '']","['296', '']","['0', '']","['0', '']","['0', '']","['12,756', '']","['255', '']"
8006,r089,"All institutions -> U. Nebraska, central administration",All institutions,"U. Nebraska, central administration",2,88,"['17,024', '']","['448', '']","['0', '']","['11,195', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['5,055', '']","['326', '']"
8006,r090,All institutions -> U. Colorado Anschutz Medical Campus<sup>c</sup>,All institutions,U. Colorado Anschutz Medical Campus<sup>c</sup>,2,89,"['16,740', '']","['0', '']","['0', '']","['16,740', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8006,r091,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,90,"['16,646', '']","['4,913', '']","['0', '']","['894', '']","['258', '']","['555', '']","['0', '']","['0', '']","['0', '']","['10,026', '']","['0', '']"
8006,r092,All institutions -> New Jersey Institute of Technology,All institutions,New Jersey Institute of Technology,2,91,"['16,638', '']","['383', '']","['0', '']","['285', '']","['235', '']","['2,128', '']","['0', '']","['0', '']","['0', '']","['11,795', '']","['1,812', '']"
8006,r093,All institutions -> U. Iowa,All institutions,U. Iowa,2,92,"['15,123', '']","['679', '']","['0', '']","['5,193', '']","['50', '']","['1,977', '']","['0', '']","['221', '']","['0', '']","['6,894', '']","['109', '']"
8006,r094,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,93,"['15,118', '']","['1,758', '']","['285', '']","['10,738', '']","['52', '']","['679', '']","['295', '']","['63', '']","['347', '']","['586', '']","['315', '']"
8006,r095,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,94,"['15,048', '']","['616', '']","['103', '']","['0', '']","['117', '']","['1,471', '']","['0', '']","['0', '']","['0', '']","['12,741', '']","['0', '']"
8006,r096,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,95,"['14,865', '']","['0', '']","['0', '']","['14,865', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8006,r097,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,96,"['14,834', '']","['2,506', '']","['257', '']","['2,275', '']","['346', '']","['2,321', '']","['214', '']","['0', '']","['41', '']","['6,629', '']","['245', '']"
8006,r098,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,97,"['14,435', '']","['62', '']","['469', '']","['4,573', '']","['571', '']","['1,026', '']","['0', '']","['0', '']","['165', '']","['7,569', '']","['0', '']"
8006,r099,All institutions -> Florida International U.,All institutions,Florida International U.,2,98,"['14,133', '']","['580', '']","['444', '']","['793', '']","['0', '']","['3,675', '']","['0', '']","['2,047', '']","['0', '']","['6,594', '']","['0', '']"
8006,r100,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,99,"['13,820', '']","['1,623', '']","['0', '']","['5,794', '']","['633', '']","['675', '']","['223', '']","['14', '']","['0', '']","['4,858', '']","['0', '']"
8006,r101,All institutions -> U. Southern Mississippi,All institutions,U. Southern Mississippi,2,100,"['13,655', '']","['164', '']","['4,584', '']","['191', '']","['0', '']","['7,778', '']","['0', '']","['678', '']","['0', '']","['36', '']","['224', '']"
8006,r102,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,101,"['13,647', '']","['0', '']","['0', '']","['9,383', '']","['139', '']","['33', '']","['0', '']","['5', '']","['0', '']","['3,871', '']","['216', '']"
8006,r103,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,102,"['13,439', '']","['3,087', '']","['166', '']","['2,239', '']","['0', '']","['2,799', '']","['344', '']","['0', '']","['0', '']","['4,804', '']","['0', '']"
8006,r104,All institutions -> U. Rochester,All institutions,U. Rochester,2,103,"['13,268', '']","['514', '']","['0', '']","['6,527', '']","['0', '']","['3,900', '']","['0', '']","['110', '']","['0', '']","['2,217', '']","['0', '']"
8006,r105,All institutions -> Wake Forest U.,All institutions,Wake Forest U.,2,104,"['13,142', '']","['0', '']","['0', '']","['13,052', '']","['0', '']","['90', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8006,r106,All institutions -> U.S. Military Academy,All institutions,U.S. Military Academy,2,105,"['12,655', '']","['1,822', '']","['2', '']","['1,727', '']","['456', '']","['338', '']","['0', '']","['769', '']","['156', '']","['7,334', '']","['51', '']"
8006,r107,All institutions -> Rensselaer Polytechnic Institute,All institutions,Rensselaer Polytechnic Institute,2,106,"['12,484', '']","['3,483', '']","['0', '']","['0', '']","['356', '']","['328', '']","['1,919', '']","['0', '']","['0', '']","['6,352', '']","['46', '']"
8006,r108,"All institutions -> U. Texas, Dallas",All institutions,"U. Texas, Dallas",2,107,"['11,441', '']","['2,483', '']","['0', '']","['1,593', '']","['0', '']","['1,937', '']","['127', '']","['49', '']","['0', '']","['5,252', '']","['0', '']"
8006,r109,All institutions -> Wright State U.,All institutions,Wright State U.,2,108,"['11,336', '']","['2,205', '']","['0', '']","['1,534', '']","['0', '']","['447', '']","['867', '']","['0', '']","['0', '']","['6,100', '']","['183', '']"
8006,r110,"All institutions -> U. Hawaii, system office",All institutions,"U. Hawaii, system office",2,109,"['11,304', '']","['0', '']","['11,304', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8006,r111,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,110,"['11,182', '']","['420', '']","['0', '']","['2,200', '']","['0', '']","['262', '']","['0', '']","['0', '']","['0', '']","['8,300', '']","['0', '']"
8006,r112,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,111,"['11,082', '']","['1,644', '']","['0', '']","['5,009', '']","['0', '']","['163', '']","['0', '']","['233', '']","['0', '']","['3,536', '']","['497', '']"
