table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_hierarchy_depth,field_1987_number,field_1987_percent,field_1992_number,field_1992_percent,field_1997_number,field_1997_percent,field_2002_number,field_2002_percent,field_2007_number,field_2007_percent,field_2012_number,field_2012_percent,field_2017_number,field_2017_percent
952,r012,All fields<sup>a</sup> -> Mathematics and computer sciences -> Female,All fields<sup>a</sup>,Mathematics and computer sciences,Female,3,190,16.0,325,17.0,413,20.6,433,25.1,734,24.1,855,24.5,976,25.4
952,r013,All fields<sup>a</sup> -> Psychology and social sciences,All fields<sup>a</sup>,Psychology and social sciences,,2,6063,100.0,6530,100.0,7299,100.0,6912,100.0,7306,100.0,8494,100.0,9074,100.0
952,r014,All fields<sup>a</sup> -> Psychology and social sciences -> Male,All fields<sup>a</sup>,Psychology and social sciences,Male,3,3424,56.5,3386,51.9,3441,47.1,3083,44.6,3028,41.4,3539,41.7,3693,40.7
952,r015,All fields<sup>a</sup> -> Psychology and social sciences -> Female,All fields<sup>a</sup>,Psychology and social sciences,Female,3,2639,43.5,3144,48.1,3858,52.9,3829,55.4,4278,58.6,4955,58.3,5381,59.3
952,r016,All fields<sup>a</sup> -> Engineering,All fields<sup>a</sup>,Engineering,,2,3712,100.0,5366,100.0,6065,100.0,5067,100.0,7746,100.0,8452,100.0,9837,100.0
952,r017,All fields<sup>a</sup> -> Engineering -> Male,All fields<sup>a</sup>,Engineering,Male,3,3470,93.5,4860,90.6,5315,87.6,4174,82.4,6141,79.3,6565,77.7,7389,75.1
952,r018,All fields<sup>a</sup> -> Engineering -> Female,All fields<sup>a</sup>,Engineering,Female,3,242,6.5,506,9.4,750,12.4,893,17.6,1605,20.7,1887,22.3,2448,24.9
952,r019,All fields<sup>a</sup> -> Education,All fields<sup>a</sup>,Education,,2,6453,100.0,6664,100.0,6517,100.0,6495,100.0,6447,100.0,4799,100.0,4821,100.0
952,r020,All fields<sup>a</sup> -> Education -> Male,All fields<sup>a</sup>,Education,Male,3,2896,44.9,2688,40.3,2394,36.7,2196,33.8,2103,32.6,1500,31.3,1521,31.5
952,r021,All fields<sup>a</sup> -> Education -> Female,All fields<sup>a</sup>,Education,Female,3,3557,55.1,3976,59.7,4123,63.3,4299,66.2,4344,67.4,3299,68.7,3300,68.5
952,r022,All fields<sup>a</sup> -> Humanities and arts,All fields<sup>a</sup>,Humanities and arts,,2,3478,100.0,4376,100.0,5248,100.0,5286,100.0,5083,100.0,5559,100.0,5289,100.0
952,r023,All fields<sup>a</sup> -> Humanities and arts -> Male,All fields<sup>a</sup>,Humanities and arts,Male,3,2017,58.0,2443,55.8,2798,53.3,2676,50.6,2605,51.2,2741,49.3,2581,48.8
952,r024,All fields<sup>a</sup> -> Humanities and arts -> Female,All fields<sup>a</sup>,Humanities and arts,Female,3,1461,42.0,1933,44.2,2450,46.7,2610,49.4,2478,48.8,2818,50.7,2708,51.2
952,r025,All fields<sup>a</sup> -> Other<sup>c</sup>,All fields<sup>a</sup>,Other<sup>c</sup>,,2,1876,100.0,2191,100.0,2161,100.0,2127,100.0,2834,100.0,2729,100.0,3112,100.0
952,r026,All fields<sup>a</sup> -> Other<sup>c</sup> -> Male,All fields<sup>a</sup>,Other<sup>c</sup>,Male,3,1204,64.2,1400,63.9,1298,60.1,1132,53.2,1374,48.5,1360,49.8,1399,45.0
952,r027,All fields<sup>a</sup> -> Other<sup>c</sup> -> Female,All fields<sup>a</sup>,Other<sup>c</sup>,Female,3,672,35.8,791,36.1,863,39.9,995,46.8,1460,51.5,1369,50.2,1713,55.0
