table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_provided_appropriate_recognition_for_work_disagree,field_provided_appropriate_recognition_for_work_neither_agree_nor_disagree,field_provided_appropriate_recognition_for_work_agree,field_encouraged_collaboration_with_others_disagree,field_encouraged_collaboration_with_others_neither_agree_nor_disagree,field_encouraged_collaboration_with_others_agree,field_encouraged_increasing_independence_in_research_or_work_disagree,field_encouraged_increasing_independence_in_research_or_work_neither_agree_nor_disagree,field_encouraged_increasing_independence_in_research_or_work_agree,field_provided_opportunities_to_work_on_grant_proposals_disagree,field_provided_opportunities_to_work_on_grant_proposals_neither_agree_nor_disagree,field_provided_opportunities_to_work_on_grant_proposals_agree,field_supported_publishing_papers_or_presenting_work_disagree,field_supported_publishing_papers_or_presenting_work_neither_agree_nor_disagree,field_supported_publishing_papers_or_presenting_work_agree,field_provided_career_guidance_disagree,field_provided_career_guidance_neither_agree_nor_disagree,field_provided_career_guidance_agree,field_encouraged_work_life_balance_disagree,field_encouraged_work_life_balance_neither_agree_nor_disagree,field_encouraged_work_life_balance_agree
3812,r012,Early career doctorates with supervisors -> Employment setting -> Academic institution<sup>b</sup>,Early career doctorates with supervisors,Employment setting,Academic institution<sup>b</sup>,,,3,148200,15.4,9.0,75.7,14.3,19.6,66.1,12.8,21.8,65.4,21.7,27.2,51.1,9.7,11.7,78.7,21.0,20.7,58.3,18.2,23.4,58.4
3812,r013,Early career doctorates with supervisors -> Employment setting -> Academic institution<sup>b</sup> -> Very high research activity university,Early career doctorates with supervisors,Employment setting,Academic institution<sup>b</sup>,Very high research activity university,,4,67400,14.5,8.1,77.3,12.8,13.9,73.2,11.0,15.5,73.5,19.9,20.6,59.5,9.2,8.9,81.9,19.2,16.4,64.4,18.8,21.8,59.4
3812,r014,Early career doctorates with supervisors -> Employment setting -> Academic institution<sup>b</sup> -> High research activity university,Early career doctorates with supervisors,Employment setting,Academic institution<sup>b</sup>,High research activity university,,4,22500,16.9,9.7,73.4,15.9,21.3,62.8,15.3,24.3,60.5,25.1,29.7,45.2,10.9,13.1,76.0,24.7,20.0,55.3,19.4,28.7,51.9
3812,r015,Early career doctorates with supervisors -> Employment setting -> Academic institution<sup>b</sup> -> Other college or university,Early career doctorates with supervisors,Employment setting,Academic institution<sup>b</sup>,Other college or university,,4,58300,15.7,9.6,74.6,15.2,25.5,59.2,14.0,28.1,57.9,22.6,33.7,43.7,9.7,14.3,76.0,21.5,25.9,52.5,17.0,23.3,59.8
3812,r016,Early career doctorates with supervisors -> Employment setting -> FFRDC,Early career doctorates with supervisors,Employment setting,FFRDC,,,3,7600,10.0,6.9,83.1,8.3,9.3,82.4,10.2,12.3,77.5,17.7,21.5,60.8,8.3,7.6,84.1,14.6,13.9,71.5,13.3,15.5,71.3
3812,r017,Early career doctorates with supervisors -> Doctoral degree type,Early career doctorates with supervisors,Doctoral degree type,,,,2,,,,,,,,,,,,,,,,,,,,,,
3812,r018,Early career doctorates with supervisors -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>c</sup>,Early career doctorates with supervisors,Doctoral degree type,Professional degree or doctoral equivalent<sup>c</sup>,,,3,15100,18.6,10.9,70.5,18.5,24.8,56.7,17.6,26.9,55.5,29.2,33.6,37.2,13.1,20.8,66.2,23.6,26.6,49.8,18.4,21.8,59.8
3812,r019,Early career doctorates with supervisors -> Doctoral degree type -> Research degree,Early career doctorates with supervisors,Doctoral degree type,Research degree,,,3,140800,14.7,8.6,76.6,13.5,18.5,68.0,12.2,20.7,67.1,20.7,26.2,53.1,9.2,10.5,80.3,20.3,19.7,59.9,17.9,23.2,58.9
3812,r020,Early career doctorates with supervisors -> Years since doctoral degree,Early career doctorates with supervisors,Years since doctoral degree,,,,2,,,,,,,,,,,,,,,,,,,,,,
3812,r021,Early career doctorates with supervisors -> Years since doctoral degree -> 1 year or less,Early career doctorates with supervisors,Years since doctoral degree,1 year or less,,,3,33400,12.1,8.7,79.2,11.8,16.2,72.1,10.9,18.9,70.1,21.8,26.4,51.8,8.2,9.1,82.7,17.5,17.0,65.5,16.6,19.4,64.0
3812,r022,Early career doctorates with supervisors -> Years since doctoral degree -> 2&#8211;5 years,Early career doctorates with supervisors,Years since doctoral degree,2&#8211;5 years,,,3,70100,15.9,8.4,75.7,14.8,19.1,66.0,13.5,19.8,66.6,22.7,26.6,50.8,10.3,11.6,78.1,21.9,18.9,59.2,18.7,23.0,58.4
3812,r023,Early career doctorates with supervisors -> Years since doctoral degree -> 6&#8211;10 years,Early career doctorates with supervisors,Years since doctoral degree,6&#8211;10 years,,,3,52300,15.9,9.7,74.4,14.2,20.9,64.9,12.7,24.9,62.4,19.8,27.7,52.5,9.5,12.8,77.8,21.0,24.5,54.5,17.8,25.5,56.7
3812,r024,Early career doctorates with supervisors -> Origin of doctoral degree,Early career doctorates with supervisors,Origin of doctoral degree,,,,2,,,,,,,,,,,,,,,,,,,,,,
3812,r025,Early career doctorates with supervisors -> Origin of doctoral degree -> U.S. degree,Early career doctorates with supervisors,Origin of doctoral degree,U.S. degree,,,3,134000,15.4,9.3,75.3,14.2,20.4,65.4,13.0,22.7,64.3,22.0,28.3,49.7,9.9,12.1,78.0,21.2,20.9,57.9,17.9,23.5,58.6
3812,r026,Early career doctorates with supervisors -> Origin of doctoral degree -> Non-U.S. degree,Early career doctorates with supervisors,Origin of doctoral degree,Non-U.S. degree,,,3,21800,13.0,6.2,80.8,12.8,11.1,76.1,10.7,13.1,76.2,18.6,18.1,63.3,7.6,7.2,85.1,17.2,17.3,65.5,18.2,20.1,61.7
3812,r027,Early career doctorates with supervisors -> Field of doctoral degree,Early career doctorates with supervisors,Field of doctoral degree,,,,2,,,,,,,,,,,,,,,,,,,,,,
3812,r028,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,,,3,91500,14.0,7.7,78.3,11.6,15.3,73.2,10.7,18.2,71.2,18.5,22.2,59.4,8.5,8.8,82.7,18.6,17.6,63.7,16.8,23.2,60.0
3812,r029,"Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences",Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",,4,25900,13.5,6.7,79.8,11.7,12.9,75.4,8.8,13.8,77.5,15.6,20.2,64.2,6.8,7.3,85.9,19.8,19.0,61.2,17.6,22.1,60.3
3812,r030,"Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Agricultural and environmental life sciences",Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Agricultural and environmental life sciences,5,3500,13.1,2.7,84.2,10.2,10.1,79.7,13.2,12.2,74.6,15.5,16.8,67.7,6.0,9.3,84.7,18.9,19.2,61.9,15.9,21.1,63.0
3812,r031,"Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Biological and biomedical sciences",Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Biological and biomedical sciences,5,22300,13.6,7.3,79.1,11.9,13.4,74.8,8.1,14.0,77.9,15.6,20.7,63.6,6.9,7.0,86.1,20.0,18.9,61.1,17.8,22.3,59.9
3812,r032,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Engineering,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Engineering,,4,14500,13.7,8.1,78.1,11.0,12.6,76.4,11.4,16.8,71.8,19.8,17.4,62.8,7.9,11.8,80.3,16.0,17.3,66.7,13.5,25.4,61.0
3812,r033,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,,4,9000,10.7,5.4,83.9,9.3,12.7,78.1,8.6,18.2,73.2,15.4,22.0,62.6,9.0,10.2,80.7,13.5,20.0,66.4,12.4,25.1,62.5
3812,r034,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Computer and information sciences,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Computer and information sciences,5,4500,13.3,4.3,82.4,12.4,9.7,78.0,11.4,15.7,72.9,18.2,17.9,63.9,13.2,8.1,78.6,17.5,20.4,62.1,14.2,23.5,62.3
3812,r035,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Mathematics and statistics,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,5,4400,8.0,6.5,85.4,6.1,15.8,78.2,5.8,20.8,73.4,12.5,26.3,61.2,S,12.4,82.9,9.5,19.6,70.9,10.6,26.8,62.6
3812,r036,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Multidisciplinary fields and science and engineering related fields,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Multidisciplinary fields and science and engineering related fields,,4,2000,8.8,8.7,82.6,14.8,9.8,75.4,11.6,16.3,72.2,16.0,14.1,69.9,7.8,3.8,88.4,17.8,10.3,71.9,14.9,21.4,63.7
3812,r037,"Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,17300,13.8,6.1,80.1,10.2,11.4,78.4,11.5,13.9,74.6,16.8,21.9,61.4,7.2,6.8,86.0,17.2,13.0,69.8,18.9,20.4,60.7
3812,r038,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Psychology and social sciences,,4,23000,16.6,10.4,73.0,13.5,24.0,62.5,12.4,27.4,60.2,23.5,28.5,48.0,11.8,9.8,78.4,22.1,19.6,58.4,18.4,24.5,57.1
3812,r039,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Psychology,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Psychology and social sciences,Psychology,5,6300,14.4,10.4,75.3,14.8,20.0,65.2,12.7,21.4,65.9,27.8,24.5,47.7,13.5,13.8,72.8,23.2,16.6,60.3,21.4,19.6,59.0
3812,r040,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Social sciences,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Psychology and social sciences,Social sciences,5,16700,17.4,10.5,72.1,13.0,25.5,61.5,12.3,29.7,58.0,21.9,30.0,48.1,11.2,8.3,80.5,21.6,20.7,57.7,17.3,26.3,56.4
3812,r041,Early career doctorates with supervisors -> Field of doctoral degree -> Health,Early career doctorates with supervisors,Field of doctoral degree,Health,,,3,12500,14.2,11.9,73.9,14.9,19.5,65.6,11.7,21.8,66.5,25.2,26.0,48.8,10.4,10.3,79.3,24.3,15.6,60.1,18.0,19.8,62.2
3812,r042,Early career doctorates with supervisors -> Field of doctoral degree -> Non-science and engineering,Early career doctorates with supervisors,Field of doctoral degree,Non-science and engineering,,,3,51900,17.2,10.2,72.5,18.0,25.8,56.3,16.5,26.8,56.7,26.0,35.4,38.5,11.2,16.5,72.3,23.4,26.3,50.3,19.9,23.6,56.5
3812,r043,Early career doctorates with supervisors -> Field of doctoral degree -> Non-science and engineering -> Education,Early career doctorates with supervisors,Field of doctoral degree,Non-science and engineering,Education,,4,19600,17.4,10.1,72.5,16.6,24.5,58.8,16.4,28.5,55.1,30.1,31.0,38.9,13.1,21.2,65.7,24.5,28.7,46.8,19.0,21.9,59.1
3812,r044,Early career doctorates with supervisors -> Field of doctoral degree -> Non-science and engineering -> Humanities,Early career doctorates with supervisors,Field of doctoral degree,Non-science and engineering,Humanities,,4,12400,16.1,9.9,74.0,17.6,32.3,50.2,12.4,28.3,59.3,23.5,38.4,38.1,11.6,16.3,72.1,20.6,24.3,55.1,18.4,24.7,57.0
3812,r045,Early career doctorates with supervisors -> Field of doctoral degree -> Non-science and engineering -> Other non-science and engineering,Early career doctorates with supervisors,Field of doctoral degree,Non-science and engineering,Other non-science and engineering,,4,19900,17.7,10.7,71.6,19.5,22.9,57.6,19.2,24.1,56.6,23.7,38.0,38.4,9.2,11.9,78.9,24.1,25.1,50.8,21.7,24.5,53.8
3812,r046,Early career doctorates with supervisors -> Position tenure,Early career doctorates with supervisors,Position tenure,,,,2,,,,,,,,,,,,,,,,,,,,,,
3812,r047,Early career doctorates with supervisors -> Position tenure -> 1 year or less,Early career doctorates with supervisors,Position tenure,1 year or less,,,3,22200,11.5,12.5,76.1,13.3,23.5,63.2,13.3,24.1,62.6,21.9,36.5,41.6,11.6,16.1,72.3,18.5,24.7,56.8,15.6,26.1,58.3
3812,r048,Early career doctorates with supervisors -> Position tenure -> More than 1 year but less than 5 years,Early career doctorates with supervisors,Position tenure,More than 1 year but less than 5 years,,,3,92300,15.1,7.7,77.2,13.7,16.3,70.0,12.1,18.7,69.2,21.1,24.0,54.9,9.2,9.6,81.2,20.7,17.4,61.9,18.3,20.7,61.0
3812,r049,Early career doctorates with supervisors -> Position tenure -> 5 years or more,Early career doctorates with supervisors,Position tenure,5 years or more,,,3,41300,17.0,9.4,73.5,14.9,23.0,62.1,13.6,25.8,60.6,22.3,28.1,49.6,9.4,13.2,77.5,21.7,24.6,53.7,18.4,26.6,55.0
