table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_employees_total,field_worldwide_employees_r_d,field_worldwide_employees_percentage_of_r_d_employees,field_domestic_employees_total,field_domestic_employees_r_d,field_domestic_employees_percentage_of_r_d_employees,field_foreign_employees_total,field_foreign_employees_r_d,field_foreign_employees_percentage_of_r_d_employees
12317,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['1,118', '  ']","['164', '  ']","['14.7', '  ']","['525', '  ']","['111', '  ']","['21.1', '  ']","['592', '  ']","['53', '  ']","['9.0', '  ']"
12317,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['659', '  ']","['259', '  ']","['39.3', '  ']","['406', '  ']","['149', '  ']","['36.7', '  ']","['253', 'i ']","['110', 'i ']","['43.3', '  ']"
12317,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['4', '  ']","['2', '  ']","['41.9', '  ']","['3', '  ']","['1', '  ']","['40.7', '  ']","['*', '  ']","['*', '  ']","['56.3', '  ']"
12317,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['170', '  ']","['74', 'i ']","['43.4', '  ']","['122', '  ']","['35', 'i ']","['28.7', '  ']","['48', 'i ']","['39', 'i ']","['80.6', '  ']"
12317,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['471', '  ']","['173', '  ']","['36.8', '  ']","['267', '  ']","['103', '  ']","['38.5', '  ']","['204', 'i ']","['70', 'i ']","['34.5', '  ']"
12317,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['14', '  ']","['10', '  ']","['72.3', '  ']","['14', '  ']","['10', '  ']","['72.3', '  ']","['*', '  ']","['*', '  ']","['69.5', '  ']"
12317,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['501', '  ']","['57', '  ']","['11.3', '  ']","['387', '  ']","['48', '  ']","['12.3', '  ']","['115', '  ']","['9', '  ']","['7.8', '  ']"
12317,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['415', '  ']","['11', '  ']","['2.7', '  ']","['398', '  ']","['11', '  ']","['2.7', '  ']","['17', '  ']","['1', '  ']","['3.3', '  ']"
12317,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['36', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']"
12317,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['36,453', '  ']","['3,186', '  ']","['8.7', '  ']","['24,092', '  ']","['2,110', '  ']","['8.8', '  ']","['12,361', '  ']","['1,076', '  ']","['8.7', '  ']"
12317,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12317,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['100', '  ']","['37', '  ']","['37.3', '  ']","['86', '  ']","['34', '  ']","['39.3', '  ']","['14', '  ']","['3', '  ']","['24.6', '  ']"
12317,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['311', '  ']","['98', '  ']","['31.5', '  ']","['267', '  ']","['89', '  ']","['33.4', '  ']","['44', '  ']","['9', '  ']","['20.4', '  ']"
12317,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12317,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['438', '  ']","['101', '  ']","['23.0', '  ']","['366', '  ']","['87', '  ']","['23.8', '  ']","['72', '  ']","['13', '  ']","['18.4', '  ']"
12317,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,004', '  ']","['164', '  ']","['16.4', '  ']","['808', '  ']","['143', '  ']","['17.7', '  ']","['195', '  ']","['21', '  ']","['10.9', '  ']"
12317,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12317,r082,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,144', '  ']","['160', '  ']","['14.0', '  ']","['768', '  ']","['123', '  ']","['16.0', '  ']","['376', '  ']","['37', '  ']","['9.8', '  ']"
