table_id,row_id,funding_category_and_agency_full_path,funding_category_and_agency_level_1,funding_category_and_agency_level_2,funding_category_and_agency_level_3,funding_category_and_agency_level_4,funding_category_and_agency_hierarchy_depth,field_budget_activity,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12596,r031,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,Space Force,4,,5447,5652,5651,3.8,0.0
12596,r032,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,Department of the Army,4,,4078,5091,6151,24.9,20.8
12596,r033,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,Department of the Navy,4,,6378,6777,7943,6.3,17.2
12596,r034,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,,3,6,12622,9399,9534,-25.5,1.4
12596,r035,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Defense agencies,4,,3040,2074,2319,-31.8,11.8
12596,r036,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Department of the Air Force,4,,4142,3536,3465,-14.6,-2.0
12596,r037,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Space Force,4,,959,492,567,-48.7,15.2
12596,r038,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Department of the Army,4,,2169,1703,1707,-21.5,0.3
12596,r039,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Department of the Navy,4,,1865,1148,1127,-38.5,-1.8
12596,r040,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Operational test and evaluation,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Operational test and evaluation,4,,446,446,349,0.0,-21.8
12596,r041,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational System Development,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational System Development,,3,7,48017,16805,51959,-65.0,209.2
12596,r042,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational System Development -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational System Development,Defense agencies,4,,10478,3249,12154,-69.0,274.1
12596,r043,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational System Development -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational System Development,Department of the Air Force,4,,23662,6543,25309,-72.3,286.8
12596,r044,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational System Development -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational System Development,Space Force,4,,6482,1592,6929,-75.4,335.2
12596,r045,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational System Development -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational System Development,Department of the Army,4,,1239,1225,962,-1.2,-21.4
12596,r046,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational System Development -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational System Development,Department of the Navy,4,,6156,4197,6605,-31.8,57.4
12596,r047,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Software and Digital Technology Pilot Programs,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Software and Digital Technology Pilot Programs,,3,8,487,911,391,87.2,-57.0
12596,r048,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Software and Digital Technology Pilot Programs -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Software and Digital Technology Pilot Programs,Defense agencies,4,,176,662,135,275.8,-79.7
12596,r049,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Software and Digital Technology Pilot Programs -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Software and Digital Technology Pilot Programs,Department of the Air Force,4,,0,0,0,-,-
12596,r050,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Software and Digital Technology Pilot Programs -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Software and Digital Technology Pilot Programs,Space Force,4,,192,122,157,-36.3,28.6
12596,r051,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Software and Digital Technology Pilot Programs -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Software and Digital Technology Pilot Programs,Department of the Army,4,,92,104,75,12.5,-28.4
12596,r052,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Software and Digital Technology Pilot Programs -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Software and Digital Technology Pilot Programs,Department of the Navy,4,,26,22,25,-13.8,11.2
