table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_design_number,field_research_and_development_design_se,field_research_and_development_development_number,field_research_and_development_development_se,field_computer_applications_number,field_computer_applications_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
3695,r022,Doctorate recipient -> Years since doctorate,Doctorate recipient,Years since doctorate,,,2,,,,,,,,,,,,,,,,,,,,,,
3695,r023,Doctorate recipient -> Years since doctorate -> &#8804; 5,Doctorate recipient,Years since doctorate,&#8804; 5,,3,142500,625,104750,925,63350,1100,35200,800,13800,550,27600,800,22700,625,42850,825,15750,550,32500,775,12500,500
3695,r024,Doctorate recipient -> Years since doctorate -> 6&#8211;10,Doctorate recipient,Years since doctorate,6&#8211;10,,3,154750,1025,105800,1150,61100,850,34000,825,12600,600,27400,775,17900,650,59800,1125,17300,500,43300,900,14400,525
3695,r025,Doctorate recipient -> Years since doctorate -> 11&#8211;15,Doctorate recipient,Years since doctorate,11&#8211;15,,3,127000,1150,81650,1125,44250,925,27450,825,9350,500,19250,725,12050,525,54200,975,16350,675,38050,850,12000,575
3695,r026,Doctorate recipient -> Years since doctorate -> 16&#8211;20,Doctorate recipient,Years since doctorate,16&#8211;20,,3,108700,825,64150,1050,34650,850,21200,650,6900,450,15600,625,9200,525,50450,900,15200,700,33800,825,11250,525
3695,r027,Doctorate recipient -> Years since doctorate -> 21&#8211;25,Doctorate recipient,Years since doctorate,21&#8211;25,,3,104250,825,60500,875,31000,775,18450,725,8400,500,15700,650,10000,550,48400,975,15950,750,30300,750,10100,500
3695,r028,Doctorate recipient -> Years since doctorate -> > 25,Doctorate recipient,Years since doctorate,> 25,,3,220000,1575,123500,1550,66600,1100,44150,1000,13400,675,27850,825,14250,575,95700,1475,40950,975,67900,1100,21600,800
3695,r029,Doctorate recipient -> Citizenship,Doctorate recipient,Citizenship,,,2,,,,,,,,,,,,,,,,,,,,,,
3695,r030,Doctorate recipient -> Citizenship -> U.S. citizen,Doctorate recipient,Citizenship,U.S. citizen,,3,732750,2000,440950,2575,245450,2000,147100,1775,49950,1075,101900,1600,60900,1125,320750,2250,113850,1500,219950,2000,73400,1375
3695,r031,Doctorate recipient -> Citizenship -> U.S. citizen -> Native-born,Doctorate recipient,Citizenship,U.S. citizen,Native-born,4,555150,1575,321450,1900,182950,1500,110850,1500,32300,900,66300,1225,37900,875,251350,2125,94450,1275,175950,1725,57350,1150
3695,r032,Doctorate recipient -> Citizenship -> U.S. citizen -> Naturalized,Doctorate recipient,Citizenship,U.S. citizen,Naturalized,4,177600,1675,119500,1775,62500,1275,36250,1075,17650,750,35600,1000,22950,775,69400,1225,19400,800,44000,1175,16050,700
3695,r033,Doctorate recipient -> Citizenship -> Non-U.S. citizen,Doctorate recipient,Citizenship,Non-U.S. citizen,,3,124450,1600,99400,1375,55500,1200,33400,1125,14500,650,31500,975,25200,925,30700,950,7700,450,25950,875,8400,500
3695,r034,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Permanent resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Permanent resident,4,87200,1475,67650,1275,36650,975,22200,925,9700,525,22300,825,16500,800,23700,825,5800,375,19850,800,6000,450
3695,r035,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Temporary resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Temporary resident,4,37300,900,31750,800,18850,675,11200,600,4750,375,9200,475,8700,450,7000,450,1900,250,6100,425,2450,275
3695,r036,Doctorate recipient -> Sector of employment,Doctorate recipient,Sector of employment,,,2,,,,,,,,,,,,,,,,,,,,,,
3695,r037,Doctorate recipient -> Sector of employment -> 4-year educational institution<sup>f</sup>,Doctorate recipient,Sector of employment,4-year educational institution<sup>f</sup>,,3,344350,2325,234300,2225,119750,1750,134700,1750,7250,425,11850,550,12500,500,110000,1375,20050,775,201700,1950,28500,850
3695,r038,Doctorate recipient -> Sector of employment -> Other educational institution<sup>g</sup>,Doctorate recipient,Sector of employment,Other educational institution<sup>g</sup>,,3,30900,900,6750,400,3000,300,2350,225,750,150,1400,200,800,150,10250,500,3900,300,23150,825,4300,300
3695,r039,"Doctorate recipient -> Sector of employment -> Private, for profit<sup>h</sup>",Doctorate recipient,Sector of employment,"Private, for profit<sup>h</sup>",,3,306300,2500,201550,2075,110550,1575,15800,700,44850,1100,98900,1475,58050,1175,146550,1850,46500,1125,8450,500,27950,800
3695,r040,"Doctorate recipient -> Sector of employment -> Private, nonprofit",Doctorate recipient,Sector of employment,"Private, nonprofit",,3,55900,1125,33450,825,23400,725,11000,425,3800,350,5900,325,5150,400,28350,875,14000,650,4400,350,5200,350
3695,r041,Doctorate recipient -> Sector of employment -> Federal government,Doctorate recipient,Sector of employment,Federal government,,3,50150,1025,33950,850,25700,725,10900,475,2800,250,5800,425,4350,325,24600,575,7650,475,2050,225,7100,425
3695,r042,Doctorate recipient -> Sector of employment -> State or local government,Doctorate recipient,Sector of employment,State or local government,,3,18850,750,9950,475,6750,450,2350,275,1500,200,1850,250,2150,250,10050,550,4750,375,1200,175,2900,275
3695,r043,Doctorate recipient -> Sector of employment -> Self-employed<sup>i</sup>,Doctorate recipient,Sector of employment,Self-employed<sup>i</sup>,,3,40750,1100,13950,625,7850,450,2200,250,2500,300,5200,400,1800,200,17200,800,22950,800,4500,375,4450,375
3695,r044,Doctorate recipient -> Sector of employment -> Other sector<sup>j</sup>,Doctorate recipient,Sector of employment,Other sector<sup>j</sup>,,3,10050,550,6450,450,4000,325,1200,200,1050,200,2500,325,1300,200,4400,325,1750,250,400,125,1400,225
3695,r045,Doctorate recipient -> Employer location,Doctorate recipient,Employer location,,,2,,,,,,,,,,,,,,,,,,,,,,
3695,r046,Doctorate recipient -> Employer location -> New England,Doctorate recipient,Employer location,New England,,3,77100,1375,50150,1100,27800,850,17550,625,5000,400,13000,575,7550,475,32550,975,11500,575,20650,675,6500,450
3695,r047,Doctorate recipient -> Employer location -> Middle Atlantic,Doctorate recipient,Employer location,Middle Atlantic,,3,117450,1875,70900,1450,38650,1050,26150,850,7100,425,15500,675,10950,525,48250,1175,19300,800,37250,900,10950,550
3695,r048,Doctorate recipient -> Employer location -> East North Central,Doctorate recipient,Employer location,East North Central,,3,100900,1550,62350,1275,34750,950,22800,700,6850,425,14200,625,8750,525,41150,950,13350,600,34100,950,9400,475
3695,r049,Doctorate recipient -> Employer location -> West North Central,Doctorate recipient,Employer location,West North Central,,3,48750,1175,30250,900,16500,650,11350,650,3200,350,7100,475,2900,275,19250,775,6600,450,17500,625,5200,400
3695,r050,Doctorate recipient -> Employer location -> South Atlantic,Doctorate recipient,Employer location,South Atlantic,,3,163650,1900,101800,1625,61450,1200,35500,1050,9800,575,20500,725,13600,625,69900,1275,23150,725,45250,925,17750,650
3695,r051,Doctorate recipient -> Employer location -> East South Central,Doctorate recipient,Employer location,East South Central,,3,30550,1000,19200,750,10900,525,8300,525,1550,200,2700,300,1800,225,11300,575,3950,350,13050,600,2550,225
3695,r052,Doctorate recipient -> Employer location -> West South Central,Doctorate recipient,Employer location,West South Central,,3,68800,1325,42250,1000,22650,775,14750,650,5800,400,9400,600,5800,425,26550,800,10000,475,22600,750,6400,450
3695,r053,Doctorate recipient -> Employer location -> Mountain,Doctorate recipient,Employer location,Mountain,,3,58200,1275,37250,1025,21150,750,12350,600,4700,350,8650,550,4950,325,23600,825,8500,550,17600,650,5600,400
3695,r054,Doctorate recipient -> Employer location -> Pacific,Doctorate recipient,Employer location,Pacific,,3,185950,2075,122750,1775,65450,1300,30650,850,20000,850,41500,1075,29400,850,76700,1425,24250,850,35400,900,16800,650
3695,r055,Doctorate recipient -> Employer location -> U.S. territories and other areas,Doctorate recipient,Employer location,U.S. territories and other areas,,3,5850,425,3400,325,1700,200,1100,175,450,125,850,175,400,125,2200,250,850,175,2500,250,650,150
