table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_increased_subject_matter_knowledge,field_conducted_own_independent_research,field_published_papers,field_presented_papers_at_a_professional_conference,field_taught_courses,field_provided_clinical_or_professional_services,field_supervised_others,field_wrote_grant_proposals,field_worked_in_interdisciplinary_research_environments,field_collaborated_or_networked_with_colleagues,field_developed_marketable_products
3835,r023,Number of early career doctorates for whom the item was applicable (denominator) -> Age quartile -> 36&#8211;40 years,Number of early career doctorates for whom the item was applicable (denominator),Age quartile,36&#8211;40 years,,3,86.5,78.3,73.9,83.4,88.2,57.3,83.5,67.6,71.9,75.6,42.7
3835,r024,Number of early career doctorates for whom the item was applicable (denominator) -> Age quartile -> 41 years or older,Number of early career doctorates for whom the item was applicable (denominator),Age quartile,41 years or older,,3,85.2,68.6,68.5,76.5,90.2,62.6,78.1,60.5,63.9,75.8,39.3
3835,r025,Number of early career doctorates for whom the item was applicable (denominator) -> Marital status,Number of early career doctorates for whom the item was applicable (denominator),Marital status,,,2,,,,,,,,,,,
3835,r026,Number of early career doctorates for whom the item was applicable (denominator) -> Marital status -> Never married,Number of early career doctorates for whom the item was applicable (denominator),Marital status,Never married,,3,86.0,77.3,71.7,81.5,78.8,52.9,78.1,61.7,73.5,75.9,39.9
3835,r027,Number of early career doctorates for whom the item was applicable (denominator) -> Marital status -> Married,Number of early career doctorates for whom the item was applicable (denominator),Marital status,Married,,3,88.2,78.2,74.9,81.5,85.0,58.8,80.8,66.2,72.3,78.2,42.4
3835,r028,Number of early career doctorates for whom the item was applicable (denominator) -> Marital status -> Marriage-like relationship,Number of early career doctorates for whom the item was applicable (denominator),Marital status,Marriage-like relationship,,3,82.6,74.4,66.1,76.4,82.7,57.3,78.8,66.0,70.8,71.2,39.5
3835,r029,"Number of early career doctorates for whom the item was applicable (denominator) -> Marital status -> Separated, divorced, widowed",Number of early career doctorates for whom the item was applicable (denominator),Marital status,"Separated, divorced, widowed",,3,82.9,66.8,65.9,74.3,88.1,52.4,72.7,61.5,64.3,76.2,40.4
3835,r030,Number of early career doctorates for whom the item was applicable (denominator) -> Dependents,Number of early career doctorates for whom the item was applicable (denominator),Dependents,,,2,,,,,,,,,,,
3835,r031,Number of early career doctorates for whom the item was applicable (denominator) -> Dependents -> With dependents,Number of early career doctorates for whom the item was applicable (denominator),Dependents,With dependents,,3,87.7,78.0,74.9,82.1,86.7,59.2,80.9,66.5,71.7,77.8,42.9
3835,r032,Number of early career doctorates for whom the item was applicable (denominator) -> Dependents -> Without dependents,Number of early career doctorates for whom the item was applicable (denominator),Dependents,Without dependents,,3,86.7,76.4,71.8,79.4,81.2,55.3,78.6,63.8,72.4,76.6,40.5
3835,r033,Number of early career doctorates for whom the item was applicable (denominator) -> Disability status,Number of early career doctorates for whom the item was applicable (denominator),Disability status,,,2,,,,,,,,,,,
3835,r034,Number of early career doctorates for whom the item was applicable (denominator) -> Disability status -> With disability,Number of early career doctorates for whom the item was applicable (denominator),Disability status,With disability,,3,85.1,71.1,68.6,76.2,86.1,54.9,79.8,60.3,67.7,73.7,38.5
3835,r035,Number of early career doctorates for whom the item was applicable (denominator) -> Disability status -> Without disability,Number of early career doctorates for whom the item was applicable (denominator),Disability status,Without disability,,3,88.1,79.6,75.2,82.6,83.2,58.5,79.8,67.0,73.7,78.6,43.1
