table_id,row_id,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_degreesa_total,field_all_degreesa_without_disability,field_all_degreesa_with_disability,field_bachelor_s_total,field_bachelor_s_without_disability,field_bachelor_s_with_disability,field_master_s_total,field_master_s_without_disability,field_master_s_with_disability,field_doctorate_total,field_doctorate_without_disability,field_doctorate_with_disability
1184,r032,All occupations -> S&E occupations -> Engineering occupations -> Chemical engineer,All occupations,S&E occupations,Engineering occupations,Chemical engineer,,4,93000,85000,7000,59000,54000,6000,22000,21000,1000,11000,11000,
1184,r033,All occupations -> S&E occupations -> Engineering occupations -> Civil engineer,All occupations,S&E occupations,Engineering occupations,Civil engineer,,4,264000,236000,28000,169000,151000,18000,91000,82000,9000,4000,3000,
1184,r034,All occupations -> S&E occupations -> Engineering occupations -> Electrical engineer,All occupations,S&E occupations,Engineering occupations,Electrical engineer,,4,374000,343000,32000,215000,194000,22000,138000,129000,9000,20000,19000,1000
1184,r035,All occupations -> S&E occupations -> Engineering occupations -> Industrial engineer,All occupations,S&E occupations,Engineering occupations,Industrial engineer,,4,88000,78000,10000,57000,51000,6000,28000,25000,4000,2000,2000,
1184,r036,All occupations -> S&E occupations -> Engineering occupations -> Mechanical engineer,All occupations,S&E occupations,Engineering occupations,Mechanical engineer,,4,313000,283000,30000,219000,198000,21000,80000,74000,7000,12000,11000,S
1184,r037,All occupations -> S&E occupations -> Engineering occupations -> Other engineer,All occupations,S&E occupations,Engineering occupations,Other engineer,,4,406000,360000,46000,259000,232000,28000,122000,106000,15000,24000,22000,3000
1184,r038,All occupations -> S&E occupations -> Engineering occupations -> Postsecondary teacher,All occupations,S&E occupations,Engineering occupations,Postsecondary teacher,,4,59000,51000,8000,12000,11000,,12000,7000,5000,35000,32000,2000
1184,r039,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,,2,8271000,7532000,739000,4338000,3914000,424000,2262000,2054000,208000,267000,238000,29000
1184,r040,All occupations -> S&E-related occupations -> Health occupations,All occupations,S&E-related occupations,Health occupations,,,3,5181000,4771000,410000,2671000,2436000,235000,1066000,981000,86000,166000,143000,23000
1184,r041,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,,3,1048000,947000,102000,515000,453000,62000,383000,354000,29000,46000,45000,1000
1184,r042,All occupations -> S&E-related occupations -> S&E pre-college teacher,All occupations,S&E-related occupations,S&E pre-college teacher,,,3,961000,853000,108000,400000,351000,49000,527000,472000,55000,22000,19000,3000
1184,r043,All occupations -> S&E-related occupations -> S&E technician/technologist,All occupations,S&E-related occupations,S&E technician/technologist,,,3,837000,739000,98000,586000,520000,66000,209000,179000,30000,32000,30000,2000
1184,r044,All occupations -> S&E-related occupations -> Other S&E-related occupation,All occupations,S&E-related occupations,Other S&E-related occupation,,,3,244000,223000,21000,166000,154000,12000,77000,68000,9000,S,,
1184,r045,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,,2,12233000,10802000,1431000,7014000,6122000,891000,3904000,3490000,414000,450000,409000,41000
1184,r046,"All occupations -> Non-S&E occupations -> Arts, humanities, and related occupation",All occupations,Non-S&E occupations,"Arts, humanities, and related occupation",,,3,385000,334000,52000,217000,184000,34000,137000,123000,14000,22000,21000,
1184,r047,All occupations -> Non-S&E occupations -> Management-related occupation,All occupations,Non-S&E occupations,Management-related occupation,,,3,2256000,2021000,235000,1346000,1221000,125000,795000,695000,100000,65000,60000,6000
1184,r048,All occupations -> Non-S&E occupations -> Non-S&E manager,All occupations,Non-S&E occupations,Non-S&E manager,,,3,2018000,1796000,222000,1022000,888000,134000,795000,728000,67000,131000,120000,12000
1184,r049,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teacher,All occupations,Non-S&E occupations,Non-S&E postsecondary teacher,,,3,226000,192000,34000,40000,29000,S,81000,73000,8000,88000,74000,13000
1184,r050,All occupations -> Non-S&E occupations -> Non-S&E precollege teacher,All occupations,Non-S&E occupations,Non-S&E precollege teacher,,,3,902000,805000,97000,421000,361000,60000,454000,419000,35000,11000,10000,
1184,r051,All occupations -> Non-S&E occupations -> Sales and marketing occupation,All occupations,Non-S&E occupations,Sales and marketing occupation,,,3,1425000,1263000,162000,1065000,945000,120000,322000,288000,34000,13000,12000,
1184,r052,All occupations -> Non-S&E occupations -> Social service and related occupation,All occupations,Non-S&E occupations,Social service and related occupation,,,3,967000,847000,121000,373000,313000,60000,552000,496000,56000,30000,27000,S
1184,r053,All occupations -> Non-S&E occupations -> Other non-S&E occupation,All occupations,Non-S&E occupations,Other non-S&E occupation,,,3,4054000,3544000,509000,2530000,2181000,348000,769000,668000,100000,90000,84000,6000
