table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_female_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
11702,r039,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Health sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,"Health sciences, other",4,609,377,358,91,153,69,45,19,0
11702,r040,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,,3,575,428,393,139,72,159,23,35,0
11702,r041,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Applied mathematics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Applied mathematics,4,148,110,103,53,14,30,6,7,0
11702,r042,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Mathematics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Mathematics,4,186,131,120,55,35,27,3,11,0
11702,r043,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Statistics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Statistics,4,241,187,170,31,23,102,14,17,0
11702,r044,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,3,660,439,413,137,92,143,41,26,0
11702,r045,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,4,174,131,124,27,25,67,5,7,0
11702,r046,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",4,486,308,289,110,67,76,36,19,0
11702,r047,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,,3,1848,1238,1165,477,82,530,76,73,0
11702,r048,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Astronomy and astrophysics,4,104,79,69,,,5,3,10,0
11702,r049,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Chemistry,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Chemistry,4,1180,775,744,265,44,383,52,31,0
11702,r050,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Materials sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Materials sciences,4,141,97,90,,,56,8,7,0
11702,r051,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Physics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Physics,4,423,287,262,138,25,86,13,25,0
11702,r052,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,,3,2907,2043,2005,1244,294,221,246,38,0
11702,r053,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Clinical psychology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Clinical psychology,4,961,748,,649,28,,50,,0
11702,r054,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Counseling and applied psychology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Counseling and applied psychology,4,1005,724,708,373,128,94,113,16,0
11702,r055,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Research and experimental psychology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Research and experimental psychology,4,558,375,,145,96,,48,,0
11702,r056,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Psychology, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,"Psychology, other",4,383,196,191,77,42,37,35,5,0
11702,r057,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,,3,2558,1758,1550,441,604,213,292,207,1
11702,r058,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Anthropology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Anthropology,4,245,146,126,58,43,7,18,20,0
11702,r059,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,296,179,161,50,84,7,20,18,0
11702,r060,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Economics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Economics,4,485,374,301,54,96,79,72,72,1
11702,r061,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Political science and government,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Political science and government,4,281,195,172,63,65,25,19,23,0
11702,r062,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Public policy analysis,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Public policy analysis,4,246,176,168,38,53,15,62,8,0
11702,r063,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Sociology, demography, and population studies",4,387,290,268,74,124,30,40,22,0
11702,r064,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Social sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Social sciences, other",4,618,398,354,104,139,50,61,44,0
11702,r065,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,,,2,7013,4481,4162,586,2182,375,1019,313,6
11702,r066,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,,3,688,507,431,41,307,54,29,76,0
11702,r067,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business -> Business administration and management,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,Business administration and management,4,228,132,116,9,77,16,14,16,0
11702,r068,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business -> Business, other",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,"Business, other",4,460,375,315,32,230,38,15,60,0
11702,r069,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,,3,2899,1928,1853,155,867,159,672,73,2
11702,r070,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education leadership and administration,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Education leadership and administration,4,783,566,557,28,277,28,224,9,0
11702,r071,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education research,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Education research,4,936,592,564,48,253,82,181,27,1
11702,r072,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Teacher education and teaching fields,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Teacher education and teaching fields,4,825,554,,56,242,,188,,0
11702,r073,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education, other",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,"Education, other",4,355,216,,23,95,,79,,1
11702,r074,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,,3,1627,959,876,199,490,57,130,80,3
11702,r075,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> English language and literature, letters",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"English language and literature, letters",4,619,359,341,64,210,29,38,18,0
11702,r076,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Foreign languages, literatures, and linguistics",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"Foreign languages, literatures, and linguistics",4,338,193,,34,99,,24,,1
11702,r077,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> History,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,History,4,329,210,189,60,82,13,34,20,1
11702,r078,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Philosophy and religious studies,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,Philosophy and religious studies,4,222,132,116,32,64,0,20,15,1
11702,r079,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Humanities, other",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"Humanities, other",4,119,65,,9,35,,14,,0
11702,r080,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,,3,468,253,228,42,134,14,38,25,0
11702,r081,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts -> Performing arts,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,Performing arts,4,230,129,119,12,80,8,19,10,0
11702,r082,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts -> Visual arts, media studies, and design",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,"Visual arts, media studies, and design",4,238,124,109,30,54,6,19,15,0
11702,r083,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,,3,1331,834,774,149,384,91,150,59,1
11702,r084,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Communications and journalism,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Communications and journalism,4,388,240,227,35,143,18,31,13,0
11702,r085,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Multidisciplinary/ interdisciplinary studies,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Multidisciplinary/ interdisciplinary studies,4,220,134,125,20,63,20,22,9,0
11702,r086,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Public administration and social services,4,362,253,235,50,97,27,61,17,1
11702,r087,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,"Non-science and engineering, other",4,361,207,187,44,81,26,36,20,0
