table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_personnel_functions_headcount,field_all_personnel_functions_ftes,field_researchers_headcount,field_researchers_ftes,field_r_d_technicians_headcount,field_r_d_technicians_ftes,field_r_d_support_staff_headcount,field_r_d_support_staff_ftes
12726,r042,"United States -> California -> Public -> California State U., Chico",United States,California,Public,"California State U., Chico",4,"['238', '']","['26.9', '']","['64', '']","['8.2', '']","['81', '']","['11.2', '']","['93', '']","['7.5', '']"
12726,r043,"United States -> California -> Public -> California State U., Dominguez Hills",United States,California,Public,"California State U., Dominguez Hills",4,"['91', '']","['40.3', '']","['36', '']","['6.3', '']","['37', '']","['23.0', '']","['18', '']","['11.0', '']"
12726,r044,"United States -> California -> Public -> California State U., East Bay",United States,California,Public,"California State U., East Bay",4,"['488', 'i']","['204.3', 'i']","['184', 'i']","['83.9', 'i']","['115', 'i']","['57.7', 'i']","['189', 'i']","['62.7', 'i']"
12726,r045,"United States -> California -> Public -> California State U., Fresno",United States,California,Public,"California State U., Fresno",4,"['431', 'i']","['186.5', 'i']","['159', 'i']","['72.5', 'i']","['141', 'i']","['70.5', 'i']","['131', 'i']","['43.5', 'i']"
12726,r046,"United States -> California -> Public -> California State U., Fullerton",United States,California,Public,"California State U., Fullerton",4,"['800', '']","['88.1', '']","['512', '']","['60.1', '']","['244', '']","['21.2', '']","['44', '']","['6.8', '']"
12726,r047,"United States -> California -> Public -> California State U., Long Beach",United States,California,Public,"California State U., Long Beach",4,"['531', '']","['80.6', '']","['155', '']","['27.9', '']","['344', '']","['30.4', '']","['32', '']","['22.3', '']"
12726,r048,"United States -> California -> Public -> California State U., Los Angeles",United States,California,Public,"California State U., Los Angeles",4,"['713', '']","['100.0', '']","['306', '']","['43.0', '']","['157', '']","['22.0', '']","['250', '']","['35.0', '']"
12726,r049,"United States -> California -> Public -> California State U., Monterey Bay",United States,California,Public,"California State U., Monterey Bay",4,"['217', '']","['49.4', '']","['51', '']","['15.8', '']","['102', '']","['24.9', '']","['64', '']","['8.7', '']"
12726,r050,"United States -> California -> Public -> California State U., Northridge",United States,California,Public,"California State U., Northridge",4,"['455', '']","['165.4', 'i']","['60', '']","['27.3', 'i']","['42', '']","['21.0', 'i']","['353', '']","['117.1', 'i']"
12726,r051,"United States -> California -> Public -> California State U., Sacramento",United States,California,Public,"California State U., Sacramento",4,"['584', '']","['265.9', 'i']","['583', '']","['265.6', 'i']","['NA', '']","['NA', '']","['1', '']","['0.3', 'i']"
12726,r052,"United States -> California -> Public -> California State U., San Bernardino",United States,California,Public,"California State U., San Bernardino",4,"['182', '']","['23.5', '']","['47', '']","['12.1', '']","['92', '']","['5.4', '']","['43', '']","['6.0', '']"
12726,r053,"United States -> California -> Public -> California State U., San Marcos",United States,California,Public,"California State U., San Marcos",4,"['448', '']","['209.0', '']","['127', '']","['40.0', '']","['287', '']","['146.0', '']","['34', '']","['23.0', '']"
12726,r054,"United States -> California -> Public -> California State U., Stanislaus",United States,California,Public,"California State U., Stanislaus",4,"['166', '']","['13.3', '']","['57', '']","['4.3', '']","['106', '']","['8.6', '']","['3', '']","['0.4', '']"
12726,r055,United States -> California -> Public -> Naval Postgraduate School,United States,California,Public,Naval Postgraduate School,4,"['452', '']","['202.9', 'i']","['425', '']","['193.6', 'i']","['2', '']","['1.0', 'i']","['25', '']","['8.3', 'i']"
12726,r056,United States -> California -> Public -> San Diego State U.,United States,California,Public,San Diego State U.,4,"['2,764', '']","['1,300.4', 'i']","['1,490', '']","['678.8', 'i']","['1,178', '']","['589.7', 'i']","['96', '']","['31.9', 'i']"
12726,r057,United States -> California -> Public -> San Francisco State U.,United States,California,Public,San Francisco State U.,4,"['1,000', '']","['374.7', '']","['304', '']","['138.8', '']","['651', '']","['216.3', '']","['45', '']","['19.6', '']"
12726,r058,United States -> California -> Public -> San Jose State U.,United States,California,Public,San Jose State U.,4,"['894', '']","['201.3', '']","['218', '']","['99.3', '']","['83', '']","['17.2', '']","['593', '']","['84.8', '']"
12726,r059,United States -> California -> Public -> Sonoma State U.,United States,California,Public,Sonoma State U.,4,"['195', '']","['94.5', 'i']","['40', '']","['18.2', 'i']","['147', '']","['73.6', 'i']","['8', '']","['2.7', 'i']"
12726,r060,"United States -> California -> Public -> U. California, Berkeley",United States,California,Public,"U. California, Berkeley",4,"['9,361', '']","['3,695.4', '']","['5,533', '']","['2,486.9', '']","['777', '']","['455.2', '']","['3,051', '']","['753.3', '']"
12726,r061,"United States -> California -> Public -> U. California, Davis",United States,California,Public,"U. California, Davis",4,"['10,788', '']","['4,207.2', '']","['5,548', '']","['2,380.1', '']","['1,932', '']","['1,113.7', '']","['3,308', '']","['713.4', '']"
12726,r062,"United States -> California -> Public -> U. California, Irvine",United States,California,Public,"U. California, Irvine",4,"['4,789', '']","['1,927.6', '']","['3,537', '']","['1,479.8', '']","['661', '']","['288.4', '']","['591', '']","['159.4', '']"
12726,r063,"United States -> California -> Public -> U. California, Los Angeles",United States,California,Public,"U. California, Los Angeles",4,"['12,114', '']","['5,035.6', '']","['6,205', '']","['2,440.6', '']","['2,825', '']","['1,390.0', '']","['3,084', '']","['1,205.0', '']"
12726,r064,"United States -> California -> Public -> U. California, Merced",United States,California,Public,"U. California, Merced",4,"['1,088', '']","['317.4', '']","['749', '']","['242.3', '']","['47', '']","['17.7', '']","['292', '']","['57.4', '']"
12726,r065,"United States -> California -> Public -> U. California, Office of the President",United States,California,Public,"U. California, Office of the President",4,"['575', '']","['212.3', '']","['104', '']","['18.7', '']","['117', '']","['49.6', '']","['354', '']","['144.0', '']"
12726,r066,"United States -> California -> Public -> U. California, Riverside",United States,California,Public,"U. California, Riverside",4,"['2,869', '']","['1,026.4', '']","['1,817', '']","['732.9', '']","['262', '']","['128.7', '']","['790', '']","['164.8', '']"
12726,r067,"United States -> California -> Public -> U. California, San Diego",United States,California,Public,"U. California, San Diego",4,"['13,020', '']","['5,363.8', '']","['6,504', '']","['2,729.0', '']","['3,529', '']","['1,789.0', '']","['2,987', '']","['845.8', '']"
12726,r068,"United States -> California -> Public -> U. California, San Francisco",United States,California,Public,"U. California, San Francisco",4,"['10,745', '']","['5,970.2', '']","['5,510', '']","['3,010.4', '']","['3,209', '']","['2,014.0', '']","['2,026', '']","['945.8', '']"
12726,r069,"United States -> California -> Public -> U. California, Santa Barbara",United States,California,Public,"U. California, Santa Barbara",4,"['3,380', '']","['1,266.9', '']","['1,980', '']","['874.5', '']","['364', '']","['155.7', '']","['1,036', '']","['236.7', '']"
12726,r070,"United States -> California -> Public -> U. California, Santa Cruz",United States,California,Public,"U. California, Santa Cruz",4,"['2,545', '']","['895.1', '']","['1,565', '']","['666.5', '']","['202', '']","['93.0', '']","['778', '']","['135.6', '']"
12726,r071,United States -> California -> Private,United States,California,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r072,United States -> California -> Private -> Azusa Pacific U.,United States,California,Private,Azusa Pacific U.,4,"['133', '']","['30.0', '']","['125', '']","['26.0', '']","['0', '']","['0.0', '']","['8', '']","['4.0', '']"
12726,r073,United States -> California -> Private -> Biola U.,United States,California,Private,Biola U.,4,"['239', 'i']","['163.9', 'i']","['148', 'i']","['104.5', 'i']","['64', 'i']","['41.0', 'i']","['27', 'i']","['18.4', 'i']"
12726,r074,United States -> California -> Private -> California Institute of Technology,United States,California,Private,California Institute of Technology,4,"['2,176', '']","['1,480.7', 'i']","['1,289', '']","['908.6', 'i']","['763', '']","['487.7', 'i']","['124', '']","['84.4', 'i']"
12726,r075,United States -> California -> Private -> Chapman U.,United States,California,Private,Chapman U.,4,"['246', '']","['65.0', '']","['62', '']","['17.3', '']","['39', '']","['10.2', '']","['145', '']","['37.5', '']"
12726,r076,United States -> California -> Private -> Charles R. Drew U. of Medicine and Science,United States,California,Private,Charles R. Drew U. of Medicine and Science,4,"['98', '']","['66.1', 'i']","['60', '']","['42.3', 'i']","['15', '']","['8.1', 'i']","['23', '']","['15.7', 'i']"
12726,r077,United States -> California -> Private -> Claremont Graduate U.,United States,California,Private,Claremont Graduate U.,4,"['211', '']","['121.8', '']","['34', '']","['8.1', '']","['119', '']","['80.6', '']","['58', '']","['33.1', '']"
12726,r078,United States -> California -> Private -> Claremont McKenna C.,United States,California,Private,Claremont McKenna C.,4,"['534', '']","['50.6', '']","['81', '']","['14.1', '']","['392', '']","['25.7', '']","['61', '']","['10.8', '']"
12726,r079,United States -> California -> Private -> Harvey Mudd C.,United States,California,Private,Harvey Mudd C.,4,"['107', '']","['23.8', '']","['31', '']","['4.4', '']","['76', '']","['19.4', '']","['0', '']","['0.0', '']"
12726,r080,United States -> California -> Private -> High Tech High Graduate School of Ed.,United States,California,Private,High Tech High Graduate School of Ed.,4,"['25', '']","['19.0', '']","['19', '']","['14.0', '']","['0', '']","['0.0', '']","['6', '']","['5.0', '']"
12726,r081,United States -> California -> Private -> Keck Graduate Institute,United States,California,Private,Keck Graduate Institute,4,"['72', '']","['50.7', '']","['69', '']","['49.2', '']","['2', '']","['1.0', '']","['1', '']","['0.5', '']"
12726,r082,United States -> California -> Private -> La Sierra U.,United States,California,Private,La Sierra U.,4,"['126', 'i']","['86.1', 'i']","['60', 'i']","['42.5', 'i']","['39', 'i']","['24.9', 'i']","['27', 'i']","['18.7', 'i']"
12726,r083,United States -> California -> Private -> Loma Linda U.,United States,California,Private,Loma Linda U.,4,"['307', '']","['59.0', '']","['243', '']","['24.0', '']","['60', '']","['33.0', '']","['4', '']","['2.0', '']"
12726,r084,United States -> California -> Private -> Loyola Marymount U.,United States,California,Private,Loyola Marymount U.,4,"['595', '']","['65.0', '']","['235', '']","['27.4', '']","['185', '']","['27.1', '']","['175', '']","['10.5', '']"
12726,r085,United States -> California -> Private -> Marshall B. Ketchum U.,United States,California,Private,Marshall B. Ketchum U.,4,"['176', 'i']","['120.9', 'i']","['114', 'i']","['80.2', 'i']","['34', 'i']","['21.4', 'i']","['28', 'i']","['19.3', 'i']"
12726,r086,United States -> California -> Private -> Occidental C.,United States,California,Private,Occidental C.,4,"['161', 'i']","['109.2', 'i']","['50', 'i']","['35.2', 'i']","['49', 'i']","['31.5', 'i']","['62', 'i']","['42.5', 'i']"
12726,r087,United States -> California -> Private -> Pepperdine U.,United States,California,Private,Pepperdine U.,4,"['142', '']","['100.1', 'i']","['142', '']","['100.1', 'i']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
12726,r088,United States -> California -> Private -> Pomona C.,United States,California,Private,Pomona C.,4,"['217', '']","['151.6', '']","['37', '']","['5.3', '']","['180', '']","['146.3', '']","['0', '']","['0.0', '']"
12726,r089,United States -> California -> Private -> Santa Clara U.,United States,California,Private,Santa Clara U.,4,"['233', 'i']","['158.5', 'i']","['69', 'i']","['48.9', 'i']","['52', 'i']","['33.4', 'i']","['112', 'i']","['76.2', 'i']"
12726,r090,United States -> California -> Private -> Scripps Research Institute,United States,California,Private,Scripps Research Institute,4,"['1,549', '']","['1,470.6', '']","['173', '']","['154.4', '']","['1,185', '']","['1,154.7', '']","['191', '']","['161.5', '']"
12726,r091,United States -> California -> Private -> Stanford U.,United States,California,Private,Stanford U.,4,"['11,465', '']","['7,208.0', 'i']","['4,440', '']","['3,129.7', 'i']","['4,924', '']","['2,648.0', 'i']","['2,101', '']","['1,430.3', 'i']"
12726,r092,"United States -> California -> Private -> Touro U., California",United States,California,Private,"Touro U., California",4,"['20', '']","['11.1', '']","['6', '']","['1.3', '']","['14', '']","['9.8', '']","['0', '']","['0.0', '']"
12726,r093,United States -> California -> Private -> U. of the Pacific,United States,California,Private,U. of the Pacific,4,"['49', '']","['23.0', '']","['13', '']","['3.0', '']","['8', '']","['7.0', '']","['28', '']","['13.0', '']"
12726,r094,United States -> California -> Private -> U. San Diego,United States,California,Private,U. San Diego,4,"['160', '']","['132.9', '']","['74', '']","['72.5', '']","['71', '']","['49.9', '']","['15', '']","['10.5', '']"
12726,r095,United States -> California -> Private -> U. San Francisco,United States,California,Private,U. San Francisco,4,"['285', 'i']","['192.7', 'i']","['88', 'i']","['62.1', 'i']","['87', 'i']","['55.6', 'i']","['110', 'i']","['75.0', 'i']"
12726,r096,United States -> California -> Private -> U. Southern California,United States,California,Private,U. Southern California,4,"['10,033', '']","['3,976.7', '']","['1,735', '']","['705.3', '']","['5,836', '']","['2,374.9', '']","['2,462', '']","['896.5', '']"
12726,r097,United States -> California -> Private -> Western U. of Health Sciences,United States,California,Private,Western U. of Health Sciences,4,"['152', '']","['51.2', '']","['29', '']","['4.3', '']","['80', '']","['25.4', '']","['43', '']","['21.5', '']"
12726,r098,United States -> Colorado,United States,Colorado,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r099,United States -> Colorado -> Public,United States,Colorado,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r100,United States -> Colorado -> Public -> Colorado School of Mines,United States,Colorado,Public,Colorado School of Mines,4,"['1,538', '']","['1,063.1', '']","['1,102', '']","['786.6', '']","['388', '']","['253.3', '']","['48', '']","['23.2', '']"
12726,r101,"United States -> Colorado -> Public -> Colorado State U., Fort Collins",United States,Colorado,Public,"Colorado State U., Fort Collins",4,"['2,409', '']","['972.4', '']","['2,136', '']","['878.3', '']","['59', '']","['32.5', '']","['214', '']","['61.6', '']"
12726,r102,"United States -> Colorado -> Public -> Colorado State U., Pueblo",United States,Colorado,Public,"Colorado State U., Pueblo",4,"['56', '']","['18.4', '']","['21', '']","['2.3', '']","['17', '']","['9.2', '']","['18', '']","['6.9', '']"
12726,r103,United States -> Colorado -> Public -> Fort Lewis C.,United States,Colorado,Public,Fort Lewis C.,4,"['290', '']","['142.5', 'i']","['40', '']","['18.2', 'i']","['245', '']","['122.6', 'i']","['5', '']","['1.7', 'i']"
12726,r104,United States -> Colorado -> Public -> U. Colorado Anschutz Medical Campus,United States,Colorado,Public,U. Colorado Anschutz Medical Campus,4,"['6,347', '']","['3,946.0', '']","['2,303', '']","['1,527.0', '']","['2,708', '']","['1,826.0', '']","['1,336', '']","['593.0', '']"
12726,r105,United States -> Colorado -> Public -> U. Colorado Boulder,United States,Colorado,Public,U. Colorado Boulder,4,"['7,433', '']","['5,316.0', '']","['1,616', '']","['843.2', '']","['4,042', '']","['3,100.7', '']","['1,775', '']","['1,372.1', '']"
12726,r106,United States -> Colorado -> Public -> U. Colorado Colorado Springs,United States,Colorado,Public,U. Colorado Colorado Springs,4,"['64', '']","['48.0', '']","['17', '']","['8.0', '']","['8', '']","['3.0', '']","['39', '']","['37.0', '']"
12726,r107,United States -> Colorado -> Public -> U. Colorado Denver,United States,Colorado,Public,U. Colorado Denver,4,"['768', '']","['225.0', '']","['226', '']","['20.0', '']","['357', '']","['150.0', '']","['185', '']","['55.0', '']"
12726,r108,United States -> Colorado -> Public -> U. Northern Colorado,United States,Colorado,Public,U. Northern Colorado,4,"['306', 'i']","['125.7', 'i']","['122', 'i']","['55.6', 'i']","['53', 'i']","['26.5', 'i']","['131', 'i']","['43.6', 'i']"
12726,r109,United States -> Colorado -> Public -> U.S. Air Force Academy,United States,Colorado,Public,U.S. Air Force Academy,4,"['300', '']","['59.0', '']","['300', '']","['59.0', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
12726,r110,United States -> Colorado -> Private,United States,Colorado,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r111,United States -> Colorado -> Private -> Colorado C.,United States,Colorado,Private,Colorado C.,4,"['63', '']","['42.1', 'i']","['29', '']","['20.4', 'i']","['34', '']","['21.7', 'i']","['0', '']","['0.0', 'i']"
12726,r112,United States -> Colorado -> Private -> U. Denver,United States,Colorado,Private,U. Denver,4,"['1,081', '']","['944.4', '']","['272', '']","['254.3', '']","['781', '']","['663.1', '']","['28', '']","['27.0', '']"
12726,r113,United States -> Connecticut,United States,Connecticut,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r114,United States -> Connecticut -> Public,United States,Connecticut,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r115,United States -> Connecticut -> Public -> Central Connecticut State U.,United States,Connecticut,Public,Central Connecticut State U.,4,"['94', '']","['4.9', '']","['55', '']","['2.2', '']","['39', '']","['2.7', '']","['0', '']","['0.0', '']"
12726,r116,United States -> Connecticut -> Public -> Eastern Connecticut State U.,United States,Connecticut,Public,Eastern Connecticut State U.,4,"['52', '']","['7.9', '']","['28', '']","['7.0', '']","['24', '']","['0.9', '']","['0', '']","['0.0', '']"
12726,r117,United States -> Connecticut -> Public -> Southern Connecticut State U.,United States,Connecticut,Public,Southern Connecticut State U.,4,"['211', '']","['54.0', '']","['109', '']","['44.0', '']","['87', '']","['7.0', '']","['15', '']","['3.0', '']"
12726,r118,United States -> Connecticut -> Public -> U. Connecticut,United States,Connecticut,Public,U. Connecticut,4,"['4,400', '']","['1,249.6', '']","['1,202', '']","['285.7', '']","['2,928', '']","['881.1', '']","['270', '']","['82.8', '']"
12726,r119,United States -> Connecticut -> Public -> U.S. Coast Guard Academy,United States,Connecticut,Public,U.S. Coast Guard Academy,4,"['9', '']","['4.6', '']","['4', '']","['1.7', '']","['0', '']","['0.0', '']","['5', '']","['2.9', '']"
12726,r120,United States -> Connecticut -> Private,United States,Connecticut,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
12726,r121,United States -> Connecticut -> Private -> Connecticut C.,United States,Connecticut,Private,Connecticut C.,4,"['24', '']","['5.2', '']","['10', '']","['1.5', '']","['1', '']","['1.0', '']","['13', '']","['2.7', '']"
12726,r122,United States -> Connecticut -> Private -> Fairfield U.,United States,Connecticut,Private,Fairfield U.,4,"['136', '']","['94.7', 'i']","['91', '']","['64.1', 'i']","['0', '']","['0.0', '']","['45', '']","['30.6', 'i']"
12726,r123,United States -> Connecticut -> Private -> Hartford International U. for Religion and Peace,United States,Connecticut,Private,Hartford International U. for Religion and Peace,4,"['7', '']","['5.0', '']","['5', '']","['4.0', '']","['0', '']","['0.0', '']","['2', '']","['1.0', '']"
