table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9602,r012,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,99.5,99.6,100.0,99.3,100.0,100.0,100.0,,100.0,,99.4,99.6,,99.5,,100.0,100.0,98.1,
9602,r013,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,98.9,98.5,97.2,97.5,100.0,100.0,100.0,95.6,100.0,100.0,100.0,99.0,100.0,99.4,98.8,99.7,100.0,100.0,98.5
9602,r014,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,99.6,99.6,99.8,99.4,99.4,99.8,100.0,98.4,99.8,100.0,99.7,99.8,99.9,99.6,,99.6,99.8,,99.4
9602,r015,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,99.5,99.8,100.0,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,,98.3,100.0,,97.4,100.0,
9602,r016,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,98.3,98.7,,98.3,,96.2,100.0,,,,96.9,100.0,100.0,96.9,,,,100.0,88.9
9602,r017,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,97.4,96.9,92.3,98.3,87.5,,100.0,96.3,100.0,90.9,,96.7,100.0,98.7,100.0,100.0,96.7,100.0,100.0
9602,r018,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,,,2,61.5,65.2,52.0,64.6,39.6,79.8,50.8,47.1,82.6,13.0,77.8,70.8,56.4,46.5,40.9,25.6,71.6,69.0,39.2
9602,r019,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Sex,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Sex,,3,,,,,,,,,,,,,,,,,,,
9602,r020,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Sex -> Male,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Sex,Male,4,64.0,66.8,54.0,61.6,41.0,81.2,52.4,39.0,83.1,13.6,78.7,70.8,59.7,48.6,37.6,23.0,71.8,71.9,36.7
9602,r021,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Sex -> Female,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Sex,Female,4,58.7,63.2,50.2,67.2,35.2,76.2,48.9,50.8,81.3,12.0,76.0,70.8,53.5,45.0,45.1,26.7,71.4,66.7,40.9
9602,r022,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Citizenship status,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Citizenship status,,3,,,,,,,,,,,,,,,,,,,
9602,r023,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Citizenship status,U.S. citizen or permanent resident,4,62.0,67.0,47.9,70.0,44.7,80.8,52.2,44.3,84.8,13.0,80.7,73.4,57.2,46.0,38.6,24.3,72.7,70.4,37.8
9602,r024,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Citizenship status,Temporary visa holder,4,62.4,64.0,59.3,50.9,37.2,80.3,48.9,58.2,82.1,13.4,75.1,56.8,56.5,51.0,44.8,38.2,71.4,66.1,44.3
9602,r025,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
9602,r026,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,62.7,69.1,36.8,74.5,42.9,82.6,49.2,37.0,90.9,13.9,84.1,78.0,61.1,42.5,51.1,15.6,69.3,70.7,38.3
9602,r027,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
9602,r028,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,51.2,63.5,,71.4,0.0,,-,,,0.0,,87.5,58.8,31.3,,,,,
9602,r029,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,60.6,64.5,22.0,65.4,42.2,81.9,46.5,,76.3,,72.3,65.6,,39.8,,21.7,70.3,70.0,
9602,r030,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,47.2,57.3,32.4,65.0,48.8,72.7,40.0,48.3,69.2,,,62.7,49.0,31.1,39.5,17.9,65.9,60.0,36.8
9602,r031,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,64.0,68.2,53.2,70.4,44.2,81.3,53.9,45.2,86.3,11.5,82.1,75.4,58.4,50.0,,28.2,74.1,,39.0
9602,r032,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,64.3,68.2,29.4,74.5,56.0,76.2,40.9,,87.8,,79.4,75.0,,48.7,66.7,21.5,75.3,75.0,34.8
9602,r033,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,53.5,56.3,,64.4,62.5,,50.0,,,5.9,75.0,48.0,37.1,45.6,,,,37.5,50.0
9602,r034,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,48.5,52.0,50.0,64.3,44.4,65.9,25.0,20.0,80.0,0.0,63.6,38.9,42.9,38.0,0.0,14.3,54.2,50.0,33.3
