table_id,row_id,school_characteristic_full_path,school_characteristic_level_1,school_characteristic_level_2,school_characteristic_level_3,school_characteristic_hierarchy_depth,field_public_library_not_at_all,field_public_library_small_extent,field_public_library_moderate_extent,field_public_library_large_extent,field_public_locations_other_than_public_librarya_not_at_all,field_public_locations_other_than_public_librarya_small_extent,field_public_locations_other_than_public_librarya_moderate_extent,field_public_locations_other_than_public_librarya_large_extent,field_commercial_locations_not_at_all,field_commercial_locations_small_extent,field_commercial_locations_moderate_extent,field_commercial_locations_large_extent,field_homes_of_relatives_friends_or_neighbors_not_at_all,field_homes_of_relatives_friends_or_neighbors_small_extent,field_homes_of_relatives_friends_or_neighbors_moderate_extent,field_homes_of_relatives_friends_or_neighbors_large_extent,field_student_s_own_home_not_at_all,field_student_s_own_home_small_extent,field_student_s_own_home_moderate_extent,field_student_s_own_home_large_extent
4131,r014,<b>All teachers </b> -> Community type  -> Suburban ,<b>All teachers </b>,Community type ,Suburban ,3,30,59,9,2,46,47,6,1,47,43,9,1,6,45,41,9,1,8,21,70
4131,r015,<b>All teachers </b> -> Community type  -> Town ,<b>All teachers </b>,Community type ,Town ,3,31,56,11,2,47,44,8,s,53,37,9,s,7,42,42,9,3,16,30,51
4131,r016,<b>All teachers </b> -> Community type  -> Rural ,<b>All teachers </b>,Community type ,Rural ,3,35,55,7,2,53,41,5,s,56,36,7,1,6,41,41,12,2,12,29,56
4131,r017,<b>All teachers </b> -> School poverty level (%)<sup>c</sup>,<b>All teachers </b>,School poverty level (%)<sup>c</sup>,,2,,,,,,,,,,,,,,,,,,,,
4131,r018,<b>All teachers </b> -> School poverty level (%)<sup>c</sup> -> Less than 35<sup>d</sup>,<b>All teachers </b>,School poverty level (%)<sup>c</sup>,Less than 35<sup>d</sup>,3,30,61,7,1,44,50,6,s,43,45,11,1,7,47,37,9,1,4,12,83
4131,r019,<b>All teachers </b> -> School poverty level (%)<sup>c</sup> -> 35&#8722;49,<b>All teachers </b>,School poverty level (%)<sup>c</sup>,35&#8722;49,3,29,59,11,1,46,47,6,s,44,44,10,1,6,38,44,12,1,7,25,67
4131,r020,<b>All teachers </b> -> School poverty level (%)<sup>c</sup> -> 50&#8722;74,<b>All teachers </b>,School poverty level (%)<sup>c</sup>,50&#8722;74,3,36,52,10,2,51,40,8,1,54,37,8,2,5,39,45,11,2,16,34,49
4131,r021,<b>All teachers </b> -> School poverty level (%)<sup>c</sup> -> 75 or more ,<b>All teachers </b>,School poverty level (%)<sup>c</sup>,75 or more ,3,33,53,12,3,45,45,8,1,59,33,7,s,4,36,47,13,1,23,43,32
4131,r022,<b>All teachers </b> -> Students take home school computers ,<b>All teachers </b>,Students take home school computers ,,2,,,,,,,,,,,,,,,,,,,,
4131,r023,<b>All teachers </b> -> Students take home school computers  -> Yes ,<b>All teachers </b>,Students take home school computers ,Yes ,3,30,57,11,2,32,55,12,#,31,51,17,2,3,40,44,14,1,3,14,82
4131,r024,<b>All teachers </b> -> Students take home school computers  -> No ,<b>All teachers </b>,Students take home school computers ,No ,3,33,56,9,2,52,42,5,1,56,36,7,1,6,41,42,10,2,15,31,52
