table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalents_total_,field_r_d_personnel_full_time_equivalents_researchersa,field_r_d_personnel_full_time_equivalents_technicians,field_r_d_personnel_full_time_equivalents_support_staff
7802,r030,United States<sup>b</sup> -> California -> State Water Resources Control Board,United States<sup>b</sup>,California,State Water Resources Control Board,3,15,15,0,0,6.1,6.1,0.0,0.0
7802,r031,"United States<sup>b</sup> -> California -> Toxic Substances Control, Department of",United States<sup>b</sup>,California,"Toxic Substances Control, Department of",3,12,12,0,0,3.1,3.1,0.0,0.0
7802,r032,"United States<sup>b</sup> -> California -> Transportation, Department of",United States<sup>b</sup>,California,"Transportation, Department of",3,81,64,2,15,80.0,63.5,1.5,15.0
7802,r033,"United States<sup>b</sup> -> California -> Water Resources, Department of",United States<sup>b</sup>,California,"Water Resources, Department of",3,37,10,5,22,2.6,1.5,1.1,0.0
7802,r034,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,,2,85,67,5,13,65.0,52.3,4.3,8.4
7802,r035,"United States<sup>b</sup> -> Colorado -> Agriculture, Department of",United States<sup>b</sup>,Colorado,"Agriculture, Department of",3,6,1,0,5,5.2,0.3,0.0,4.9
7802,r036,"United States<sup>b</sup> -> Colorado -> Natural Resources, Department of",United States<sup>b</sup>,Colorado,"Natural Resources, Department of",3,52,42,5,5,35.2,30.4,4.3,0.5
7802,r037,"United States<sup>b</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>b</sup>,Colorado,"Public Health and Environment, Department of",3,11,11,0,0,10.6,10.6,0.0,0.0
7802,r038,"United States<sup>b</sup> -> Colorado -> Public Safety, Department of; Division of Criminal Justice",United States<sup>b</sup>,Colorado,"Public Safety, Department of; Division of Criminal Justice",3,11,9,0,2,9.0,7.0,0.0,2.0
7802,r039,"United States<sup>b</sup> -> Colorado -> Transportation, Department of",United States<sup>b</sup>,Colorado,"Transportation, Department of",3,5,4,0,1,5.0,4.0,0.0,1.0
7802,r040,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,,2,212,156,40,16,170.4,120.9,36.0,13.5
7802,r041,United States<sup>b</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>b</sup>,Connecticut,Agricultural Experiment Station,3,101,57,32,12,101.0,57.0,32.0,12.0
7802,r042,"United States<sup>b</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>b</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,55,47,8,0,27.0,23.0,4.0,0.0
7802,r043,"United States<sup>b</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>b</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,47,46,0,1,38.9,37.9,0.0,1.0
7802,r044,"United States<sup>b</sup> -> Connecticut -> Transportation, Department of",United States<sup>b</sup>,Connecticut,"Transportation, Department of",3,9,6,0,3,3.5,3.0,0.0,0.5
7802,r045,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,,2,18,13,2,3,18.0,13.0,2.0,3.0
7802,r046,United States<sup>b</sup> -> Delaware -> Geological Survey,United States<sup>b</sup>,Delaware,Geological Survey,3,18,13,2,3,18.0,13.0,2.0,3.0
7802,r047,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,,2,61,30,18,13,49.5,29.5,7.2,12.8
7802,r048,"United States<sup>b</sup> -> District of Columbia -> Forensic Sciences, Department of",United States<sup>b</sup>,District of Columbia,"Forensic Sciences, Department of",3,11,11,0,0,11.0,11.0,0.0,0.0
7802,r049,"United States<sup>b</sup> -> District of Columbia -> Health, Department of",United States<sup>b</sup>,District of Columbia,"Health, Department of",3,30,15,2,13,30.0,15.5,1.7,12.8
7802,r050,"United States<sup>b</sup> -> District of Columbia -> Transportation, Department of",United States<sup>b</sup>,District of Columbia,"Transportation, Department of",3,2,1,1,0,1.5,1.0,0.5,0.0
7802,r051,United States<sup>b</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>b</sup>,District of Columbia,Water and Sewer Authority,3,18,3,15,0,7.0,2.0,5.0,0.0
7802,r052,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,,2,808,609,68,131,722.1,553.9,46.9,121.3
7802,r053,"United States<sup>b</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Florida,"Agriculture and Consumer Services, Department of",3,13,5,0,8,13.0,5.0,0.0,8.0
7802,r054,"United States<sup>b</sup> -> Florida -> Citrus, Department of",United States<sup>b</sup>,Florida,"Citrus, Department of",3,2,1,1,0,1.5,0.0,0.5,1.0
7802,r055,United States<sup>b</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>b</sup>,Florida,Fish and Wildlife Conservation Commission,3,781,599,60,122,697.9,545.8,40.6,111.5
7802,r056,"United States<sup>b</sup> -> Florida -> Transportation, Department of",United States<sup>b</sup>,Florida,"Transportation, Department of",3,12,4,7,1,9.7,3.1,5.8,0.8
7802,r057,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,,2,14,5,5,4,7.7,3.0,2.9,1.8
7802,r058,"United States<sup>b</sup> -> Georgia -> Natural Resources, Department of",United States<sup>b</sup>,Georgia,"Natural Resources, Department of",3,5,2,3,0,2.4,1.5,0.9,0.0
7802,r059,United States<sup>b</sup> -> Georgia -> Southern States Energy Board,United States<sup>b</sup>,Georgia,Southern States Energy Board,3,9,3,2,4,5.3,1.5,2.0,1.8
7802,r060,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,,2,15,7,2,6,5.9,2.3,0.4,3.2
7802,r061,"United States<sup>b</sup> -> Hawaii -> Agriculture, Department of",United States<sup>b</sup>,Hawaii,"Agriculture, Department of",3,13,7,2,4,3.9,2.3,0.4,1.2
7802,r062,"United States<sup>b</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>b</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,2,0,0,2,2.0,0.0,0.0,2.0
7802,r063,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,,2,105,33,68,4,82.0,23.6,56.4,2.0
7802,r064,"United States<sup>b</sup> -> Idaho -> Fish and Game, Department of",United States<sup>b</sup>,Idaho,"Fish and Game, Department of",3,99,30,66,3,76.0,20.6,54.4,1.0
7802,r065,United States<sup>b</sup> -> Idaho -> Mint Commission,United States<sup>b</sup>,Idaho,Mint Commission,3,5,3,2,0,5.0,3.0,2.0,0.0
7802,r066,United States<sup>b</sup> -> Idaho -> Transportation Department,United States<sup>b</sup>,Idaho,Transportation Department,3,1,0,0,1,1.0,0.0,0.0,1.0
7802,r067,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,,2,9,5,2,2,6.4,3.8,1.8,0.8
7802,r068,"United States<sup>b</sup> -> Illinois -> Transportation, Department of",United States<sup>b</sup>,Illinois,"Transportation, Department of",3,9,5,2,2,6.4,3.8,1.8,0.8
7802,r069,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,,2,44,22,15,7,15.8,11.5,3.0,1.3
7802,r070,"United States<sup>b</sup> -> Indiana -> Natural Resources, Department of",United States<sup>b</sup>,Indiana,"Natural Resources, Department of",3,16,12,3,1,1.5,1.5,0.0,0.0
7802,r071,"United States<sup>b</sup> -> Indiana -> Transportation, Department of",United States<sup>b</sup>,Indiana,"Transportation, Department of",3,28,10,12,6,14.3,10.0,3.0,1.3
7802,r072,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,,2,40,22,18,0,8.3,6.7,1.6,0.0
7802,r073,"United States<sup>b</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>b</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,4,4,0,0,4.0,4.0,0.0,0.0
7802,r074,"United States<sup>b</sup> -> Iowa -> Natural Resources, Department of",United States<sup>b</sup>,Iowa,"Natural Resources, Department of",3,36,18,18,0,4.3,2.7,1.6,0.0
7802,r075,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,,2,27,16,5,6,21.1,11.1,5.0,5.0
7802,r076,United States<sup>b</sup> -> Kansas -> State Board of Regents,United States<sup>b</sup>,Kansas,State Board of Regents,3,2,2,0,0,0.1,0.1,0.0,0.0
7802,r077,"United States<sup>b</sup> -> Kansas -> Transportation, Department of",United States<sup>b</sup>,Kansas,"Transportation, Department of",3,18,9,5,4,18.0,9.0,5.0,4.0
7802,r078,United States<sup>b</sup> -> Kansas -> Water Office,United States<sup>b</sup>,Kansas,Water Office,3,7,5,0,2,3.0,2.0,0.0,1.0
7802,r079,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,,2,48,24,20,4,20.4,10.2,8.3,1.9
7802,r080,"United States<sup>b</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>b</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,48,24,20,4,20.4,10.2,8.3,1.9
7802,r081,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,,2,218,124,61,33,85.3,60.9,16.5,7.9
7802,r082,United States<sup>b</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>b</sup>,Louisiana,Coastal Protection and Restoration Authority,3,11,7,0,4,7.5,6.5,0.0,1.0
7802,r083,"United States<sup>b</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>b</sup>,Louisiana,"Transportation and Development, Department of ",3,38,23,12,3,38.0,23.0,12.0,3.0
7802,r084,"United States<sup>b</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>b</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,169,94,49,26,39.8,31.4,4.5,3.9
7802,r085,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,,2,166,68,47,51,141.3,54.3,44.5,42.5
7802,r086,"United States<sup>b</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>b</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,11,7,2,2,10.0,7.0,2.0,1.0
7802,r087,"United States<sup>b</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>b</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,35,15,15,5,27.0,8.0,16.0,3.0
7802,r088,"United States<sup>b</sup> -> Maine -> Marine Resources, Department of",United States<sup>b</sup>,Maine,"Marine Resources, Department of",3,37,25,8,4,27.3,18.8,6.0,2.5
7802,r089,"United States<sup>b</sup> -> Maine -> MDI Biological Laboratory, Center for Biomedical Innovation",United States<sup>b</sup>,Maine,"MDI Biological Laboratory, Center for Biomedical Innovation",3,80,19,21,40,74.0,18.5,19.5,36.0
7802,r090,"United States<sup>b</sup> -> Maine -> Transportation, Department of ",United States<sup>b</sup>,Maine,"Transportation, Department of ",3,3,2,1,0,3.0,2.0,1.0,0.0
7802,r091,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,,2,23,16,6,1,18.0,13.0,3.0,2.0
7802,r092,"United States<sup>b</sup> -> Maryland -> Natural Resources, Department of",United States<sup>b</sup>,Maryland,"Natural Resources, Department of",3,16,16,0,0,13.0,13.0,0.0,0.0
7802,r093,"United States<sup>b</sup> -> Maryland -> Transportation, Department of",United States<sup>b</sup>,Maryland,"Transportation, Department of",3,7,0,6,1,5.0,0.0,3.0,2.0
7802,r094,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,,2,100,44,48,8,18.4,10.3,6.0,2.1
7802,r095,"United States<sup>b</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>b</sup>,Massachusetts,"Environmental Protection, Department of ",3,32,12,16,4,6.0,3.0,2.0,1.0
7802,r096,"United States<sup>b</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>b</sup>,Massachusetts,"Fish and Game, Department of ",3,63,28,31,4,10.2,5.4,3.7,1.1
7802,r097,United States<sup>b</sup> -> Massachusetts -> Gaming Commission,United States<sup>b</sup>,Massachusetts,Gaming Commission,3,2,2,0,0,1.5,1.5,0.0,0.0
7802,r098,"United States<sup>b</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>b</sup>,Massachusetts,"Mental Health, Department of",3,1,1,0,0,0.1,0.1,0.0,0.0
7802,r099,United States<sup>b</sup> -> Massachusetts -> Water Resources Authority,United States<sup>b</sup>,Massachusetts,Water Resources Authority,3,2,1,1,0,0.6,0.3,0.3,0.0
7802,r100,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,,2,6,4,1,1,1.6,1.0,0.2,0.4
7802,r101,"United States<sup>b</sup> -> Michigan -> Environmental, Great Lakes, and Energy, Department of",United States<sup>b</sup>,Michigan,"Environmental, Great Lakes, and Energy, Department of",3,6,4,1,1,1.6,1.0,0.2,0.4
7802,r102,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,,2,104,60,23,21,89.0,54.9,16.2,17.9
7802,r103,"United States<sup>b</sup> -> Minnesota -> Agriculture, Department of",United States<sup>b</sup>,Minnesota,"Agriculture, Department of",3,23,9,10,4,8.5,3.9,3.2,1.4
7802,r104,"United States<sup>b</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>b</sup>,Minnesota,"Natural Resources, Department of",3,63,47,10,6,63.0,47.0,10.0,6.0
7802,r105,"United States<sup>b</sup> -> Minnesota -> Transportation, Department of",United States<sup>b</sup>,Minnesota,"Transportation, Department of",3,18,4,3,11,17.5,4.0,3.0,10.5
7802,r106,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,,2,141,39,90,12,43.0,15.4,22.3,5.3
7802,r107,"United States<sup>b</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>b</sup>,Mississippi,"Environmental Quality, Department of",3,10,3,0,7,0.4,0.1,0.0,0.3
7802,r108,"United States<sup>b</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>b</sup>,Mississippi,"Marine Resources, Department of",3,11,4,7,0,3.5,2.0,1.5,0.0
7802,r109,"United States<sup>b</sup> -> Mississippi -> Transportation, Department of",United States<sup>b</sup>,Mississippi,"Transportation, Department of",3,7,2,0,5,7.0,2.0,0.0,5.0
7802,r110,"United States<sup>b</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>b</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,113,30,83,0,32.1,11.3,20.8,0.0
7802,r111,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,,2,228,77,143,8,112.9,59.6,50.9,2.4
7802,r112,"United States<sup>b</sup> -> Missouri -> Conservation, Department of",United States<sup>b</sup>,Missouri,"Conservation, Department of",3,228,77,143,8,112.9,59.6,50.9,2.4
7802,r113,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,,2,55,24,28,3,11.8,5.2,5.4,1.2
7802,r114,"United States<sup>b</sup> -> Montana -> Environmental Quality, Department of",United States<sup>b</sup>,Montana,"Environmental Quality, Department of",3,4,2,2,0,1.4,1.0,0.2,0.2
7802,r115,"United States<sup>b</sup> -> Montana -> Fish, Wildlife and Parks, Department of",United States<sup>b</sup>,Montana,"Fish, Wildlife and Parks, Department of",3,50,21,26,3,9.4,3.2,5.2,1.0
7802,r116,"United States<sup>b</sup> -> Montana -> Transportation, Department of",United States<sup>b</sup>,Montana,"Transportation, Department of",3,1,1,0,0,1.0,1.0,0.0,0.0
7802,r117,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,,2,51,17,30,4,35.2,17.5,16.2,1.5
7802,r118,United States<sup>b</sup> -> Nebraska -> Game and Parks Commission,United States<sup>b</sup>,Nebraska,Game and Parks Commission,3,41,15,22,4,33.5,16.0,16.0,1.5
7802,r119,"United States<sup>b</sup> -> Nebraska -> Transportation, Department of",United States<sup>b</sup>,Nebraska,"Transportation, Department of",3,10,2,8,0,1.7,1.5,0.2,0.0
7802,r120,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,,2,3,1,2,0,1.5,0.5,0.0,1.0
7802,r121,"United States<sup>b</sup> -> Nevada -> Agriculture, Department of",United States<sup>b</sup>,Nevada,"Agriculture, Department of",3,3,1,2,0,1.5,0.5,0.0,1.0
7802,r122,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,,2,16,2,3,11,2.2,2.0,0.1,0.1
7802,r123,"United States<sup>b</sup> -> New Hampshire -> Transportation, Department of",United States<sup>b</sup>,New Hampshire,"Transportation, Department of",3,16,2,3,11,2.2,2.0,0.1,0.1
7802,r124,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,,2,48,45,0,3,18.9,16.1,0.0,2.8
7802,r125,"United States<sup>b</sup> -> New Jersey -> Children and Families, Department of",United States<sup>b</sup>,New Jersey,"Children and Families, Department of",3,15,15,0,0,2.0,2.0,0.0,0.0
7802,r126,"United States<sup>b</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>b</sup>,New Jersey,"Community Affairs, Department of ",3,2,2,0,0,0.1,0.1,0.0,0.0
7802,r127,"United States<sup>b</sup> -> New Jersey -> Corrections, Department of",United States<sup>b</sup>,New Jersey,"Corrections, Department of",3,3,3,0,0,3.0,3.0,0.0,0.0
7802,r128,"United States<sup>b</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>b</sup>,New Jersey,"Environmental Protection, Department of",3,20,19,0,1,10.3,10.0,0.0,0.3
7802,r129,United States<sup>b</sup> -> New Jersey -> Pinelands Commission,United States<sup>b</sup>,New Jersey,Pinelands Commission,3,5,5,0,0,1.0,0.0,0.0,1.0
7802,r130,"United States<sup>b</sup> -> New Jersey -> State Parole Board, New Jersey",United States<sup>b</sup>,New Jersey,"State Parole Board, New Jersey",3,3,1,0,2,2.5,1.0,0.0,1.5
7802,r131,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,,2,11,4,4,3,10.7,3.7,4.0,3.0
7802,r132,"United States<sup>b</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>b</sup>,New Mexico,"Cultural Affairs, Department of",3,1,1,0,0,0.7,0.7,0.0,0.0
7802,r133,"United States<sup>b</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>b</sup>,New Mexico,"Game and Fish, Department of",3,4,1,2,1,4.0,1.0,2.0,1.0
7802,r134,"United States<sup>b</sup> -> New Mexico -> Transportation, Department of",United States<sup>b</sup>,New Mexico,"Transportation, Department of",3,6,2,2,2,6.0,2.0,2.0,2.0
7802,r135,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,,2,2942,1347,1184,411,2335.9,1028.3,937.1,370.5
7802,r136,"United States<sup>b</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>b</sup>,New York,"Agriculture and Markets, Department of ",3,23,18,5,0,11.7,7.7,4.0,0.0
7802,r137,United States<sup>b</sup> -> New York -> Energy Research and Development Authority,United States<sup>b</sup>,New York,Energy Research and Development Authority,3,35,22,0,13,28.5,22.0,0.0,6.5
7802,r138,"United States<sup>b</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>b</sup>,New York,"Environmental Conservation, Department of ",3,60,41,15,4,44.5,33.5,9.0,2.0
7802,r139,"United States<sup>b</sup> -> New York -> Health, Department of ",United States<sup>b</sup>,New York,"Health, Department of ",3,364,232,83,49,265.4,179.3,43.4,42.7
7802,r140,"United States<sup>b</sup> -> New York -> Mental Health, Office of ",United States<sup>b</sup>,New York,"Mental Health, Office of ",3,1353,578,587,188,998.0,367.0,458.0,173.0
7802,r141,"United States<sup>b</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>b</sup>,New York,"People with Developmental Disabilities, Office of",3,31,11,14,6,16.0,6.0,7.0,3.0
7802,r142,United States<sup>b</sup> -> New York -> Power Authority,United States<sup>b</sup>,New York,Power Authority,3,10,9,0,1,10.0,9.0,0.0,1.0
7802,r143,United States<sup>b</sup> -> New York -> Roswell Park Comprehensive Cancer Center,United States<sup>b</sup>,New York,Roswell Park Comprehensive Cancer Center,3,986,416,428,142,882.9,383.8,364.8,134.3
7802,r144,United States<sup>b</sup> -> New York -> State Museum,United States<sup>b</sup>,New York,State Museum,3,75,17,52,6,73.9,17.0,50.9,6.0
7802,r145,"United States<sup>b</sup> -> New York -> Transportation, Department of ",United States<sup>b</sup>,New York,"Transportation, Department of ",3,5,3,0,2,5.0,3.0,0.0,2.0
7802,r146,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,,2,240,108,100,32,205.9,89.9,90.0,26.0
7802,r147,"United States<sup>b</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,159,62,81,16,159.0,62.0,81.0,16.0
7802,r148,"United States<sup>b</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>b</sup>,North Carolina,"Environmental Quality, Department of",3,39,18,12,9,23.8,12.3,5.5,6.0
7802,r149,"United States<sup>b</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>b</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,36,23,7,6,17.1,10.6,3.5,3.0
7802,r150,"United States<sup>b</sup> -> North Carolina -> Transportation, Department of",United States<sup>b</sup>,North Carolina,"Transportation, Department of",3,6,5,0,1,6.0,5.0,0.0,1.0
7802,r151,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,,2,16,15,1,0,7.7,7.4,0.3,0.0
7802,r152,United States<sup>b</sup> -> North Dakota -> Historical Society of North Dakota,United States<sup>b</sup>,North Dakota,Historical Society of North Dakota,3,10,10,0,0,4.9,4.9,0.0,0.0
