table_id,row_id,_b_country_or_economy_b_full_path,_b_country_or_economy_b_level_1,_b_country_or_economy_b_level_2,_b_country_or_economy_b_level_3,_b_country_or_economy_b_hierarchy_depth,field_rank,field_doctorate_recipients
7576,r014,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Mexico ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Mexico ,3,12,214
7576,r015,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Nigeria ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Nigeria ,3,13,193
7576,r016,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Colombia ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Colombia ,3,14,190
7576,r017,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Germany,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Germany,3,15,187
7576,r018,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Sri Lanka,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Sri Lanka,3,16,180
7576,r019,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> United Kingdom,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,United Kingdom,3,17,153
7576,r020,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Iraq,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Iraq,3,18,151
7576,r021,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Vietnam ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Vietnam ,3,19,150
7576,r022,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Italy ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Italy ,3,20,145
7576,r023,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Pakistan,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Pakistan,3,21,135
7576,r024,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Egypt ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Egypt ,3,22,133
7576,r025,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Spain ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Spain ,3,23,128
7576,r026,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Thailand ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Thailand ,3,24,124
7576,r027,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Japan ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Japan ,3,25,122
7576,r028,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Greece,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Greece,3,26,112
7576,r029,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Russian Federation (former USSR) ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Russian Federation (former USSR) ,3,27,110
7576,r030,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> France ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,France ,3,28,105
7576,r031,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Ghana ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Ghana ,3,29,88
7576,r032,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Chile ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Chile ,3,30,85
7576,r033,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Jordan ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Jordan ,3,31,83
7576,r034,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Indonesia ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Indonesia ,3,32,76
7576,r035,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Singapore,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Singapore,3,33,70
7576,r036,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Israel ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Israel ,3,34,65
7576,r037,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Malaysia ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Malaysia ,3,35,61
7576,r038,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Philippines ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Philippines ,3,36,58
7576,r039,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Libya,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Libya,3,37,56
7576,r040,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Ecuador,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Ecuador,3,38,54
7576,r041,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Kenya ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Kenya ,3,39,53
7576,r042,All temporary visa holders (166 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Peru ,All temporary visa holders (166 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Peru ,3,40,48
