table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_started_in_fy_2020_or_fy_2021,field_planned_to_start_in_fy_2022_or_fy_2023,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
7862,r044,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['14,061', '']","['0', '']","['63,000', '']","['0', '']","['0', '']"
7862,r045,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['0', '']","['0', '']","['0', '']","['1,734', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r046,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['ne', '']","['ne', '']","['ne', '']","['300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r047,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r048,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['921', '']","['0', '']","['0', '']","['342', '']","['679', '']","['1,504', '']","['1,345', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r049,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['0', '']","['0', '']","['1,300', '']","['0', '']","['360', '']","['0', '']","['0', '']","['0', '']","['0', '']","['10,900', '']","['0', '']"
7862,r050,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['1,254', '']","['787', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,004', '']","['0', '']","['0', '']"
7862,r051,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['ne', '']","['ne', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['250', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r052,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['277', '']","['0', '']","['0', '']"
7862,r053,California -> Public -> Humboldt State U.,California,Public,Humboldt State U.,3,"['0', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['12,100', '']","['750', '']","['0', '']"
7862,r054,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['1,877', '']","['1,400', '']","['1,516', '']","['1,400', '']","['0', '']","['6,060', '']","['1,050', '']","['5,813', '']","['0', '']","['0', '']","['0', '']"
7862,r055,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['NA', '']","['3,210', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r056,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['0', '']","['0', '']","['1,500', '']","['14,035', '']","['500', '']","['1,476', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r057,California -> Public -> Sonoma State U.,California,Public,Sonoma State U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r058,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['20,055', '']","['19,534', '']","['72,051', '']","['20,100', '']","['34,860', '']","['35,450', '']","['44,000', '']","['43,300', '']","['128,500', '']","['741,020', '']","['3,300', '']"
7862,r059,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['110,181', '']","['57,272', '']","['41,200', '']","['22,443', '']","['2,395', '']","['67,069', '']","['68,454', '']","['20,172', '']","['118,200', '']","['11,982', '']","['86,585', '']"
7862,r060,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['10,265', '']","['8,999', '']","['39,102', '']","['17,453', '']","['4,900', '']","['26,910', '']","['23,703', '']","['63,568', '']","['12,377', '']","['186,866', '']","['9,001', '']"
7862,r061,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['5,790', '']","['9,524', '']","['48,619', '']","['179,184', '']","['202,438', '']","['116,150', '']","['14,998', '']","['14,578', '']","['34,153', '']","['0', '']","['0', '']"
7862,r062,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['1,225', '']","['7,447', '']","['0', '']","['0', '']","['0', '']","['524', '']","['8,974', '']","['5,132', '']","['8,200', '']","['0', '']","['0', '']"
7862,r063,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['4,102', '']","['15,535', '']","['15,173', '']","['15,341', '']","['0', '']","['10,000', '']","['114,678', '']","['28,000', '']","['0', '']","['38,574', '']","['0', '']"
7862,r064,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['18,353', '']","['16,121', '']","['8,305', '']","['40,894', '']","['44,218', '']","['21,739', '']","['158,364', '']","['148,277', '']","['173,682', '']","['0', '']","['0', '']"
7862,r065,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['68,852', '']","['7,631', '']","['47,452', '']","['88,318', '']","['37,000', '']","['135,000', '']","['162,600', '']","['229,600', '']","['293,200', '']","['200,000', '']","['0', '']"
7862,r066,"California -> Public -> U. California, Santa Barbara",California,Public,"U. California, Santa Barbara",3,"['11,850', '']","['11,770', '']","['12,478', '']","['3,817', '']","['12,282', '']","['11,499', '']","['16,700', '']","['7,573', '']","['2,177', '']","['505,828', '']","['0', '']"
7862,r067,"California -> Public -> U. California, Santa Cruz",California,Public,"U. California, Santa Cruz",3,"['14,078', '']","['3,721', '']","['10,369', '']","['1,512', '']","['15,821', '']","['40,191', '']","['2,698', '']","['14,861', '']","['13,453', '']","['342,000', '']","['0', '']"
7862,r068,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r069,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r070,California -> Private -> Biola U.,California,Private,Biola U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['500', '']","['0', '']","['0', '']"
7862,r071,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,3,"['10,212', '']","['24,993', '']","['9,668', '']","['48,840', '']","['26,887', '']","['42,614', '']","['34,617', '']","['35,486', '']","['11,728', '']","['0', '']","['0', '']"
7862,r072,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['ne', '']","['ne', '']","['0', '']","['3,060', '']","['0', 'i']","['8,296', '']","['7,280', '']","['21,530', '']","['0', '']","['0', '']","['0', '']"
7862,r073,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r074,California -> Private -> Claremont Graduate U.,California,Private,Claremont Graduate U.,3,"['0', '']","['400', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r075,California -> Private -> Claremont McKenna C.<sup>a</sup>,California,Private,Claremont McKenna C.<sup>a</sup>,3,"['ne', '']","['ne', '']","['1,750', '']","['0', '']","['375', '']","['745', '']","['1,750', '']","['0', '']","['0', 'i']","['0', 'i']","['0', 'i']"
7862,r076,California -> Private -> Fielding Graduate U.,California,Private,Fielding Graduate U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r077,California -> Private -> Harvey Mudd C.,California,Private,Harvey Mudd C.,3,"['0', '']","['0', '']","['0', '']","['300', '']","['500', '']","['0', '']","['314', '']","['0', '']","['2,500', '']","['0', '']","['0', '']"
7862,r078,California -> Private -> Keck Graduate Institute,California,Private,Keck Graduate Institute,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', 'i']","['0', '']","['0', '']","['500', '']","['0', '']","['10,000', '']"
7862,r079,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['600', '']","['0', '']","['250', '']","['9,500', '']","['1,734', '']","['2,666', '']","['3,344', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r080,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['250', '']","['0', '']","['1,500', '']","['0', '']","['0', '']","['825', '']","['0', '']","['438', '']","['0', '']","['0', '']","['0', '']"
7862,r081,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r082,California -> Private -> Occidental C.,California,Private,Occidental C.,3,"['277', '']","['0', '']","['600', '']","['0', '']","['0', '']","['6,258', '']","['14,415', '']","['6,470', '']","['7,150', '']","['35,000', '']","['0', '']"
7862,r083,California -> Private -> Pepperdine U.,California,Private,Pepperdine U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r084,California -> Private -> Pomona C.,California,Private,Pomona C.,3,"['0', '']","['14,336', '']","['0', '']","['510', '']","['250', '']","['0', '']","['600', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r085,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,3,"['962', '']","['3,485', '']","['700', '']","['0', '']","['3,000', '']","['500', '']","['23,360', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r086,California -> Private -> Scripps C.,California,Private,Scripps C.,3,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['1,400', '']","['0', '']","['0', '']","['0', '']"
7862,r087,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,3,"['ne', '']","['ne', '']","['14,586', '']","['8,350', '']","['10,967', '']","['9,511', '']","['25,173', '']","['31,597', '']","['15,720', '']","['0', '']","['0', '']"
7862,r088,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['52,542', '']","['51,436', '']","['19,156', '']","['58,278', '']","['77,952', '']","['43,823', '']","['7,862', '']","['26,735', '']","['36,291', '']","['0', '']","['0', '']"
7862,r089,California -> Private -> Touro U.,California,Private,Touro U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['1,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r090,California -> Private -> U. of the Pacific,California,Private,U. of the Pacific,3,"['0', '']","['0', '']","['0', '']","['2,877', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r091,California -> Private -> U. San Diego,California,Private,U. San Diego,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['4,500', '']","['5,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r092,California -> Private -> U. San Francisco,California,Private,U. San Francisco,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['5,000', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r093,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['9,784', '']","['10,151', '']","['6,242', '']","['118,709', '']","['70,470', 'i']","['28,596', '']","['71,880', '']","['28,955', '']","['3,581', '']","['0', '']","['0', '']"
7862,r094,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['315', '']","['0', '']","['0', '']","['800', '']","['0', '']","['0', '']","['0', '']","['5,125', '']","['4,400', '']","['0', '']","['0', '']"
7862,r095,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r096,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r097,Colorado -> Public -> Colorado School of Mines,Colorado,Public,Colorado School of Mines,3,"['956', '']","['1,900', '']","['2,946', '']","['2,265', '']","['1,703', '']","['1,713', '']","['872', '']","['7,823', '']","['1,106', '']","['0', '']","['0', '']"
7862,r098,"Colorado -> Public -> Colorado State U., Fort Collins",Colorado,Public,"Colorado State U., Fort Collins",3,"['500', '']","['4,896', '']","['1,050', '']","['6,471', '']","['8,718', '']","['252', '']","['3,498', '']","['2,876', '']","['2,073', '']","['0', '']","['0', '']"
7862,r099,"Colorado -> Public -> Colorado State U., Pueblo",Colorado,Public,"Colorado State U., Pueblo",3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
7862,r100,Colorado -> Public -> Fort Lewis C.,Colorado,Public,Fort Lewis C.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r101,Colorado -> Public -> U. Colorado Boulder,Colorado,Public,U. Colorado Boulder,3,"['0', '']","['0', '']","['8,767', '']","['19,692', '']","['59,666', '']","['31,527', '']","['13,492', '']","['5,536', '']","['27,741', '']","['0', '']","['0', '']"
7862,r102,Colorado -> Public -> U. Colorado Colorado Springs,Colorado,Public,U. Colorado Colorado Springs,3,"['0', '']","['0', '']","['17,085', '']","['0', '']","['0', '']","['570', '']","['1,471', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r103,Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,3,"['6,552', '']","['25,424', '']","['3,551', '']","['271', '']","['6,388', '']","['1,947', '']","['6,249', '']","['26,372', '']","['4,688', '']","['17,038', '']","['0', '']"
7862,r104,Colorado -> Public -> U. Northern Colorado,Colorado,Public,U. Northern Colorado,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r105,Colorado -> Private,Colorado,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r106,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,3,"['0', '']","['450', '']","['0', '']","['1,171', '']","['3,270', '']","['1,521', '']","['394', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r107,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r108,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r109,Connecticut -> Public -> Eastern Connecticut State U.,Connecticut,Public,Eastern Connecticut State U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,372', '']","['0', '']","['0', '']","['0', '']"
7862,r110,Connecticut -> Public -> Southern Connecticut State U.,Connecticut,Public,Southern Connecticut State U.,3,"['NA', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r111,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['314', '']","['52,515', '']","['4,752', '']","['98,344', '']","['22,397', '']","['43,190', '']","['73,762', '']","['21,778', '']","['33,259', '']","['61,700', '']","['0', '']"
7862,r112,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7862,r113,Connecticut -> Private -> Connecticut C.,Connecticut,Private,Connecticut C.,3,"['NA', '']","['ne', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r114,"Connecticut -> Private -> Trinity C., Hartford",Connecticut,Private,"Trinity C., Hartford",3,"['ne', '']","['ne', '']","['2,000', '']","['1,225', '']","['0', '']","['430', '']","['400', '']","['301', '']","['0', '']","['0', '']","['0', '']"
7862,r115,Connecticut -> Private -> U. Hartford,Connecticut,Private,U. Hartford,3,"['0', '']","['0', '']","['0', '']","['0', '']","['700', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7862,r116,Connecticut -> Private -> U. New Haven,Connecticut,Private,U. New Haven,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['9,835', '']","['9,672', '']","['4,774', '']","['5,000', '']","['1,550', '']","['0', '']"
