table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70
6343,r031,Department -> Department of Commerce -> Minority Business Development Agency,Department,Department of Commerce,Minority Business Development Agency,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r032,Department -> Department of Commerce -> National Fire Prevention and Control Administration,Department,Department of Commerce,National Fire Prevention and Control Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r033,Department -> Department of Commerce -> National Institute of Standards and Technology,Department,Department of Commerce,National Institute of Standards and Technology,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r034,Department -> Department of Commerce -> National Oceanic and Atmospheric Administration,Department,Department of Commerce,National Oceanic and Atmospheric Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r035,Department -> Department of Commerce -> National Technical Information Service,Department,Department of Commerce,National Technical Information Service,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r036,Department -> Department of Commerce -> National Telecommunications and Information Administration,Department,Department of Commerce,National Telecommunications and Information Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r037,Department -> Department of Commerce -> Office of the Secretary of Commerce,Department,Department of Commerce,Office of the Secretary of Commerce,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r038,Department -> Department of Commerce -> Office of Telecommunications,Department,Department of Commerce,Office of Telecommunications,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r039,Department -> Department of Commerce -> Patent and Trademark Office,Department,Department of Commerce,Patent and Trademark Office,,3,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r040,Department -> Department of Commerce -> U.S. Census Bureau,Department,Department of Commerce,U.S. Census Bureau,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r041,Department -> Department of Commerce -> U.S. Travel and Tourism Administration,Department,Department of Commerce,U.S. Travel and Tourism Administration,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r042,Department -> Department of Defense,Department,Department of Defense,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r043,Department -> Department of Defense -> Defense Agencies,Department,Department of Defense,Defense Agencies,,3,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r044,Department -> Department of Defense -> Defense Agencies -> Chemical and Biological Defense ,Department,Department of Defense,Defense Agencies,Chemical and Biological Defense ,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r045,Department -> Department of Defense -> Defense Agencies -> Defense Advanced Research Projects Agency,Department,Department of Defense,Defense Agencies,Defense Advanced Research Projects Agency,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r046,Department -> Department of Defense -> Defense Agencies -> Defense Business Transformation Agency,Department,Department of Defense,Defense Agencies,Defense Business Transformation Agency,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,N,T,T,T,T,T,T,T,T,T,T
6343,r047,Department -> Department of Defense -> Defense Agencies -> Defense Contract Management Agency,Department,Department of Defense,Defense Agencies,Defense Contract Management Agency,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r048,Department -> Department of Defense -> Defense Agencies -> Defense Information Systems Agency,Department,Department of Defense,Defense Agencies,Defense Information Systems Agency,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r049,Department -> Department of Defense -> Defense Agencies -> Defense Logistics Agency,Department,Department of Defense,Defense Agencies,Defense Logistics Agency,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r050,Department -> Department of Defense -> Defense Agencies -> Defense Nuclear Agency,Department,Department of Defense,Defense Agencies,Defense Nuclear Agency,4,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r051,Department -> Department of Defense -> Defense Agencies -> Defense Security Service,Department,Department of Defense,Defense Agencies,Defense Security Service,4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r052,Department -> Department of Defense -> Defense Agencies -> Defense Special Weapons Agency ,Department,Department of Defense,Defense Agencies,Defense Special Weapons Agency ,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r053,Department -> Department of Defense -> Defense Agencies -> Defense Technical Information Center,Department,Department of Defense,Defense Agencies,Defense Technical Information Center,4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r054,Department -> Department of Defense -> Defense Agencies -> Defense Threat Reduction Agency,Department,Department of Defense,Defense Agencies,Defense Threat Reduction Agency,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r055,Department -> Department of Defense -> Defense Agencies -> Joint Staff,Department,Department of Defense,Defense Agencies,Joint Staff,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r056,Department -> Department of Defense -> Defense Agencies -> Missile Defense Agency,Department,Department of Defense,Defense Agencies,Missile Defense Agency,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r057,Department -> Department of Defense -> Defense Agencies -> National Imagery and Mapping Agency (formerly Defense Mapping Agency),Department,Department of Defense,Defense Agencies,National Imagery and Mapping Agency (formerly Defense Mapping Agency),4,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r058,Department -> Department of Defense -> Defense Agencies -> Special Operations Command,Department,Department of Defense,Defense Agencies,Special Operations Command,4,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T
6343,r059,Department -> Department of Defense -> Defense Agencies -> Uniformed Services University of the Health Sciences,Department,Department of Defense,Defense Agencies,Uniformed Services University of the Health Sciences,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r060,Department -> Department of Defense -> Defense Agencies -> Office of the Secretary of Defense (formerly Washington Headquarters Service),Department,Department of Defense,Defense Agencies,Office of the Secretary of Defense (formerly Washington Headquarters Service),4,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r061,Department -> Department of Defense -> Defense Civil Preparedness Agency,Department,Department of Defense,Defense Civil Preparedness Agency,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6343,r062,Department -> Department of Defense -> Defense Health Agency,Department,Department of Defense,Defense Health Agency,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,T,T,T,X
6343,r063,Department -> Department of Defense -> Department of the Air Force,Department,Department of Defense,Department of the Air Force,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X
6343,r064,Department -> Department of Defense -> Department of the Air Force -> DT&E Support From Operations and Maintenance,Department,Department of Defense,Department of the Air Force,DT&E Support From Operations and Maintenance,4,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r065,Department -> Department of Defense -> Department of the Air Force -> DT&E Support From Procurement Appropriations,Department,Department of Defense,Department of the Air Force,DT&E Support From Procurement Appropriations,4,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r066,Department -> Department of Defense -> Department of the Air Force -> Housing for Military Personnel in R&D,Department,Department of Defense,Department of the Air Force,Housing for Military Personnel in R&D,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r067,Department -> Department of Defense -> Department of the Air Force -> Materiel Command,Department,Department of Defense,Department of the Air Force,Materiel Command,4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T
6343,r068,Department -> Department of Defense -> Department of the Air Force -> Military Construction,Department,Department of Defense,Department of the Air Force,Military Construction,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r069,Department -> Department of Defense -> Department of the Air Force -> Pay and Allowances of Military Personnel in R&D,Department,Department of Defense,Department of the Air Force,Pay and Allowances of Military Personnel in R&D,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r070,Department -> Department of Defense -> Department of the Air Force -> RDT&E Appropriation,Department,Department of Defense,Department of the Air Force,RDT&E Appropriation,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r071,Department -> Department of Defense -> Department of the Air Force -> Space Command,Department,Department of Defense,Department of the Air Force,Space Command,4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N
6343,r072,Department -> Department of Defense -> Department of the Air Force -> Special Foreign Currency Program,Department,Department of Defense,Department of the Air Force,Special Foreign Currency Program,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r073,Department -> Department of Defense -> Department of the Army,Department,Department of Defense,Department of the Army,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r074,Department -> Department of Defense -> Department of the Army -> Civil Functions,Department,Department of Defense,Department of the Army,Civil Functions,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r075,Department -> Department of Defense -> Department of the Army -> Housing for Military Personnel in R&D,Department,Department of Defense,Department of the Army,Housing for Military Personnel in R&D,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r076,Department -> Department of Defense -> Department of the Army -> Military Construction,Department,Department of Defense,Department of the Army,Military Construction,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r077,Department -> Department of Defense -> Department of the Army -> Military Functions,Department,Department of Defense,Department of the Army,Military Functions,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r078,Department -> Department of Defense -> Department of the Army -> Pay and Allowances of Military Personnel in R&D,Department,Department of Defense,Department of the Army,Pay and Allowances of Military Personnel in R&D,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r079,Department -> Department of Defense -> Department of the Army -> RDT&E Appropriation,Department,Department of Defense,Department of the Army,RDT&E Appropriation,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r080,Department -> Department of Defense -> Department of the Army -> Special Foreign Currency Program,Department,Department of Defense,Department of the Army,Special Foreign Currency Program,4,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r081,Department -> Department of Defense -> Department of the Army -> Support From Procurement Appropriations,Department,Department of Defense,Department of the Army,Support From Procurement Appropriations,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r082,Department -> Department of Defense -> Department of the Navy,Department,Department of Defense,Department of the Navy,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6343,r083,Department -> Department of Defense -> Department of the Navy -> DT&E Support From Operations and Maintenance,Department,Department of Defense,Department of the Navy,DT&E Support From Operations and Maintenance,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r084,Department -> Department of Defense -> Department of the Navy -> DT&E Support From Procurement Appropriations,Department,Department of Defense,Department of the Navy,DT&E Support From Procurement Appropriations,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r085,Department -> Department of Defense -> Department of the Navy -> Housing for Military Personnel in R&D,Department,Department of Defense,Department of the Navy,Housing for Military Personnel in R&D,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r086,Department -> Department of Defense -> Department of the Navy -> Military Construction,Department,Department of Defense,Department of the Navy,Military Construction,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r087,Department -> Department of Defense -> Department of the Navy -> Pay and Allowances of Military Personnel in R&D,Department,Department of Defense,Department of the Navy,Pay and Allowances of Military Personnel in R&D,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r088,Department -> Department of Defense -> Department of the Navy -> RDT&E Appropriation,Department,Department of Defense,Department of the Navy,RDT&E Appropriation,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r089,Department -> Department of Defense -> Department of the Navy -> Special Foreign Currency Program,Department,Department of Defense,Department of the Navy,Special Foreign Currency Program,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
6343,r090,"Department -> Department of Defense -> Health Affairs, Assistant Secretary of Defense for",Department,Department of Defense,"Health Affairs, Assistant Secretary of Defense for",,3,N,N,N,N,N,N,N,N,N,N,N,N,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T
