table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_did_not_have_any_mentors,field_had_a_mentor,field_position_of_mentor_direct_supervisor,field_position_of_mentor_senior_colleague,field_position_of_mentor_peer_or_colleague,field_position_of_mentor_doctoral_degree_advisor,field_position_of_mentor_someone_else
3805,r018,All early career doctorates -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>c</sup>,All early career doctorates,Doctoral degree type,Professional degree or doctoral equivalent<sup>c</sup>,,,3,15700,31.2,68.8,76.7,82.0,70.7,50.7,34.3
3805,r019,All early career doctorates -> Doctoral degree type -> Research degree,All early career doctorates,Doctoral degree type,Research degree,,,3,171100,25.1,74.9,72.4,79.1,58.5,72.6,25.9
3805,r020,All early career doctorates -> Years since doctoral degree,All early career doctorates,Years since doctoral degree,,,,2,,,,,,,,
3805,r021,All early career doctorates -> Years since doctoral degree -> 1 year or less,All early career doctorates,Years since doctoral degree,1 year or less,,,3,36900,24.3,75.7,80.6,71.8,54.4,75.8,26.2
3805,r022,All early career doctorates -> Years since doctoral degree -> 2&#8211;5 years,All early career doctorates,Years since doctoral degree,2&#8211;5 years,,,3,82800,23.4,76.6,72.9,78.6,58.9,70.9,27.0
3805,r023,All early career doctorates -> Years since doctoral degree -> 6&#8211;10 years,All early career doctorates,Years since doctoral degree,6&#8211;10 years,,,3,67000,29.0,71.0,68.0,84.7,63.2,68.0,26.2
3805,r024,All early career doctorates -> Origin of doctoral degree,All early career doctorates,Origin of doctoral degree,,,,2,,,,,,,,
3805,r025,All early career doctorates -> Origin of doctoral degree -> U.S. degree,All early career doctorates,Origin of doctoral degree,U.S. degree,,,3,161800,25.6,74.4,70.9,81.9,62.3,72.1,27.6
3805,r026,All early career doctorates -> Origin of doctoral degree -> Non-U.S. degree,All early career doctorates,Origin of doctoral degree,Non-U.S. degree,,,3,24900,25.7,74.3,84.7,62.6,40.9,63.2,19.7
3805,r027,All early career doctorates -> Field of doctoral degree,All early career doctorates,Field of doctoral degree,,,,2,,,,,,,,
3805,r028,All early career doctorates -> Field of doctoral degree -> Science and engineering,All early career doctorates,Field of doctoral degree,Science and engineering,,,3,112600,24.6,75.4,76.1,74.9,54.3,71.2,23.5
3805,r029,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",,4,28900,17.4,82.6,84.0,67.2,54.4,69.9,22.5
3805,r030,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Agricultural and environmental life sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Agricultural and environmental life sciences,5,3900,20.0,80.0,74.9,73.0,57.4,71.5,34.5
3805,r031,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Biological and biomedical sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Biological and biomedical sciences,5,24900,17.0,83.0,85.3,66.3,53.9,69.6,20.7
3805,r032,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Engineering,All early career doctorates,Field of doctoral degree,Science and engineering,Engineering,,4,17200,28.1,71.9,79.5,73.8,52.0,68.4,22.1
3805,r033,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,,4,12100,34.7,65.3,76.3,80.7,51.1,72.6,21.7
3805,r034,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Computer and information sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Computer and information sciences,5,5900,35.9,64.1,71.9,83.4,54.2,66.9,14.5
3805,r035,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Mathematics and statistics,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,5,6200,33.6,66.4,80.2,78.3,48.3,77.8,28.2
3805,r036,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Multidisciplinary fields and science and engineering related fields,All early career doctorates,Field of doctoral degree,Science and engineering,Multidisciplinary fields and science and engineering related fields,,4,2600,28.3,71.7,80.2,80.1,65.7,65.1,23.9
3805,r037,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,20600,25.2,74.8,82.1,72.4,50.9,68.4,21.6
3805,r038,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,,4,31200,24.8,75.2,61.9,82.5,57.7,75.9,27.1
3805,r039,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Psychology,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Psychology,5,8700,23.1,76.9,71.2,80.8,56.0,74.7,22.5
3805,r040,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Social sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Social sciences,5,22400,25.4,74.6,58.1,83.1,58.4,76.3,28.9
3805,r041,All early career doctorates -> Field of doctoral degree -> Health,All early career doctorates,Field of doctoral degree,Health,,,3,13400,21.0,79.0,72.5,84.4,69.0,58.3,29.9
3805,r042,All early career doctorates -> Field of doctoral degree -> Non-science and engineering,All early career doctorates,Field of doctoral degree,Non-science and engineering,,,3,60700,28.4,71.6,66.4,86.7,67.4,73.4,31.7
3805,r043,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Education,All early career doctorates,Field of doctoral degree,Non-science and engineering,Education,,4,21100,28.0,72.0,71.8,84.1,69.9,65.7,33.7
3805,r044,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Humanities,All early career doctorates,Field of doctoral degree,Non-science and engineering,Humanities,,4,15700,27.4,72.6,67.6,87.8,69.4,79.7,30.4
3805,r045,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Other non-science and engineering,All early career doctorates,Field of doctoral degree,Non-science and engineering,Other non-science and engineering,,4,23900,29.3,70.7,60.8,88.4,63.7,76.0,30.7
3805,r046,All early career doctorates -> Position tenure,All early career doctorates,Position tenure,,,,2,,,,,,,,
3805,r047,All early career doctorates -> Position tenure -> 1 year or less,All early career doctorates,Position tenure,1 year or less,,,3,25700,25.4,74.6,75.9,81.8,59.2,71.8,36.4
3805,r048,All early career doctorates -> Position tenure -> More than 1 year but less than 5 years,All early career doctorates,Position tenure,More than 1 year but less than 5 years,,,3,108600,23.0,77.0,75.4,76.5,57.3,71.7,24.1
3805,r049,All early career doctorates -> Position tenure -> 5 years or more,All early career doctorates,Position tenure,5 years or more,,,3,52400,31.0,69.0,65.1,84.6,64.8,68.6,27.1
