table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11684,r025,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Traineeship,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Traineeship,,3,3.2,3.7,1.0,11.0,1.3,2.0,1.1,6.6,1.1,1.7,1.5,6.3,2.2,0.8,,0.8,0.9,,
11684,r026,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Internship or clinical residency,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Internship or clinical residency,,3,12.7,14.4,4.6,4.3,41.5,18.7,9.7,7.1,18.3,26.1,5.9,31.7,5.8,3.6,3.9,2.1,4.1,3.2,4.0
11684,r027,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Loan (any source),All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Loan (any source),,3,16.8,13.8,17.7,14.9,8.7,10.5,9.3,29.2,7.0,10.3,9.4,45.9,22.4,33.0,19.4,47.0,29.7,36.5,34.0
11684,r028,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Personal sources,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Personal sources,,3,,,,,,,,,,,,,,,,,,,
11684,r029,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Personal sources -> Savings,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Personal sources,Savings,4,49.9,47.4,53.8,50.3,45.8,43.9,42.6,60.2,44.5,49.8,38.3,65.1,58.4,63.3,63.7,68.2,60.5,64.4,61.7
11684,r030,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Personal sources,Other earnings during graduate school,4,25.0,20.9,30.1,22.1,17.7,15.6,18.5,35.7,19.6,20.3,13.2,47.0,35.4,47.2,24.9,61.3,49.6,58.3,41.6
11684,r031,"All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),"Spouse's, partner's, or family's earnings or savings",,3,35.0,33.4,30.5,35.7,30.4,31.4,33.9,41.2,30.3,32.6,28.6,51.2,39.6,43.8,43.6,38.7,48.5,46.2,40.1
11684,r032,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Employer reimbursement or assistance,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Employer reimbursement or assistance,,3,9.3,8.2,11.0,7.7,10.7,7.8,10.5,15.6,7.5,8.7,6.3,7.9,8.4,15.1,10.4,29.8,10.3,6.4,14.2
11684,r033,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Foreign (non-U.S.) support,,3,5.1,5.0,8.4,3.4,5.5,6.1,6.4,7.8,4.1,5.7,2.8,1.0,6.6,5.7,5.8,4.7,5.0,6.7,7.8
11684,r034,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Other ,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Other ,,3,1.0,0.9,1.2,0.9,1.2,0.5,1.5,1.6,0.7,1.1,0.4,1.9,1.4,1.8,1.8,1.6,1.6,2.6,2.1
11684,r035,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number),All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),,,2,24303,18229,620,4837,496,2508,498,1689,524,576,1673,2459,2349,6074,579,2508,1423,408,1156
11684,r036,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Fellowship or scholarship,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Fellowship or scholarship,,3,69.8,70.6,69.0,74.2,61.3,69.4,78.3,60.6,63.7,74.3,69.0,63.7,81.4,67.2,71.0,52.0,84.9,91.2,68.1
11684,r037,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Dissertation grant,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Dissertation grant,,3,22.5,20.7,20.0,16.5,9.3,11.2,20.9,24.7,8.0,18.2,10.2,25.5,45.4,27.9,20.6,15.8,43.7,50.0,30.3
11684,r038,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Assistantship,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Assistantship,,3,,,,,,,,,,,,,,,,,,,
11684,r039,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Assistantship -> Teaching,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Assistantship,Teaching,4,66.1,67.2,56.3,55.6,78.0,66.8,80.3,43.5,92.9,71.9,88.0,69.6,82.5,62.7,71.7,39.2,87.1,90.7,69.5
11684,r040,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Assistantship -> Research,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Assistantship,Research,4,64.4,70.7,77.9,66.3,82.7,85.1,88.0,50.7,68.3,74.8,88.3,63.0,65.9,45.6,63.7,38.4,41.0,41.2,59.4
11684,r041,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Assistantship -> Other,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Assistantship,Other,4,9.8,8.3,5.5,4.1,5.8,5.2,8.2,7.0,4.8,6.8,3.2,21.6,13.0,14.4,10.2,14.0,17.6,16.2,12.7
11684,r042,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Traineeship,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Traineeship,,3,4.9,6.2,2.7,11.9,2.0,4.3,2.0,6.5,2.7,3.8,2.9,6.8,2.3,0.8,,0.5,1.1,,
11684,r043,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Internship or clinical residency,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Internship or clinical residency,,3,11.6,14.2,6.5,4.9,38.7,17.1,12.0,5.6,23.7,22.0,7.7,42.0,5.2,3.9,3.8,3.0,3.7,8.6,4.8
11684,r044,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Loan (any source),All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Loan (any source),,3,24.5,20.9,17.4,14.4,9.1,7.7,14.7,39.0,8.0,18.2,9.1,44.8,26.9,35.4,16.8,44.3,29.2,28.7,35.2
11684,r045,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Personal sources,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Personal sources,,3,,,,,,,,,,,,,,,,,,,
11684,r046,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Personal sources -> Savings,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Personal sources,Savings,4,57.5,55.4,54.2,54.4,49.0,44.2,57.8,62.3,44.5,53.5,44.9,68.4,62.2,64.0,61.7,66.5,59.7,64.7,64.8
11684,r047,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Personal sources,Other earnings during graduate school,4,35.4,30.1,29.2,23.7,17.1,16.2,30.7,49.7,20.0,28.0,16.4,46.3,42.8,51.1,24.2,58.3,50.4,56.1,48.0
11684,r048,"All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),"Spouse's, partner's, or family's earnings or savings",,3,46.6,45.3,38.1,45.5,38.7,38.7,40.2,47.6,40.1,42.2,35.4,59.6,48.9,50.5,53.9,49.0,50.1,54.2,51.4
11684,r049,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Employer reimbursement or assistance,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Employer reimbursement or assistance,,3,11.2,9.1,10.0,7.6,9.5,5.7,9.2,23.8,6.7,10.1,4.9,8.5,8.6,17.8,14.3,27.0,9.3,5.6,14.4
11684,r050,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Foreign (non-U.S.) support,,3,3.7,3.5,4.7,3.0,5.2,3.5,4.2,4.2,4.2,4.2,3.3,1.2,5.3,4.5,5.7,3.6,4.5,7.1,5.0
11684,r051,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Other ,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Other ,,3,1.2,1.1,1.1,0.9,1.2,0.4,0.6,2.1,0.6,1.6,0.9,1.7,1.0,1.4,1.2,1.7,1.0,1.2,1.3
