table_id,row_id,time_period,average_cil_score_level_1,average_cil_score_level_2,average_cil_score_hierarchy_depth,value
4103,r096,ICILS 2018 average -> United States<sup><b>e</b></sup>,Average CT score,Female,2,"['495', '&nbsp;']"
4103,r097,ICILS 2018 average -> United States<sup><b>e</b></sup>,Average CT score,Female-male score difference,2,"['-7', '&nbsp;']"
4103,r098,ICILS 2018 average -> United States<sup><b>e</b></sup>,OECD country and education system,,1,Yes
4103,r099,ICILS 2018 average -> Uruguay,Average CIL score,Male,2,"['448', '*']"
4103,r100,ICILS 2018 average -> Uruguay,Average CIL score,Female,2,"['453', '*']"
4103,r101,ICILS 2018 average -> Uruguay,Average CIL score,Female-male score difference,2,"['s', '&nbsp;']"
4103,r102,ICILS 2018 average -> Uruguay,Average CT score,Male,2,"['NA', '&nbsp;']"
4103,r103,ICILS 2018 average -> Uruguay,Average CT score,Female,2,"['NA', '&nbsp;']"
4103,r104,ICILS 2018 average -> Uruguay,Average CT score,Female-male score difference,2,"['NA', '&nbsp;']"
4103,r105,ICILS 2018 average -> Uruguay,OECD country and education system,,1,No
