table_id,row_id,institution,degree,degree_rank_,strength,strength_rank_,betweenness_centrality,betweenness_centrality_rank_,closeness_centrality,closeness_centrality_rank_,weighted_pagerank,weighted_pagerank_rank_,weighted_eigenvector_centrality,weighted_eigenvector_centrality_rank_
10066,r045,"U. Tokyo, The",4,38,321,48,243.0,7,0.28,60,0.02,12,0.0,76
10066,r046,U. Science and Technology Beijing,4,38,411,43,0.0,54,0.37,23,0.01,59,0.04,11
10066,r047,Huazhong U. Science and Technology,4,38,390,44,48.01,22,0.37,26,0.01,43,0.01,34
10066,r048,National U. Defense Technology,4,38,272,51,82.33,15,0.37,37,0.01,53,0.02,16
10066,r049,Harvard U.,3,49,427,40,0.0,54,0.28,59,0.01,39,0.0,68
10066,r050,U. Oxford,3,49,198,61,240.0,8,0.28,60,0.01,32,0.0,77
10066,r051,Northeastern U. China,3,49,377,45,0.5,48,0.36,43,0.01,61,0.05,9
10066,r052,Sichuan U.,3,49,306,50,82.0,16,0.3,56,0.01,29,0.0,56
10066,r053,Imperial C. London,3,49,187,63,82.0,16,0.22,79,0.01,23,0.0,82
10066,r054,Chongqing U.,3,49,183,65,1.02,45,0.37,35,0.0,69,0.01,45
10066,r055,Dalian U. Technology,3,49,213,55,1.0,46,0.36,41,0.0,71,0.01,33
10066,r056,Northwestern Polytechnical U. Xi'an,3,49,330,47,0.0,54,0.36,43,0.01,56,0.02,30
10066,r057,Swiss Federal Institute of Technology Zurich,3,49,193,62,134.0,12,0.35,50,0.01,54,0.0,63
10066,r058,Georgia Institute of Technology,3,49,206,56,71.17,18,0.31,54,0.0,66,0.0,71
10066,r059,Fudan U.,3,49,202,60,38.31,26,0.36,41,0.01,62,0.01,39
10066,r060,U. Illinois at Urbana-Champaign,3,49,205,58,11.91,33,0.32,52,0.01,64,0.0,53
10066,r061,North China Electric Power U.,2,61,206,56,0.0,54,0.36,45,0.0,67,0.01,43
10066,r062,U. Sydney,2,61,204,59,0.0,54,0.28,69,0.01,55,0.0,57
10066,r063,U. C. London,2,61,143,70,0.0,54,0.22,80,0.01,41,0.0,81
10066,r064,Hefei U. Technology,2,61,184,64,0.0,54,0.36,45,0.0,76,0.01,35
10066,r065,Beijing Jiaotong U.,2,61,171,67,0.0,54,0.36,45,0.0,77,0.02,27
10066,r066,U. New South Wales,2,61,243,53,0.0,54,0.28,69,0.01,50,0.0,54
10066,r067,Tianjin U.,2,61,222,54,0.0,54,0.37,29,0.0,73,0.02,15
10066,r068,Tongji U.,2,61,165,68,0.33,49,0.27,74,0.01,63,0.0,58
10066,r069,Southwest Jiaotong U.,2,61,163,69,0.0,54,0.3,57,0.01,58,0.0,60
10066,r070,Wuhan U. Technology,2,61,181,66,0.0,54,0.28,73,0.0,65,0.0,55
10066,r071,Shandong U.,2,61,116,72,0.0,54,0.37,37,0.0,79,0.01,44
10066,r072,Central South U.,1,72,54,83,0.0,54,0.27,75,0.0,80,0.0,61
10066,r073,Technical U. Munich,1,72,54,83,0.0,54,0.18,84,0.0,68,0.0,84
10066,r074,U. Granada,1,72,62,80,0.0,54,0.23,78,0.0,74,0.0,73
10066,r075,Osaka U.,1,72,94,76,0.0,54,0.22,81,0.01,57,0.0,80
10066,r076,KU Leuven,1,72,78,77,0.0,54,0.26,77,0.0,72,0.0,74
10066,r077,Tokyo Institute of Technology,1,72,108,73,0.0,54,0.22,81,0.01,52,0.0,79
10066,r078,Polytechnic U. Catalonia,1,72,59,81,0.0,54,0.28,71,0.0,84,0.0,78
10066,r079,Jilin U.,1,72,69,78,0.0,54,0.36,48,0.0,82,0.01,40
10066,r080,Waseda U.,1,72,57,82,0.0,54,0.22,81,0.0,70,0.0,83
10066,r081,Harbin Engineering U.,1,72,126,71,0.0,54,0.29,58,0.0,78,0.0,51
10066,r082,Beijing U. Technology,1,72,102,74,0.0,54,0.36,48,0.0,81,0.02,32
10066,r083,National Research Council of Italy,1,72,67,79,0.0,54,0.28,71,0.0,83,0.0,75
10066,r084,U. Southern California,1,72,101,75,0.0,54,0.27,75,0.0,75,0.0,72
