table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_male_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
9609,r014,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,4,159,101,93,54,0,36,3,8,0
9609,r015,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",4,368,251,240,143,36,54,7,11,0
9609,r016,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",4,668,407,383,228,32,94,29,24,0
9609,r017,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,,3,1654,1199,1096,211,138,689,58,101,2
9609,r018,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer science,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,Computer science,4,1147,842,777,151,92,501,33,65,0
9609,r019,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,"Computer and information sciences, other",4,507,357,319,60,46,188,25,36,2
9609,r020,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,,3,7832,5205,4740,1542,308,2545,345,457,8
9609,r021,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,676,427,403,185,24,185,9,24,0
9609,r022,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Chemical and petroleum engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Chemical and petroleum engineering,4,840,561,510,191,10,288,21,50,1
9609,r023,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",4,897,593,515,202,36,221,56,77,1
9609,r024,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Electrical and computer engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Electrical and computer engineering,4,1735,1209,1102,227,69,750,56,105,2
9609,r025,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Engineering technologies,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Engineering technologies,4,286,220,194,52,,118,,25,1
9609,r026,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Industrial engineering and operations research,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Industrial engineering and operations research,4,469,323,283,54,38,154,37,39,1
9609,r027,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Materials and mining engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Materials and mining engineering,4,637,387,356,142,,189,,31,0
9609,r028,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Mechanical engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Mechanical engineering,4,1248,806,754,272,50,375,57,51,1
9609,r029,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Engineering, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Engineering, other",4,1044,679,623,217,57,265,84,55,1
9609,r030,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,627,455,410,275,27,67,41,45,0
9609,r031,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,4,381,263,229,136,15,50,28,34,0
9609,r032,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",4,246,192,181,139,12,17,13,11,0
9609,r033,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,,3,874,576,524,196,112,142,74,51,1
9609,r034,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Nursing and nursing science,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Nursing and nursing science,4,73,47,40,,,6,11,7,0
9609,r035,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,4,224,144,130,,,64,8,13,1
9609,r036,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Public health,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Public health,4,252,172,161,73,29,31,28,11,0
9609,r037,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Health sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,"Health sciences, other",4,325,213,193,65,60,41,27,20,0
9609,r038,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,,3,1523,1051,881,396,136,300,49,168,2
9609,r039,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Applied mathematics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Applied mathematics,4,336,239,217,98,25,75,19,22,0
9609,r040,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Mathematics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Mathematics,4,753,491,371,209,75,67,20,118,2
9609,r041,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Statistics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Statistics,4,434,321,293,89,36,158,10,28,0
9609,r042,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,3,1132,784,710,196,87,369,58,72,2
9609,r043,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,4,471,327,294,63,29,181,21,31,2
9609,r044,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",4,661,457,416,133,58,188,37,41,0
9609,r045,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,,3,3651,2524,2282,1146,102,936,98,239,3
9609,r046,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Astronomy and astrophysics,4,183,135,116,87,5,20,4,19,0
9609,r047,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Chemistry,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Chemistry,4,1645,1152,1080,504,,492,,71,1
9609,r048,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Materials sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Materials sciences,4,255,178,165,64,,92,,13,0
9609,r049,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Physics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Physics,4,1568,1059,921,491,46,332,52,136,2
9609,r050,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,,3,982,670,645,360,92,115,78,25,0
9609,r051,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Clinical psychology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Clinical psychology,4,234,184,,154,,,14,,0
9609,r052,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Counseling and applied psychology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Counseling and applied psychology,4,348,247,236,97,41,54,44,11,0
9609,r053,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Research and experimental psychology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Research and experimental psychology,4,282,183,,82,,39,14,,0
9609,r054,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Psychology, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,"Psychology, other",4,118,56,,27,11,,6,,0
9609,r055,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,,3,2407,1673,1346,377,406,311,252,326,1
9609,r056,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Anthropology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Anthropology,4,128,79,64,29,15,7,13,15,0
9609,r057,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,158,100,80,26,43,6,5,20,0
9609,r058,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Economics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Economics,4,894,693,520,104,119,197,100,172,1
9609,r059,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Political science and government,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Political science and government,4,399,269,228,76,75,37,40,41,0
9609,r060,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Public policy analysis,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Public policy analysis,4,157,91,77,19,19,16,23,14,0
9609,r061,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Sociology, demography, and population studies",4,238,167,149,49,61,16,23,18,0
9609,r062,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Social sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Social sciences, other",4,433,274,228,74,74,32,48,46,0
9609,r063,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,,,2,4842,2984,2612,381,1348,276,607,368,4
9609,r064,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,,3,781,564,454,41,292,84,37,109,1
9609,r065,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business -> Business administration and management,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,Business administration and management,4,239,154,120,11,66,28,15,33,1
9609,r066,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business -> Business, other",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,"Business, other",4,542,410,334,30,226,56,22,76,0
9609,r067,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,,3,1154,789,734,58,370,56,250,55,0
9609,r068,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education leadership and administration,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Education leadership and administration,4,378,279,270,8,136,14,112,9,0
9609,r069,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education research,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Education research,4,348,223,206,20,102,29,55,17,0
9609,r070,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Teacher education,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Teacher education,4,296,208,185,22,99,8,56,23,0
9609,r071,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education, other",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,"Education, other",4,132,79,73,8,33,5,27,6,0
9609,r072,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,,3,1709,941,821,179,380,56,206,119,1
9609,r073,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> English language and literature, letters",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"English language and literature, letters",4,393,215,199,40,115,12,32,16,0
9609,r074,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Foreign languages, literatures, and linguistics",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"Foreign languages, literatures, and linguistics",4,223,109,96,21,53,8,14,13,0
9609,r075,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> History,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,History,4,382,213,182,51,72,13,46,31,0
9609,r076,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Philosophy and religious studies,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,Philosophy and religious studies,4,415,238,202,54,96,14,38,35,1
9609,r077,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Humanities, other",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"Humanities, other",4,296,166,142,13,44,9,76,24,0
9609,r078,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,,3,363,174,155,21,85,24,25,19,0
9609,r079,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts -> Performing arts,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,Performing arts,4,267,123,109,7,65,17,20,14,0
9609,r080,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts -> Visual arts, media studies, and design",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,"Visual arts, media studies, and design",4,96,51,46,14,20,7,5,5,0
9609,r081,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,,3,835,516,448,82,221,56,89,66,2
9609,r082,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Communications and journalism,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Communications and journalism,4,199,124,108,21,71,8,8,16,0
9609,r083,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Multidisciplinary/ interdisciplinary studies,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Multidisciplinary/ interdisciplinary studies,4,171,97,88,16,30,17,25,8,1
9609,r084,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Public administration and social services,4,150,94,80,17,33,5,25,13,1
9609,r085,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,"Non-science and engineering, other",4,315,201,172,28,87,26,31,29,0
