table_id,row_id,education_and_occupation_full_path,education_and_occupation_level_1,education_and_occupation_level_2,education_and_occupation_level_3,education_and_occupation_level_4,education_and_occupation_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_non_hispanic_or_latino_total,field_non_hispanic_or_latino_american_indian_or_alaska_native,field_non_hispanic_or_latino_asian,field_non_hispanic_or_latino_black_or_african_american,field_non_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_non_hispanic_or_latino_white,field_non_hispanic_or_latino_more_than_one_race,field_non_hispanic_or_latino_some_other_race
3335,r019,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Construction and extraction occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Construction and extraction occupations,4,42000,35000,46000,36000,42000,35000,49000,48000,45000,38000
3335,r020,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Health care practitioners and technical occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Health care practitioners and technical occupations,4,45000,43000,45000,45000,50000,40000,45000,45000,44000,40000
3335,r021,"Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Installation, maintenance, and repair occupations",Total employed,Less than a bachelor's degree,Total skilled technical workers,"Installation, maintenance, and repair occupations",4,46000,40000,49000,40000,46000,40000,47000,50000,45000,41000
3335,r022,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Production occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Production occupations,4,42000,35000,45000,37000,36000,37000,41000,47000,43000,30000
3335,r023,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Architecture and engineering occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Architecture and engineering occupations,4,63000,55000,65000,57000,60000,56000,66000,65000,58000,40000
3335,r024,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> Computer and mathematical occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,Computer and mathematical occupations,4,61000,55000,63000,50000,65000,52000,65000,65000,51000,36000
3335,r025,Total employed -> Less than a bachelor's degree -> Total skilled technical workers -> All other skilled technical worker occupations,Total employed,Less than a bachelor's degree,Total skilled technical workers,All other skilled technical worker occupations,4,45000,41000,45000,38000,30000,42000,35000,48000,50000,41000
3335,r026,Total employed -> Less than a bachelor's degree -> Total non skilled technical worker occupations,Total employed,Less than a bachelor's degree,Total non skilled technical worker occupations,,3,30000,28000,31000,28000,28000,28000,32000,32000,30000,30000
3335,r027,Total employed -> Bachelor's degree (all occupations),Total employed,Bachelor's degree (all occupations),,,2,55000,46000,57000,45000,60000,48000,50000,59000,55000,46000
3335,r028,Total employed -> Advanced degree (all occupations),Total employed,Advanced degree (all occupations),,,2,75000,65000,75000,55000,95000,62000,65000,75000,71000,60000
