table_id,row_id,age_disability_status_and_disability_type_full_path,age_disability_status_and_disability_type_level_1,age_disability_status_and_disability_type_level_2,age_disability_status_and_disability_type_level_3,age_disability_status_and_disability_type_level_4,age_disability_status_and_disability_type_hierarchy_depth,field_both_sexes_number,field_both_sexes_distribution,field_male_number,field_male_distribution,field_female_number,field_female_distribution
1235,r037,All ages -> 65&#8211;74 years -> With disability,All ages,65&#8211;74 years,With disability,,3,7184055,25.3,3533416,26.7,3650639,24.1
1235,r038,All ages -> 65&#8211;74 years -> With disability -> Hearing difficulty,All ages,65&#8211;74 years,With disability,Hearing difficulty,4,2608146,9.2,1744535,13.2,863611,5.7
1235,r039,All ages -> 65&#8211;74 years -> With disability -> Vision difficulty,All ages,65&#8211;74 years,With disability,Vision difficulty,4,1269880,4.5,594765,4.5,675115,4.5
1235,r040,All ages -> 65&#8211;74 years -> With disability -> Cognitive difficulty,All ages,65&#8211;74 years,With disability,Cognitive difficulty,4,1539403,5.4,760531,5.7,778872,5.1
1235,r041,All ages -> 65&#8211;74 years -> With disability -> Ambulatory difficulty,All ages,65&#8211;74 years,With disability,Ambulatory difficulty,4,4381214,15.4,1821208,13.8,2560006,16.9
1235,r042,All ages -> 65&#8211;74 years -> With disability -> Self-care difficulty,All ages,65&#8211;74 years,With disability,Self-care difficulty,4,1239247,4.4,557173,4.2,682074,4.5
1235,r043,All ages -> 65&#8211;74 years -> With disability -> Independent living difficulty,All ages,65&#8211;74 years,With disability,Independent living difficulty,4,2150458,7.6,866206,6.5,1284252,8.5
1235,r044,All ages -> 75 years and older,All ages,75 years and older,,,2,19537552,100.0,8059382,100.0,11478170,100.0
1235,r045,All ages -> 75 years and older -> Without disability,All ages,75 years and older,Without disability,,3,9867001,50.5,4199700,52.1,5667301,49.4
1235,r046,All ages -> 75 years and older -> With disability,All ages,75 years and older,With disability,,3,9670551,49.5,3859682,47.9,5810869,50.6
1235,r047,All ages -> 75 years and older -> With disability -> Hearing difficulty,All ages,75 years and older,With disability,Hearing difficulty,4,4380019,22.4,2206679,27.4,2173340,18.9
1235,r048,All ages -> 75 years and older -> With disability -> Vision difficulty,All ages,75 years and older,With disability,Vision difficulty,4,1898734,9.7,711244,8.8,1187490,10.3
1235,r049,All ages -> 75 years and older -> With disability -> Cognitive difficulty,All ages,75 years and older,With disability,Cognitive difficulty,4,2716511,13.9,972470,12.1,1744041,15.2
1235,r050,All ages -> 75 years and older -> With disability -> Ambulatory difficulty,All ages,75 years and older,With disability,Ambulatory difficulty,4,6374950,32.6,2213093,27.5,4161857,36.3
1235,r051,All ages -> 75 years and older -> With disability -> Self-care difficulty,All ages,75 years and older,With disability,Self-care difficulty,4,2660692,13.6,884744,11.0,1775948,15.5
1235,r052,All ages -> 75 years and older -> With disability -> Independent living difficulty,All ages,75 years and older,With disability,Independent living difficulty,4,4845470,24.8,1505162,18.7,3340308,29.1
