table_id,row_id,_b_ethnicity_race_and_debt_level_b_full_path,_b_ethnicity_race_and_debt_level_b_level_1,_b_ethnicity_race_and_debt_level_b_level_2,_b_ethnicity_race_and_debt_level_b_level_3,_b_ethnicity_race_and_debt_level_b_level_4,_b_ethnicity_race_and_debt_level_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11689,r013,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $70,000 (%)",4,16.0,,0.0,0.0,0.0,0.0,0.0,,-,0.0,,,,,0.0,,,0.0,0.0
11689,r014,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,,3,,,,,,,,,,,,,,,,,,,
11689,r015,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,Total (number)<sup>a</sup>,4,3688,3130,44,885,180,705,56,186,131,106,335,217,285,558,116,174,124,38,106
11689,r016,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,"Debt > $30,000 (%)",4,8.9,7.7,15.9,6.3,4.4,3.3,,,,6.6,2.7,,11.6,15.6,11.2,17.2,12.9,15.8,20.8
11689,r017,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,"Debt > $70,000 (%)",4,4.7,4.0,,3.2,,1.1,0.0,9.7,0.0,,,,6.7,8.6,5.2,,5.6,,13.2
11689,r018,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,,3,,,,,,,,,,,,,,,,,,,
11689,r019,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,Total (number)<sup>a</sup>,4,2580,1570,,319,,204,,230,21,,92,277,285,1010,,561,141,,
11689,r020,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,"Debt > $30,000 (%)",4,50.9,44.1,43.3,,,17.6,,65.2,28.6,,14.1,68.2,54.0,61.5,62.3,63.8,,,65.8
11689,r021,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,"Debt > $70,000 (%)",4,34.8,29.7,26.7,16.6,,7.4,,48.3,,28.6,5.4,52.7,34.7,42.6,47.5,43.9,,,47.6
11689,r022,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,,3,,,,,,,,,,,,,,,,,,,
11689,r023,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,Total (number)<sup>a</sup>,4,22206,16999,546,4427,459,2775,583,1143,626,496,2124,1911,1909,5207,367,1864,1727,408,841
11689,r024,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,"Debt > $30,000 (%)",4,17.2,14.4,16.5,10.3,7.8,6.3,6.9,34.7,4.2,12.5,4.7,33.9,21.6,26.7,19.3,30.1,23.7,25.7,28.8
11689,r025,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,"Debt > $70,000 (%)",4,9.6,7.7,7.9,4.9,3.9,2.3,,18.9,1.1,6.5,2.0,21.9,,15.7,13.1,17.1,14.1,16.4,16.6
11689,r026,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,,3,,,,,,,,,,,,,,,,,,,
11689,r027,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,Total (number)<sup>a</sup>,4,1283,1051,27,324,21,174,29,59,41,24,111,139,102,232,15,76,71,16,54
11689,r028,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,"Debt > $30,000 (%)",4,19.3,14.5,,8.6,,9.8,,42.4,,,,32.4,21.6,41.4,40.0,,31.0,,53.7
11689,r029,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,"Debt > $70,000 (%)",4,12.1,8.8,,2.8,,3.4,0.0,28.8,,,,27.3,13.7,26.7,,35.5,11.3,,38.9
11689,r030,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,,3,,,,,,,,,,,,,,,,,,,
11689,r031,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,Total (number)<sup>a</sup>,4,330,244,3,57,10,,4,16,11,6,,31,38,86,8,19,33,8,18
11689,r032,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,"Debt > $30,000 (%)",4,19.1,17.6,66.7,12.3,0.0,8.6,0.0,56.3,9.1,16.7,3.0,38.7,18.4,23.3,12.5,47.4,15.2,12.5,22.2
11689,r033,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,"Debt > $70,000 (%)",4,11.2,,0.0,7.0,0.0,0.0,0.0,,9.1,0.0,0.0,29.0,5.3,,12.5,31.6,,0.0,11.1
11689,r034,U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported,U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,,,2,,,,,,,,,,,,,,,,,,,
11689,r035,U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,Total (number)<sup>a</sup>,,3,166,121,4,21,8,17,2,15,2,8,11,15,18,45,4,19,13,6,3
11689,r036,"U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,"Debt > $30,000 (%)",,3,19.3,19.8,0.0,4.8,12.5,23.5,0.0,60.0,0.0,0.0,0.0,40.0,16.7,17.8,0.0,31.6,7.7,16.7,0.0
11689,r037,"U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,"Debt > $70,000 (%)",,3,14.5,16.5,0.0,0.0,12.5,23.5,0.0,53.3,0.0,0.0,0.0,26.7,16.7,8.9,0.0,10.5,7.7,16.7,0.0
