table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_male_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
11703,r062,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Public policy analysis,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Public policy analysis,4,161,109,97,18,21,18,40,11,1
11703,r063,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Sociology, demography, and population studies",4,240,180,154,59,66,10,19,26,0
11703,r064,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Social sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Social sciences, other",4,451,296,243,70,87,40,46,53,0
11703,r065,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,,,2,4876,3080,2727,421,1416,282,608,349,4
11703,r066,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,,3,822,608,507,45,337,82,43,99,2
11703,r067,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business -> Business administration and management,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,Business administration and management,4,265,166,137,14,76,31,16,28,1
11703,r068,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business -> Business, other",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,"Business, other",4,557,442,370,31,261,51,27,71,1
11703,r069,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,,3,1089,735,694,61,324,53,256,41,0
11703,r070,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education leadership and administration,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Education leadership and administration,4,396,296,280,16,122,14,128,16,0
11703,r071,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education research,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Education research,4,317,200,190,17,83,31,59,10,0
11703,r072,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Teacher education and teaching fields,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Teacher education and teaching fields,4,273,179,,19,90,,52,,0
11703,r073,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education, other",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,"Education, other",4,103,60,,9,29,,17,,0
11703,r074,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,,3,1731,1008,885,218,416,56,195,122,1
11703,r075,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> English language and literature, letters",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"English language and literature, letters",4,420,245,225,37,134,21,33,19,1
11703,r076,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Foreign languages, literatures, and linguistics",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"Foreign languages, literatures, and linguistics",4,233,125,,25,66,,17,,0
11703,r077,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> History,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,History,4,404,236,211,69,83,5,54,25,0
11703,r078,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Philosophy and religious studies,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,Philosophy and religious studies,4,397,250,208,77,82,15,34,42,0
11703,r079,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Humanities, other",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"Humanities, other",4,277,152,,10,51,,57,,0
11703,r080,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,,3,356,181,160,20,95,25,20,21,0
11703,r081,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts -> Performing arts,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,Performing arts,4,257,120,109,7,67,20,15,11,0
11703,r082,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts -> Visual arts, media studies, and design",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,"Visual arts, media studies, and design",4,99,61,51,13,28,5,5,10,0
11703,r083,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,,3,878,548,481,77,244,66,94,66,1
11703,r084,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Communications and journalism,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Communications and journalism,4,247,161,144,23,96,14,11,17,0
11703,r085,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Multidisciplinary/ interdisciplinary studies,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Multidisciplinary/ interdisciplinary studies,4,160,94,84,11,43,8,22,10,0
11703,r086,Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services,Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Public administration and social services,4,143,96,85,14,27,15,29,11,0
11703,r087,"Male doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other",Male doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,"Non-science and engineering, other",4,328,197,168,29,78,29,32,28,1
