table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_ftes,field_r_d_function_researchers,field_r_d_function_r_d_technicians,field_r_d_function_r_d_support_staff
12497,r055,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> West Coast Region,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,West Coast Region,,5,18.6,18.6,0.0,0.0
12497,r056,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,,,4,,,,
12497,r057,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Center for Operational Oceanographic Products and Services,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Center for Operational Oceanographic Products and Services,,5,7.8,7.8,0.0,0.0
12497,r058,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Integrated Ocean Observing System,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Integrated Ocean Observing System,,5,0.0,0.0,0.0,0.0
12497,r059,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> National Centers for Coastal Ocean Science,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,National Centers for Coastal Ocean Science,,5,170.0,170.0,0.0,0.0
12497,r060,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> National Geodetic Survey,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,National Geodetic Survey,,5,38.1,38.1,0.0,0.0
12497,r061,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office for Coastal Management,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office for Coastal Management,,5,0.0,0.0,0.0,0.0
12497,r062,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office of Response and Restoration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office of Response and Restoration,,5,5.8,5.8,0.0,0.0
12497,r063,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office of the Coast Survey,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office of the Coast Survey,,5,18.0,18.0,0.0,0.0
12497,r064,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,,,4,,,,
12497,r065,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> National Centers for Environmental Prediction,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,National Centers for Environmental Prediction,,5,10.5,10.5,0.0,0.0
12497,r066,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> Office of Science and Technology Integration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,Office of Science and Technology Integration,,5,0.0,0.0,0.0,0.0
12497,r067,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> Office of Water Prediction,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,Office of Water Prediction,,5,19.4,19.4,0.0,0.0
12497,r068,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,,,4,,,,
12497,r069,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Air Resources Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Air Resources Laboratory,,5,31.4,31.4,0.0,0.0
12497,r070,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Atlantic Oceanographic and Meteorological Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Atlantic Oceanographic and Meteorological Laboratory,,5,89.5,89.5,0.0,0.0
12497,r071,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Chemical Sciences Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Chemical Sciences Laboratory,,5,56.3,56.3,0.0,0.0
12497,r072,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Climate Program Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Climate Program Office,,5,48.2,48.2,0.0,0.0
12497,r073,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Earth System Research Laboratories,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Earth System Research Laboratories,,5,8.3,8.3,0.0,0.0
12497,r074,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Geophysical Fluid Dynamics Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Geophysical Fluid Dynamics Laboratory,,5,103.8,103.8,0.0,0.0
12497,r075,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Monitoring Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Monitoring Laboratory,,5,47.0,47.0,0.0,0.0
12497,r076,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Ocean Monitoring and Observing Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Ocean Monitoring and Observing Program,,5,10.1,10.1,0.0,0.0
12497,r077,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Systems Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Systems Laboratory,,5,62.7,62.7,0.0,0.0
12497,r078,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Great Lakes Environmental Research Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Great Lakes Environmental Research Laboratory,,5,50.3,50.3,0.0,0.0
12497,r079,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> National Sea Grant College Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,National Sea Grant College Program,,5,24.8,24.8,0.0,0.0
12497,r080,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> National Severe Storms Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,National Severe Storms Laboratory,,5,61.9,61.9,0.0,0.0
12497,r081,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Ocean Acidification Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Ocean Acidification Program,,5,6.6,6.6,0.0,0.0
12497,r082,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Office of Ocean Exploration and Research,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Office of Ocean Exploration and Research,,5,30.9,30.9,0.0,0.0
12497,r083,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Office of Research Transition and Application,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Office of Research Transition and Application,,5,6.4,6.4,0.0,0.0
12497,r084,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Pacific Marine Environment Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Pacific Marine Environment Laboratory,,5,74.9,74.9,0.0,0.0
12497,r085,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Physical Sciences Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Physical Sciences Laboratory,,5,65.6,65.6,0.0,0.0
12497,r086,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Weather Program Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Weather Program Office,,5,22.5,22.5,0.0,0.0
12497,r087,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,,,4,,,,
12497,r088,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations -> Marine and Aviation Operations Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,Marine and Aviation Operations Center,,5,6.5,6.5,0.0,0.0
12497,r089,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations -> National Oceanic and Atmospheric Administration Corps,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,National Oceanic and Atmospheric Administration Corps,,5,123.3,123.3,0.0,0.0
12497,r090,All agencies -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Department of Commerce,National Telecommunications and Information Administration,,,,3,,,,
12497,r091,All agencies -> Department of Commerce -> National Telecommunications and Information Administration -> Institute for Telecommunication Sciences,All agencies,Department of Commerce,National Telecommunications and Information Administration,Institute for Telecommunication Sciences,,,4,NA,NA,NA,NA
12497,r092,All agencies -> Department of Defense,All agencies,Department of Defense,,,,,2,,,,
12497,r093,All agencies -> Department of Defense -> Defense Information Systems Agency,All agencies,Department of Defense,Defense Information Systems Agency,,,,3,201.0,66.0,103.0,32.0
12497,r094,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,,,,3,,,,
12497,r095,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command,All agencies,Department of Defense,Department of the Air Force,Materiel Command,,,4,,,,
12497,r096,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Civil Engineer Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Civil Engineer Center,,5,NA,NA,NA,NA
12497,r097,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Life Cycle Management Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Life Cycle Management Center,,5,NA,NA,NA,NA
12497,r098,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Nuclear Weapons Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Nuclear Weapons Center,,5,NA,NA,NA,NA
12497,r099,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Research Laboratory,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Research Laboratory,,5,NA,NA,NA,NA
12497,r100,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Test Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Test Center,,5,NA,NA,NA,NA
12497,r101,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,,,,3,,,,
12497,r102,All agencies -> Department of Defense -> Department of the Army -> Army Cyber Command,All agencies,Department of Defense,Department of the Army,Army Cyber Command,,,4,NA,NA,NA,NA
12497,r103,All agencies -> Department of Defense -> Department of the Army -> Army Engineer Research and Development Center,All agencies,Department of Defense,Department of the Army,Army Engineer Research and Development Center,,,4,1811.0,1403.0,177.0,231.0
12497,r104,All agencies -> Department of Defense -> Department of the Army -> Army Medical Research and Development Command,All agencies,Department of Defense,Department of the Army,Army Medical Research and Development Command,,,4,NA,NA,NA,NA
12497,r105,All agencies -> Department of Defense -> Department of the Army -> Army Research Institute for the Behavioral and Social Sciences,All agencies,Department of Defense,Department of the Army,Army Research Institute for the Behavioral and Social Sciences,,,4,NA,NA,NA,NA
12497,r106,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM),All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),,,4,,,,
12497,r107,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Armaments Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Armaments Center,,5,1909.4,209.7,1368.0,331.7
12497,r108,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Army Research Laboratory,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Army Research Laboratory,,5,NA,NA,NA,NA
12497,r109,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Aviation and Missile Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Aviation and Missile Center,,5,NA,NA,NA,NA
12497,r110,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Chemical Biological Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Chemical Biological Center,,5,240.0,117.0,85.0,38.0
12497,r111,"All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),"Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",,5,1683.0,1404.0,81.0,198.0
12497,r112,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Data and Analysis Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Data and Analysis Center,,5,25.0,25.0,0.0,0.0
12497,r113,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> DEVCOM Headquarters,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),DEVCOM Headquarters,,5,81.0,0.0,0.0,81.0
12497,r114,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Ground Vehicle Systems Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Ground Vehicle Systems Center,,5,NA,NA,NA,NA
12497,r115,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Soldier Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Soldier Center,,5,688.0,431.0,59.0,198.0
12497,r116,All agencies -> Department of Defense -> Department of the Army -> Space and Missile Defense Command,All agencies,Department of Defense,Department of the Army,Space and Missile Defense Command,,,4,183.0,135.0,1.0,47.0
12497,r117,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,,,,3,,,,
12497,r118,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,,,4,,,,
12497,r119,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup>,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,,5,140.0,41.0,17.0,82.0
