table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_humanities_and_arts_fields,field_foreign_languages_and_literature,field_history,field_letters,field_other_humanities_and_arts
1802,r016,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,54.2,47.2,61.9,45.0,59.1
1802,r017,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,84.2,83.6,88.5,84.8,82.1
1802,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,34.3,34.4,33.7,33.8,34.8
1802,r019,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,
1802,r020,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From bachelor's,,3,11.0,11.0,10.6,10.8,11.6
1802,r021,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,9.4,9.3,9.3,9.0,9.8
1802,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,6.8,6.8,7.0,6.6,6.8
1802,r023,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,2567,247,513,585,1222
1802,r024,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,,
1802,r025,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,81.2,67.6,83.4,86.5,80.4
1802,r026,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,13.8,28.7,12.1,9.6,13.6
1802,r027,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,5.0,3.6,4.5,3.9,6.0
1802,r028,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,
1802,r029,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,25.1,26.7,26.9,24.6,24.2
1802,r030,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Married,4,49.8,42.5,51.1,51.3,50.1
1802,r031,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,9.2,14.2,9.2,9.2,8.2
1802,r032,"All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,3.2,5.7,3.1,3.2,2.6
1802,r033,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,12.7,10.9,9.7,11.6,14.9
1802,r034,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,56.6,44.1,64.9,45.6,60.9
1802,r035,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),,3,83.8,84.6,88.3,86.0,80.7
1802,r036,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,34.5,34.7,33.8,34.5,34.8
1802,r037,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,
1802,r038,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.0,11.0,10.7,11.0,11.4
1802,r039,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.6,9.1,9.3,9.1,9.8
1802,r040,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,6.8,6.7,6.9,6.7,6.8
1802,r041,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),,,2,2575,370,435,856,914
1802,r042,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,,
1802,r043,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,80.2,64.6,85.5,85.2,79.4
1802,r044,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,14.9,29.5,11.5,9.7,15.4
1802,r045,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,4.9,5.9,3.0,5.1,5.1
1802,r046,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,
1802,r047,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,29.0,30.0,29.7,27.1,30.2
1802,r048,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Married,4,43.7,41.6,46.7,41.7,44.9
1802,r049,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,11.0,11.6,11.0,12.6,9.2
1802,r050,"All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,4.9,3.8,4.8,6.0,4.4
1802,r051,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,11.4,13.0,7.8,12.6,11.4
1802,r052,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,52.0,49.2,58.4,44.6,56.9
1802,r053,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),,3,84.7,83.0,88.7,84.1,84.1
1802,r054,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,33.9,34.3,33.5,33.4,34.7
1802,r055,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,,
1802,r056,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.0,11.0,10.6,10.6,12.0
1802,r057,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.3,9.3,9.3,8.9,10.0
1802,r058,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,6.8,6.8,7.0,6.5,6.9
