table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9587,r030,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Personal sources,Other earnings during graduate school,4,24.4,20.3,27.2,19.9,16.5,15.5,16.7,35.9,17.8,20.6,12.8,45.4,36.1,47.0,24.2,56.8,51.8,57.1,40.8
9587,r031,"All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),"Spouse's, partner's, or family's earnings or savings",,3,32.9,31.0,37.3,32.2,28.2,29.2,26.8,32.1,28.8,29.5,26.2,45.7,39.2,43.9,40.0,38.6,48.4,48.8,43.3
9587,r032,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Employer reimbursement or assistance,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Employer reimbursement or assistance,,3,9.3,8.0,9.8,8.0,9.4,7.7,9.9,15.9,5.9,9.7,5.2,8.8,9.0,16.3,13.1,30.1,10.7,7.7,15.4
9587,r033,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Foreign (non-U.S.) support,,3,6.1,5.9,9.3,4.4,6.8,7.4,5.4,6.5,4.7,6.5,3.2,2.3,8.5,7.2,7.4,5.4,7.1,9.0,8.7
9587,r034,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Other ,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Other ,,3,1.0,0.8,0.7,0.8,0.7,0.7,0.7,1.7,0.6,0.5,0.6,2.2,1.3,1.9,2.2,2.1,2.0,0.9,1.8
9587,r035,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number),All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),,,2,24031,18104,603,4614,467,2608,496,1693,557,569,1613,2460,2424,5927,530,2360,1491,421,1125
9587,r036,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Fellowship or scholarship,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Fellowship or scholarship,,3,69.1,70.1,72.5,75.1,59.3,67.8,79.0,59.8,61.4,69.4,66.8,63.4,81.2,65.9,69.4,49.3,85.0,90.3,64.4
9587,r037,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Dissertation grant,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Dissertation grant,,3,22.1,20.1,21.2,16.2,10.1,10.7,19.8,24.2,7.5,19.5,10.0,22.2,44.3,28.1,19.4,15.0,46.0,49.9,27.7
9587,r038,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Assistantship,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Assistantship,,3,,,,,,,,,,,,,,,,,,,
9587,r039,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Assistantship -> Teaching,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Assistantship,Teaching,4,66.7,68.0,54.1,55.9,79.7,69.2,79.2,44.3,91.9,73.5,89.6,68.9,82.9,62.9,68.1,38.4,88.9,91.7,66.6
9587,r040,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Assistantship -> Research,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Assistantship,Research,4,63.8,70.0,77.6,65.7,85.0,85.7,90.7,49.7,65.4,77.3,89.8,58.5,64.6,44.5,66.6,37.1,41.4,39.0,56.0
9587,r041,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Assistantship -> Other,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Assistantship,Other,4,10.2,8.3,7.8,4.6,6.0,4.7,6.9,8.0,5.4,7.4,3.7,20.3,12.4,15.8,6.4,16.4,18.6,22.1,13.2
9587,r042,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Traineeship,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Traineeship,,3,4.9,6.2,2.8,12.9,1.1,3.5,2.6,6.6,2.2,3.5,3.3,6.3,1.9,1.0,,,1.0,,1.2
9587,r043,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Internship or clinical residency,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Internship or clinical residency,,3,11.0,13.3,6.3,4.8,37.9,16.6,10.5,5.1,20.5,16.9,5.5,39.0,5.7,4.2,3.2,3.6,4.0,9.3,4.4
9587,r044,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Loan (any source),All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Loan (any source),,3,25.1,20.8,18.6,13.6,7.7,8.2,12.5,38.2,4.8,16.7,8.4,44.9,28.9,38.5,24.9,47.3,30.3,33.7,39.0
9587,r045,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Personal sources,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Personal sources,,3,,,,,,,,,,,,,,,,,,,
9587,r046,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Personal sources -> Savings,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Personal sources,Savings,4,55.2,52.4,51.6,48.9,43.5,42.2,45.8,63.1,43.6,51.1,39.4,68.5,60.6,63.5,62.1,65.1,60.1,66.3,64.2
9587,r047,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Personal sources,Other earnings during graduate school,4,34.7,29.0,25.2,21.5,17.8,16.1,24.0,48.3,16.2,26.5,14.9,46.1,43.4,51.9,27.9,57.8,52.7,57.0,47.6
9587,r048,"All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),"Spouse's, partner's, or family's earnings or savings",,3,44.9,43.4,42.6,41.4,38.3,36.7,36.1,48.5,37.7,43.2,30.7,58.7,47.8,49.5,52.1,47.7,50.0,55.1,49.4
9587,r049,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Employer reimbursement or assistance,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Employer reimbursement or assistance,,3,10.8,8.5,10.6,7.1,9.2,5.3,7.5,22.7,6.8,7.0,3.9,8.5,8.0,17.9,11.9,29.1,8.1,4.0,15.6
9587,r050,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Foreign (non-U.S.) support,,3,4.8,4.7,7.6,3.7,7.9,5.3,5.4,5.0,7.5,7.9,2.9,2.6,5.9,5.2,7.0,3.3,5.2,10.2,6.3
9587,r051,All doctorate recipients reporting source of support (number) -> Female doctorate recipients reporting source of support (number) -> Other ,All doctorate recipients reporting source of support (number),Female doctorate recipients reporting source of support (number),Other ,,3,1.1,1.1,1.0,1.0,0.9,0.5,0.0,1.8,0.5,0.9,0.8,1.7,1.2,1.2,1.1,1.4,0.8,1.2,1.3
