table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_male_number,field_male_se,field_female_number,field_female_se
8227,r042,"All sectors -> Private, for profit<sup>c</sup> -> Engineering occupations",All sectors,"Private, for profit<sup>c</sup>",Engineering occupations,,3,68150,1400,57950,1375,10200,450
8227,r043,"All sectors -> Private, for profit<sup>c</sup> -> S&E-related occupations",All sectors,"Private, for profit<sup>c</sup>",S&E-related occupations,,3,35400,1075,24700,900,10700,550
8227,r044,"All sectors -> Private, for profit<sup>c</sup> -> Non-S&E occupations",All sectors,"Private, for profit<sup>c</sup>",Non-S&E occupations,,3,66400,1175,43550,1075,22850,625
8227,r045,"All sectors -> Private, nonprofit",All sectors,"Private, nonprofit",,,2,60200,1300,32050,1025,28150,825
8227,r046,"All sectors -> Private, nonprofit -> Science occupations",All sectors,"Private, nonprofit",Science occupations,,3,32250,950,17350,700,14950,625
8227,r047,"All sectors -> Private, nonprofit -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,"Private, nonprofit",Science occupations,"Biological, agricultural, and other life scientists",4,12600,550,7100,525,5500,375
8227,r048,"All sectors -> Private, nonprofit -> Science occupations -> Computer and information scientists",All sectors,"Private, nonprofit",Science occupations,Computer and information scientists,4,2150,275,1600,250,550,125
8227,r049,"All sectors -> Private, nonprofit -> Science occupations -> Mathematical scientists",All sectors,"Private, nonprofit",Science occupations,Mathematical scientists,4,2350,275,1650,225,700,125
8227,r050,"All sectors -> Private, nonprofit -> Science occupations -> Physical scientists",All sectors,"Private, nonprofit",Science occupations,Physical scientists,4,4550,325,3300,275,1250,150
8227,r051,"All sectors -> Private, nonprofit -> Science occupations -> Psychologists",All sectors,"Private, nonprofit",Science occupations,Psychologists,4,6250,475,1850,250,4450,375
8227,r052,"All sectors -> Private, nonprofit -> Science occupations -> Social scientists",All sectors,"Private, nonprofit",Science occupations,Social scientists,4,4300,350,1850,225,2450,300
8227,r053,"All sectors -> Private, nonprofit -> Engineering occupations",All sectors,"Private, nonprofit",Engineering occupations,,3,4100,325,3150,325,900,150
8227,r054,"All sectors -> Private, nonprofit -> S&E-related occupations",All sectors,"Private, nonprofit",S&E-related occupations,,3,11350,575,5900,450,5500,350
8227,r055,"All sectors -> Private, nonprofit -> Non-S&E occupations",All sectors,"Private, nonprofit",Non-S&E occupations,,3,12500,625,5700,400,6800,450
8227,r056,All sectors -> Federal government,All sectors,Federal government,,,2,52700,1250,31400,1025,21250,700
8227,r057,All sectors -> Federal government -> Science occupations,All sectors,Federal government,Science occupations,,3,34350,1075,19400,825,14950,600
8227,r058,"All sectors -> Federal government -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Federal government,Science occupations,"Biological, agricultural, and other life scientists",4,14250,650,7650,525,6600,375
8227,r059,All sectors -> Federal government -> Science occupations -> Computer and information scientists,All sectors,Federal government,Science occupations,Computer and information scientists,4,1300,175,1100,175,250,75
8227,r060,All sectors -> Federal government -> Science occupations -> Mathematical scientists,All sectors,Federal government,Science occupations,Mathematical scientists,4,2050,225,1250,175,750,125
8227,r061,All sectors -> Federal government -> Science occupations -> Physical scientists,All sectors,Federal government,Science occupations,Physical scientists,4,7450,425,5400,375,2000,200
8227,r062,All sectors -> Federal government -> Science occupations -> Psychologists,All sectors,Federal government,Science occupations,Psychologists,4,5250,425,1950,275,3300,325
8227,r063,All sectors -> Federal government -> Science occupations -> Social scientists,All sectors,Federal government,Science occupations,Social scientists,4,4100,350,2050,275,2050,250
8227,r064,All sectors -> Federal government -> Engineering occupations,All sectors,Federal government,Engineering occupations,,3,7200,500,5650,450,1550,225
8227,r065,All sectors -> Federal government -> S&E-related occupations,All sectors,Federal government,S&E-related occupations,,3,5100,400,3300,325,1800,225
8227,r066,All sectors -> Federal government -> Non-S&E occupations,All sectors,Federal government,Non-S&E occupations,,3,6050,425,3100,300,2950,300
8227,r067,All sectors -> State or local government,All sectors,State or local government,,,2,19650,750,11500,650,8200,450
8227,r068,All sectors -> State or local government -> Science occupations,All sectors,State or local government,Science occupations,,3,10850,525,6300,450,4550,325
8227,r069,"All sectors -> State or local government -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,State or local government,Science occupations,"Biological, agricultural, and other life scientists",4,3300,275,1850,225,1450,175
8227,r070,All sectors -> State or local government -> Science occupations -> Computer and information scientists,All sectors,State or local government,Science occupations,Computer and information scientists,4,800,200,700,175,100,50
8227,r071,All sectors -> State or local government -> Science occupations -> Mathematical scientists,All sectors,State or local government,Science occupations,Mathematical scientists,4,500,150,350,150,100,50
8227,r072,All sectors -> State or local government -> Science occupations -> Physical scientists,All sectors,State or local government,Science occupations,Physical scientists,4,2450,250,1700,200,750,125
8227,r073,All sectors -> State or local government -> Science occupations -> Psychologists,All sectors,State or local government,Science occupations,Psychologists,4,2450,325,1000,225,1450,250
8227,r074,All sectors -> State or local government -> Science occupations -> Social scientists,All sectors,State or local government,Science occupations,Social scientists,4,1350,150,700,125,650,100
8227,r075,All sectors -> State or local government -> Engineering occupations,All sectors,State or local government,Engineering occupations,,3,2600,325,2000,325,600,125
8227,r076,All sectors -> State or local government -> S&E-related occupations,All sectors,State or local government,S&E-related occupations,,3,2750,300,1550,250,1200,150
8227,r077,All sectors -> State or local government -> Non-S&E occupations,All sectors,State or local government,Non-S&E occupations,,3,3450,325,1600,225,1850,225
8227,r078,All sectors -> Self-employed<sup>d</sup>,All sectors,Self-employed<sup>d</sup>,,,2,42650,1075,20900,850,21750,800
8227,r079,All sectors -> Self-employed<sup>d</sup> -> Science occupations,All sectors,Self-employed<sup>d</sup>,Science occupations,,3,25950,850,11350,650,14650,650
8227,r080,"All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Self-employed<sup>d</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,3550,325,2350,275,1150,200
8227,r081,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Computer and information scientists,All sectors,Self-employed<sup>d</sup>,Science occupations,Computer and information scientists,4,1350,225,1150,225,200,75
8227,r082,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Mathematical scientists,All sectors,Self-employed<sup>d</sup>,Science occupations,Mathematical scientists,4,500,125,350,100,150,75
8227,r083,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Physical scientists,All sectors,Self-employed<sup>d</sup>,Science occupations,Physical scientists,4,1600,225,1300,225,300,75
8227,r084,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Psychologists,All sectors,Self-employed<sup>d</sup>,Science occupations,Psychologists,4,17150,700,5150,450,12000,625
8227,r085,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Social scientists,All sectors,Self-employed<sup>d</sup>,Science occupations,Social scientists,4,1800,225,1000,200,800,125
8227,r086,All sectors -> Self-employed<sup>d</sup> -> Engineering occupations,All sectors,Self-employed<sup>d</sup>,Engineering occupations,,3,2350,275,2150,250,200,75
8227,r087,All sectors -> Self-employed<sup>d</sup> -> S&E-related occupations,All sectors,Self-employed<sup>d</sup>,S&E-related occupations,,3,2450,250,1350,225,1100,150
8227,r088,All sectors -> Self-employed<sup>d</sup> -> Non-S&E occupations,All sectors,Self-employed<sup>d</sup>,Non-S&E occupations,,3,11850,575,6050,425,5800,425
8227,r089,All sectors -> Other sector<sup>e</sup>,All sectors,Other sector<sup>e</sup>,,,2,7300,425,4450,350,2850,250
8227,r090,All sectors -> Other sector<sup>e</sup> -> Science occupations,All sectors,Other sector<sup>e</sup>,Science occupations,,3,4050,325,2450,275,1600,175
8227,r091,"All sectors -> Other sector<sup>e</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Other sector<sup>e</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,1000,150,400,125,600,125
8227,r092,All sectors -> Other sector<sup>e</sup> -> Science occupations -> Computer and information scientists,All sectors,Other sector<sup>e</sup>,Science occupations,Computer and information scientists,4,550,150,450,150,100,50
8227,r093,All sectors -> Other sector<sup>e</sup> -> Science occupations -> Mathematical scientists,All sectors,Other sector<sup>e</sup>,Science occupations,Mathematical scientists,4,250,100,S,S,100,50
8227,r094,All sectors -> Other sector<sup>e</sup> -> Science occupations -> Physical scientists,All sectors,Other sector<sup>e</sup>,Science occupations,Physical scientists,4,650,125,450,100,200,50
8227,r095,All sectors -> Other sector<sup>e</sup> -> Science occupations -> Psychologists,All sectors,Other sector<sup>e</sup>,Science occupations,Psychologists,4,350,125,150,75,200,100
8227,r096,All sectors -> Other sector<sup>e</sup> -> Science occupations -> Social scientists,All sectors,Other sector<sup>e</sup>,Science occupations,Social scientists,4,1200,175,850,175,350,75
8227,r097,All sectors -> Other sector<sup>e</sup> -> Engineering occupations,All sectors,Other sector<sup>e</sup>,Engineering occupations,,3,1300,200,1000,175,300,100
8227,r098,All sectors -> Other sector<sup>e</sup> -> S&E-related occupations,All sectors,Other sector<sup>e</sup>,S&E-related occupations,,3,800,200,400,125,400,125
8227,r099,All sectors -> Other sector<sup>e</sup> -> Non-S&E occupations,All sectors,Other sector<sup>e</sup>,Non-S&E occupations,,3,1150,175,650,125,500,125
