table_id,row_id,sex_and_field_of_highest_degree_full_path,sex_and_field_of_highest_degree_level_1,sex_and_field_of_highest_degree_level_2,sex_and_field_of_highest_degree_level_3,sex_and_field_of_highest_degree_level_4,sex_and_field_of_highest_degree_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_type_of_disability_hearing,field_type_of_disability_seeing,field_type_of_disability_walking,field_type_of_disability_lifting,field_type_of_disability_cognitive
5322,r018,"Both sexes, all fields -> Female -> Non-S&E fields","Both sexes, all fields",Female,Non-S&E fields,,3,444000,22000,,40000,48000,,312000,20000,404000,39000,11000,18000,5000,5000,10000
5322,r019,"Both sexes, all fields -> Male","Both sexes, all fields",Male,,,2,5274000,382000,S,1055000,244000,14000,3461000,100000,4789000,484000,185000,210000,35000,30000,125000
5322,r020,"Both sexes, all fields -> Male -> S&E fields","Both sexes, all fields",Male,S&E fields,,3,4114000,305000,5000,912000,183000,10000,2619000,81000,3742000,372000,140000,162000,24000,25000,104000
5322,r021,"Both sexes, all fields -> Male -> S&E fields -> Biological, agricultural, and environmental life sciences","Both sexes, all fields",Male,S&E fields,"Biological, agricultural, and environmental life sciences",4,373000,35000,S,68000,10000,,252000,7000,341000,32000,9000,13000,1000,1000,14000
5322,r022,"Both sexes, all fields -> Male -> S&E fields -> Computer and mathematical sciences","Both sexes, all fields",Male,S&E fields,Computer and mathematical sciences,4,1274000,84000,,306000,79000,S,771000,33000,1148000,125000,35000,61000,10000,6000,33000
5322,r023,"Both sexes, all fields -> Male -> S&E fields -> Physical and related sciences","Both sexes, all fields",Male,S&E fields,Physical and related sciences,4,309000,15000,,66000,9000,,215000,4000,273000,36000,16000,14000,1000,1000,S
5322,r024,"Both sexes, all fields -> Male -> S&E fields -> Social and related sciences","Both sexes, all fields",Male,S&E fields,Social and related sciences,4,359000,33000,S,18000,19000,,281000,7000,328000,31000,12000,8000,3000,4000,14000
5322,r025,"Both sexes, all fields -> Male -> S&E fields -> Engineering","Both sexes, all fields",Male,S&E fields,Engineering,4,1799000,138000,3000,454000,66000,7000,1099000,31000,1651000,148000,68000,66000,9000,12000,32000
5322,r026,"Both sexes, all fields -> Male -> S&E-related fields","Both sexes, all fields",Male,S&E-related fields,,3,274000,15000,,60000,16000,S,179000,S,246000,28000,9000,12000,3000,1000,S
5322,r027,"Both sexes, all fields -> Male -> Non-S&E fields","Both sexes, all fields",Male,Non-S&E fields,,3,886000,62000,S,83000,45000,,664000,16000,802000,84000,37000,37000,8000,4000,15000
