table_id,row_id,variable_name,variable_description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4765,r032,BIRTHMO ,Month of birth ,92.3,92.2,92.1,92.5,90.7,91.6,93.2,93.9,94.6,94.4,93.9
4765,r033,BIRTHPL ,Place of birth ,93.4,94.3,94.2,93.5,91.9,92.1,94.5,95.1,96.0,96.5,96.6
4765,r034,BIRTHYR ,Year of birth ,93.0,93.0,92.8,93.1,91.3,92.1,94.1,94.5,95.1,94.8,94.4
4765,r035,BLACK ,Black race indicator ,91.6,91.6,91.5,91.9,90.2,91.0,93.0,92.8,93.2,93.3,93.1
4765,r036,CITIZ ,Type of citizenship ,94.2,94.0,93.8,94.2,92.3,93.3,95.2,95.4,96.1,96.3,95.8
4765,r037,CNTRYCITc,Country of citizenship ,93.8,93.7,93.6,93.8,92.1,93.1,94.8,95.0,95.2,95.2,95.2
4765,r038,COGNDIS,Learning or cognitive disability indicator ,89.7,89.8,na,na,na,na,na,na,na,na,na
4765,r039,DDSDEG,Earned a professional dental degree ,87.7,88.6,88.9,88.8,87.6,87.9,88.3,88.6,89.7,89.4,89.2
4765,r040,DDSSTUDY,Earning a professional dental degree ,87.7,88.6,88.9,88.8,87.6,87.9,88.3,88.6,89.7,89.4,89.2
4765,r041,DEPEND18,Number of dependents-ages 6–18,88.3,89.2,89.9,89.5,88.4,88.3,89.7,90.1,90.8,90.7,90.7
4765,r042,DEPEND19,Number of dependents-ages 19 and older,88.3,89.2,89.9,89.5,88.4,88.3,89.7,90.1,90.8,90.7,90.7
4765,r043,DEPEND5,Number of dependents-ages 5 or younger,88.3,89.2,89.9,89.5,88.4,88.3,89.7,90.1,90.8,90.7,90.7
4765,r044,DIFAGE,Earliest age experienced difficulties ,na,na,90.4,90.8,89.4,89.4,90.9,89.9,90.4,90.5,90.2
4765,r045,DIFCOGN,"Degree of difficulty concentrating, remembering, or making decisions ",na,na,91.1,91.0,89.6,89.6,91.1,90.1,90.6,90.7,90.4
4765,r046,DIFHEAR,Degree of difficulty hearing ,na,na,91.1,91.0,89.6,89.6,91.1,90.1,90.6,90.7,90.4
4765,r047,DIFLIFT,Degree of difficulty lifting ,na,na,90.5,91.0,89.6,89.6,91.1,90.1,90.6,90.7,90.4
4765,r048,DIFSEE,Degree of difficulty seeing ,na,na,91.1,91.0,89.6,89.6,91.1,90.1,90.6,90.7,90.4
4765,r049,DIFWALK,Degree of difficulty walking ,na,na,90.5,91.0,89.6,89.6,91.1,90.1,90.6,90.7,90.4
4765,r050,DISABILITY1,Disability status ,89.7,89.8,na,na,na,na,na,na,na,na,na
4765,r051,DISABILITY2,Moderate or greater degree of difficulty in any domain ,na,na,91.1,91.0,89.6,89.6,91.1,90.1,90.6,90.7,90.4
4765,r052,DOCCODE,Type of doctorate (since 2004) ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4765,r053,EDFATHER ,Father/male guardian's education ,90.8,90.8,90.7,90.0,88.6,88.4,89.9,89.9,89.4,88.7,88.4
4765,r054,EDMOTHER ,Mother/female guardian's education ,90.9,90.9,90.8,90.1,88.6,88.5,89.9,90.0,89.8,89.3,89.0
4765,r055,GDEBTLVL,Graduate debt level ,92.7,93.3,92.9,89.7,88.2,90.1,93.1,92.3,92.7,93.4,93.5
4765,r056,GEMONTH,Month of graduate program entry ,87.4,88.0,88.4,88.5,90.1,89.7,90.7,90.3,92.0,92.0,92.0
4765,r057,GEYEAR ,Year of graduate program entry ,87.8,88.3,88.6,88.7,90.3,89.9,90.9,90.4,92.0,92.0,92.0
4765,r058,HAWAIIAN,Native Hawaiian or Other Pacific Islander race indicator ,91.6,91.6,91.5,91.9,90.2,91.0,93.0,92.8,93.2,93.3,93.1
4765,r059,HISPANIC ,Hispanic origin indicator ,91.4,92.2,92.0,92.1,90.3,91.5,93.0,93.7,94.7,94.7,94.6
4765,r060,HSPLACE ,Place of high school ,90.8,91.8,91.7,91.2,89.7,89.5,91.6,90.1,90.5,90.7,97.2
4765,r061,JRCOLL ,Junior college indicator ,91.2,93.1,93.0,92.6,91.1,90.8,93.4,93.2,93.8,94.1,94.2
4765,r062,MA1CRED,Credits from first master’s degree counted toward doctoral degree,na,na,na,na,na,na,na,97.6,99.5,99.4,99.9
4765,r063,MA1EMONTH,First master’s degree start month,na,na,na,na,na,na,na,99.6,98.9,98.5,98.3
4765,r064,MA1EYEAR,First master’s degree start year,na,na,na,na,na,na,na,99.7,99.0,98.7,98.3
4765,r065,MA1FIELD,First master’s degree field,na,na,na,na,na,na,na,99.4,98.8,98.8,98.5
4765,r066,MA1INST,First master’s degree institution,na,na,na,na,na,na,na,97.9,97.8,98.8,98.4
4765,r067,MA1MONTH,First master’s degree month,na,na,na,na,na,na,na,99.8,98.9,98.7,98.4
4765,r068,MA1NID,First master’s degree institution (NCSES institution identification),na,na,na,na,na,na,na,97.9,97.8,98.8,98.4
4765,r069,MA1PART,First master’s degree was required for doctoral program,na,na,na,na,na,na,na,98.4,99.4,99.1,98.6
4765,r070,MA1YEAR,First master’s degree year,na,na,na,na,na,na,na,99.9,99.0,98.9,98.4
4765,r071,MACRED,Credits from most recent master’s degree counted toward doctoral degree,na,na,na,na,na,na,na,99.2,99.8,99.9,99.9
4765,r072,MADEGRN,Number of master's degrees received,na,na,na,na,na,na,na,99.3,93.8,94.0,94.1
4765,r073,MAEMONTH,Most recent master's degree start month,na,na,na,na,67.8,67.5,68.7,87.8,88.6,88.8,88.7
4765,r074,MAEYEARb,Most recent master's degree start year,na,na,na,na,68.0,67.7,68.9,87.9,88.7,88.8,88.8
4765,r075,MAFIELD ,Most recent master's degree field ,71.1,70.8,70.5,70.1,68.6,68.3,69.3,87.9,88.7,88.8,88.9
4765,r076,MAINST ,Most recent master's degree institution ,71.6,71.5,70.8,70.0,68.5,68.0,69.2,88.2,88.3,88.9,89.0
4765,r077,MAMONTH ,Most recent master's degree month,70.3,70.1,70.2,69.9,68.3,68.0,69.1,87.9,88.7,88.9,88.8
4765,r078,MANIDb,Most recent master's degree institution (NCSES institution identification),71.6,71.5,70.8,70.0,68.5,68.0,69.2,88.2,88.3,88.9,89.0
4765,r079,MAPART,Most recent master’s degree was required for doctoral program,na,na,na,na,na,na,na,87.6,88.5,88.8,88.8
4765,r080,MARITAL ,Marital status ,91.0,91.0,91.0,90.4,89.0,88.9,90.5,90.3,90.9,90.8,90.7
4765,r081,MAYEAR ,Most recent master's degree year,71.6,71.2,70.9,70.3,68.7,68.2,69.4,88.8,88.8,89.1,89.0
4765,r082,MDDEG,Earned a professional medical degree ,87.7,88.6,88.9,88.8,87.6,87.9,88.3,83.7,89.6,89.4,89.2
4765,r083,MDSTUDY,Earning a professional medical degree ,87.7,88.6,88.9,88.8,87.6,87.9,88.3,83.7,89.6,89.4,89.2
4765,r084,MEDDENT,Additional professional medical or dental degree ,89.9,90.3,90.5,90.4,89.1,89.2,90.5,90.6,91.5,91.5,91.4
4765,r085,MSPREREQ,Prerequisite master's degree for doctoral program,91.5,91.5,91.1,90.7,89.2,89.1,90.8,88.0,89.0,89.0,88.9
4765,r086,ORTHDIS,Physical or orthopedic disability indicator ,89.7,89.8,na,na,na,na,na,na,na,na,na
4765,r087,OTHRDIS,Other or unknown disability indicator ,89.7,89.8,na,na,na,na,na,na,na,na,na
4765,r088,PDEMPLOY ,Postgraduation employer type ,97.8,98.6,98.5,99.0,99.5,99.3,98.1,99.7,98.8,98.8,98.8
4765,r089,PDFACULTY,Employment in faculty position,na,na,na,na,na,na,na,na,61.2,63.9,63.1
4765,r090,PDFORGNb,Postgraduation affiliation with a non-U.S. college or university ,3.8,3.7,3.5,3.7,3.4,3.1,3.2,89.0,90.5,90.6,90.5
4765,r091,PDLOC ,Postgraduation location ,93.0,92.9,92.5,91.6,90.0,90.0,92.2,92.4,93.1,93.2,92.8
4765,r092,PDOCCODEb,Postgraduation institution affiliation in the U.S. (IPEDS) ,31.9,31.1,30.6,28.4,26.7,26.1,26.4,78.9,87.1,89.2,90.1
4765,r093,PDOCNIDb,Postgraduation institution affiliation in the U.S. (NCSES institution identification),31.9,31.1,30.6,28.4,26.7,26.1,26.4,78.9,87.1,89.2,90.1
4765,r094,PDOCPLAN ,Postgraduation plans ,97.6,95.0,93.9,92.5,91.7,91.5,95.2,97.6,99.8,99.9,99.9
4765,r095,PDOCSTAT ,Postgraduation status ,91.3,91.4,91.4,90.8,89.3,89.3,90.9,90.8,91.4,91.4,91.4
4765,r096,PDSAMEEMPb,Postgraduation employer was employer before or during doctoral studies,na,na,na,na,na,na,na,6.9,51.3,55.4,55.2
4765,r097,PDSAMEPOSEMP,Employment in same position with same employer worked during doctoral studies,na,na,na,na,na,na,na,na,95.4,99.8,99.8
4765,r098,PDSEEKNEWEMP,Postgraduation plan to seek new employment,na,na,na,na,na,na,na,na,99.5,99.1,99.5
4765,r099,PDSTDSUP ,Postdoctoral study support ,93.9,94.6,95.8,96.7,97.5,97.8,95.5,96.9,97.0,96.5,96.2
4765,r100,PDUSFOR ,Postgraduation location: U.S. or foreign ,93.0,92.9,92.5,91.6,90.0,90.0,92.2,92.4,93.1,93.2,92.8
4765,r101,PDWK1ED ,Edited primary work activity ,92.8,91.8,91.5,90.7,90.8,90.5,91.3,97.7,98.6,98.8,98.7
4765,r102,PDWK2ED,Edited secondary work activity ,50.6,50.1,50.8,50.2,49.8,49.4,50.6,93.2,96.5,96.8,96.9
4765,r103,PDWKPRIM ,Primary work activity ,92.8,91.8,91.5,90.7,90.8,90.5,91.3,97.7,98.6,98.8,98.7
4765,r104,PDWKSEC,Secondary work activity ,50.6,50.1,50.8,50.2,49.8,49.4,50.6,93.2,96.5,96.8,96.9
4765,r105,PHDCY ,Calendar year of doctorate ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4765,r106,PHDDISS ,Dissertation field ,92.5,92.4,91.8,91.6,90.2,90.0,91.6,91.1,91.6,91.4,91.4
4765,r107,PHDDISS2b,Secondary dissertation field ,30.2,32.1,34.7,36.2,35.0,35.0,41.0,86.7,89.9,90.1,90.1
4765,r108,PHDEMONTH,Doctoral program start month ,na,na,na,na,89.6,89.6,91.2,91.3,91.7,91.8,91.7
4765,r109,PHDEYEARd,Doctoral program start year ,90.4,90.7,90.8,90.9,89.9,89.7,91.4,91.3,91.7,91.8,91.7
4765,r110,PHDFIELD ,Doctorate field ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4765,r111,PHDFY ,Fiscal year of doctorate ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4765,r112,PHDINST ,Doctoral institution ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4765,r113,PHDMONTH ,Month of doctorate ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4765,r114,PHDNID,Doctoral institution (NCSES institution identification),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4765,r115,POSTDOC,Intention to take postdoc position ,91.5,91.5,91.6,91.1,89.6,89.6,91.5,na,na,na,na
4765,r116,PROFDEGb,Type of professional doctorate ,0.9,1.0,0.8,0.8,0.9,1.0,1.0,96.0,100.0,100.0,100.0
4765,r117,PROFEARN,Earned or earning a professional doctoral degree,na,na,na,na,na,na,na,90.7,91.5,91.5,91.4
4765,r118,PROFEMONTH,Professional doctorate start month,na,na,na,na,na,na,na,99.7,99.3,99.4,99.6
4765,r119,PROFEYEAR,Professional doctorate start year,na,na,na,na,na,na,na,99.8,99.1,99.4,99.7
4765,r120,PROFINST,Professional doctorate institution,na,na,na,na,na,na,na,98.0,98.2,98.5,99.6
4765,r121,PROFMONTH,Professional doctorate month,na,na,na,na,na,na,na,99.8,99.2,99.4,99.5
4765,r122,PROFNID,Professional doctorate institution (NCSES institution identification),na,na,na,na,na,na,na,99.2,98.2,98.5,99.6
4765,r123,PROFYEARb,Professional doctorate year,0.9,0.9,0.7,0.8,0.9,0.9,1.0,99.7,99.0,99.4,99.6
4765,r124,QUESTMON,Month questionnaire filled out ,na,na,na,na,na,90.0,92.0,93.2,92.2,92.2,92.1
4765,r125,QUESTYR,Year questionnaire filled out ,92.2,92.8,92.4,92.0,90.6,90.3,92.0,93.4,92.2,92.2,92.1
4765,r126,RACE ,Edited race or ethnicity code ,93.4,93.2,93.0,93.2,91.4,92.4,94.3,94.6,95.5,95.7,95.5
4765,r127,RACE2,Edited ethnicity or race code (NSF-revised),93.4,93.2,93.0,93.2,91.4,92.4,94.3,94.9,95.5,95.7,95.5
4765,r128,SALARYRe,Range of expected basic annual salary ,91.0,89.7,89.0,87.6,88.7,88.7,89.3,97.3,96.3,96.3,96.1
4765,r129,SALARYV,Expected basic annual salary ,51.5,46.6,41.2,36.8,76.9,83.9,85.5,94.2,93.2,93.1,93.5
4765,r130,SALMONTH,Number of months expected basic annual salary covers,90.9,90.1,89.5,88.7,89.0,88.9,89.1,95.2,96.5,96.4,96.3
4765,r131,SEEKEMPBUS,Seeking or negotiating position in business or industry,na,na,na,na,na,na,na,na,98.8,98.9,98.8
4765,r132,SEEKEMPCHOICE,Top choice of employer seeking or negotiating,na,na,na,na,na,na,na,na,97.7,97.7,97.5
4765,r133,SEEKEMPEDU,Seeking or negotiating position at an educational institution,na,na,na,na,na,na,na,na,98.8,98.9,98.8
4765,r134,SEEKEMPGOV,Seeking or negotiating position in government,na,na,na,na,na,na,na,na,98.8,98.9,98.8
4765,r135,SEEKEMPNPO,Seeking or negotiating position in nonprofit organization,na,na,na,na,na,na,na,na,98.8,98.9,98.8
4765,r136,SEEKEMPOTHR,Seeking or negotiating position in other sector,na,na,na,na,na,na,na,na,98.8,98.9,98.8
4765,r137,SEEKEMPSTAT,Employment status while seeking or negotiating employment,na,na,na,na,na,na,na,na,98.9,98.9,98.8
4765,r138,SEEKPOSEMP,Seeking or negotiating an employment position other than a postdoc,na,na,na,na,na,na,na,na,99.0,99.0,99.0
4765,r139,SEEKPOSOTHR,Seeking or negotiating other position,na,na,na,na,na,na,na,na,99.0,99.0,99.0
4765,r140,SEEKPOSPDOC,Seeking or negotiating a postdoc position,na,na,na,na,na,na,na,na,99.0,99.0,99.0
4765,r141,SEX ,Sex of doctorate recipient ,100.0,100.0,99.9,100.0,99.7,100.0,100.0,100.0,99.9,100.0,100.0
4765,r142,SRCE1ED ,Edited primary source of support ,90.9,91.0,91.1,90.7,89.7,89.5,91.2,90.0,90.7,90.6,90.6
4765,r143,SRCEPRIM ,Primary source of support ,90.9,91.0,91.1,90.7,89.7,89.5,91.2,90.0,90.7,90.6,90.6
4765,r144,SRCESEC,Secondary source of support ,80.8,80.8,80.3,79.6,79.2,78.8,83.0,78.5,80.1,80.4,80.6
4765,r145,TICEPHD,Time in from college entry to doctorate ,86.9,87.6,88.2,88.8,87.3,87.3,89.4,89.7,90.7,90.7,90.7
4765,r146,TOBAGE,Time out between baccalaureate to graduate school entry ,85.8,86.4,86.9,87.2,87.2,87.2,88.5,87.4,88.5,88.6,88.5
4765,r147,TTDBAPHD,Total time elapsed from baccalaureate to doctorate ,91.7,92.3,92.0,92.3,90.3,90.8,93.1,94.4,94.9,95.4,94.8
4765,r148,TTDDOC,Total elapsed time in doctorate ,na,na,na,na,89.9,89.8,91.5,91.3,91.6,91.7,91.7
4765,r149,TTDGEPHD,Total time elapsed from graduate entry to doctorate ,87.9,88.3,88.6,88.7,90.3,89.9,90.9,90.3,92.0,92.0,92.0
4765,r150,TUITREMS,Tuition remission-full or partial,90.4,91.3,91.5,91.2,90.0,89.8,91.4,91.0,91.7,91.6,91.6
4765,r151,UDEBTLVL,Undergraduate debt level ,92.7,93.4,93.3,86.1,84.7,90.9,93.7,92.6,93.1,93.4,93.5
4765,r152,VISUDIS,Blind or visual disability indicator ,89.7,89.8,na,na,na,na,na,na,na,na,na
4765,r153,VOCLDIS,Vocal or speech disability indicator ,89.7,89.8,na,na,na,na,na,na,na,na,na
4765,r154,WHITE ,White race indicator ,91.6,91.6,91.5,91.9,90.2,91.0,93.0,92.8,93.2,93.3,93.1
4765,r155,YRSCOURS,Years of doctoral coursework,90.9,91.0,90.9,90.4,89.0,89.0,90.5,89.8,na,na,na
4765,r156,YRSDISST,Years preparing doctorate dissertation ,91.0,91.1,91.0,90.5,89.0,89.0,90.5,89.7,na,na,na
4765,r157,YRSNOTWRK,Years not working on doctoral degree,91.0,91.2,91.0,90.8,89.2,89.2,90.8,90.9,na,na,na
