table_id,row_id,time_period,longer_term_trends_level_1,longer_term_trends_level_2,longer_term_trends_hierarchy_depth,value
1872,r055,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2011–12,2,-4.2
1872,r056,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2012–13,2,-6.8
1872,r057,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2013–14,2,-5.9
1872,r058,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2014–15,2,2.0
1872,r059,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2015–16,2,4.7
1872,r060,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2016–17,2,2.9
1872,r061,"Total R&D, all performers -> Higher education",Longer-term trends,1990–2000,2,5.9
1872,r062,"Total R&D, all performers -> Higher education",Longer-term trends,2000–10,2,6.9
1872,r063,"Total R&D, all performers -> Higher education",Longer-term trends,2010–17,2,3.0
1872,r064,"Total R&D, all performers -> Higher education",Most recent years,2010–11,2,3.5
1872,r065,"Total R&D, all performers -> Higher education",Most recent years,2011–12,2,1.3
1872,r066,"Total R&D, all performers -> Higher education",Most recent years,2012–13,2,1.1
1872,r067,"Total R&D, all performers -> Higher education",Most recent years,2013–14,2,1.3
1872,r068,"Total R&D, all performers -> Higher education",Most recent years,2014–15,2,3.6
1872,r069,"Total R&D, all performers -> Higher education",Most recent years,2015–16,2,4.9
1872,r070,"Total R&D, all performers -> Higher education",Most recent years,2016–17,2,5.1
1872,r071,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Longer-term trends,1990–2000,2,8.8
1872,r072,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Longer-term trends,2000–10,2,6.6
1872,r073,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Longer-term trends,2010–17,2,3.8
1872,r074,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2010–11,2,-1.5
1872,r075,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2011–12,2,-0.6
1872,r076,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2012–13,2,2.9
1872,r077,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2013–14,2,4.9
1872,r078,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2014–15,2,3.8
1872,r079,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2015–16,2,7.8
1872,r080,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2016–17,2,9.3
1872,r081,Gross domestic product,Longer-term trends,1990–2000,2,5.6
1872,r082,Gross domestic product,Longer-term trends,2000–10,2,3.9
1872,r083,Gross domestic product,Longer-term trends,2010–17,2,3.8
1872,r084,Gross domestic product,Most recent years,2010–11,2,3.7
1872,r085,Gross domestic product,Most recent years,2011–12,2,4.2
1872,r086,Gross domestic product,Most recent years,2012–13,2,3.6
1872,r087,Gross domestic product,Most recent years,2013–14,2,4.4
1872,r088,Gross domestic product,Most recent years,2014–15,2,4.0
1872,r089,Gross domestic product,Most recent years,2015–16,2,2.7
1872,r090,Gross domestic product,Most recent years,2016–17,2,4.3
1872,r091,"Total R&D, all performers",Longer-term trends,1990–2000,2,3.7
1872,r092,"Total R&D, all performers",Longer-term trends,2000–10,2,2.1
1872,r093,"Total R&D, all performers",Longer-term trends,2010–17,2,2.7
1872,r094,"Total R&D, all performers",Most recent years,2010–11,2,2.7
1872,r095,"Total R&D, all performers",Most recent years,2011–12,2,-0.2
1872,r096,"Total R&D, all performers",Most recent years,2012–13,2,2.9
1872,r097,"Total R&D, all performers",Most recent years,2013–14,2,2.8
1872,r098,"Total R&D, all performers",Most recent years,2014–15,2,2.8
1872,r099,"Total R&D, all performers",Most recent years,2015–16,2,3.4
1872,r100,"Total R&D, all performers",Most recent years,2016–17,2,4.3
1872,r101,"Total R&D, all performers -> Business",Longer-term trends,1990–2000,2,4.3
1872,r102,"Total R&D, all performers -> Business",Longer-term trends,2000–10,2,1.3
1872,r103,"Total R&D, all performers -> Business",Longer-term trends,2010–17,2,3.6
1872,r104,"Total R&D, all performers -> Business",Most recent years,2010–11,2,3.3
1872,r105,"Total R&D, all performers -> Business",Most recent years,2011–12,2,0.8
1872,r106,"Total R&D, all performers -> Business",Most recent years,2012–13,2,4.9
1872,r107,"Total R&D, all performers -> Business",Most recent years,2013–14,2,3.7
1872,r108,"Total R&D, all performers -> Business",Most recent years,2014–15,2,3.4
1872,r109,"Total R&D, all performers -> Business",Most recent years,2015–16,2,4.2
1872,r110,"Total R&D, all performers -> Business",Most recent years,2016–17,2,4.8
1872,r111,"Total R&D, all performers -> Federal government",Longer-term trends,1990–2000,2,-0.1
1872,r112,"Total R&D, all performers -> Federal government",Longer-term trends,2000–10,2,3.8
1872,r113,"Total R&D, all performers -> Federal government",Longer-term trends,2010–17,2,-1.1
1872,r114,"Total R&D, all performers -> Federal government",Most recent years,2010–11,2,3.2
1872,r115,"Total R&D, all performers -> Federal government",Most recent years,2011–12,2,-4.4
1872,r116,"Total R&D, all performers -> Federal government",Most recent years,2012–13,2,-3.7
1872,r117,"Total R&D, all performers -> Federal government",Most recent years,2013–14,2,1.3
1872,r118,"Total R&D, all performers -> Federal government",Most recent years,2014–15,2,-0.7
1872,r119,"Total R&D, all performers -> Federal government",Most recent years,2015–16,2,-4.1
1872,r120,"Total R&D, all performers -> Federal government",Most recent years,2016–17,2,0.8
1872,r121,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Longer-term trends,1990–2000,2,0.0
1872,r122,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Longer-term trends,2000–10,2,3.0
1872,r123,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Longer-term trends,2010–17,2,-1.5
1872,r124,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2010–11,2,7.1
1872,r125,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2011–12,2,-4.5
1872,r126,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2012–13,2,-3.5
1872,r127,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2013–14,2,2.2
1872,r128,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2014–15,2,-2.7
1872,r129,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2015–16,2,-8.1
1872,r130,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2016–17,2,-0.4
1872,r131,"Total R&D, all performers -> Federal government -> FFRDCs",Longer-term trends,1990–2000,2,-0.4
1872,r132,"Total R&D, all performers -> Federal government -> FFRDCs",Longer-term trends,2000–10,2,5.1
1872,r133,"Total R&D, all performers -> Federal government -> FFRDCs",Longer-term trends,2010–17,2,-0.5
1872,r134,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2010–11,2,-3.4
1872,r135,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2011–12,2,-4.2
1872,r136,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2012–13,2,-4.2
1872,r137,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2013–14,2,-0.6
1872,r138,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2014–15,2,3.1
1872,r139,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2015–16,2,3.1
1872,r140,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2016–17,2,2.7
1872,r141,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Longer-term trends,1990–2000,2,NA
1872,r142,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Longer-term trends,2000–10,2,NA
1872,r143,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Longer-term trends,2010–17,2,-2.7
1872,r144,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2010–11,2,-1.7
1872,r145,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2011–12,2,-6.0
1872,r146,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2012–13,2,-8.4
1872,r147,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2013–14,2,-7.6
1872,r148,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2014–15,2,0.9
1872,r149,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2015–16,2,3.6
1872,r150,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2016–17,2,1.0
1872,r151,"Total R&D, all performers -> Higher education",Longer-term trends,1990–2000,2,3.7
1872,r152,"Total R&D, all performers -> Higher education",Longer-term trends,2000–10,2,4.7
1872,r153,"Total R&D, all performers -> Higher education",Longer-term trends,2010–17,2,1.3
1872,r154,"Total R&D, all performers -> Higher education",Most recent years,2010–11,2,1.3
1872,r155,"Total R&D, all performers -> Higher education",Most recent years,2011–12,2,-0.6
1872,r156,"Total R&D, all performers -> Higher education",Most recent years,2012–13,2,-0.7
1872,r157,"Total R&D, all performers -> Higher education",Most recent years,2013–14,2,-0.5
1872,r158,"Total R&D, all performers -> Higher education",Most recent years,2014–15,2,2.6
1872,r159,"Total R&D, all performers -> Higher education",Most recent years,2015–16,2,3.8
1872,r160,"Total R&D, all performers -> Higher education",Most recent years,2016–17,2,3.1
1872,r161,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Longer-term trends,1990–2000,2,6.6
1872,r162,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Longer-term trends,2000–10,2,4.4
1872,r163,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Longer-term trends,2010–17,2,2.1
1872,r164,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2010–11,2,-3.5
1872,r165,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2011–12,2,-2.4
1872,r166,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2012–13,2,1.2
1872,r167,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2013–14,2,3.0
1872,r168,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2014–15,2,2.7
1872,r169,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2015–16,2,6.7
1872,r170,"Total R&D, all performers -> Other nonprofit organizations<sup>c</sup>",Most recent years,2016–17,2,7.3
1872,r171,Gross domestic product,Longer-term trends,1990–2000,2,3.4
1872,r172,Gross domestic product,Longer-term trends,2000–10,2,1.7
1872,r173,Gross domestic product,Longer-term trends,2010–17,2,2.2
1872,r174,Gross domestic product,Most recent years,2010–11,2,1.6
1872,r175,Gross domestic product,Most recent years,2011–12,2,2.2
1872,r176,Gross domestic product,Most recent years,2012–13,2,1.8
1872,r177,Gross domestic product,Most recent years,2013–14,2,2.5
1872,r178,Gross domestic product,Most recent years,2014–15,2,2.9
1872,r179,Gross domestic product,Most recent years,2015–16,2,1.6
1872,r180,Gross domestic product,Most recent years,2016–17,2,2.4
