table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d_and_r_d_plant_contracts,field_total_r_d_and_r_d_plant_grants,field_r_d_contracts,field_r_d_grants,field_r_d_plant_contracts,field_r_d_plant_grants
10237,r050,All agencies -> Departments -> Department of Homeland Security -> Coast Guard,All agencies,Departments,Department of Homeland Security,Coast Guard,,4,10276,0,10276,0,0,0
10237,r051,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,11152,7034,11152,7034,0,0
10237,r052,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,7326,0,7326,0,0,0
10237,r053,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,226156,28613,211513,28613,14644,0
10237,r054,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,44862,86658,33567,86658,11295,0
10237,r055,All agencies -> Departments -> Department of the Interior -> Bureau of Indian Affairs,All agencies,Departments,Department of the Interior,Bureau of Indian Affairs,,4,0,5000,0,5000,0,0
10237,r056,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,6072,0,6072,0,0,0
10237,r057,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,11677,10429,11677,10429,0,0
10237,r058,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,4935,7534,4135,7534,800,0
10237,r059,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,20794,0,10299,0,10495,0
10237,r060,All agencies -> Departments -> Department of the Interior -> Geological Survey,All agencies,Departments,Department of the Interior,Geological Survey,,4,1384,52738,1384,52738,0,0
10237,r061,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,0,10957,0,10957,0,0
10237,r062,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,6626,67026,6626,67026,0,0
10237,r063,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,0.05,0,0.05,0,0,0
10237,r064,All agencies -> Departments -> Department of Justice -> Federal Bureau of Investigation,All agencies,Departments,Department of Justice,Federal Bureau of Investigation,,4,3698,0,3698,0,0,0
10237,r065,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,2922,67026,2922,67026,0,0
10237,r066,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,897,0,897,0,0,0
10237,r067,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,897,0,897,0,0,0
10237,r068,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,475146,406356,438124,406356,37022,0
10237,r069,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,307666,62926,272576,62926,35090,0
10237,r070,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,119733,230614,119733,230614,0,0
10237,r071,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,8554,0,8554,0,0,0
10237,r072,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,29548,3100,28116,3100,1432,0
10237,r073,All agencies -> Departments -> Department of Transportation -> Federal Transit Administration,All agencies,Departments,Department of Transportation,Federal Transit Administration,,4,0,42797,0,42797,0,0
10237,r074,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,1000,65059,500,65059,500,0
10237,r075,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,216,0,216,0,0,0
10237,r076,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,8429,1859,8429,1859,0,0
10237,r077,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,42818,0,42818,0,0,0
10237,r078,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,42818,0,42818,0,0,0
10237,r079,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,
10237,r080,All agencies -> Other agencies -> Agency for Global Media,All agencies,Other agencies,Agency for Global Media,,,3,4597,0,4597,0,0,0
10237,r081,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,10798,61715,10798,61715,0,0
10237,r082,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,,3,650,0,650,0,0,0
10237,r083,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,150,0,150,0,0,0
10237,r084,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,206898,54671,201088,54671,5810,0
10237,r085,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,2378166,5623129,2371292,5580724,6874,42405
10237,r086,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,264559,6553658,261457,6137218,3102,416440
10237,r087,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,10724,8750,10724,8750,0,0
10237,r088,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,,,3,0,460331,0,460331,0,0
10237,r089,All agencies -> Other agencies -> Postal Service,All agencies,Other agencies,Postal Service,,,3,15435,0,15435,0,0,0
10237,r090,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,23516,14590,23516,14590,0,0
10237,r091,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,,,3,16942,0,16942,0,0,0
