table_id,row_id,_b_demographic_characteristic_and_field_b_full_path,_b_demographic_characteristic_and_field_b_level_1,_b_demographic_characteristic_and_field_b_level_2,_b_demographic_characteristic_and_field_b_level_3,_b_demographic_characteristic_and_field_b_level_4,_b_demographic_characteristic_and_field_b_hierarchy_depth,field_total_number_,field_highest_level_of_parental_education_all,field_highest_level_of_parental_education_high_school_or_less,field_highest_level_of_parental_education_some_collegea,field_highest_level_of_parental_education_bachelor_s_degree,field_highest_level_of_parental_education_master_s_degree,field_highest_level_of_parental_education_professional_doctorateb,field_highest_level_of_parental_education_research_doctoral_degree
11662,r018,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,95,100.0,14.7,18.9,22.1,24.2,7.4,12.6
11662,r019,Doctorate recipients reporting parental education (number) -> Field of doctorate,Doctorate recipients reporting parental education (number),Field of doctorate,,,2,,,,,,,,
11662,r020,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering ,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,,3,39753,100.0,16.9,12.5,28.0,22.5,8.7,11.4
11662,r021,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Agricultural sciences and natural resources,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Agricultural sciences and natural resources,4,1084,100.0,19.2,14.9,24.9,21.2,8.9,10.8
11662,r022,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Biological and biomedical sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Biological and biomedical sciences,4,8689,100.0,15.2,12.7,27.0,23.4,10.4,11.4
11662,r023,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Computer and information sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Computer and information sciences,4,1905,100.0,18.8,11.5,28.6,21.3,6.9,12.9
11662,r024,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Engineering,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Engineering,4,9180,100.0,17.1,10.7,30.6,22.9,6.7,12.1
11662,r025,"Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Geosciences, atmospheric, and ocean sciences",Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,"Geosciences, atmospheric, and ocean sciences",4,1082,100.0,15.8,12.6,28.2,23.2,9.3,10.9
11662,r026,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Health sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Health sciences,4,2294,100.0,20.1,15.9,25.6,22.1,8.0,8.3
11662,r027,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Mathematics and statistics,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Mathematics and statistics,4,1766,100.0,17.7,10.4,30.1,22.7,7.5,11.7
11662,r028,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,4,1471,100.0,15.6,11.4,28.5,24.0,7.7,12.8
11662,r029,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Physical sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Physical sciences,4,4768,100.0,17.8,12.8,29.9,21.7,7.7,10.1
11662,r030,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Psychology,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Psychology,4,3111,100.0,15.4,15.7,25.2,22.4,12.0,9.3
11662,r031,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Social sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Social sciences,4,4403,100.0,17.1,12.9,25.4,21.3,9.7,13.5
11662,r032,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,,3,9955,100.0,19.1,15.8,23.7,21.6,8.6,11.1
11662,r033,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Business,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Business,4,1228,100.0,19.1,13.5,27.0,20.0,6.3,14.1
11662,r034,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Education,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Education,4,3364,100.0,23.4,19.7,20.9,20.7,6.8,8.4
11662,r035,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Humanities,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Humanities,4,2834,100.0,15.8,12.9,25.1,23.0,11.6,11.5
11662,r036,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Visual and performing arts,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Visual and performing arts,4,703,100.0,12.2,11.0,23.0,26.5,12.4,14.9
11662,r037,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Other non-science and engineering,4,1826,100.0,19.1,16.5,25.0,20.3,7.2,11.9
