table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_hierarchy_depth,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71
10328,r013,Department -> Department of Agriculture -> Food Safety and Inspection Service,Department,Department of Agriculture,Food Safety and Inspection Service,,3,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,Z,Z,Z,Z,Z,Z,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r014,Department -> Department of Agriculture -> Foreign Agricultural Service,Department,Department of Agriculture,Foreign Agricultural Service,,3,N,N,N,N,N,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r015,Department -> Department of Agriculture -> Forest Service,Department,Department of Agriculture,Forest Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r016,"Department -> Department of Agriculture -> Grain Inspection, Packers, and Stockyards Administration",Department,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,3,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N
10328,r017,Department -> Department of Agriculture -> Human Nutrition Information Service,Department,Department of Agriculture,Human Nutrition Information Service,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r018,Department -> Department of Agriculture -> National Agricultural Statistics Service,Department,Department of Agriculture,National Agricultural Statistics Service,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r019,"Department -> Department of Agriculture -> National Institute of Food and Agriculture (formerly Cooperative State Research, Education, and Extension Service)",Department,Department of Agriculture,"National Institute of Food and Agriculture (formerly Cooperative State Research, Education, and Extension Service)",,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r020,Department -> Department of Agriculture -> Natural Resources Conservation Service (formerly Soil Conservation Service),Department,Department of Agriculture,Natural Resources Conservation Service (formerly Soil Conservation Service),,3,N,N,N,N,N,N,N,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
10328,r021,Department -> Department of Agriculture -> Office of International Cooperation and Development,Department,Department of Agriculture,Office of International Cooperation and Development,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r022,Department -> Department of Agriculture -> Office of Transportation,Department,Department of Agriculture,Office of Transportation,,3,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r023,Department -> Department of Agriculture -> Rural Business-Cooperative Service,Department,Department of Agriculture,Rural Business-Cooperative Service,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r024,Department -> Department of Agriculture -> Science and Education Administration,Department,Department of Agriculture,Science and Education Administration,,3,T,T,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r025,Department -> Department of Agriculture -> Science and Education Administration -> Agricultural Research Service,Department,Department of Agriculture,Science and Education Administration,Agricultural Research Service,4,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r026,Department -> Department of Agriculture -> Science and Education Administration -> Cooperative State Research Service,Department,Department of Agriculture,Science and Education Administration,Cooperative State Research Service,4,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r027,Department -> Department of Agriculture -> Science and Education Administration -> National Agricultural Library,Department,Department of Agriculture,Science and Education Administration,National Agricultural Library,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r028,Department -> Department of Commerce,Department,Department of Commerce,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r029,Department -> Department of Commerce -> Census Bureau,Department,Department of Commerce,Census Bureau,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r030,Department -> Department of Commerce -> Economic Development Administration,Department,Department of Commerce,Economic Development Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O
10328,r031,Department -> Department of Commerce -> Environmental Science Services Administration,Department,Department of Commerce,Environmental Science Services Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r032,Department -> Department of Commerce -> Maritime Administration,Department,Department of Commerce,Maritime Administration,,3,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X
10328,r033,Department -> Department of Commerce -> Minority Business Development Agency,Department,Department of Commerce,Minority Business Development Agency,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r034,Department -> Department of Commerce -> National Fire Prevention and Control Administration,Department,Department of Commerce,National Fire Prevention and Control Administration,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r035,Department -> Department of Commerce -> National Institute of Standards and Technology,Department,Department of Commerce,National Institute of Standards and Technology,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r036,Department -> Department of Commerce -> National Oceanic and Atmospheric Administration,Department,Department of Commerce,National Oceanic and Atmospheric Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r037,Department -> Department of Commerce -> National Technical Information Service,Department,Department of Commerce,National Technical Information Service,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r038,Department -> Department of Commerce -> National Telecommunications and Information Administration,Department,Department of Commerce,National Telecommunications and Information Administration,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r039,Department -> Department of Commerce -> Office of the Secretary of Commerce,Department,Department of Commerce,Office of the Secretary of Commerce,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r040,Department -> Department of Commerce -> Office of Telecommunications,Department,Department of Commerce,Office of Telecommunications,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r041,Department -> Department of Commerce -> Patent and Trademark Office,Department,Department of Commerce,Patent and Trademark Office,,3,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r042,Department -> Department of Commerce -> U.S. Travel and Tourism Administration,Department,Department of Commerce,U.S. Travel and Tourism Administration,,3,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r043,Department -> Department of Defense,Department,Department of Defense,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r044,Department -> Department of Defense -> Defense Agencies,Department,Department of Defense,Defense Agencies,,3,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r045,Department -> Department of Defense -> Defense Agencies -> Chemical and Biological Defense ,Department,Department of Defense,Defense Agencies,Chemical and Biological Defense ,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r046,Department -> Department of Defense -> Defense Agencies -> Defense Advanced Research Projects Agency,Department,Department of Defense,Defense Agencies,Defense Advanced Research Projects Agency,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r047,Department -> Department of Defense -> Defense Agencies -> Defense Business Transformation Agency,Department,Department of Defense,Defense Agencies,Defense Business Transformation Agency,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,N,T,T,T,T,T,T,T,T,T,T,T
10328,r048,Department -> Department of Defense -> Defense Agencies -> Defense Contract Management Agency,Department,Department of Defense,Defense Agencies,Defense Contract Management Agency,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r049,Department -> Department of Defense -> Defense Agencies -> Defense Information Systems Agency,Department,Department of Defense,Defense Agencies,Defense Information Systems Agency,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r050,Department -> Department of Defense -> Defense Agencies -> Defense Logistics Agency,Department,Department of Defense,Defense Agencies,Defense Logistics Agency,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r051,Department -> Department of Defense -> Defense Agencies -> Defense Nuclear Agency,Department,Department of Defense,Defense Agencies,Defense Nuclear Agency,4,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r052,Department -> Department of Defense -> Defense Agencies -> Defense Security Service,Department,Department of Defense,Defense Agencies,Defense Security Service,4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r053,Department -> Department of Defense -> Defense Agencies -> Defense Special Weapons Agency ,Department,Department of Defense,Defense Agencies,Defense Special Weapons Agency ,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r054,Department -> Department of Defense -> Defense Agencies -> Defense Technical Information Center,Department,Department of Defense,Defense Agencies,Defense Technical Information Center,4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r055,Department -> Department of Defense -> Defense Agencies -> Defense Threat Reduction Agency,Department,Department of Defense,Defense Agencies,Defense Threat Reduction Agency,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r056,Department -> Department of Defense -> Defense Agencies -> Joint Staff,Department,Department of Defense,Defense Agencies,Joint Staff,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r057,Department -> Department of Defense -> Defense Agencies -> Missile Defense Agency,Department,Department of Defense,Defense Agencies,Missile Defense Agency,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r058,Department -> Department of Defense -> Defense Agencies -> National Imagery and Mapping Agency (formerly Defense Mapping Agency),Department,Department of Defense,Defense Agencies,National Imagery and Mapping Agency (formerly Defense Mapping Agency),4,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r059,Department -> Department of Defense -> Defense Agencies -> Special Operations Command,Department,Department of Defense,Defense Agencies,Special Operations Command,4,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T
10328,r060,Department -> Department of Defense -> Defense Agencies -> Uniformed Services University of the Health Sciences,Department,Department of Defense,Defense Agencies,Uniformed Services University of the Health Sciences,4,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r061,Department -> Department of Defense -> Defense Agencies -> Office of the Secretary of Defense (formerly Washington Headquarters Service),Department,Department of Defense,Defense Agencies,Office of the Secretary of Defense (formerly Washington Headquarters Service),4,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r062,Department -> Department of Defense -> Defense Civil Preparedness Agency,Department,Department of Defense,Defense Civil Preparedness Agency,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r063,Department -> Department of Defense -> Defense Health Agency,Department,Department of Defense,Defense Health Agency,,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,T,T,T,T,T,T,X,X
10328,r064,Department -> Department of Defense -> Department of the Air Force,Department,Department of Defense,Department of the Air Force,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X
10328,r065,Department -> Department of Defense -> Department of the Air Force -> DT&E Support From Operations and Maintenance,Department,Department of Defense,Department of the Air Force,DT&E Support From Operations and Maintenance,4,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r066,Department -> Department of Defense -> Department of the Air Force -> DT&E Support From Procurement Appropriations,Department,Department of Defense,Department of the Air Force,DT&E Support From Procurement Appropriations,4,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r067,Department -> Department of Defense -> Department of the Air Force -> Housing for Military Personnel in R&D,Department,Department of Defense,Department of the Air Force,Housing for Military Personnel in R&D,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r068,Department -> Department of Defense -> Department of the Air Force -> Materiel Command,Department,Department of Defense,Department of the Air Force,Materiel Command,4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T
10328,r069,Department -> Department of Defense -> Department of the Air Force -> Military Construction,Department,Department of Defense,Department of the Air Force,Military Construction,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r070,Department -> Department of Defense -> Department of the Air Force -> Pay and Allowances of Military Personnel in R&D,Department,Department of Defense,Department of the Air Force,Pay and Allowances of Military Personnel in R&D,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r071,Department -> Department of Defense -> Department of the Air Force -> RDT&E Appropriation,Department,Department of Defense,Department of the Air Force,RDT&E Appropriation,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r072,Department -> Department of Defense -> Department of the Air Force -> Space Command,Department,Department of Defense,Department of the Air Force,Space Command,4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N
10328,r073,Department -> Department of Defense -> Department of the Air Force -> Special Foreign Currency Program,Department,Department of Defense,Department of the Air Force,Special Foreign Currency Program,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r074,Department -> Department of Defense -> Department of the Army,Department,Department of Defense,Department of the Army,,3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r075,Department -> Department of Defense -> Department of the Army -> Civil Functions,Department,Department of Defense,Department of the Army,Civil Functions,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r076,Department -> Department of Defense -> Department of the Army -> Housing for Military Personnel in R&D,Department,Department of Defense,Department of the Army,Housing for Military Personnel in R&D,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r077,Department -> Department of Defense -> Department of the Army -> Military Construction,Department,Department of Defense,Department of the Army,Military Construction,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r078,Department -> Department of Defense -> Department of the Army -> Military Functions,Department,Department of Defense,Department of the Army,Military Functions,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r079,Department -> Department of Defense -> Department of the Army -> Pay and Allowances of Military Personnel in R&D,Department,Department of Defense,Department of the Army,Pay and Allowances of Military Personnel in R&D,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r080,Department -> Department of Defense -> Department of the Army -> RDT&E Appropriation,Department,Department of Defense,Department of the Army,RDT&E Appropriation,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r081,Department -> Department of Defense -> Department of the Army -> Special Foreign Currency Program,Department,Department of Defense,Department of the Army,Special Foreign Currency Program,4,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r082,Department -> Department of Defense -> Department of the Army -> Support From Procurement Appropriations,Department,Department of Defense,Department of the Army,Support From Procurement Appropriations,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r083,Department -> Department of Defense -> Department of the Navy,Department,Department of Defense,Department of the Navy,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r084,Department -> Department of Defense -> Department of the Navy -> DT&E Support From Operations and Maintenance,Department,Department of Defense,Department of the Navy,DT&E Support From Operations and Maintenance,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r085,Department -> Department of Defense -> Department of the Navy -> DT&E Support From Procurement Appropriations,Department,Department of Defense,Department of the Navy,DT&E Support From Procurement Appropriations,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r086,Department -> Department of Defense -> Department of the Navy -> Housing for Military Personnel in R&D,Department,Department of Defense,Department of the Navy,Housing for Military Personnel in R&D,4,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r087,Department -> Department of Defense -> Department of the Navy -> Military Construction,Department,Department of Defense,Department of the Navy,Military Construction,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r088,Department -> Department of Defense -> Department of the Navy -> Pay and Allowances of Military Personnel in R&D,Department,Department of Defense,Department of the Navy,Pay and Allowances of Military Personnel in R&D,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r089,Department -> Department of Defense -> Department of the Navy -> RDT&E Appropriation,Department,Department of Defense,Department of the Navy,RDT&E Appropriation,4,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,T,T,T,T,T,T,T,T,T,T,T,T,T,T
