table_id,row_id,cte_preparation_full_path,cte_preparation_level_1,cte_preparation_level_2,cte_preparation_level_3,cte_preparation_hierarchy_depth,field_occupation_stw,field_occupation_non_stw,field_median_standardized_hourly_wage_a_most_recent_stw_job,field_median_standardized_hourly_wage_a_most_recent_non_stw_job
1540,r028,"Whether students earned credits in specific CTE area -> Public, protective, and government services -> Yes",Whether students earned credits in specific CTE area,"Public, protective, and government services",Yes,3,14.7,85.3,s,9.59
1540,r029,Whether students earned credits in specific CTE area -> Human services,Whether students earned credits in specific CTE area,Human services,,2,,,,
1540,r030,Whether students earned credits in specific CTE area -> Human services -> No,Whether students earned credits in specific CTE area,Human services,No,3,13.9,86.1,10.97,9.96
1540,r031,Whether students earned credits in specific CTE area -> Human services -> Yes,Whether students earned credits in specific CTE area,Human services,Yes,3,11.1,88.9,9.12,8.82
1540,r032,Whether students earned credits in specific CTE area -> Hospitality and tourism,Whether students earned credits in specific CTE area,Hospitality and tourism,,2,,,,
1540,r033,Whether students earned credits in specific CTE area -> Hospitality and tourism -> No,Whether students earned credits in specific CTE area,Hospitality and tourism,No,3,13.5,86.5,10.91,9.96
1540,r034,Whether students earned credits in specific CTE area -> Hospitality and tourism -> Yes,Whether students earned credits in specific CTE area,Hospitality and tourism,Yes,3,14.4,85.6,10.11,9.4
1540,r035,Whether students earned credits in specific CTE area -> Architecture and construction,Whether students earned credits in specific CTE area,Architecture and construction,,2,,,,
1540,r036,Whether students earned credits in specific CTE area -> Architecture and construction -> No,Whether students earned credits in specific CTE area,Architecture and construction,No,3,12.6,87.4,10.52,9.8
1540,r037,Whether students earned credits in specific CTE area -> Architecture and construction -> Yes,Whether students earned credits in specific CTE area,Architecture and construction,Yes,3,18.8,81.2,11.29,9.91
1540,r038,"Whether students earned credits in specific CTE area -> Agriculture, food, and natural resources",Whether students earned credits in specific CTE area,"Agriculture, food, and natural resources",,2,,,,
1540,r039,"Whether students earned credits in specific CTE area -> Agriculture, food, and natural resources -> No",Whether students earned credits in specific CTE area,"Agriculture, food, and natural resources",No,3,12.2,87.8,10.53,9.95
1540,r040,"Whether students earned credits in specific CTE area -> Agriculture, food, and natural resources -> Yes",Whether students earned credits in specific CTE area,"Agriculture, food, and natural resources",Yes,3,19.8,80.2,11.0,9.97
1540,r041,"Whether students earned credits in specific CTE area -> Transportation, distribution, and logistics",Whether students earned credits in specific CTE area,"Transportation, distribution, and logistics",,2,,,,
1540,r042,"Whether students earned credits in specific CTE area -> Transportation, distribution, and logistics -> No",Whether students earned credits in specific CTE area,"Transportation, distribution, and logistics",No,3,13.0,87.0,10.48,9.93
1540,r043,"Whether students earned credits in specific CTE area -> Transportation, distribution, and logistics -> Yes",Whether students earned credits in specific CTE area,"Transportation, distribution, and logistics",Yes,3,19.8,80.2,12.45,10.4
