table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nsf_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3175,r014,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,13,"['80,297', '']","['10,416', '']","['10,136', '']","['9,761', '']","['3,290', '']","['21,632', '']","['594', '']","['1,847', '']","['1,490', '']","['14,176', '']","['6,955', '']"
3175,r015,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,14,"['78,379', '']","['20,459', '']","['7,206', '']","['7,247', '']","['2,159', '']","['7,062', '']","['1,044', '']","['2,885', '']","['1', '']","['27,661', '']","['2,655', '']"
3175,r016,All institutions -> Stanford U.,All institutions,Stanford U.,2,15,"['75,886', '']","['3,439', '']","['4,211', '']","['6,760', '']","['2,568', '']","['15,360', '']","['1,107', '']","['2,102', '']","['0', '']","['16,670', '']","['23,669', '']"
3175,r017,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,16,"['75,687', '']","['10,924', '']","['2,780', '']","['2,192', '']","['3,748', '']","['11,802', '']","['324', '']","['919', '']","['0', '']","['37,489', '']","['5,509', '']"
3175,r018,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,17,"['71,030', '']","['498', '']","['2,592', '']","['10,983', '']","['4,199', '']","['17,312', '']","['1,169', '']","['751', '']","['4,127', '']","['26,081', '']","['3,318', '']"
3175,r019,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,18,"['69,718', '']","['8,364', '']","['1,447', '']","['7,346', '']","['934', '']","['6,151', '']","['396', '']","['367', '']","['0', '']","['38,279', '']","['6,434', '']"
3175,r020,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,19,"['69,610', '']","['6,558', '']","['6,440', '']","['11,826', '']","['3,779', '']","['7,173', '']","['1,610', '']","['5,396', '']","['64', '']","['24,584', '']","['2,180', '']"
3175,r021,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,20,"['67,436', '']","['4,704', '']","['9,424', '']","['7,228', '']","['4,063', '']","['18,031', '']","['2,173', '']","['2,811', '']","['0', '']","['16,711', '']","['2,291', '']"
3175,r022,All institutions -> Princeton U.,All institutions,Princeton U.,2,21,"['64,442', '']","['6,974', '']","['8,252', '']","['3,457', '']","['4,673', '']","['24,888', '']","['721', '']","['1,497', '']","['0', '']","['13,979', '']","['1', '']"
3175,r023,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,22,"['63,912', '']","['4,361', '']","['5,512', '']","['7,912', '']","['4,575', '']","['7,858', '']","['1,414', '']","['1,689', '']","['7,519', '']","['16,328', '']","['6,744', '']"
3175,r024,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,23,"['62,370', '']","['4,926', '']","['4,687', '']","['5,859', '']","['1,382', '']","['4,747', '']","['404', '']","['7,375', '']","['7,655', '']","['23,818', '']","['1,517', '']"
3175,r025,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,24,"['58,692', '']","['7,068', '']","['4,170', '']","['8,746', '']","['3,417', '']","['18,821', '']","['558', '']","['3,103', '']","['805', '']","['10,517', '']","['1,487', '']"
3175,r026,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,25,"['58,142', '']","['6,907', '']","['1,966', '']","['9,380', '']","['6,112', '']","['3,703', '']","['427', '']","['623', '']","['42', '']","['26,191', '']","['2,791', '']"
3175,r027,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,26,"['56,350', '']","['30,193', '']","['591', '']","['1,058', '']","['1,860', '']","['3,702', '']","['1,895', '']","['1,107', '']","['2,260', '']","['13,633', '']","['51', '']"
3175,r028,All institutions -> Florida State U.,All institutions,Florida State U.,2,27,"['56,341', '']","['2,679', '']","['2,920', '']","['4,067', '']","['841', '']","['26,336', '']","['120', '']","['268', '']","['431', '']","['15,792', '']","['2,887', '']"
3175,r029,All institutions -> U. Arizona,All institutions,U. Arizona,2,28,"['54,281', '']","['2,196', '']","['5,154', '']","['16,171', '']","['1,426', '']","['11,689', '']","['190', '']","['2,837', '']","['2,297', '']","['10,814', '']","['1,507', '']"
3175,r030,All institutions -> U. Chicago,All institutions,U. Chicago,2,29,"['51,803', '']","['12,437', '']","['5,546', '']","['3,325', '']","['4,075', '']","['16,358', '']","['1,594', '']","['1,534', '']","['0', '']","['5,491', '']","['1,443', '']"
3175,r031,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,30,"['51,067', '']","['6,190', '']","['2,963', '']","['6,401', '']","['3,944', '']","['10,232', '']","['586', '']","['3,765', '']","['1,823', '']","['13,917', '']","['1,246', '']"
3175,r032,All institutions -> U. Southern California,All institutions,U. Southern California,2,31,"['50,376', '']","['12,940', '']","['6,600', '']","['10,721', '']","['1,019', '']","['3,605', '']","['664', '']","['1,382', '']","['0', '']","['12,025', '']","['1,420', '']"
3175,r033,All institutions -> U. Florida,All institutions,U. Florida,2,32,"['49,165', '']","['5,257', '']","['7,143', '']","['9,901', '']","['404', '']","['7,700', '']","['329', '']","['974', '']","['0', '']","['13,898', '']","['3,559', '']"
3175,r034,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,33,"['48,728', '']","['740', '']","['490', '']","['3,177', '']","['1,675', '']","['14,486', '']","['621', '']","['1,276', '']","['10,731', '']","['15,092', '']","['440', '']"
3175,r035,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,34,"['48,625', '']","['1,510', '']","['17,756', '']","['9,191', '']","['945', '']","['2,209', '']","['374', '']","['575', '']","['4,051', '']","['8,680', '']","['3,334', '']"
3175,r036,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,35,"['46,590', '']","['3,776', '']","['4,583', '']","['12,314', '']","['4,749', '']","['7,046', '']","['509', '']","['117', '']","['0', '']","['11,164', '']","['2,332', '']"
3175,r037,All institutions -> Harvard U.,All institutions,Harvard U.,2,36,"['46,321', '']","['3,306', '']","['4,833', '']","['6,159', '']","['1,684', '']","['10,950', '']","['226', '']","['2,473', '']","['0', '']","['12,352', '']","['4,338', '']"
3175,r038,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,37,"['45,727', '']","['4,592', '']","['610', '']","['4,104', '']","['1,381', '']","['17,823', '']","['749', '']","['1,325', '']","['57', '']","['8,203', '']","['6,883', '']"
3175,r039,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,38,"['43,603', '']","['4,519', '']","['1,367', '']","['5,676', '']","['1,200', '']","['7,187', '']","['7', '']","['354', '']","['141', '']","['22,394', '']","['758', '']"
3175,r040,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,39,"['41,311', '']","['2,921', '']","['7,011', '']","['5,724', '']","['981', '']","['14,584', '']","['794', '']","['334', '']","['147', '']","['7,926', '']","['889', '']"
3175,r041,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,40,"['39,979', '']","['5,878', '']","['3,261', '']","['5,241', '']","['2,160', '']","['11,720', '']","['1,046', '']","['989', '']","['0', '']","['8,162', '']","['1,522', '']"
3175,r042,All institutions -> New York U.,All institutions,New York U.,2,41,"['39,534', '']","['4,738', '']","['37', '']","['4,868', '']","['4,276', '']","['8,554', '']","['3,376', '']","['3,387', '']","['0', '']","['7,106', '']","['3,192', '']"
3175,r043,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,42,"['38,320', '']","['9,074', '']","['3,111', '']","['4,295', '']","['821', '']","['6,252', '']","['1,195', '']","['958', '']","['34', '']","['9,840', '']","['2,740', '']"
3175,r044,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,43,"['38,189', '']","['5,120', '']","['3,577', '']","['2,564', '']","['2,404', '']","['16,181', '']","['654', '']","['689', '']","['1,661', '']","['4,905', '']","['434', '']"
3175,r045,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,44,"['37,270', '']","['7,980', '']","['2,755', '']","['2,117', '']","['649', '']","['5,396', '']","['601', '']","['602', '']","['0', '']","['15,934', '']","['1,236', '']"
3175,r046,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,45,"['37,180', '']","['3,364', '']","['1,589', '']","['4,375', '']","['1,469', '']","['12,888', '']","['220', '']","['54', '']","['78', '']","['12,795', '']","['348', '']"
3175,r047,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,46,"['36,456', '']","['16,332', '']","['607', '']","['2,451', '']","['945', '']","['7,285', '']","['1,522', '']","['1,984', '']","['221', '']","['2,668', '']","['2,441', '']"
3175,r048,All institutions -> Rice U.,All institutions,Rice U.,2,47,"['36,366', '']","['3,821', '']","['1,481', '']","['2,454', '']","['2,380', '']","['8,323', '']","['724', '']","['493', '']","['534', '']","['15,887', '']","['269', '']"
3175,r049,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,48,"['35,909', '']","['6,721', '']","['3,434', '']","['7,298', '']","['1,409', '']","['5,955', '']","['593', '']","['1,938', '']","['23', '']","['4,658', '']","['3,880', '']"
3175,r050,All institutions -> Boston U.,All institutions,Boston U.,2,49,"['35,582', '']","['3,974', '']","['1,726', '']","['3,018', '']","['1,169', '']","['6,895', '']","['753', '']","['905', '']","['1,296', '']","['14,827', '']","['1,019', '']"
3175,r051,All institutions -> Duke U.,All institutions,Duke U.,2,50,"['35,357', '']","['3,279', '']","['2,276', '']","['6,500', '']","['4,266', '']","['3,048', '']","['160', '']","['2,292', '']","['0', '']","['13,055', '']","['481', '']"
3175,r052,All institutions -> U. Utah,All institutions,U. Utah,2,51,"['35,354', '']","['11,100', '']","['3,005', '']","['4,309', '']","['1,725', '']","['6,235', '']","['84', '']","['769', '']","['0', '']","['7,207', '']","['920', '']"
3175,r053,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,52,"['34,620', '']","['2,690', '']","['874', '']","['8,790', '']","['700', '']","['3,209', '']","['344', '']","['355', '']","['713', '']","['15,342', '']","['1,603', '']"
3175,r054,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,53,"['33,320', '']","['3,192', '']","['2,342', '']","['12,547', '']","['2,655', '']","['3,874', '']","['104', '']","['1,769', '']","['0', '']","['5,891', '']","['946', '']"
3175,r055,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,54,"['32,807', '']","['2', '']","['23,563', '']","['2,606', '']","['107', '']","['2,385', '']","['0', '']","['271', '']","['2,298', '']","['824', '']","['751', '']"
3175,r056,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,55,"['31,344', '']","['1,157', '']","['9,357', '']","['4,106', '']","['2,037', '']","['3,997', '']","['911', '']","['166', '']","['0', '']","['7,939', '']","['1,674', '']"
3175,r057,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,56,"['31,035', '']","['3,663', '']","['1,830', '']","['9,867', '']","['754', '']","['9,613', '']","['395', '']","['635', '']","['0', '']","['3,341', '']","['937', '']"
3175,r058,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,57,"['30,530', '']","['2,128', '']","['19,336', '']","['1,613', '']","['288', '']","['4,189', '']","['137', '']","['912', '']","['403', '']","['1,405', '']","['119', '']"
3175,r059,All institutions -> U. Georgia,All institutions,U. Georgia,2,58,"['30,287', '']","['560', '']","['3,272', '']","['16,130', '']","['1,714', '']","['2,389', '']","['627', '']","['1,093', '']","['242', '']","['2,567', '']","['1,693', '']"
3175,r060,All institutions -> U. Delaware,All institutions,U. Delaware,2,59,"['29,868', '']","['1,839', '']","['5,298', '']","['3,911', '']","['857', '']","['7,982', '']","['970', '']","['1,339', '']","['120', '']","['6,437', '']","['1,115', '']"
3175,r061,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,60,"['29,533', '']","['8,631', '']","['1,599', '']","['2,069', '']","['529', '']","['4,148', '']","['407', '']","['91', '']","['0', '']","['10,937', '']","['1,122', '']"
3175,r062,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,61,"['28,989', '']","['4,429', '']","['2,720', '']","['2,003', '']","['932', '']","['4,225', '']","['587', '']","['1,255', '']","['1,051', '']","['7,973', '']","['3,814', '']"
3175,r063,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,62,"['28,416', '']","['3,371', '']","['0', '']","['1,586', '']","['2,312', '']","['11,566', '']","['490', '']","['109', '']","['391', '']","['8,280', '']","['311', '']"
3175,r064,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,63,"['28,112', '']","['1,699', '']","['4,537', '']","['5,933', '']","['917', '']","['2,437', '']","['46', '']","['1,121', '']","['2,850', '']","['6,857', '']","['1,715', '']"
3175,r065,All institutions -> Brown U.,All institutions,Brown U.,2,64,"['28,077', '']","['4,140', '']","['1,494', '']","['5,194', '']","['6,364', '']","['4,171', '']","['0', '']","['539', '']","['206', '']","['5,782', '']","['187', '']"
3175,r066,All institutions -> Yale U.,All institutions,Yale U.,2,65,"['26,830', '']","['2,326', '']","['2,053', '']","['6,985', '']","['1,447', '']","['6,552', '']","['945', '']","['985', '']","['0', '']","['5,436', '']","['101', '']"
3175,r067,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,66,"['26,547', '']","['2,330', '']","['531', '']","['5,008', '']","['1,515', '']","['5,608', '']","['157', '']","['299', '']","['1,564', '']","['8,364', '']","['1,171', '']"
3175,r068,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,67,"['26,288', '']","['2,101', '']","['2,734', '']","['6,279', '']","['1,129', '']","['2,725', '']","['1,273', '']","['353', '']","['0', '']","['7,071', '']","['2,623', '']"
3175,r069,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,68,"['26,275', '']","['4,238', '']","['392', '']","['2,812', '']","['481', '']","['2,530', '']","['678', '']","['415', '']","['2,847', '']","['11,614', '']","['268', '']"
3175,r070,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,69,"['24,781', '']","['4,915', '']","['813', '']","['5,791', '']","['648', '']","['4,754', '']","['430', '']","['476', '']","['906', '']","['5,906', '']","['142', '']"
3175,r071,All institutions -> Florida International U.,All institutions,Florida International U.,2,70,"['23,890', '']","['9,628', '']","['2,181', '']","['2,474', '']","['111', '']","['1,799', '']","['327', '']","['40', '']","['393', '']","['6,379', '']","['558', '']"
3175,r072,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,71,"['22,832', '']","['681', '']","['10,001', '']","['2,016', '']","['0', '']","['641', '']","['0', '']","['429', '']","['4,717', '']","['4,085', '']","['262', '']"
3175,r073,All institutions -> Clemson U.,All institutions,Clemson U.,2,72,"['21,105', '']","['1,825', '']","['0', '']","['2,108', '']","['822', '']","['2,235', '']","['149', '']","['189', '']","['0', '']","['12,242', '']","['1,535', '']"
3175,r074,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,73,"['21,024', '']","['2,524', '']","['0', '']","['1,110', '']","['502', '']","['2,584', '']","['0', '']","['414', '']","['0', '']","['12,847', '']","['1,043', '']"
3175,r075,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,74,"['20,740', '']","['2,619', '']","['1,248', '']","['4,624', '']","['543', '']","['4,114', '']","['226', '']","['424', '']","['1,924', '']","['4,604', '']","['414', '']"
3175,r076,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,75,"['20,270', '']","['868', '']","['848', '']","['11,271', '']","['862', '']","['1,759', '']","['596', '']","['143', '']","['0', '']","['2,542', '']","['1,381', '']"
3175,r077,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,76,"['19,341', '']","['4,083', '']","['123', '']","['1,323', '']","['2,322', '']","['3,565', '']","['259', '']","['36', '']","['0', '']","['5,849', '']","['1,781', '']"
3175,r078,All institutions -> U. Kansas,All institutions,U. Kansas,2,77,"['18,954', '']","['1,040', '']","['1,745', '']","['8,305', '']","['620', '']","['2,168', '']","['87', '']","['922', '']","['166', '']","['3,036', '']","['865', '']"
3175,r079,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,78,"['18,768', '']","['0', '']","['628', '']","['695', '']","['679', '']","['1,856', '']","['2,244', '']","['437', '']","['0', '']","['8,738', '']","['3,491', '']"
3175,r080,All institutions -> U. Rochester,All institutions,U. Rochester,2,79,"['18,569', '']","['2,324', '']","['1,759', '']","['1,940', '']","['194', '']","['5,635', '']","['590', '']","['170', '']","['592', '']","['4,148', '']","['1,217', '']"
3175,r081,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,80,"['18,567', '']","['526', '']","['4,184', '']","['5,384', '']","['251', '']","['692', '']","['171', '']","['117', '']","['0', '']","['6,342', '']","['900', '']"
3175,r082,All institutions -> Washington State U.,All institutions,Washington State U.,2,81,"['18,546', '']","['1,976', '']","['1,906', '']","['6,792', '']","['24', '']","['1,883', '']","['0', '']","['338', '']","['304', '']","['4,312', '']","['1,011', '']"
3175,r083,All institutions -> U. Houston,All institutions,U. Houston,2,82,"['17,758', '']","['1,786', '']","['1,206', '']","['1,705', '']","['1,931', '']","['2,991', '']","['554', '']","['81', '']","['33', '']","['7,226', '']","['245', '']"
3175,r084,All institutions -> U. Oregon,All institutions,U. Oregon,2,83,"['16,952', '']","['833', '']","['2,513', '']","['2,918', '']","['792', '']","['4,755', '']","['579', '']","['934', '']","['987', '']","['26', '']","['2,615', '']"
3175,r085,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,84,"['16,470', '']","['1,752', '']","['728', '']","['1,224', '']","['661', '']","['1,713', '']","['2,091', '']","['337', '']","['711', '']","['6,675', '']","['578', '']"
3175,r086,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,85,"['16,222', '']","['896', '']","['1,846', '']","['3,210', '']","['1,227', '']","['4,774', '']","['37', '']","['318', '']","['100', '']","['3,300', '']","['514', '']"
3175,r087,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,86,"['16,053', '']","['789', '']","['564', '']","['6,795', '']","['541', '']","['1,128', '']","['138', '']","['288', '']","['0', '']","['2,961', '']","['2,849', '']"
3175,r088,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,87,"['15,733', '']","['1,161', '']","['268', '']","['3,685', '']","['531', '']","['2,661', '']","['32', '']","['301', '']","['104', '']","['6,576', '']","['414', '']"
3175,r089,All institutions -> George Washington U.,All institutions,George Washington U.,2,88,"['15,721', '']","['2,987', '']","['213', '']","['1,687', '']","['641', '']","['2,092', '']","['80', '']","['2,363', '']","['746', '']","['4,170', '']","['742', '']"
3175,r090,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,89,"['15,709', '']","['635', '']","['206', '']","['6,009', '']","['329', '']","['2,880', '']","['28', '']","['426', '']","['315', '']","['3,661', '']","['1,220', '']"
3175,r091,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,90,"['15,386', '']","['247', '']","['3,828', '']","['2,766', '']","['837', '']","['1,072', '']","['187', '']","['163', '']","['3,820', '']","['2,165', '']","['301', '']"
3175,r092,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,91,"['15,382', '']","['850', '']","['1,506', '']","['1,250', '']","['516', '']","['6,602', '']","['0', '']","['920', '']","['413', '']","['3,123', '']","['202', '']"
3175,r093,All institutions -> Rensselaer Polytechnic Institute,All institutions,Rensselaer Polytechnic Institute,2,92,"['14,907', '']","['2,739', '']","['692', '']","['1,209', '']","['692', '']","['1,588', '']","['112', '']","['186', '']","['0', '']","['7,647', '']","['42', '']"
3175,r094,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,93,"['14,257', '']","['315', '']","['3,180', '']","['3,561', '']","['390', '']","['1,936', '']","['34', '']","['920', '']","['0', '']","['3,785', '']","['136', '']"
3175,r095,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,94,"['14,002', '']","['1,745', '']","['3,032', '']","['1,170', '']","['286', '']","['2,377', '']","['135', '']","['795', '']","['0', '']","['3,424', '']","['1,038', '']"
3175,r096,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,95,"['13,815', '']","['1,685', '']","['3,490', '']","['1,778', '']","['267', '']","['2,502', '']","['189', '']","['731', '']","['79', '']","['2,503', '']","['591', '']"
3175,r097,All institutions -> Drexel U.,All institutions,Drexel U.,2,96,"['13,706', '']","['2,049', '']","['0', '']","['1,246', '']","['392', '']","['644', '']","['0', '']","['1,890', '']","['183', '']","['5,800', '']","['1,502', '']"
3175,r098,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,97,"['13,422', '']","['0', '']","['253', '']","['1,677', '']","['454', '']","['6,715', '']","['68', '']","['251', '']","['84', '']","['3,020', '']","['900', '']"
3175,r099,All institutions -> U. Maine,All institutions,U. Maine,2,98,"['13,254', '']","['216', '']","['3,630', '']","['1,195', '']","['59', '']","['1,194', '']","['35', '']","['119', '']","['5,091', '']","['1,582', '']","['133', '']"
3175,r100,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,99,"['13,241', '']","['1,194', '']","['1,760', '']","['2,983', '']","['110', '']","['1,699', '']","['4', '']","['110', '']","['0', '']","['5,205', '']","['176', '']"
3175,r101,All institutions -> Tufts U.,All institutions,Tufts U.,2,100,"['13,165', '']","['807', '']","['69', '']","['2,465', '']","['665', '']","['622', '']","['253', '']","['642', '']","['239', '']","['5,470', '']","['1,933', '']"
3175,r102,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,101,"['13,112', '']","['1,158', '']","['2,721', '']","['0', '']","['243', '']","['2,215', '']","['0', '']","['128', '']","['0', '']","['5,923', '']","['724', '']"
3175,r103,All institutions -> U. Idaho,All institutions,U. Idaho,2,102,"['12,885', '']","['752', '']","['1,325', '']","['5,497', '']","['41', '']","['0', '']","['0', '']","['753', '']","['861', '']","['1,891', '']","['1,765', '']"
3175,r104,All institutions -> George Mason U.,All institutions,George Mason U.,2,103,"['12,713', '']","['2,483', '']","['3,401', '']","['168', '']","['338', '']","['1,010', '']","['208', '']","['406', '']","['0', '']","['2,148', '']","['2,551', '']"
3175,r105,All institutions -> Emory U.,All institutions,Emory U.,2,104,"['12,586', '']","['113', '']","['102', '']","['2,656', '']","['1,174', '']","['6,990', '']","['303', '']","['315', '']","['0', '']","['820', '']","['113', '']"
3175,r106,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,105,"['12,156', '']","['50', '']","['124', '']","['1,499', '']","['381', '']","['2,679', '']","['0', '']","['155', '']","['0', '']","['6,161', '']","['1,107', '']"
3175,r107,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,106,"['12,131', '']","['667', '']","['1,591', '']","['2,702', '']","['895', '']","['2,395', '']","['0', '']","['71', '']","['1,071', '']","['2,355', '']","['384', '']"
3175,r108,"All institutions -> U. Texas, El Paso",All institutions,"U. Texas, El Paso",2,107,"['11,838', '']","['3,870', '']","['841', '']","['1,499', '']","['252', '']","['1,743', '']","['313', '']","['55', '']","['0', '']","['2,788', '']","['477', '']"
