table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_total,field_faculty_total,field_faculty_tenured_faculty,field_faculty_tenure_track_faculty,field_faculty_non_tenure_track_faculty_with_rank,field_faculty_other_faculty_no_rank_or_tenurea,field_postdoctoral_scholarb,field_other_position_total,field_other_position_research_scientist_or_nonfaculty_researcher,field_other_position_all_other_positionsc
3799,r023,"Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Percentage of early career doctorates,Field of doctoral degree,Science and engineering,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,11.1,6.7,3.9,7.3,8.3,7.3,24.9,13.0,25.9,2.8
3799,r024,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,,4,16.7,20.6,23.7,21.1,14.8,19.0,6.5,12.0,11.4,12.5
3799,r025,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Psychology,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Psychology,5,4.7,5.1,5.4,5.2,3.2,5.6,2.8,5.2,4.0,6.2
3799,r026,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Social sciences,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Social sciences,5,12.0,15.4,18.3,15.9,11.6,13.4,3.7,6.8,7.4,6.3
3799,r027,Percentage of early career doctorates -> Field of doctoral degree -> Health,Percentage of early career doctorates,Field of doctoral degree,Health,,,3,7.2,8.1,5.3,6.7,22.7,7.1,3.7,7.4,1.6,12.1
3799,r028,Percentage of early career doctorates -> Field of doctoral degree -> Non-science and engineering,Percentage of early career doctorates,Field of doctoral degree,Non-science and engineering,,,3,32.5,40.4,45.3,37.3,27.8,48.3,3.7,35.0,8.6,55.9
3799,r029,Percentage of early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Education,Percentage of early career doctorates,Field of doctoral degree,Non-science and engineering,Education,,4,11.3,11.8,10.4,8.6,14.2,19.2,1.1,23.5,2.7,40.1
3799,r030,Percentage of early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Humanities,Percentage of early career doctorates,Field of doctoral degree,Non-science and engineering,Humanities,,4,8.4,11.0,12.7,9.5,S,15.2,1.4,5.9,2.4,8.8
3799,r031,Percentage of early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Other non-science and engineering,Percentage of early career doctorates,Field of doctoral degree,Non-science and engineering,Other non-science and engineering,,4,12.8,17.6,22.3,19.1,8.4,14.0,1.2,5.5,3.6,7.0
3799,r032,Percentage of early career doctorates -> Position tenure,Percentage of early career doctorates,Position tenure,,,,2,,,,,,,,,,
3799,r033,Percentage of early career doctorates -> Position tenure -> 1 year or less,Percentage of early career doctorates,Position tenure,1 year or less,,,3,13.8,15.0,3.1,15.9,12.2,26.6,13.4,8.0,8.2,7.8
3799,r034,Percentage of early career doctorates -> Position tenure -> 2&#8211;5 years,Percentage of early career doctorates,Position tenure,2&#8211;5 years,,,3,58.2,50.6,13.3,67.2,54.7,50.3,80.9,63.3,68.8,58.9
3799,r035,Percentage of early career doctorates -> Position tenure -> 6&#8211;10 years,Percentage of early career doctorates,Position tenure,6&#8211;10 years,,,3,28.1,34.4,83.7,16.9,33.1,23.1,5.7,28.7,23.0,33.3
3799,r036,Percentage of early career doctorates -> Sex,Percentage of early career doctorates,Sex,,,,2,,,,,,,,,,
3799,r037,Percentage of early career doctorates -> Sex -> Female,Percentage of early career doctorates,Sex,Female,,,3,47.9,51.2,46.4,48.6,60.8,57.0,36.3,48.4,33.2,60.4
3799,r038,Percentage of early career doctorates -> Sex -> Male,Percentage of early career doctorates,Sex,Male,,,3,52.1,48.8,53.6,51.4,39.2,43.0,63.7,51.6,66.8,39.6
3799,r039,Percentage of early career doctorates -> Citizenship and sex,Percentage of early career doctorates,Citizenship and sex,,,,2,,,,,,,,,,
3799,r040,Percentage of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,Percentage of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,,3,83.6,92.4,98.0,88.9,92.6,94.2,48.8,90.4,82.6,96.6
3799,r041,Percentage of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,Percentage of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,,4,42.8,48.3,45.7,44.4,58.6,54.6,22.0,45.1,27.0,59.6
3799,r042,Percentage of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,Percentage of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,,4,40.8,44.1,52.3,44.5,33.9,39.6,26.8,45.3,55.6,37.1
3799,r043,Percentage of early career doctorates -> Citizenship and sex -> Temporary visa holder,Percentage of early career doctorates,Citizenship and sex,Temporary visa holder,,,3,16.4,7.6,2.0,11.1,7.4,5.8,51.2,9.6,17.4,3.4
3799,r044,Percentage of early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,Percentage of early career doctorates,Citizenship and sex,Temporary visa holder,Female,,4,5.1,2.8,0.7,4.2,2.1,2.4,14.3,3.2,6.3,0.8
3799,r045,Percentage of early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,Percentage of early career doctorates,Citizenship and sex,Temporary visa holder,Male,,4,11.3,4.8,1.3,6.9,5.3,3.4,36.9,6.4,11.2,2.6
3799,r046,Percentage of early career doctorates -> Ethnicity and race,Percentage of early career doctorates,Ethnicity and race,,,,2,,,,,,,,,,
3799,r047,Percentage of early career doctorates -> Ethnicity and race -> Hispanic or Latino,Percentage of early career doctorates,Ethnicity and race,Hispanic or Latino,,,3,7.3,7.4,6.4,8.1,7.0,7.2,8.5,4.5,3.0,5.7
3799,r048,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,,,3,,,,,,,,,,
3799,r049,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,,4,20.1,15.4,15.1,18.7,14.9,9.0,38.8,16.4,28.2,7.0
3799,r050,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,,4,5.4,6.0,4.5,5.5,7.4,7.9,2.2,7.1,2.5,10.8
3799,r051,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,,4,64.7,68.4,72.1,64.8,69.4,72.2,49.2,68.7,63.8,72.5
3799,r052,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,,4,2.5,2.7,1.9,2.9,1.3,3.7,1.3,3.3,2.5,3.9
3799,r053,Percentage of early career doctorates -> Age quartile,Percentage of early career doctorates,Age quartile,,,,2,,,,,,,,,,
3799,r054,Percentage of early career doctorates -> Age quartile -> 32 years and under,Percentage of early career doctorates,Age quartile,32 years and under,,,3,20.6,12.2,1.0,18.2,12.5,10.3,54.0,14.0,19.9,9.3
3799,r055,Percentage of early career doctorates -> Age quartile -> 33&#8211;35 year,Percentage of early career doctorates,Age quartile,33&#8211;35 year,,,3,27.4,26.9,17.7,35.2,22.8,20.0,30.8,24.7,33.1,17.9
3799,r056,Percentage of early career doctorates -> Age quartile -> 36&#8211;40 years,Percentage of early career doctorates,Age quartile,36&#8211;40 years,,,3,22.4,25.8,33.2,25.7,21.2,20.5,10.2,23.6,26.8,21.1
3799,r057,Percentage of early career doctorates -> Age quartile -> 41 years or older,Percentage of early career doctorates,Age quartile,41 years or older,,,3,29.6,35.2,48.2,20.9,43.5,49.1,5.0,37.8,20.2,51.7
3799,r058,Percentage of early career doctorates -> Disability status,Percentage of early career doctorates,Disability status,,,,2,,,,,,,,,,
3799,r059,Percentage of early career doctorates -> Disability status -> With disability,Percentage of early career doctorates,Disability status,With disability,,,3,27.7,29.4,32.8,26.8,25.0,33.6,22.5,26.9,19.5,32.8
3799,r060,Percentage of early career doctorates -> Disability status -> Without disability,Percentage of early career doctorates,Disability status,Without disability,,,3,72.3,70.6,67.2,73.2,75.0,66.4,77.5,73.1,80.5,67.2
