table_id,row_id,student_grade_and_characteristic_full_path,student_grade_and_characteristic_level_1,student_grade_and_characteristic_level_2,student_grade_and_characteristic_level_3,student_grade_and_characteristic_hierarchy_depth,field_1990,field_1992,field_1996,field_2000,field_2003,field_2005,field_2007,field_2009,field_2011,field_2013,field_2015,field_2017
1544,r011,All students in grade 4 -> Race or ethnicity<sup>a</sup> -> More than one race,All students in grade 4,Race or ethnicity<sup>a</sup>,More than one race,3,s,s,s,15.9,32.9,40.0,39.6,42.4,45.1,45.7,44.9,45.4
1544,r012,All students in grade 4 -> Socioeconomic status<sup>c </sup>,All students in grade 4,Socioeconomic status<sup>c </sup>,,2,,,,,,,,,,,,
1544,r013,All students in grade 4 -> Socioeconomic status<sup>c </sup> -> Eligible for free or reduced-price lunch,All students in grade 4,Socioeconomic status<sup>c </sup>,Eligible for free or reduced-price lunch,3,NA,NA,7.5,7.6,15.2,19.1,21.5,21.7,23.9,25.5,24.4,24.7
1544,r014,All students in grade 4 -> Socioeconomic status<sup>c </sup> -> Not eligible for free or reduced-price lunch,All students in grade 4,Socioeconomic status<sup>c </sup>,Not eligible for free or reduced-price lunch,3,NA,NA,27.5,32.0,44.7,49.4,52.8,53.9,56.7,59.2,57.8,57.1
1544,r015,All students in grade 4 -> Student disability status<sup>d</sup>,All students in grade 4,Student disability status<sup>d</sup>,,2,,,,,,,,,,,,
1544,r016,All students in grade 4 -> Student disability status<sup>d</sup> -> Has a disability,All students in grade 4,Student disability status<sup>d</sup>,Has a disability,3,s,s,5.1,6.4,12.6,16.0,19.3,19.1,17.1,17.8,16.4,16.1
1544,r017,All students in grade 4 -> Student disability status<sup>d</sup> -> Does not have a disability,All students in grade 4,Student disability status<sup>d</sup>,Does not have a disability,3,s,s,22.1,25.5,34.8,38.8,41.8,41.6,43.4,45.1,43.5,43.7
1544,r018,All students in grade 4 -> English language learner status<sup>d</sup>,All students in grade 4,English language learner status<sup>d</sup>,,2,,,,,,,,,,,,
1544,r019,All students in grade 4 -> English language learner status<sup>d</sup> -> English language learner,All students in grade 4,English language learner status<sup>d</sup>,English language learner,3,s,s,4.2,3.8,9.3,11.4,12.9,12.0,13.8,14.1,14.5,14.1
1544,r020,All students in grade 4 -> English language learner status<sup>d</sup> -> Not English language learner,All students in grade 4,English language learner status<sup>d</sup>,Not English language learner,3,s,s,21.6,25.0,34.7,38.7,42.2,41.9,43.6,44.9,43.1,43.4
1544,r021,All students in grade 8,All students in grade 8,,,1,15.3,20.9,23.3,25.7,28.8,29.8,32.2,33.9,34.7,35.5,33.1,34.3
1544,r022,All students in grade 8 -> Sex,All students in grade 8,Sex,,2,,,,,,,,,,,,
1544,r023,All students in grade 8 -> Sex -> Male,All students in grade 8,Sex,Male,3,16.8,21.3,24.7,27.4,30.3,31.1,34.2,35.6,35.7,36.3,33.6,35.0
1544,r024,All students in grade 8 -> Sex -> Female,All students in grade 8,Sex,Female,3,13.7,20.6,21.8,23.9,27.1,28.4,30.2,32.1,33.7,34.7,32.7,33.4
1544,r025,All students in grade 8 -> Race or ethnicity<sup>a</sup>,All students in grade 8,Race or ethnicity<sup>a</sup>,,2,,,,,,,,,,,,
1544,r026,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> White,All students in grade 8,Race or ethnicity<sup>a</sup>,White,3,18.2,26.0,30.2,33.8,37.5,38.6,41.8,43.6,44.4,45.1,42.7,43.8
1544,r027,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Black or African American,All students in grade 8,Race or ethnicity<sup>a</sup>,Black or African American,3,4.7,2.5,3.8,5.2,7.3,8.7,11.0,12.3,13.3,14.3,12.5,13.3
1544,r028,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All students in grade 8,Race or ethnicity<sup>a</sup>,Hispanic or Latino<sup>b</sup>,3,7.0,6.8,7.8,8.4,11.7,13.4,15.4,17.2,20.3,21.1,19.3,20.1
1544,r029,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Asian or Pacific Islander,All students in grade 8,Race or ethnicity<sup>a</sup>,Asian or Pacific Islander,3,28.9,43.3,s,40.6,43.0,47.3,49.6,53.8,55.3,59.8,58.7,61.6
1544,r030,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> American Indian or Alaska Native,All students in grade 8,Race or ethnicity<sup>a</sup>,American Indian or Alaska Native,3,s,s,s,9.8,14.6,13.9,16.3,18.2,17.1,21.1,19.6,17.9
1544,r031,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> More than one race,All students in grade 8,Race or ethnicity<sup>a</sup>,More than one race,3,s,10.7,s,21.5,29.1,30.3,34.8,36.7,39.2,38.0,35.9,37.3
1544,r032,All students in grade 8 -> Parents' highest education<sup>e</sup>,All students in grade 8,Parents' highest education<sup>e</sup>,,2,,,,,,,,,,,,
1544,r033,All students in grade 8 -> Parents' highest education<sup>e</sup> -> Did not finish high school,All students in grade 8,Parents' highest education<sup>e</sup>,Did not finish high school,3,3.3,6.2,7.0,7.6,9.0,10.9,12.2,14.5,14.9,15.8,14.0,16.1
1544,r034,All students in grade 8 -> Parents' highest education<sup>e</sup> -> Graduated from high school,All students in grade 8,Parents' highest education<sup>e</sup>,Graduated from high school,3,8.5,9.9,12.8,14.9,16.7,17.0,18.8,19.2,19.9,19.4,17.5,17.4
1544,r035,All students in grade 8 -> Parents' highest education<sup>e</sup> -> Some education after high school,All students in grade 8,Parents' highest education<sup>e</sup>,Some education after high school,3,15.7,20.3,26.0,25.4,27.9,28.2,31.8,32.0,33.3,33.4,30.0,29.9
1544,r036,All students in grade 8 -> Parents' highest education<sup>e</sup> -> Graduated from college,All students in grade 8,Parents' highest education<sup>e</sup>,Graduated from college,3,23.9,32.8,33.8,38.3,40.2,41.9,44.4,46.9,47.4,48.2,45.8,45.7
1544,r037,All students in grade 8 -> Parents' highest education<sup>e</sup> -> Unknown,All students in grade 8,Parents' highest education<sup>e</sup>,Unknown,3,4.8,8.9,9.5,9.6,12.5,13.4,14.9,15.8,16.3,17.0,15.8,16.8
1544,r038,All students in grade 8 -> Socioeconomic status<sup>c </sup>,All students in grade 8,Socioeconomic status<sup>c </sup>,,2,,,,,,,,,,,,
1544,r039,All students in grade 8 -> Socioeconomic status<sup>c </sup> -> Eligible for free or reduced-price lunch,All students in grade 8,Socioeconomic status<sup>c </sup>,Eligible for free or reduced-price lunch,3,NA,NA,8.5,9.4,12.1,13.4,15.4,16.7,18.8,19.6,18.0,18.3
1544,r040,All students in grade 8 -> Socioeconomic status<sup>c </sup> -> Not eligible for free or reduced-price lunch,All students in grade 8,Socioeconomic status<sup>c </sup>,Not eligible for free or reduced-price lunch,3,NA,NA,28.3,33.7,37.2,38.8,42.1,44.8,47.3,49.0,47.6,47.8
1544,r041,All students in grade 8 -> Student disability status<sup>d</sup>,All students in grade 8,Student disability status<sup>d</sup>,,2,,,,,,,,,,,,
1544,r042,All students in grade 8 -> Student disability status<sup>d</sup> -> Has a disability,All students in grade 8,Student disability status<sup>d</sup>,Has a disability,3,s,s,2.6,4.1,6.2,7.2,8.1,9.2,9.2,8.7,7.9,8.7
1544,r043,All students in grade 8 -> Student disability status<sup>d</sup> -> Does not have a disability,All students in grade 8,Student disability status<sup>d</sup>,Does not have a disability,3,s,s,24.8,27.3,31.4,32.2,34.5,36.5,37.6,38.9,36.5,37.9
1544,r044,All students in grade 8 -> English language learner status<sup>d</sup>,All students in grade 8,English language learner status<sup>d</sup>,,2,,,,,,,,,,,,
1544,r045,All students in grade 8 -> English language learner status<sup>d</sup> -> English language learner,All students in grade 8,English language learner status<sup>d</sup>,English language learner,3,s,s,1.5,2.0,4.7,5.9,7.0,5.0,5.0,5.3,5.7,6.1
1544,r046,All students in grade 8 -> English language learner status<sup>d</sup> -> Not English language learner,All students in grade 8,English language learner status<sup>d</sup>,Not English language learner,3,s,s,23.8,26.4,30.0,31.1,33.7,35.4,36.4,37.0,34.9,36.1
1544,r047,All students in grade 12,All students in grade 12,,,1,NA,NA,NA,NA,NA,23.0,NA,25.9,NA,25.7,24.5,NA
1544,r048,All students in grade 12 -> Sex,All students in grade 12,Sex,,2,,,,,,,,,,,,
1544,r049,All students in grade 12 -> Sex -> Male,All students in grade 12,Sex,Male,3,NA,NA,NA,NA,NA,25.1,NA,28.3,NA,27.6,26.2,NA
1544,r050,All students in grade 12 -> Sex -> Female,All students in grade 12,Sex,Female,3,NA,NA,NA,NA,NA,21.1,NA,23.5,NA,23.8,22.7,NA
1544,r051,All students in grade 12 -> Race or ethnicity<sup>a</sup>,All students in grade 12,Race or ethnicity<sup>a</sup>,,2,,,,,,,,,,,,
1544,r052,All students in grade 12 -> Race or ethnicity<sup>a</sup> -> White,All students in grade 12,Race or ethnicity<sup>a</sup>,White,3,NA,NA,NA,NA,NA,28.9,NA,32.7,NA,33.2,31.7,NA
1544,r053,All students in grade 12 -> Race or ethnicity<sup>a</sup> -> Black or African American,All students in grade 12,Race or ethnicity<sup>a</sup>,Black or African American,3,NA,NA,NA,NA,NA,5.6,NA,6.2,NA,7.1,7.1,NA
1544,r054,All students in grade 12 -> Race or ethnicity<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All students in grade 12,Race or ethnicity<sup>a</sup>,Hispanic or Latino<sup>b</sup>,3,NA,NA,NA,NA,NA,8.1,NA,11.0,NA,11.8,11.9,NA
1544,r055,All students in grade 12 -> Race or ethnicity<sup>a</sup> -> Asian or Pacific Islander,All students in grade 12,Race or ethnicity<sup>a</sup>,Asian or Pacific Islander,3,NA,NA,NA,NA,NA,36.0,NA,51.8,NA,46.8,46.2,NA
1544,r056,All students in grade 12 -> Race or ethnicity<sup>a</sup> -> American Indian or Alaska Native,All students in grade 12,Race or ethnicity<sup>a</sup>,American Indian or Alaska Native,3,NA,NA,NA,NA,NA,6.1,NA,11.6,NA,12.5,9.9,NA
1544,r057,All students in grade 12 -> Race or ethnicity<sup>a</sup> -> More than one race,All students in grade 12,Race or ethnicity<sup>a</sup>,More than one race,3,NA,NA,NA,NA,NA,18.9,NA,28.2,NA,25.7,30.6,NA
1544,r058,All students in grade 12 -> Parents' highest education<sup>e</sup>,All students in grade 12,Parents' highest education<sup>e</sup>,,2,,,,,,,,,,,,
1544,r059,All students in grade 12 -> Parents' highest education<sup>e</sup> -> Did not finish high school,All students in grade 12,Parents' highest education<sup>e</sup>,Did not finish high school,3,NA,NA,NA,NA,NA,6.9,NA,8.1,NA,9.1,7.1,NA
1544,r060,All students in grade 12 -> Parents' highest education<sup>e</sup> -> Graduated from high school,All students in grade 12,Parents' highest education<sup>e</sup>,Graduated from high school,3,NA,NA,NA,NA,NA,11.5,NA,13.9,NA,12.2,12.4,NA
1544,r061,All students in grade 12 -> Parents' highest education<sup>e</sup> -> Some education after high school,All students in grade 12,Parents' highest education<sup>e</sup>,Some education after high school,3,NA,NA,NA,NA,NA,18.2,NA,19.0,NA,19.6,18.0,NA
1544,r062,All students in grade 12 -> Parents' highest education<sup>e</sup> -> Graduated from college,All students in grade 12,Parents' highest education<sup>e</sup>,Graduated from college,3,NA,NA,NA,NA,NA,34.3,NA,38.0,NA,37.7,36.8,NA
1544,r063,All students in grade 12 -> Parents' highest education<sup>e</sup> -> Unknown,All students in grade 12,Parents' highest education<sup>e</sup>,Unknown,3,NA,NA,NA,NA,NA,5.8,NA,7.9,NA,5.6,0.0,NA
1544,r064,All students in grade 12 -> Socioeconomic status<sup>c </sup>,All students in grade 12,Socioeconomic status<sup>c </sup>,,2,,,,,,,,,,,,
1544,r065,All students in grade 12 -> Socioeconomic status<sup>c </sup> -> Eligible for free or reduced-price lunch,All students in grade 12,Socioeconomic status<sup>c </sup>,Eligible for free or reduced-price lunch,3,NA,NA,NA,NA,NA,7.7,NA,10.2,NA,11.4,11.0,NA
1544,r066,All students in grade 12 -> Socioeconomic status<sup>c </sup> -> Not eligible for free or reduced-price lunch,All students in grade 12,Socioeconomic status<sup>c </sup>,Not eligible for free or reduced-price lunch,3,NA,NA,NA,NA,NA,26.7,NA,31.9,NA,33.7,32.3,NA
1544,r067,All students in grade 12 -> Student disability status<sup>d</sup>,All students in grade 12,Student disability status<sup>d</sup>,,2,,,,,,,,,,,,
1544,r068,All students in grade 12 -> Student disability status<sup>d</sup> -> Has a disability,All students in grade 12,Student disability status<sup>d</sup>,Has a disability,3,NA,NA,NA,NA,NA,4.5,NA,6.6,NA,5.9,5.7,NA
1544,r069,All students in grade 12 -> Student disability status<sup>d</sup> -> Does not have a disability,All students in grade 12,Student disability status<sup>d</sup>,Does not have a disability,3,NA,NA,NA,NA,NA,24.4,NA,27.5,NA,27.7,26.3,NA
1544,r070,All students in grade 12 -> English language learner status<sup>d</sup>,All students in grade 12,English language learner status<sup>d</sup>,,2,,,,,,,,,,,,
1544,r071,All students in grade 12 -> English language learner status<sup>d</sup> -> English language learner,All students in grade 12,English language learner status<sup>d</sup>,English language learner,3,NA,NA,NA,NA,NA,3.1,NA,4.0,NA,2.8,5.7,NA
1544,r072,All students in grade 12 -> English language learner status<sup>d</sup> -> Not English language learner,All students in grade 12,English language learner status<sup>d</sup>,Not English language learner,3,NA,NA,NA,NA,NA,23.8,NA,26.6,NA,26.4,25.2,NA
