table_id,row_id,time_period,_b_all_science_engineering_and_health_graduate_students_b_level_1,_b_all_science_engineering_and_health_graduate_students_b_level_2,_b_all_science_engineering_and_health_graduate_students_b_level_3,_b_all_science_engineering_and_health_graduate_students_b_hierarchy_depth,value
10663,r053,1977,All engineering graduate students,Full time,Percent,3,54.1
10663,r054,1977,All engineering graduate students,Part time,Number,3,31530
10663,r055,1977,All engineering graduate students,Part time,Percent,3,45.9
10663,r056,1977,All health graduate students,Total,,2,33685
10663,r057,1977,All health graduate students,Full time,Number,3,20327
10663,r058,1977,All health graduate students,Full time,Percent,3,60.3
10663,r059,1977,All health graduate students,Part time,Number,3,13358
10663,r060,1977,All health graduate students,Part time,Percent,3,39.7
10663,r061,1978<sup>a</sup>,"All science, engineering, and health graduate students",Total,,2,339912
10663,r062,1978<sup>a</sup>,"All science, engineering, and health graduate students",Full time,Number,3,223030
10663,r063,1978<sup>a</sup>,"All science, engineering, and health graduate students",Full time,Percent,3,65.6
10663,r064,1978<sup>a</sup>,"All science, engineering, and health graduate students",Part time,Number,3,116882
10663,r065,1978<sup>a</sup>,"All science, engineering, and health graduate students",Part time,Percent,3,34.4
10663,r066,1978<sup>a</sup>,All science graduate students,Total,,2,236465
10663,r067,1978<sup>a</sup>,All science graduate students,Full time,Number,3,164151
10663,r068,1978<sup>a</sup>,All science graduate students,Full time,Percent,3,69.4
10663,r069,1978<sup>a</sup>,All science graduate students,Part time,Number,3,72314
10663,r070,1978<sup>a</sup>,All science graduate students,Part time,Percent,3,30.6
10663,r071,1978<sup>a</sup>,All engineering graduate students,Total,,2,67787
10663,r072,1978<sup>a</sup>,All engineering graduate students,Full time,Number,3,37586
10663,r073,1978<sup>a</sup>,All engineering graduate students,Full time,Percent,3,55.4
10663,r074,1978<sup>a</sup>,All engineering graduate students,Part time,Number,3,30201
10663,r075,1978<sup>a</sup>,All engineering graduate students,Part time,Percent,3,44.6
10663,r076,1978<sup>a</sup>,All health graduate students,Total,,2,35660
10663,r077,1978<sup>a</sup>,All health graduate students,Full time,Number,3,21293
10663,r078,1978<sup>a</sup>,All health graduate students,Full time,Percent,3,59.7
10663,r079,1978<sup>a</sup>,All health graduate students,Part time,Number,3,14367
10663,r080,1978<sup>a</sup>,All health graduate students,Part time,Percent,3,40.3
10663,r081,1979,"All science, engineering, and health graduate students",Total,,2,357578
10663,r082,1979,"All science, engineering, and health graduate students",Full time,Number,3,231760
10663,r083,1979,"All science, engineering, and health graduate students",Full time,Percent,3,64.8
10663,r084,1979,"All science, engineering, and health graduate students",Part time,Number,3,125818
10663,r085,1979,"All science, engineering, and health graduate students",Part time,Percent,3,35.2
10663,r086,1979,All science graduate students,Total,,2,247235
10663,r087,1979,All science graduate students,Full time,Number,3,168959
10663,r088,1979,All science graduate students,Full time,Percent,3,68.3
10663,r089,1979,All science graduate students,Part time,Number,3,78276
10663,r090,1979,All science graduate students,Part time,Percent,3,31.7
10663,r091,1979,All engineering graduate students,Total,,2,71808
10663,r092,1979,All engineering graduate students,Full time,Number,3,40041
10663,r093,1979,All engineering graduate students,Full time,Percent,3,55.8
10663,r094,1979,All engineering graduate students,Part time,Number,3,31767
10663,r095,1979,All engineering graduate students,Part time,Percent,3,44.2
10663,r096,1979,All health graduate students,Total,,2,38535
10663,r097,1979,All health graduate students,Full time,Number,3,22760
10663,r098,1979,All health graduate students,Full time,Percent,3,59.1
10663,r099,1979,All health graduate students,Part time,Number,3,15775
10663,r100,1979,All health graduate students,Part time,Percent,3,40.9
10663,r101,1980,"All science, engineering, and health graduate students",Total,,2,367078
10663,r102,1980,"All science, engineering, and health graduate students",Full time,Number,3,238416
10663,r103,1980,"All science, engineering, and health graduate students",Full time,Percent,3,64.9
10663,r104,1980,"All science, engineering, and health graduate students",Part time,Number,3,128662
10663,r105,1980,"All science, engineering, and health graduate students",Part time,Percent,3,35.1
10663,r106,1980,All science graduate students,Total,,2,251265
10663,r107,1980,All science graduate students,Full time,Number,3,171767
10663,r108,1980,All science graduate students,Full time,Percent,3,68.4
10663,r109,1980,All science graduate students,Part time,Number,3,79498
10663,r110,1980,All science graduate students,Part time,Percent,3,31.6
10663,r111,1980,All engineering graduate students,Total,,2,74335
10663,r112,1980,All engineering graduate students,Full time,Number,3,42650
10663,r113,1980,All engineering graduate students,Full time,Percent,3,57.4
10663,r114,1980,All engineering graduate students,Part time,Number,3,31685
10663,r115,1980,All engineering graduate students,Part time,Percent,3,42.6
10663,r116,1980,All health graduate students,Total,,2,41478
10663,r117,1980,All health graduate students,Full time,Number,3,23999
10663,r118,1980,All health graduate students,Full time,Percent,3,57.9
10663,r119,1980,All health graduate students,Part time,Number,3,17479
10663,r120,1980,All health graduate students,Part time,Percent,3,42.1
10663,r121,1981,"All science, engineering, and health graduate students",Total,,2,375130
10663,r122,1981,"All science, engineering, and health graduate students",Full time,Number,3,242049
10663,r123,1981,"All science, engineering, and health graduate students",Full time,Percent,3,64.5
10663,r124,1981,"All science, engineering, and health graduate students",Part time,Number,3,133081
10663,r125,1981,"All science, engineering, and health graduate students",Part time,Percent,3,35.5
10663,r126,1981,All science graduate students,Total,,2,252404
10663,r127,1981,All science graduate students,Full time,Number,3,172200
10663,r128,1981,All science graduate students,Full time,Percent,3,68.2
10663,r129,1981,All science graduate students,Part time,Number,3,80204
10663,r130,1981,All science graduate students,Part time,Percent,3,31.8
10663,r131,1981,All engineering graduate students,Total,,2,79585
10663,r132,1981,All engineering graduate students,Full time,Number,3,45752
10663,r133,1981,All engineering graduate students,Full time,Percent,3,57.5
10663,r134,1981,All engineering graduate students,Part time,Number,3,33833
10663,r135,1981,All engineering graduate students,Part time,Percent,3,42.5
10663,r136,1981,All health graduate students,Total,,2,43141
10663,r137,1981,All health graduate students,Full time,Number,3,24097
10663,r138,1981,All health graduate students,Full time,Percent,3,55.9
10663,r139,1981,All health graduate students,Part time,Number,3,19044
10663,r140,1981,All health graduate students,Part time,Percent,3,44.1
10663,r141,1982,"All science, engineering, and health graduate students",Total,,2,382291
10663,r142,1982,"All science, engineering, and health graduate students",Full time,Number,3,244757
10663,r143,1982,"All science, engineering, and health graduate students",Full time,Percent,3,64.0
10663,r144,1982,"All science, engineering, and health graduate students",Part time,Number,3,137534
10663,r145,1982,"All science, engineering, and health graduate students",Part time,Percent,3,36.0
10663,r146,1982,All science graduate students,Total,,2,255146
10663,r147,1982,All science graduate students,Full time,Number,3,172090
10663,r148,1982,All science graduate students,Full time,Percent,3,67.4
10663,r149,1982,All science graduate students,Part time,Number,3,83056
10663,r150,1982,All science graduate students,Part time,Percent,3,32.6
10663,r151,1982,All engineering graduate students,Total,,2,83720
10663,r152,1982,All engineering graduate students,Full time,Number,3,49784
10663,r153,1982,All engineering graduate students,Full time,Percent,3,59.5
10663,r154,1982,All engineering graduate students,Part time,Number,3,33936
10663,r155,1982,All engineering graduate students,Part time,Percent,3,40.5
10663,r156,1982,All health graduate students,Total,,2,43425
10663,r157,1982,All health graduate students,Full time,Number,3,22883
10663,r158,1982,All health graduate students,Full time,Percent,3,52.7
10663,r159,1982,All health graduate students,Part time,Number,3,20542
10663,r160,1982,All health graduate students,Part time,Percent,3,47.3
10663,r161,1983,"All science, engineering, and health graduate students",Total,,2,390432
10663,r162,1983,"All science, engineering, and health graduate students",Full time,Number,3,252017
10663,r163,1983,"All science, engineering, and health graduate students",Full time,Percent,3,64.5
10663,r164,1983,"All science, engineering, and health graduate students",Part time,Number,3,138415
10663,r165,1983,"All science, engineering, and health graduate students",Part time,Percent,3,35.5
10663,r166,1983,All science graduate students,Total,,2,255820
10663,r167,1983,All science graduate students,Full time,Number,3,175472
10663,r168,1983,All science graduate students,Full time,Percent,3,68.6
10663,r169,1983,All science graduate students,Part time,Number,3,80348
10663,r170,1983,All science graduate students,Part time,Percent,3,31.4
10663,r171,1983,All engineering graduate students,Total,,2,91146
10663,r172,1983,All engineering graduate students,Full time,Number,3,53932
10663,r173,1983,All engineering graduate students,Full time,Percent,3,59.2
10663,r174,1983,All engineering graduate students,Part time,Number,3,37214
10663,r175,1983,All engineering graduate students,Part time,Percent,3,40.8
10663,r176,1983,All health graduate students,Total,,2,43466
10663,r177,1983,All health graduate students,Full time,Number,3,22613
10663,r178,1983,All health graduate students,Full time,Percent,3,52.0
10663,r179,1983,All health graduate students,Part time,Number,3,20853
10663,r180,1983,All health graduate students,Part time,Percent,3,48.0
10663,r181,1984,"All science, engineering, and health graduate students",Total,,2,394670
10663,r182,1984,"All science, engineering, and health graduate students",Full time,Number,3,253922
10663,r183,1984,"All science, engineering, and health graduate students",Full time,Percent,3,64.3
10663,r184,1984,"All science, engineering, and health graduate students",Part time,Number,3,140748
10663,r185,1984,"All science, engineering, and health graduate students",Part time,Percent,3,35.7
10663,r186,1984,All science graduate students,Total,,2,256903
10663,r187,1984,All science graduate students,Full time,Number,3,175766
10663,r188,1984,All science graduate students,Full time,Percent,3,68.4
10663,r189,1984,All science graduate students,Part time,Number,3,81137
10663,r190,1984,All science graduate students,Part time,Percent,3,31.6
10663,r191,1984,All engineering graduate students,Total,,2,92739
10663,r192,1984,All engineering graduate students,Full time,Number,3,55191
10663,r193,1984,All engineering graduate students,Full time,Percent,3,59.5
10663,r194,1984,All engineering graduate students,Part time,Number,3,37548
10663,r195,1984,All engineering graduate students,Part time,Percent,3,40.5
10663,r196,1984,All health graduate students,Total,,2,45028
10663,r197,1984,All health graduate students,Full time,Number,3,22965
10663,r198,1984,All health graduate students,Full time,Percent,3,51.0
10663,r199,1984,All health graduate students,Part time,Number,3,22063
10663,r200,1984,All health graduate students,Part time,Percent,3,49.0
10663,r201,1985,"All science, engineering, and health graduate students",Total,,2,404021
10663,r202,1985,"All science, engineering, and health graduate students",Full time,Number,3,257287
10663,r203,1985,"All science, engineering, and health graduate students",Full time,Percent,3,63.7
10663,r204,1985,"All science, engineering, and health graduate students",Part time,Number,3,146734
10663,r205,1985,"All science, engineering, and health graduate students",Part time,Percent,3,36.3
10663,r206,1985,All science graduate students,Total,,2,261973
10663,r207,1985,All science graduate students,Full time,Number,3,178020
10663,r208,1985,All science graduate students,Full time,Percent,3,68.0
10663,r209,1985,All science graduate students,Part time,Number,3,83953
10663,r210,1985,All science graduate students,Part time,Percent,3,32.0
10663,r211,1985,All engineering graduate students,Total,,2,96018
10663,r212,1985,All engineering graduate students,Full time,Number,3,55918
10663,r213,1985,All engineering graduate students,Full time,Percent,3,58.2
10663,r214,1985,All engineering graduate students,Part time,Number,3,40100
10663,r215,1985,All engineering graduate students,Part time,Percent,3,41.8
10663,r216,1985,All health graduate students,Total,,2,46030
10663,r217,1985,All health graduate students,Full time,Number,3,23349
10663,r218,1985,All health graduate students,Full time,Percent,3,50.7
10663,r219,1985,All health graduate students,Part time,Number,3,22681
10663,r220,1985,All health graduate students,Part time,Percent,3,49.3
10663,r221,1986,"All science, engineering, and health graduate students",Total,,2,415520
10663,r222,1986,"All science, engineering, and health graduate students",Full time,Number,3,266168
10663,r223,1986,"All science, engineering, and health graduate students",Full time,Percent,3,64.1
10663,r224,1986,"All science, engineering, and health graduate students",Part time,Number,3,149352
10663,r225,1986,"All science, engineering, and health graduate students",Part time,Percent,3,35.9
10663,r226,1986,All science graduate students,Total,,2,266077
10663,r227,1986,All science graduate students,Full time,Number,3,182532
10663,r228,1986,All science graduate students,Full time,Percent,3,68.6
10663,r229,1986,All science graduate students,Part time,Number,3,83545
10663,r230,1986,All science graduate students,Part time,Percent,3,31.4
10663,r231,1986,All engineering graduate students,Total,,2,101905
10663,r232,1986,All engineering graduate students,Full time,Number,3,60197
10663,r233,1986,All engineering graduate students,Full time,Percent,3,59.1
10663,r234,1986,All engineering graduate students,Part time,Number,3,41708
10663,r235,1986,All engineering graduate students,Part time,Percent,3,40.9
10663,r236,1986,All health graduate students,Total,,2,47538
10663,r237,1986,All health graduate students,Full time,Number,3,23439
10663,r238,1986,All health graduate students,Full time,Percent,3,49.3
10663,r239,1986,All health graduate students,Part time,Number,3,24099
10663,r240,1986,All health graduate students,Part time,Percent,3,50.7
10663,r241,1987,"All science, engineering, and health graduate students",Total,,2,421497
10663,r242,1987,"All science, engineering, and health graduate students",Full time,Number,3,271056
10663,r243,1987,"All science, engineering, and health graduate students",Full time,Percent,3,64.3
10663,r244,1987,"All science, engineering, and health graduate students",Part time,Number,3,150441
10663,r245,1987,"All science, engineering, and health graduate students",Part time,Percent,3,35.7
10663,r246,1987,All science graduate students,Total,,2,269256
10663,r247,1987,All science graduate students,Full time,Number,3,185143
10663,r248,1987,All science graduate students,Full time,Percent,3,68.8
10663,r249,1987,All science graduate students,Part time,Number,3,84113
10663,r250,1987,All science graduate students,Part time,Percent,3,31.2
10663,r251,1987,All engineering graduate students,Total,,2,103983
10663,r252,1987,All engineering graduate students,Full time,Number,3,61962
10663,r253,1987,All engineering graduate students,Full time,Percent,3,59.6
10663,r254,1987,All engineering graduate students,Part time,Number,3,42021
10663,r255,1987,All engineering graduate students,Part time,Percent,3,40.4
10663,r256,1987,All health graduate students,Total,,2,48258
10663,r257,1987,All health graduate students,Full time,Number,3,23951
10663,r258,1987,All health graduate students,Full time,Percent,3,49.6
10663,r259,1987,All health graduate students,Part time,Number,3,24307
10663,r260,1987,All health graduate students,Part time,Percent,3,50.4
10663,r261,1988,"All science, engineering, and health graduate students",Total,,2,424523
10663,r262,1988,"All science, engineering, and health graduate students",Full time,Number,3,275127
10663,r263,1988,"All science, engineering, and health graduate students",Full time,Percent,3,64.8
10663,r264,1988,"All science, engineering, and health graduate students",Part time,Number,3,149396
10663,r265,1988,"All science, engineering, and health graduate students",Part time,Percent,3,35.2
10663,r266,1988,All science graduate students,Total,,2,272309
10663,r267,1988,All science graduate students,Full time,Number,3,187525
10663,r268,1988,All science graduate students,Full time,Percent,3,68.9
10663,r269,1988,All science graduate students,Part time,Number,3,84784
10663,r270,1988,All science graduate students,Part time,Percent,3,31.1
10663,r271,1988,All engineering graduate students,Total,,2,102854
10663,r272,1988,All engineering graduate students,Full time,Number,3,63032
10663,r273,1988,All engineering graduate students,Full time,Percent,3,61.3
10663,r274,1988,All engineering graduate students,Part time,Number,3,39822
10663,r275,1988,All engineering graduate students,Part time,Percent,3,38.7
10663,r276,1988,All health graduate students,Total,,2,49360
10663,r277,1988,All health graduate students,Full time,Number,3,24570
10663,r278,1988,All health graduate students,Full time,Percent,3,49.8
10663,r279,1988,All health graduate students,Part time,Number,3,24790
10663,r280,1988,All health graduate students,Part time,Percent,3,50.2
10663,r281,1989,"All science, engineering, and health graduate students",Total,,2,434478
10663,r282,1989,"All science, engineering, and health graduate students",Full time,Number,3,282648
10663,r283,1989,"All science, engineering, and health graduate students",Full time,Percent,3,65.1
10663,r284,1989,"All science, engineering, and health graduate students",Part time,Number,3,151830
10663,r285,1989,"All science, engineering, and health graduate students",Part time,Percent,3,34.9
10663,r286,1989,All science graduate students,Total,,2,278577
10663,r287,1989,All science graduate students,Full time,Number,3,192424
10663,r288,1989,All science graduate students,Full time,Percent,3,69.1
10663,r289,1989,All science graduate students,Part time,Number,3,86153
10663,r290,1989,All science graduate students,Part time,Percent,3,30.9
10663,r291,1989,All engineering graduate students,Total,,2,104065
10663,r292,1989,All engineering graduate students,Full time,Number,3,64396
10663,r293,1989,All engineering graduate students,Full time,Percent,3,61.9
10663,r294,1989,All engineering graduate students,Part time,Number,3,39669
10663,r295,1989,All engineering graduate students,Part time,Percent,3,38.1
10663,r296,1989,All health graduate students,Total,,2,51836
10663,r297,1989,All health graduate students,Full time,Number,3,25828
10663,r298,1989,All health graduate students,Full time,Percent,3,49.8
10663,r299,1989,All health graduate students,Part time,Number,3,26008
10663,r300,1989,All health graduate students,Part time,Percent,3,50.2
10663,r301,1990,"All science, engineering, and health graduate students",Total,,2,452113
10663,r302,1990,"All science, engineering, and health graduate students",Full time,Number,3,292782
10663,r303,1990,"All science, engineering, and health graduate students",Full time,Percent,3,64.8
10663,r304,1990,"All science, engineering, and health graduate students",Part time,Number,3,159331
10663,r305,1990,"All science, engineering, and health graduate students",Part time,Percent,3,35.2
10663,r306,1990,All science graduate students,Total,,2,289383
10663,r307,1990,All science graduate students,Full time,Number,3,199313
10663,r308,1990,All science graduate students,Full time,Percent,3,68.9
10663,r309,1990,All science graduate students,Part time,Number,3,90070
10663,r310,1990,All science graduate students,Part time,Percent,3,31.1
10663,r311,1990,All engineering graduate students,Total,,2,107658
10663,r312,1990,All engineering graduate students,Full time,Number,3,66010
10663,r313,1990,All engineering graduate students,Full time,Percent,3,61.3
10663,r314,1990,All engineering graduate students,Part time,Number,3,41648
10663,r315,1990,All engineering graduate students,Part time,Percent,3,38.7
10663,r316,1990,All health graduate students,Total,,2,55072
10663,r317,1990,All health graduate students,Full time,Number,3,27459
10663,r318,1990,All health graduate students,Full time,Percent,3,49.9
10663,r319,1990,All health graduate students,Part time,Number,3,27613
10663,r320,1990,All health graduate students,Part time,Percent,3,50.1
10663,r321,1991,"All science, engineering, and health graduate students",Total,,2,471212
10663,r322,1991,"All science, engineering, and health graduate students",Full time,Number,3,307010
10663,r323,1991,"All science, engineering, and health graduate students",Full time,Percent,3,65.2
10663,r324,1991,"All science, engineering, and health graduate students",Part time,Number,3,164202
10663,r325,1991,"All science, engineering, and health graduate students",Part time,Percent,3,34.8
10663,r326,1991,All science graduate students,Total,,2,299057
10663,r327,1991,All science graduate students,Full time,Number,3,206036
10663,r328,1991,All science graduate students,Full time,Percent,3,68.9
10663,r329,1991,All science graduate students,Part time,Number,3,93021
10663,r330,1991,All science graduate students,Part time,Percent,3,31.1
10663,r331,1991,All engineering graduate students,Total,,2,113535
10663,r332,1991,All engineering graduate students,Full time,Number,3,71034
10663,r333,1991,All engineering graduate students,Full time,Percent,3,62.6
10663,r334,1991,All engineering graduate students,Part time,Number,3,42501
10663,r335,1991,All engineering graduate students,Part time,Percent,3,37.4
10663,r336,1991,All health graduate students,Total,,2,58620
10663,r337,1991,All health graduate students,Full time,Number,3,29940
10663,r338,1991,All health graduate students,Full time,Percent,3,51.1
10663,r339,1991,All health graduate students,Part time,Number,3,28680
10663,r340,1991,All health graduate students,Part time,Percent,3,48.9
10663,r341,1992,"All science, engineering, and health graduate students",Total,,2,493522
10663,r342,1992,"All science, engineering, and health graduate students",Full time,Number,3,322555
10663,r343,1992,"All science, engineering, and health graduate students",Full time,Percent,3,65.4
10663,r344,1992,"All science, engineering, and health graduate students",Part time,Number,3,170967
10663,r345,1992,"All science, engineering, and health graduate students",Part time,Percent,3,34.6
10663,r346,1992,All science graduate students,Total,,2,312478
10663,r347,1992,All science graduate students,Full time,Number,3,215965
10663,r348,1992,All science graduate students,Full time,Percent,3,69.1
10663,r349,1992,All science graduate students,Part time,Number,3,96513
10663,r350,1992,All science graduate students,Part time,Percent,3,30.9
10663,r351,1992,All engineering graduate students,Total,,2,118039
10663,r352,1992,All engineering graduate students,Full time,Number,3,74443
10663,r353,1992,All engineering graduate students,Full time,Percent,3,63.1
10663,r354,1992,All engineering graduate students,Part time,Number,3,43596
10663,r355,1992,All engineering graduate students,Part time,Percent,3,36.9
10663,r356,1992,All health graduate students,Total,,2,63005
10663,r357,1992,All health graduate students,Full time,Number,3,32147
10663,r358,1992,All health graduate students,Full time,Percent,3,51.0
10663,r359,1992,All health graduate students,Part time,Number,3,30858
10663,r360,1992,All health graduate students,Part time,Percent,3,49.0
10663,r361,1993,"All science, engineering, and health graduate students",Total,,2,504304
10663,r362,1993,"All science, engineering, and health graduate students",Full time,Number,3,329644
10663,r363,1993,"All science, engineering, and health graduate students",Full time,Percent,3,65.4
10663,r364,1993,"All science, engineering, and health graduate students",Part time,Number,3,174660
10663,r365,1993,"All science, engineering, and health graduate students",Part time,Percent,3,34.6
10663,r366,1993,All science graduate students,Total,,2,318851
10663,r367,1993,All science graduate students,Full time,Number,3,220097
10663,r368,1993,All science graduate students,Full time,Percent,3,69.0
10663,r369,1993,All science graduate students,Part time,Number,3,98754
10663,r370,1993,All science graduate students,Part time,Percent,3,31.0
10663,r371,1993,All engineering graduate students,Total,,2,116872
10663,r372,1993,All engineering graduate students,Full time,Number,3,73808
10663,r373,1993,All engineering graduate students,Full time,Percent,3,63.2
10663,r374,1993,All engineering graduate students,Part time,Number,3,43064
10663,r375,1993,All engineering graduate students,Part time,Percent,3,36.8
10663,r376,1993,All health graduate students,Total,,2,68581
10663,r377,1993,All health graduate students,Full time,Number,3,35739
10663,r378,1993,All health graduate students,Full time,Percent,3,52.1
10663,r379,1993,All health graduate students,Part time,Number,3,32842
10663,r380,1993,All health graduate students,Part time,Percent,3,47.9
10663,r381,1994,"All science, engineering, and health graduate students",Total,,2,504399
10663,r382,1994,"All science, engineering, and health graduate students",Full time,Number,3,332088
10663,r383,1994,"All science, engineering, and health graduate students",Full time,Percent,3,65.8
10663,r384,1994,"All science, engineering, and health graduate students",Part time,Number,3,172311
10663,r385,1994,"All science, engineering, and health graduate students",Part time,Percent,3,34.2
10663,r386,1994,All science graduate students,Total,,2,318118
10663,r387,1994,All science graduate students,Full time,Number,3,221409
10663,r388,1994,All science graduate students,Full time,Percent,3,69.6
10663,r389,1994,All science graduate students,Part time,Number,3,96709
10663,r390,1994,All science graduate students,Part time,Percent,3,30.4
10663,r391,1994,All engineering graduate students,Total,,2,113024
10663,r392,1994,All engineering graduate students,Full time,Number,3,71570
10663,r393,1994,All engineering graduate students,Full time,Percent,3,63.3
10663,r394,1994,All engineering graduate students,Part time,Number,3,41454
10663,r395,1994,All engineering graduate students,Part time,Percent,3,36.7
10663,r396,1994,All health graduate students,Total,,2,73257
10663,r397,1994,All health graduate students,Full time,Number,3,39109
10663,r398,1994,All health graduate students,Full time,Percent,3,53.4
10663,r399,1994,All health graduate students,Part time,Number,3,34148
10663,r400,1994,All health graduate students,Part time,Percent,3,46.6
10663,r401,1995,"All science, engineering, and health graduate students",Total,,2,499640
10663,r402,1995,"All science, engineering, and health graduate students",Full time,Number,3,329283
10663,r403,1995,"All science, engineering, and health graduate students",Full time,Percent,3,65.9
10663,r404,1995,"All science, engineering, and health graduate students",Part time,Number,3,170357
10663,r405,1995,"All science, engineering, and health graduate students",Part time,Percent,3,34.1
10663,r406,1995,All science graduate students,Total,,2,315265
10663,r407,1995,All science graduate students,Full time,Number,3,219389
10663,r408,1995,All science graduate students,Full time,Percent,3,69.6
10663,r409,1995,All science graduate students,Part time,Number,3,95876
10663,r410,1995,All science graduate students,Part time,Percent,3,30.4
10663,r411,1995,All engineering graduate students,Total,,2,107201
10663,r412,1995,All engineering graduate students,Full time,Number,3,67782
10663,r413,1995,All engineering graduate students,Full time,Percent,3,63.2
10663,r414,1995,All engineering graduate students,Part time,Number,3,39419
10663,r415,1995,All engineering graduate students,Part time,Percent,3,36.8
10663,r416,1995,All health graduate students,Total,,2,77174
10663,r417,1995,All health graduate students,Full time,Number,3,42112
10663,r418,1995,All health graduate students,Full time,Percent,3,54.6
10663,r419,1995,All health graduate students,Part time,Number,3,35062
10663,r420,1995,All health graduate students,Part time,Percent,3,45.4
10663,r421,1996,"All science, engineering, and health graduate students",Total,,2,494079
10663,r422,1996,"All science, engineering, and health graduate students",Full time,Number,3,328536
10663,r423,1996,"All science, engineering, and health graduate students",Full time,Percent,3,66.5
10663,r424,1996,"All science, engineering, and health graduate students",Part time,Number,3,165543
10663,r425,1996,"All science, engineering, and health graduate students",Part time,Percent,3,33.5
10663,r426,1996,All science graduate students,Total,,2,311957
10663,r427,1996,All science graduate students,Full time,Number,3,218180
10663,r428,1996,All science graduate students,Full time,Percent,3,69.9
10663,r429,1996,All science graduate students,Part time,Number,3,93777
10663,r430,1996,All science graduate students,Part time,Percent,3,30.1
10663,r431,1996,All engineering graduate students,Total,,2,103224
10663,r432,1996,All engineering graduate students,Full time,Number,3,65859
10663,r433,1996,All engineering graduate students,Full time,Percent,3,63.8
10663,r434,1996,All engineering graduate students,Part time,Number,3,37365
10663,r435,1996,All engineering graduate students,Part time,Percent,3,36.2
10663,r436,1996,All health graduate students,Total,,2,78898
10663,r437,1996,All health graduate students,Full time,Number,3,44497
10663,r438,1996,All health graduate students,Full time,Percent,3,56.4
10663,r439,1996,All health graduate students,Part time,Number,3,34401
10663,r440,1996,All health graduate students,Part time,Percent,3,43.6
10663,r441,1997,"All science, engineering, and health graduate students",Total,,2,487208
