table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_total_sales,field_all_companies_r_d_as_percentage_of_total_sales,field_1_4_employees_total_sales,field_1_4_employees_r_d_as_percentage_of_total_sales,field_5_9_employees_total_sales,field_5_9_employees_r_d_as_percentage_of_total_sales
2574,r015,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    447,446 ', '&nbsp;']","['    11 ', '&nbsp;']","['    192,307 ', '&nbsp;']","['    11 ', '&nbsp;']","['    255,139 ', '&nbsp;']","['    11 ', 'r']"
2574,r016,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    1,686,095 ', '&nbsp;']","['    20 ', '&nbsp;']","['    903,654 ', '&nbsp;']","['    22 ', '&nbsp;']","['    782,442 ', '&nbsp;']","['    18 ', '&nbsp;']"
2574,r017,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    160,184 ', '&nbsp;']","['    25 ', '&nbsp;']","['    135,866 ', '&nbsp;']","['    22 ', '&nbsp;']","['    24,319 ', 'r']","['    44 ', 'r']"
2574,r018,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    83,480 ', '&nbsp;']","['    17 ', '&nbsp;']","['    70,675 ', '&nbsp;']","['    17 ', '&nbsp;']","['    12,805 ', '&nbsp;']","['    16 ', 'r']"
2574,r019,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2574,r020,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    303,163 ', '&nbsp;']","['    26 ', '&nbsp;']","['    163,217 ', '&nbsp;']","['    33 ', '&nbsp;']","['    139,947 ', '&nbsp;']","['    19 ', '&nbsp;']"
2574,r021,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    14,012,604 ', '&nbsp;']","['    42 ', '&nbsp;']","['    6,774,834 ', '&nbsp;']","['    45 ', '&nbsp;']","['    7,237,770 ', '&nbsp;']","['    39 ', '&nbsp;']"
2574,r022,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    1,093,238 ', '&nbsp;']","['    11 ', '&nbsp;']","['    514,402 ', '&nbsp;']","['    7 ', 'r']","['    578,836 ', '&nbsp;']","['    14 ', 'r']"
2574,r023,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    1,935,354 ', '&nbsp;']","['    38 ', '&nbsp;']","['    760,938 ', '&nbsp;']","['    46 ', '&nbsp;']","['    1,174,416 ', '&nbsp;']","['    33 ', '&nbsp;']"
2574,r024,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    1,365,323 ', '&nbsp;']","['    34 ', '&nbsp;']","['    554,250 ', '&nbsp;']","['    44 ', '&nbsp;']","['    811,073 ', '&nbsp;']","['    27 ', '&nbsp;']"
2574,r025,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 (excluding 5112),"['    570,031 ', '&nbsp;']","['    49 ', '&nbsp;']","['    206,688 ', '&nbsp;']","['    51 ', '&nbsp;']","['    363,343 ', '&nbsp;']","['    47 ', '&nbsp;']"
2574,r026,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    835,848 ', '&nbsp;']","['    55 ', '&nbsp;']","['    398,501 ', '&nbsp;']","['    62 ', '&nbsp;']","['    437,347 ', '&nbsp;']","['    49 ', '&nbsp;']"
2574,r027,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    7,412,527 ', '&nbsp;']","['    30 ', '&nbsp;']","['    3,963,575 ', '&nbsp;']","['    34 ', '&nbsp;']","['    3,448,952 ', '&nbsp;']","['    26 ', '&nbsp;']"
2574,r028,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    2,735,638 ', '&nbsp;']","['    86 ', '&nbsp;']","['    1,137,418 ', '&nbsp;']","['    95 ', '&nbsp;']","['    1,598,220 ', '&nbsp;']","['    79 ', '&nbsp;']"
