table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_non_science_and_engineering_total_number,field_non_science_and_engineering_total_median,field_business_number,field_business_median,field_education_number,field_education_median,field_humanities_number,field_humanities_median,field_visual_and_performing_arts_number,field_visual_and_performing_arts_median,field_other_non_science_and_engineering_number,field_other_non_science_and_engineering_median
11676,r012,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,113,11.4,46,15.2,,,25,17.6,12,9.6,,,5,15.2
11676,r013,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3765,8.3,569,12.0,119,10.3,174,14.3,128,12.4,38,10.2,110,11.4
11676,r014,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2680,11.4,1047,15.1,,,585,16.3,145,13.0,,,231,13.8
11676,r015,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,22814,8.6,5412,13.0,384,12.4,1942,16.5,1790,11.3,423,11.6,873,11.6
11676,r016,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1291,8.0,236,12.3,15,17.0,76,14.4,74,11.3,16,8.2,55,11.6
11676,r017,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,435,9.2,109,13.0,12,11.5,23,17.0,40,12.8,9,13.0,25,12.6
11676,r018,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,454,9.6,134,14.3,13,12.4,49,18.0,41,12.0,10,12.8,21,15.0
11676,r019,Years since entering graduate school,Years since entering graduate school,,,,,1,,,,,,,,,,,,,,
11676,r020,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,,,,2,52827,7.2,10643,10.0,1328,8.8,3584,12.7,3009,9.8,744,9.3,1978,9.3
11676,r021,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,,,3,,,,,,,,,,,,,,
11676,r022,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Male,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Male,,4,27788,7.0,4339,9.8,730,8.8,972,12.8,1536,9.8,323,8.8,778,9.3
11676,r023,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Female,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Female,,4,25032,7.4,6304,10.3,598,8.8,2612,12.6,1473,9.3,421,9.8,1200,9.4
11676,r024,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,,,3,,,,,,,,,,,,,,
11676,r025,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> U.S. citizen or permanent resident,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,U.S. citizen or permanent resident,,4,33766,7.1,8030,10.8,611,9.8,3085,13.3,2381,9.8,553,9.4,1400,9.8
11676,r026,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> Temporary visa holder,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,Temporary visa holder,,4,18200,7.3,2385,9.0,688,8.2,415,9.3,576,9.9,174,9.3,532,8.8
11676,r027,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
11676,r028,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3260,7.3,793,10.6,36,13.0,333,11.9,240,9.8,48,10.5,136,9.7
11676,r029,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
11676,r030,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,95,8.8,36,12.3,,,21,12.8,8,8.8,,,,
11676,r031,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3699,7.0,562,10.1,117,8.4,174,12.0,124,10.3,38,8.9,109,10.3
11676,r032,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2596,9.7,1018,12.3,,,564,13.7,144,10.0,,,,
11676,r033,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,22279,7.0,5237,10.7,368,9.3,1875,13.7,1740,9.6,410,9.5,844,9.3
11676,r034,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1283,6.8,233,10.5,15,14.7,76,12.8,72,9.8,16,7.1,54,10.8
11676,r035,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,340,7.6,89,11.0,8,9.0,20,15.3,33,9.8,8,9.9,20,10.4
11676,r036,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,214,8.1,62,10.5,5,7.8,22,11.5,20,10.3,9,10.3,6,12.2
11676,r037,Years since entering doctoral program<sup>a</sup>,Years since entering doctoral program<sup>a</sup>,,,,,1,,,,,,,,,,,,,,
11676,r038,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,,,,2,52050,5.7,10464,5.9,1314,5.0,3523,5.6,2953,6.8,737,6.7,1937,5.8
11676,r039,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,,,3,,,,,,,,,,,,,,
11676,r040,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex -> Male,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,Male,,4,27340,5.7,4265,6.0,724,5.0,958,5.6,1501,6.8,320,6.3,762,5.8
11676,r041,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex -> Female,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,Female,,4,24703,5.8,6199,5.9,590,5.0,2565,5.7,1452,6.8,417,6.8,1175,5.8
11676,r042,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,,,3,,,,,,,,,,,,,,
11676,r043,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status -> U.S. citizen or permanent resident,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,U.S. citizen or permanent resident,,4,33211,5.8,7885,6.0,603,5.0,3029,5.8,2336,6.9,550,6.8,1367,5.8
11676,r044,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status -> Temporary visa holder,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,Temporary visa holder,,4,17993,5.3,2356,5.8,684,5.0,411,5.2,566,6.4,170,6.3,525,5.4
11676,r045,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
11676,r046,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3200,5.8,781,6.3,35,5.0,330,5.8,235,7.0,48,6.9,133,5.3
11676,r047,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
11676,r048,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,92,5.8,33,5.3,,,19,7.3,8,5.3,,,,
11676,r049,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3638,5.8,553,5.9,113,5.7,173,5.3,122,7.0,38,6.0,107,5.7
11676,r050,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2527,5.8,982,5.8,,,543,5.7,142,6.3,,,,
11676,r051,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,21955,5.8,5164,6.0,366,4.9,1850,5.7,1709,6.8,408,6.8,831,5.8
11676,r052,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1265,5.8,229,6.7,15,5.7,76,6.2,70,7.0,15,6.6,53,6.0
11676,r053,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,325,5.8,83,6.8,8,6.6,16,6.8,32,7.1,8,7.0,19,5.0
11676,r054,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,209,5.8,60,5.8,5,3.8,22,4.5,18,7.8,9,10.1,6,5.7
