table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10160,r040,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['6,493', '']","['7,198', '']","['6,597', '']","['6,988', '']","['5,455', '']","['4,611', '']","['5,254', '']","['5,863', '']","['8,043', '']","['6,099', '']","['7,396', '']","['7,011', '']","['7,909', '']"
10160,r041,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['2,083', '']","['3,162', '']","['1,241', '']","['2,602', '']","['2,432', '']","['3,192', '']","['3,161', '']","['4,652', '']","['5,577', '']","['7,591', '']","['7,053', '']","['6,253', '']","['4,815', '']"
10160,r042,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['ne', '']","['524', '']","['ne', '']","['1,236', '']","['3,862', '']","['1,949', '']","['1,383', '']","['1,096', '']","['1,248', '']","['1,572', '']","['1,497', '']","['2,341', '']","['3,377', '']"
10160,r043,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['2,881', '']","['2,684', '']","['2,492', '']","['2,868', '']","['2,384', '']","['1,837', '']","['2,363', '']","['1,600', '']","['2,452', '']","['3,232', '']","['4,305', '']","['4,209', '']","['4,177', '']"
10160,r044,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['2,743', '']","['2,780', '']","['2,894', '']","['4,671', '']","['3,614', 'i']","['2,557', '']","['2,790', '']","['1,858', '']","['2,043', '']","['1,957', '']","['2,065', '']","['2,690', '']","['4,230', '']"
10160,r045,"California -> Public -> California State U., East Bay",California,Public,"California State U., East Bay",3,"['1,312', '']","['1,644', '']","['1,039', '']","['934', '']","['ne', '']","['ne', '']","['837', '']","['ne', '']","['ne', '']","['ne', '']","['9,072', '']","['10,852', '']","['19,035', '']"
10160,r046,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['8,698', '']","['8,597', '']","['8,359', '']","['7,682', '']","['8,109', '']","['8,624', '']","['8,586', '']","['8,102', '']","['8,988', '']","['8,599', '']","['8,856', '']","['9,213', '']","['12,603', '']"
10160,r047,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['21,776', '']","['28,186', '']","['22,222', '']","['18,478', '']","['7,919', '']","['5,611', '']","['5,755', '']","['5,510', '']","['6,348', '']","['7,173', '']","['5,929', '']","['9,006', '']","['16,642', '']"
10160,r048,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['15,494', '']","['14,595', 'i']","['13,696', 'i']","['12,796', '']","['10,097', '']","['8,830', '']","['16,390', '']","['18,805', '']","['22,880', '']","['18,664', '']","['16,684', '']","['15,134', '']","['17,807', '']"
10160,r049,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['7,714', '']","['8,823', '']","['7,192', '']","['7,659', '']","['5,172', '']","['5,010', '']","['5,371', '']","['8,274', '']","['9,594', '']","['12,476', '']","['10,590', '']","['9,382', '']","['9,839', '']"
10160,r050,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['ne', '']","['3,005', '']","['2,793', '']","['2,480', '']","['1,011', '']","['1,542', '']","['2,205', '']","['1,921', '']","['3,039', '']","['2,959', '']","['3,202', '']","['2,799', '']","['526', '']"
10160,r051,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['5,305', '']","['6,959', '']","['6,567', '']","['6,129', '']","['4,787', '']","['5,492', '']","['5,680', '']","['5,397', '']","['5,799', '']","['6,444', '']","['5,874', '']","['6,882', '']","['8,975', '']"
10160,r052,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['29,469', '']","['25,654', '']","['29,491', '']","['9,640', '']","['12,991', '']","['13,333', '']","['16,330', '']","['17,979', '']","['19,618', '']","['21,095', '']","['21,228', '']","['16,573', '']","['19,638', '']"
10160,r053,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['15,207', '']","['16,344', '']","['14,053', '']","['15,564', '']","['13,136', '']","['17,930', '']","['20,676', '']","['21,106', '']","['21,429', '']","['23,544', '']","['24,939', '']","['23,699', '']","['23,795', '']"
10160,r054,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['4,188', '']","['11,591', '']","['9,303', '']","['11,942', '']","['13,582', '']","['15,317', '']","['10,771', '']","['12,924', '']","['16,702', '']","['16,062', '']","['10,819', '']","['11,607', '']","['11,929', '']"
10160,r055,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['5,788', '']","['6,795', 'i']","['7,802', 'i']","['8,809', '']","['8,302', '']","['6,432', '']","['6,634', '']","['6,549', '']","['8,348', '']","['10,595', '']","['13,250', '']","['10,213', '']","['9,238', '']"
10160,r056,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['ne', '']","['1,487', '']","['1,881', '']","['1,342', '']","['1,136', '']","['1,080', '']","['1,248', '']","['1,365', '']","['1,394', '']","['1,477', '']","['1,843', '']","['2,085', '']","['1,966', '']"
10160,r057,California -> Public -> Naval Postgraduate School,California,Public,Naval Postgraduate School,3,"['103,510', '']","['101,363', '']","['132,450', '']","['94,880', '']","['99,032', '']","['89,170', '']","['65,529', '']","['60,386', '']","['59,213', '']","['67,323', '']","['62,903', '']","['65,101', '']","['64,055', '']"
10160,r058,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['99,137', '']","['106,591', '']","['92,867', '']","['86,733', '']","['95,674', '']","['93,572', '']","['90,722', '']","['89,187', '']","['88,177', '']","['92,964', '']","['97,710', '']","['107,681', '']","['123,856', '']"
10160,r059,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['25,615', '']","['26,198', '']","['30,291', '']","['33,885', '']","['29,457', '']","['26,345', '']","['28,273', '']","['29,940', '']","['30,903', '']","['31,888', '']","['33,828', 'i']","['35,768', '']","['36,617', '']"
10160,r060,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['38,241', '']","['40,149', '']","['34,727', '']","['38,326', '']","['43,509', '']","['45,037', '']","['41,662', '']","['39,192', '']","['41,366', '']","['44,309', '']","['47,301', '']","['60,100', '']","['71,695', '']"
10160,r061,California -> Public -> Sonoma State U.,California,Public,Sonoma State U.,3,"['858', '']","['825', '']","['ne', '']","['1,938', '']","['1,714', '']","['1,163', '']","['693', '']","['ne', '']","['ne', '']","['ne', '']","['1,545', '']","['2,957', '']","['3,774', '']"
10160,r062,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['694,049', '']","['707,945', '']","['730,348', '']","['727,002', '']","['744,343', '']","['788,505', '']","['774,255', '']","['770,822', '']","['796,505', '']","['802,931', '']","['840,000', '']","['846,872', '']","['981,035', '']"
10160,r063,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['679,915', '']","['707,896', '']","['713,292', '']","['725,734', '']","['711,721', '']","['721,077', '']","['741,892', '']","['738,347', '']","['788,832', '']","['804,282', '']","['816,693', '']","['817,409', '']","['883,807', '']"
10160,r064,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['327,594', '']","['344,678', '']","['350,030', '']","['347,773', '']","['340,056', '']","['329,798', '']","['345,319', '']","['361,414', '']","['426,610', '']","['448,967', '']","['490,597', '']","['523,752', '']","['534,947', '']"
10160,r065,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['936,995', '']","['982,357', '']","['1,003,375', '']","['966,659', '']","['948,197', '']","['1,021,227', '']","['1,037,528', '']","['1,076,917', '']","['1,318,110', '']","['1,306,376', '']","['1,392,941', '']","['1,454,880', '']","['1,536,197', '']"
10160,r066,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['21,591', '']","['21,328', '']","['22,656', '']","['22,909', '']","['23,916', '']","['29,688', '']","['29,370', '']","['35,093', '']","['38,226', '']","['44,890', '']","['45,966', '']","['45,964', '']","['48,147', '']"
10160,r067,"California -> Public -> U. California, Office of the President",California,Public,"U. California, Office of the President",3,"['72,542', '']","['63,420', '']","['65,627', '']","['67,447', '']","['50,103', '']","['48,341', '']","['39,051', '']","['46,399', '']","['55,676', '']","['67,702', '']","['60,686', '']","['50,848', '']","['54,640', '']"
10160,r068,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['130,288', '']","['132,238', '']","['135,494', '']","['132,617', '']","['133,558', '']","['144,511', '']","['152,233', '']","['163,632', '']","['167,847', '']","['177,655', '']","['184,894', '']","['189,600', '']","['199,135', '']"
10160,r069,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['943,219', '']","['1,009,378', '']","['1,073,864', '']","['1,075,554', '']","['1,067,388', '']","['1,101,466', '']","['1,087,117', '']","['1,133,454', '']","['1,265,196', '']","['1,353,763', '']","['1,403,735', '']","['1,425,499', '']","['1,533,357', '']"
10160,r070,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['935,509', '']","['995,226', '']","['1,032,673', '']","['1,042,841', '']","['1,084,031', '']","['1,126,620', '']","['1,294,261', '']","['1,409,398', '']","['1,595,732', '']","['1,595,098', '']","['1,651,073', '']","['1,710,036', '']","['1,805,950', '']"
10160,r071,"California -> Public -> U. California, Santa Barbara",California,Public,"U. California, Santa Barbara",3,"['225,730', '']","['230,435', '']","['233,883', '']","['236,497', '']","['231,322', '']","['222,870', '']","['230,139', '']","['238,246', '']","['235,164', '']","['243,778', '']","['254,434', '']","['248,961', '']","['278,897', '']"
10160,r072,"California -> Public -> U. California, Santa Cruz",California,Public,"U. California, Santa Cruz",3,"['143,919', '']","['155,617', '']","['155,516', '']","['150,777', '']","['151,734', '']","['151,713', '']","['151,192', '']","['124,344', '']","['127,538', '']","['142,958', '']","['150,400', '']","['160,615', '']","['176,760', '']"
10160,r073,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10160,r074,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['ne', '']","['3,620', '']","['2,056', 'i']","['ne', '']","['ne', '']","['7,521', '']","['8,898', '']","['8,430', '']","['8,380', '']","['5,598', '']","['7,068', '']","['5,318', '']","['3,389', '']"
10160,r075,California -> Private -> Biola U.,California,Private,Biola U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['2,418', 'i']","['2,499', 'i']","['2,622', 'i']","['2,792', 'i']","['2,868', 'i']","['3,003', 'i']","['3,260', '']"
10160,r076,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,3,"['362,172', '']","['377,514', '']","['379,713', '']","['347,105', '']","['367,182', '']","['374,424', '']","['371,060', '']","['400,312', '']","['391,003', '']","['399,931', '']","['449,651', '']","['438,624', '']","['478,142', '']"
10160,r077,California -> Private -> California Lutheran U.,California,Private,California Lutheran U.,3,"['ne', '']","['741', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,143', '']","['630', '']","['ne', '']","['627', '']"
10160,r078,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['3,830', '']","['3,547', '']","['3,314', '']","['4,463', '']","['4,794', '']","['5,353', '']","['6,554', '']","['10,626', '']","['14,141', '']","['19,592', '']","['26,660', '']","['25,820', '']","['34,212', '']"
10160,r079,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['22,152', '']","['22,150', '']","['20,580', '']","['18,547', '']","['20,686', '']","['14,128', '']","['13,360', '']","['15,652', '']","['11,490', '']","['13,739', '']","['13,682', '']","['13,228', '']","['14,581', '']"
10160,r080,California -> Private -> Claremont Graduate U.,California,Private,Claremont Graduate U.,3,"['7,116', '']","['6,589', '']","['10,350', '']","['9,705', '']","['9,540', 'i']","['9,375', 'i']","['9,210', 'i']","['9,045', 'i']","['8,880', 'i']","['8,715', '']","['9,403', '']","['7,235', '']","['8,382', '']"
10160,r081,California -> Private -> Claremont McKenna C.,California,Private,Claremont McKenna C.,3,"['5,725', '']","['5,316', '']","['5,365', 'i']","['5,414', 'i']","['5,463', 'i']","['ne', '']","['6,094', '']","['5,818', '']","['5,693', '']","['6,214', '']","['5,846', '']","['4,515', '']","['5,893', '']"
10160,r082,California -> Private -> Harvey Mudd C.,California,Private,Harvey Mudd C.,3,"['3,214', '']","['3,861', '']","['3,512', '']","['3,595', '']","['3,127', '']","['3,272', '']","['4,332', '']","['3,748', '']","['3,790', '']","['3,353', '']","['2,916', '']","['2,359', '']","['3,350', '']"
10160,r083,California -> Private -> High Tech High Graduate School of Ed.,California,Private,High Tech High Graduate School of Ed.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['861', '']","['ne', '']","['3,304', '']","['5,032', '']","['6,203', '']"
10160,r084,California -> Private -> Keck Graduate Institute,California,Private,Keck Graduate Institute,3,"['ne', '']","['2,313', '']","['1,920', '']","['2,357', '']","['2,132', '']","['1,722', '']","['1,660', 'i']","['1,598', 'i']","['1,536', 'i']","['1,474', 'i']","['1,412', 'i']","['1,350', 'i']","['1,282', '']"
10160,r085,California -> Private -> La Sierra U.,California,Private,La Sierra U.,3,"['ne', '']","['732', '']","['ne', '']","['ne', '']","['1,057', '']","['1,165', '']","['1,255', '']","['2,202', '']","['2,227', '']","['1,581', '']","['1,647', '']","['1,517', '']","['2,246', '']"
10160,r086,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['35,990', '']","['39,409', '']","['31,772', '']","['31,715', '']","['23,375', '']","['25,519', '']","['22,977', '']","['21,846', '']","['19,892', 'i']","['17,938', 'i']","['15,984', 'i']","['14,029', '']","['15,517', '']"
10160,r087,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['4,557', '']","['6,455', '']","['5,746', '']","['6,766', '']","['7,635', '']","['6,389', '']","['7,504', '']","['7,071', '']","['7,911', '']","['7,272', '']","['7,193', '']","['12,819', '']","['12,773', '']"
10160,r088,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,030', '']","['1,468', '']","['1,491', '']","['1,512', 'i']","['1,451', 'i']","['1,430', 'i']","['1,357', 'i']","['1,351', 'i']","['1,559', 'i']"
10160,r089,California -> Private -> Occidental C.,California,Private,Occidental C.,3,"['2,289', '']","['1,809', '']","['1,592', '']","['1,634', '']","['2,177', '']","['1,544', '']","['2,008', '']","['1,764', '']","['1,445', '']","['2,458', '']","['2,657', '']","['3,587', '']","['4,139', 'i']"
10160,r090,California -> Private -> Pepperdine U.,California,Private,Pepperdine U.,3,"['2,672', '']","['1,924', '']","['2,571', '']","['2,400', '']","['2,401', '']","['2,714', '']","['3,178', '']","['2,396', '']","['1,954', '']","['2,170', '']","['2,006', '']","['2,655', '']","['3,775', '']"
10160,r091,California -> Private -> Pomona C.,California,Private,Pomona C.,3,"['2,924', '']","['3,640', '']","['3,259', '']","['3,679', '']","['3,818', '']","['3,538', '']","['3,691', '']","['3,205', '']","['2,983', '']","['2,985', '']","['2,855', '']","['2,146', '']","['2,589', '']"
10160,r092,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,3,"['3,816', '']","['2,407', '']","['3,329', '']","['2,376', '']","['2,883', '']","['1,659', '']","['2,056', '']","['2,145', '']","['2,299', '']","['2,319', '']","['2,682', '']","['3,142', '']","['4,225', '']"
10160,r093,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,3,"['387,298', '']","['400,768', '']","['398,673', '']","['399,899', '']","['386,231', '']","['384,161', '']","['364,670', '']","['354,582', '']","['396,839', '']","['427,734', '']","['444,964', '']","['485,435', '']","['492,639', '']"
10160,r094,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['839,839', '']","['907,971', '']","['903,238', '']","['945,450', '']","['959,247', '']","['1,022,551', '']","['1,066,269', '']","['1,109,708', '']","['1,157,597', '']","['1,204,116', '']","['1,203,950', '']","['1,274,483', '']","['1,384,555', '']"
10160,r095,"California -> Private -> Touro U., California",California,Private,"Touro U., California",3,"['1,221', '']","['1,779', '']","['2,237', '']","['2,155', '']","['3,067', '']","['3,106', '']","['3,466', '']","['3,122', '']","['3,233', '']","['3,543', '']","['3,551', '']","['3,489', '']","['2,561', '']"
