table_id,row_id,time_period,sdr_field_of_study_aggregations_aligned_with_tod_level_1,sdr_field_of_study_aggregations_aligned_with_tod_level_2,sdr_field_of_study_aggregations_aligned_with_tod_level_3,sdr_field_of_study_aggregations_aligned_with_tod_hierarchy_depth,value
3658,r019_10,,SED field of study information,End year,,2,Present
3658,r020_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,12
3658,r020_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Biochemistry and biophysics
3658,r020_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1201
3658,r020_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Biochemistry
3658,r020_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,100
3658,r020_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biochemistry
3658,r020_9,,SED field of study information,Start year,,2,1958
3658,r020_10,,SED field of study information,End year,,2,Present
3658,r021_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1202
3658,r021_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Biophysics
3658,r021_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,105
3658,r021_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biophysics
3658,r021_9,,SED field of study information,Start year,,2,1958
3658,r021_10,,SED field of study information,End year,,2,Present
3658,r022_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,155
3658,r022_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Structural biology
3658,r022_9,,SED field of study information,Start year,,2,2010
3658,r022_10,,SED field of study information,End year,,2,Present
3658,r023_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,13
3658,r023_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,"Cell, cellular biology, and molecular biology"
3658,r023_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1301
3658,r023_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Cell, cellular biology, and molecular biology"
3658,r023_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,130
3658,r023_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Anatomy
3658,r023_9,,SED field of study information,Start year,,2,1958
3658,r023_10,,SED field of study information,End year,,2,Present
3658,r024_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,136
3658,r024_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Cell/ cellular biology and histology
3658,r024_9,,SED field of study information,Start year,,2,1959
3658,r024_10,,SED field of study information,End year,,2,Present
3658,r025_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,142
3658,r025_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Developmental biology/ embryology
3658,r025_9,,SED field of study information,Start year,,2,1960
3658,r025_10,,SED field of study information,End year,,2,Present
3658,r026_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,154
3658,r026_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Molecular biology
3658,r026_9,,SED field of study information,Start year,,2,1965
3658,r026_10,,SED field of study information,End year,,2,Present
3658,r027_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,159
3658,r027_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Molecular medicine
3658,r027_9,,SED field of study information,Start year,,2,2016
3658,r027_10,,SED field of study information,End year,,2,Present
3658,r028_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,14
3658,r028_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Microbiological sciences and Immunology
3658,r028_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1401
3658,r028_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Immunology
3658,r028_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,151
3658,r028_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Immunology
3658,r028_9,,SED field of study information,Start year,,2,1972
3658,r028_10,,SED field of study information,End year,,2,Present
3658,r029_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1402
3658,r029_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Microbiological sciences
3658,r029_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,110
3658,r029_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Bacteriology
3658,r029_9,,SED field of study information,Start year,,2,1983
3658,r029_10,,SED field of study information,End year,,2,Present
3658,r030_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,156
3658,r030_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Microbiology/ bacteriology
3658,r030_9,,SED field of study information,Start year,,2,1958
3658,r030_10,,SED field of study information,End year,,2,1982
3658,r031_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,157
3658,r031_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Microbiology
3658,r031_9,,SED field of study information,Start year,,2,1983
3658,r031_10,,SED field of study information,End year,,2,Present
3658,r032_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,166
3658,r032_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Parasitology
3658,r032_9,,SED field of study information,Start year,,2,1973
3658,r032_10,,SED field of study information,End year,,2,Present
3658,r033_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,168
3658,r033_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Virology
3658,r033_9,,SED field of study information,Start year,,2,2010
3658,r033_10,,SED field of study information,End year,,2,Present
3658,r034_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,15
3658,r034_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Natural resources and conservation
3658,r034_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1501
3658,r034_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Fish, fisheries, wildlife and wildlands science and management"
3658,r034_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,54
3658,r034_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Fish and wildlife science
3658,r034_9,,SED field of study information,Start year,,2,1958
3658,r034_10,,SED field of study information,End year,,2,1982
3658,r035_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,55
3658,r035_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Fishing and fisheries sciences/ management
3658,r035_9,,SED field of study information,Start year,,2,1983
3658,r035_10,,SED field of study information,End year,,2,Present
3658,r036_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,60
3658,r036_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Wildlife
3658,r036_9,,SED field of study information,Start year,,2,1983
3658,r036_10,,SED field of study information,End year,,2,1988
3658,r037_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,80
3658,r037_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Wildlife/ range management
3658,r037_9,,SED field of study information,Start year,,2,1988
3658,r037_10,,SED field of study information,End year,,2,Present
3658,r038_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1502
3658,r038_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Forestry
3658,r038_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,65
3658,r038_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Forestry science
3658,r038_9,,SED field of study information,Start year,,2,1958
3658,r038_10,,SED field of study information,End year,,2,1988
3658,r039_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,66
3658,r039_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Forest sciences and biology
3658,r039_9,,SED field of study information,Start year,,2,1988
3658,r039_10,,SED field of study information,End year,,2,Present
3658,r040_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,70
3658,r040_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Forest/ resources management
3658,r040_9,,SED field of study information,Start year,,2,1988
3658,r040_10,,SED field of study information,End year,,2,Present
3658,r041_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,72
3658,r041_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Wood science and pulp/ paper technology
3658,r041_9,,SED field of study information,Start year,,2,1988
3658,r041_10,,SED field of study information,End year,,2,Present
3658,r042_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,79
3658,r042_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Forestry and related science, other"
3658,r042_9,,SED field of study information,Start year,,2,1988
3658,r042_10,,SED field of study information,End year,,2,Present
3658,r043_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1503
3658,r043_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Natural resource conservation, research, management, and policy"
3658,r043_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,74
3658,r043_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Natural resources/ conservation
3658,r043_9,,SED field of study information,Start year,,2,1988
3658,r043_10,,SED field of study information,End year,,2,Present
3658,r044_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,81
3658,r044_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Environmental science
3658,r044_9,,SED field of study information,Start year,,2,1972
3658,r044_10,,SED field of study information,End year,,2,Present
3658,r045_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,685
3658,r045_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Natural resource and environmental policy
3658,r045_9,,SED field of study information,Start year,,2,2014
3658,r045_10,,SED field of study information,End year,,2,Present
3658,r046_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,16
3658,r046_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Zoology
3658,r046_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1601
3658,r046_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Zoology, animal biology"
3658,r046_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,148
3658,r046_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Entomology
3658,r046_9,,SED field of study information,Start year,,2,1958
3658,r046_10,,SED field of study information,End year,,2,Present
3658,r047_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,188
3658,r047_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Wildlife biology
3658,r047_9,,SED field of study information,Start year,,2,2014
3658,r047_10,,SED field of study information,End year,,2,Present
3658,r048_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,189
3658,r048_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Zoology, other"
3658,r048_9,,SED field of study information,Start year,,2,1958
3658,r048_10,,SED field of study information,End year,,2,Present
3658,r049_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,17
3658,r049_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Other biological sciences
3658,r049_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1701
3658,r049_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Biomathematics, bioinformatics, and computational biology"
3658,r049_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,102
3658,r049_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Bioinformatics
3658,r049_9,,SED field of study information,Start year,,2,2007
3658,r049_10,,SED field of study information,End year,,2,Present
3658,r050_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,104
3658,r050_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Computational biology
3658,r050_9,,SED field of study information,Start year,,2,2010
3658,r050_10,,SED field of study information,End year,,2,Present
3658,r051_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,133
3658,r051_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biometrics and biostatistics
3658,r051_9,,SED field of study information,Start year,,2,1958
3658,r051_10,,SED field of study information,End year,,2,Present
3658,r052_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1702
3658,r052_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Botany and plant biology
3658,r052_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,30
3658,r052_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant pathology/ phytopathology
3658,r052_9,,SED field of study information,Start year,,2,1958
3658,r052_10,,SED field of study information,End year,,2,Present
3658,r053_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,120
3658,r053_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant pathology/ phytopathology
3658,r053_9,,SED field of study information,Start year,,2,1983
3658,r053_10,,SED field of study information,End year,,2,Present
3658,r054_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,125
3658,r054_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant physiology
3658,r054_9,,SED field of study information,Start year,,2,1958
3658,r054_10,,SED field of study information,End year,,2,Present
3658,r055_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,129
3658,r055_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Botany/ plant biology
3658,r055_9,,SED field of study information,Start year,,2,1958
3658,r055_10,,SED field of study information,End year,,2,Present
3658,r056_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1703
3658,r056_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Epidemiology, ecology, and population biology"
3658,r056_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,134
3658,r056_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Epidemiology
3658,r056_9,,SED field of study information,Start year,,2,2014
3658,r056_10,,SED field of study information,End year,,2,Present
3658,r057_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,137
3658,r057_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Evolutionary biology
3658,r057_9,,SED field of study information,Start year,,2,2002
3658,r057_10,,SED field of study information,End year,,2,Present
3658,r058_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,139
3658,r058_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Ecology
3658,r058_9,,SED field of study information,Start year,,2,1958
3658,r058_10,,SED field of study information,End year,,2,Present
3658,r059_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,140
3658,r059_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Hydrobiology
3658,r059_9,,SED field of study information,Start year,,2,1958
3658,r059_10,,SED field of study information,End year,,2,1979
3658,r060_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,220
3658,r060_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Epidemiology
3658,r060_9,,SED field of study information,Start year,,2,1983
3658,r060_10,,SED field of study information,End year,,2,2013
3658,r061_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1704
3658,r061_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Genetics
3658,r061_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,115
3658,r061_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant genetics
3658,r061_9,,SED field of study information,Start year,,2,1983
3658,r061_10,,SED field of study information,End year,,2,Present
3658,r062_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,170
3658,r062_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Genetics/ genomics, human and animal"
3658,r062_9,,SED field of study information,Start year,,2,1983
3658,r062_10,,SED field of study information,End year,,2,Present
3658,r063_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,171
3658,r063_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Genetics
3658,r063_9,,SED field of study information,Start year,,2,1958
3658,r063_10,,SED field of study information,End year,,2,1982
3658,r064_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1705
3658,r064_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Neurobiology and neuroscience
3658,r064_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,160
3658,r064_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Neurosciences
3658,r064_9,,SED field of study information,Start year,,2,1982
3658,r064_10,,SED field of study information,End year,,2,Present
3658,r065_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,626
3658,r065_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Cognitive neuroscience
3658,r065_9,,SED field of study information,Start year,,2,2016
3658,r065_10,,SED field of study information,End year,,2,Present
3658,r066_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1706
3658,r066_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Nutrition sciences
3658,r066_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,163
3658,r066_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Nutrition sciences
3658,r066_9,,SED field of study information,Start year,,2,1958
3658,r066_10,,SED field of study information,End year,,2,Present
3658,r067_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1707
3658,r067_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Pharmacology and toxicology
3658,r067_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,167
3658,r067_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Environmental toxicology
3658,r067_9,,SED field of study information,Start year,,2,2010
3658,r067_10,,SED field of study information,End year,,2,Present
3658,r068_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,169
3658,r068_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Toxicology
3658,r068_9,,SED field of study information,Start year,,2,1966
3658,r068_10,,SED field of study information,End year,,2,Present
3658,r069_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,180
3658,r069_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Pharmacology, human and animal"
3658,r069_9,,SED field of study information,Start year,,2,1958
3658,r069_10,,SED field of study information,End year,,2,Present
3658,r070_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,211
3658,r070_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Environmental toxicology
3658,r070_9,,SED field of study information,Start year,,2,2004
3658,r070_10,,SED field of study information,End year,,2,2009
3658,r071_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1708
3658,r071_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Physiology, pathology, and related sciences"
3658,r071_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,145
3658,r071_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Endocrinology
3658,r071_9,,SED field of study information,Start year,,2,1983
3658,r071_10,,SED field of study information,End year,,2,Present
3658,r072_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,158
3658,r072_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Cancer biology
3658,r072_9,,SED field of study information,Start year,,2,2007
3658,r072_10,,SED field of study information,End year,,2,Present
3658,r073_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,175
3658,r073_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Pathology, human and animal"
3658,r073_9,,SED field of study information,Start year,,2,1958
3658,r073_10,,SED field of study information,End year,,2,Present
3658,r074_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,185
3658,r074_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Physiology, human and animal"
3658,r074_9,,SED field of study information,Start year,,2,1960
3658,r074_10,,SED field of study information,End year,,2,Present
3658,r075_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1709
3658,r075_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Biological and biomedical sciences, general"
3658,r075_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,103
3658,r075_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biomedical sciences
3658,r075_9,,SED field of study information,Start year,,2,1995
3658,r075_10,,SED field of study information,End year,,2,Present
3658,r076_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,198
3658,r076_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Biology/ biomedical sciences, general"
