table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_received_work_related_training_in_the_past_year_no,field_received_work_related_training_in_the_past_year_yes,field_of_those_who_received_training_motivation_for_training_improve_capacity_in_current_occupational_field,field_of_those_who_received_training_motivation_for_training_increase_career_advancement_opportunities,field_of_those_who_received_training_motivation_for_training_gain_licensure_or_certification_in_current_occupational_field,field_of_those_who_received_training_motivation_for_training_facilitate_change_to_different_occupational_field,field_of_those_who_received_training_motivation_for_training_required_or_expected_by_employer,field_of_those_who_received_training_motivation_for_training_personal_interest,field_of_those_who_received_training_motivation_for_training_other_reason
3810,r017,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,4,120800,37.6,62.4,82.1,47.6,18.7,9.0,38.9,36.3,15.6
3810,r018,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,4700,35.3,64.7,83.6,55.1,17.4,8.8,29.2,41.2,15.4
3810,r019,All early career doctorates -> Age quartile,All early career doctorates,Age quartile,,,2,,,,,,,,,,
3810,r020,All early career doctorates -> Age quartile -> 32 years and under,All early career doctorates,Age quartile,32 years and under,,3,38400,41.1,58.9,84.8,55.8,16.3,14.6,34.1,39.3,12.6
3810,r021,All early career doctorates -> Age quartile -> 33&#8211;35 year,All early career doctorates,Age quartile,33&#8211;35 year,,3,51100,40.3,59.7,80.4,52.4,15.1,9.7,37.8,34.5,13.6
3810,r022,All early career doctorates -> Age quartile -> 36&#8211;40 years,All early career doctorates,Age quartile,36&#8211;40 years,,3,41900,39.8,60.2,81.0,50.2,16.1,9.8,38.3,33.8,15.5
3810,r023,All early career doctorates -> Age quartile -> 41 years or older,All early career doctorates,Age quartile,41 years or older,,3,55300,31.9,68.1,87.7,45.9,24.8,10.2,39.0,33.5,17.7
3810,r024,All early career doctorates -> Marital status,All early career doctorates,Marital status,,,2,,,,,,,,,,
3810,r025,All early career doctorates -> Marital status -> Never married,All early career doctorates,Marital status,Never married,,3,29500,42.4,57.6,85.1,49.4,15.7,12.6,38.6,38.2,13.6
3810,r026,All early career doctorates -> Marital status -> Married,All early career doctorates,Marital status,Married,,3,135400,37.1,62.9,83.8,49.9,19.0,10.3,37.4,33.9,15.1
3810,r027,All early career doctorates -> Marital status -> Marriage-like relationship,All early career doctorates,Marital status,Marriage-like relationship,,3,11500,38.0,62.0,81.9,56.2,16.5,14.6,39.7,36.4,13.4
3810,r028,"All early career doctorates -> Marital status -> Separated, divorced, widowed",All early career doctorates,Marital status,"Separated, divorced, widowed",,3,10300,34.3,65.7,81.6,55.1,25.2,9.2,35.0,38.9,21.4
3810,r029,All early career doctorates -> Dependents,All early career doctorates,Dependents,,,2,,,,,,,,,,
3810,r030,All early career doctorates -> Dependents -> With dependents,All early career doctorates,Dependents,With dependents,,3,96800,37.0,63.0,83.7,51.0,17.8,9.7,37.6,32.5,16.3
3810,r031,All early career doctorates -> Dependents -> Without dependents,All early career doctorates,Dependents,Without dependents,,3,90000,38.7,61.3,83.9,50.0,19.7,12.1,37.6,37.7,13.8
3810,r032,All early career doctorates -> Disability status,All early career doctorates,Disability status,,,2,,,,,,,,,,
3810,r033,All early career doctorates -> Disability status -> With disability,All early career doctorates,Disability status,With disability,,3,51700,36.6,63.4,81.0,49.9,20.3,10.0,38.2,36.6,18.5
3810,r034,All early career doctorates -> Disability status -> Without disability,All early career doctorates,Disability status,Without disability,,3,135000,38.3,61.7,84.8,50.7,18.1,11.2,37.3,34.3,13.8
