table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
4635,r019,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),,,2,,,,
4635,r020,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From bachelor's,,3,11.3,10.6,10.3,13.0
4635,r021,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From graduate school start,,3,9.3,8.9,8.7,10.8
4635,r022,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From doctoral program start<sup>d</sup>,,3,5.3,5.0,5.3,5.8
4635,r023,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),,,2,1417,851,230,336
4635,r024,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,
4635,r025,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,52.1,45.5,68.7,57.4
4635,r026,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,41.3,46.9,27.0,36.9
4635,r027,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,6.6,7.6,4.3,5.7
4635,r028,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,
4635,r029,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,26.0,26.6,28.7,22.6
4635,r030,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Married,4,48.3,49.1,41.7,50.9
4635,r031,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,3.9,3.3,7.4,3.0
4635,r032,"All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,3.6,2.9,4.8,4.5
4635,r033,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,18.2,18.1,17.4,19.0
4635,r034,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,36.6,37.8,41.3,30.1
4635,r035,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Master's earned (%),,3,79.5,76.1,85.7,83.6
4635,r036,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,34.8,33.9,34.8,36.0
4635,r037,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,
4635,r038,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.0,10.6,11.0,12.0
4635,r039,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.0,8.8,8.7,9.9
4635,r040,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.0,5.0,5.3,5.8
4635,r041,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),,,2,1589,615,363,611
4635,r042,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,
4635,r043,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,62.9,52.4,70.0,69.4
4635,r044,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,30.9,42.1,25.3,22.9
4635,r045,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,6.2,5.5,4.7,7.7
4635,r046,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,
4635,r047,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,26.0,26.7,30.3,22.7
4635,r048,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Married,4,45.6,46.2,41.6,47.5
4635,r049,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,5.2,4.4,8.5,3.9
4635,r050,"All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,7.6,6.2,5.8,10.0
4635,r051,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,15.7,16.6,13.8,15.9
4635,r052,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,35.9,39.0,46.3,26.5
4635,r053,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Master's earned (%),,3,83.1,77.9,88.2,85.3
4635,r054,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,34.9,33.7,32.9,37.5
4635,r055,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,
4635,r056,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.5,10.6,10.0,13.8
4635,r057,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.8,9.0,8.7,11.3
4635,r058,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.3,5.0,5.3,5.8
