table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_r_d_paid_for_by_the_u_s_federal_government,field_basic_research,field_applied_research,field_development
12470,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['9,285', '&nbsp;']","['0', '&nbsp;']","['5,149', '&nbsp;']","['4,136', '&nbsp;']"
12470,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['16,756', '&nbsp;']","['800', '&nbsp;']","['6,586', '&nbsp;']","['9,369', '&nbsp;']"
12470,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['405', '&nbsp;']","['0', '&nbsp;']","['203', '&nbsp;']","['203', '&nbsp;']"
12470,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['1,954', '&nbsp;']","['0', '&nbsp;']","['904', '&nbsp;']","['1,050', '&nbsp;']"
12470,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['11,575', 'r']","['0', '&nbsp;']","['1,411', '&nbsp;']","['10,163', 'r']"
12470,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['2,273', '&nbsp;']","['0', '&nbsp;']","['1,411', '&nbsp;']","['862', '&nbsp;']"
12470,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['9,301', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['9,301', 'r']"
12470,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12470,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['14,847', '&nbsp;']","['652', 'r']","['7,864', '&nbsp;']","['6,331', '&nbsp;']"
12470,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['602,999', '&nbsp;']","['42,581', '&nbsp;']","['294,839', '&nbsp;']","['265,578', '&nbsp;']"
12470,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['33,300', 'r']","['425', '&nbsp;']","['25,266', 'r']","['7,610', 'r']"
12470,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['21,689', '&nbsp;']","['3,182', '&nbsp;']","['12,815', '&nbsp;']","['5,693', '&nbsp;']"
12470,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['18,740', '&nbsp;']","['1,491', '&nbsp;']","['11,971', '&nbsp;']","['5,279', '&nbsp;']"
12470,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['2,949', 'r']","['1,691', 'r']","['843', '&nbsp;']","['414', '&nbsp;']"
12470,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['60,927', '&nbsp;']","['2,947', '&nbsp;']","['30,090', '&nbsp;']","['27,890', '&nbsp;']"
12470,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['82,253', '&nbsp;']","['3,339', 'r']","['27,510', '&nbsp;']","['51,404', 'r']"
12470,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['404,830', '&nbsp;']","['32,688', '&nbsp;']","['199,160', '&nbsp;']","['172,982', '&nbsp;']"
12470,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['33,462', '&nbsp;']","['1,772', 'r']","['13,278', '&nbsp;']","['18,411', '&nbsp;']"
12470,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['107,984', '&nbsp;']","['10,744', '&nbsp;']","['56,797', '&nbsp;']","['40,443', '&nbsp;']"
12470,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['261,653', '&nbsp;']","['20,105', '&nbsp;']","['127,858', '&nbsp;']","['113,689', '&nbsp;']"
12470,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['1,731', '&nbsp;']","['67', 'r']","['1,226', '&nbsp;']","['438', '&nbsp;']"
