table_id,row_id,primary_source_of_support_ethnicity_race_and_sex_full_path,primary_source_of_support_ethnicity_race_and_sex_level_1,primary_source_of_support_ethnicity_race_and_sex_level_2,primary_source_of_support_ethnicity_race_and_sex_level_3,primary_source_of_support_ethnicity_race_and_sex_level_4,primary_source_of_support_ethnicity_race_and_sex_level_5,primary_source_of_support_ethnicity_race_and_sex_level_6,primary_source_of_support_ethnicity_race_and_sex_hierarchy_depth,field_all_s_e,field_sciencea_all_science,field_sciencea_agricultural_sciences_and_natural_resources,field_sciencea_biological_and_biomedical_sciences,field_sciencea_computer_and_information_sciences,field_sciencea_geosciences_atmospheric_sciences_and_ocean_sciences,field_sciencea_health_sciencesb,field_sciencea_mathematics_and_statistics,field_sciencea_physical_sciences_and_earth_sciences,field_sciencea_psychology,field_sciencea_social_sciences,field_engineering
3288,r014,All recipients (number)<sup>c</sup> -> Hispanic or Latino<sup>f</sup> (number) -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Hispanic or Latino<sup>f</sup> (number),Other<sup>e</sup>,,,,3,11.15,10.93,16.47,7.85,16.15,6.22,12.79,10.2,8.22,17.79,8.89,12.36
3288,r015,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,,,,,2,,,,,,,,,,,,
3288,r016,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number),All recipients (number)<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),,,,3,367,325,14,63,,,47,6,,59,92,42
3288,r017,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r018,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Personal or family funds,,5,21.8,23.08,,12.7,,0.0,46.81,0.0,,28.81,27.17,11.9
3288,r019,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Teaching assistantship,,5,12.26,,,,,,,,20.0,16.95,13.04,
3288,r020,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Research assistantship, traineeship, or internship",,5,11.99,,,20.63,0.0,,,0.0,17.5,8.47,6.52,
3288,r021,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,35.69,34.77,50.0,46.03,0.0,66.67,14.89,0.0,45.0,25.42,40.22,42.86
3288,r022,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Other<sup>e</sup>,,5,18.26,18.15,14.29,,50.0,0.0,25.53,,15.0,20.34,13.04,19.05
3288,r023,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Asian (number),All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Asian (number),,,,3,13446,10033,246,3800,614,192,838,565,1656,989,1325,3413
3288,r024,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Asian (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r025,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Asian (number),All sources,Personal or family funds,,5,8.56,9.5,4.07,5.79,8.63,6.25,21.84,6.19,2.96,23.76,12.68,5.8
3288,r026,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Asian (number),All sources,Teaching assistantship,,5,15.78,18.37,9.35,9.18,13.68,14.58,9.79,49.73,23.01,21.33,32.6,8.17
3288,r027,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Asian (number),All sources,"Research assistantship, traineeship, or internship",,5,34.49,29.9,52.03,31.37,45.77,38.02,26.73,15.04,44.63,20.42,11.25,47.96
3288,r028,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Asian (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,31.06,32.54,21.14,45.71,18.4,30.21,26.13,18.76,21.26,23.36,34.34,26.69
3288,r029,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Asian (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Asian (number),All sources,Other<sup>e</sup>,,5,10.11,9.69,13.41,7.95,13.52,10.94,15.51,10.27,8.15,11.12,9.13,11.37
3288,r030,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Black or African American (number),All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Black or African American (number),,,,3,6972,6127,178,1388,179,63,1091,136,483,1226,1446,845
3288,r031,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Black or African American (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r032,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Black or African American (number),All sources,Personal or family funds,,5,29.59,32.27,16.85,10.81,24.58,11.11,51.6,5.88,4.97,47.23,40.04,10.18
3288,r033,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Black or African American (number),All sources,Teaching assistantship,,5,11.35,11.83,10.11,6.92,6.15,,5.68,48.53,26.92,9.38,15.7,7.81
3288,r034,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Black or African American (number),All sources,"Research assistantship, traineeship, or internship",,5,15.95,14.38,35.96,23.13,20.67,,9.99,7.35,23.6,10.85,6.43,27.34
3288,r035,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Black or African American (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,30.95,29.79,24.16,50.65,30.73,49.21,20.44,30.15,35.61,18.6,24.9,39.41
3288,r036,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Black or African American (number),All sources,Other<sup>e</sup>,,5,12.16,11.73,12.92,8.5,17.88,11.11,12.28,8.09,8.9,13.95,12.93,15.27
3288,r037,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> White (number),All recipients (number)<sup>c</sup>,Not Hispanic or Latino,White (number),,,,3,88667,74556,3081,21658,2631,3153,5887,3441,14292,11687,11879,14111
3288,r038,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> White (number) -> All sources,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,White (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r039,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,White (number),All sources,Personal or family funds,,5,13.49,14.78,10.45,7.21,14.67,5.36,32.82,5.61,3.94,30.6,20.93,6.7
3288,r040,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,White (number),All sources,Teaching assistantship,,5,18.2,20.41,12.01,12.74,10.03,16.87,11.47,57.72,21.03,21.57,30.61,6.53
3288,r041,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,White (number),All sources,"Research assistantship, traineeship, or internship",,5,31.75,29.22,44.4,32.05,42.04,41.48,19.13,13.89,46.85,21.31,13.28,45.12
3288,r042,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,White (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,27.9,27.51,23.24,41.73,20.64,30.7,21.44,16.36,22.87,16.14,27.22,29.98
3288,r043,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> White (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,White (number),All sources,Other<sup>e</sup>,,5,8.65,8.08,9.9,6.26,12.62,5.58,15.15,6.42,5.3,10.39,7.96,11.66
3288,r044,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> More than one race (number),All recipients (number)<sup>c</sup>,Not Hispanic or Latino,More than one race (number),,,,3,3901,3307,95,1043,112,115,226,164,553,531,583,594
3288,r045,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,More than one race (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r046,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,More than one race (number),All sources,Personal or family funds,,5,13.2,14.94,8.42,7.09,8.93,9.57,30.53,4.88,4.7,34.46,19.9,3.54
3288,r047,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,More than one race (number),All sources,Teaching assistantship,,5,17.2,19.14,10.53,,13.39,19.13,10.18,,24.59,18.64,26.93,6.4
3288,r048,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,More than one race (number),All sources,"Research assistantship, traineeship, or internship",,5,28.1,25.46,42.11,30.11,45.54,33.04,22.57,11.59,38.34,17.51,10.63,42.76
3288,r049,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,More than one race (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,35.63,35.41,33.68,49.47,24.11,31.3,24.78,26.83,28.75,22.41,37.39,36.87
3288,r050,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,More than one race (number),All sources,Other<sup>e</sup>,,5,5.87,5.05,5.26,,8.04,6.96,11.95,,3.62,6.97,5.15,10.44
3288,r051,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported (number),All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported (number),,,,3,1272,1032,29,293,,,85,67,,134,221,240
3288,r052,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r053,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,Personal or family funds,,5,12.26,13.47,,6.48,,13.79,23.53,5.97,,23.13,22.17,7.08
3288,r054,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,Teaching assistantship,,5,12.5,,,7.17,,6.9,,47.76,14.38,13.43,22.62,
3288,r055,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,"Research assistantship, traineeship, or internship",,5,18.63,,,22.18,21.05,,,5.97,30.14,5.97,5.88,
3288,r056,"All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,23.19,23.84,13.79,37.2,19.3,34.48,12.94,14.93,17.81,9.7,28.05,20.42
3288,r057,All recipients (number)<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported (number),All sources,Other<sup>e</sup>,,5,33.41,32.36,37.93,26.96,42.11,20.69,50.59,25.37,33.56,47.76,21.27,37.92
3288,r058,All recipients (number)<sup>c</sup> -> Ethnicity not reported (number),All recipients (number)<sup>c</sup>,Ethnicity not reported (number),,,,,2,2405,1906,90,408,111,58,174,128,295,368,332,499
3288,r059,All recipients (number)<sup>c</sup> -> Ethnicity not reported (number) -> All sources,All recipients (number)<sup>c</sup>,Ethnicity not reported (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r060,All recipients (number)<sup>c</sup> -> Ethnicity not reported (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Ethnicity not reported (number),All sources,Personal or family funds,,,4,4.07,4.77,3.33,3.19,8.11,5.17,10.92,3.13,1.69,4.62,6.33,1.4
3288,r061,All recipients (number)<sup>c</sup> -> Ethnicity not reported (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Ethnicity not reported (number),All sources,Teaching assistantship,,,4,3.78,4.41,1.11,2.45,0.0,5.17,1.72,10.94,5.08,3.53,8.43,1.4
3288,r062,"All recipients (number)<sup>c</sup> -> Ethnicity not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Ethnicity not reported (number),All sources,"Research assistantship, traineeship, or internship",,,4,7.69,6.93,8.89,9.8,9.91,13.79,2.3,6.25,13.22,3.53,2.71,10.62
3288,r063,"All recipients (number)<sup>c</sup> -> Ethnicity not reported (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Ethnicity not reported (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,,4,6.36,6.19,4.44,10.05,9.01,3.45,4.02,4.69,5.76,3.26,6.33,7.01
3288,r064,All recipients (number)<sup>c</sup> -> Ethnicity not reported (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Ethnicity not reported (number),All sources,Other<sup>e</sup>,,,4,78.09,77.7,82.22,74.51,72.97,72.41,81.03,75.0,74.24,85.05,76.2,79.56
3288,r065,All recipients (number)<sup>c</sup> -> Female (number),All recipients (number)<sup>c</sup>,Female (number),,,,,2,60005,54545,1987,16694,919,1796,6459,1245,6387,11771,9083,5460
3288,r066,All recipients (number)<sup>c</sup> -> Female (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r067,All recipients (number)<sup>c</sup> -> Female (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),All sources,Personal or family funds,,,4,17.43,18.67,9.96,7.91,15.67,4.57,36.77,5.78,3.52,32.27,22.57,5.05
3288,r068,All recipients (number)<sup>c</sup> -> Female (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),All sources,Teaching assistantship,,,4,16.34,17.3,12.18,11.12,11.86,16.76,8.24,52.61,21.42,17.91,28.24,6.72
3288,r069,"All recipients (number)<sup>c</sup> -> Female (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),All sources,"Research assistantship, traineeship, or internship",,,4,25.44,24.2,40.36,29.94,30.47,36.36,16.07,13.01,39.58,19.64,11.89,37.86
3288,r070,"All recipients (number)<sup>c</sup> -> Female (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,,4,30.66,29.79,26.87,43.83,28.29,36.14,22.51,19.2,29.37,17.14,28.12,39.29
3288,r071,All recipients (number)<sup>c</sup> -> Female (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),All sources,Other<sup>e</sup>,,,4,10.13,10.04,10.62,7.19,13.71,6.18,16.41,9.4,6.11,13.05,9.18,11.08
3288,r072,All recipients (number)<sup>c</sup> -> Female (number) -> Hispanic or Latino<sup>f</sup> (number),All recipients (number)<sup>c</sup>,Female (number),Hispanic or Latino<sup>f</sup> (number),,,,3,4698,4316,141,1420,42,124,399,55,428,1065,766,382
3288,r073,All recipients (number)<sup>c</sup> -> Female (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),Hispanic or Latino<sup>f</sup> (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3288,r074,All recipients (number)<sup>c</sup> -> Female (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),Hispanic or Latino<sup>f</sup> (number),All sources,Personal or family funds,,5,18.8,19.97,8.51,8.66,,6.45,38.35,,4.44,35.02,22.58,5.5
3288,r075,All recipients (number)<sup>c</sup> -> Female (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),Hispanic or Latino<sup>f</sup> (number),All sources,Teaching assistantship,,5,13.75,14.32,13.48,8.59,14.29,11.29,8.77,43.64,17.52,12.49,26.63,7.33
3288,r076,"All recipients (number)<sup>c</sup> -> Female (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),Hispanic or Latino<sup>f</sup> (number),All sources,"Research assistantship, traineeship, or internship",,5,18.28,17.63,29.08,22.18,,32.26,13.53,,29.91,13.24,8.49,25.65
3288,r077,"All recipients (number)<sup>c</sup> -> Female (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),Hispanic or Latino<sup>f</sup> (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",,5,38.12,36.89,34.75,53.38,33.33,43.55,26.32,21.82,40.42,20.94,33.68,52.09
3288,r078,All recipients (number)<sup>c</sup> -> Female (number) -> Hispanic or Latino<sup>f</sup> (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),Hispanic or Latino<sup>f</sup> (number),All sources,Other<sup>e</sup>,,5,11.05,11.19,14.18,7.18,14.29,6.45,13.03,16.36,7.71,18.31,8.62,9.42
3288,r079,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,,,,3,,,,,,,,,,,,
3288,r080,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number),All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),,,4,199,187,6,42,,,33,0,,41,47,12
3288,r081,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
3288,r082,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Personal or family funds,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Personal or family funds,6,26.13,,0.0,,0.0,0.0,51.52,0.0,0.0,,31.91,
3288,r083,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Teaching assistantship,6,6.53,6.95,0.0,,,0.0,,0.0,0.0,,,0.0
3288,r084,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Research assistantship, traineeship, or internship",6,9.55,,,16.67,0.0,,,0.0,,,,
3288,r085,"All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Fellowship, scholarship, or grant<sup>d</sup>",All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Fellowship, scholarship, or grant<sup>d</sup>",6,40.7,,,50.0,0.0,,,0.0,64.71,,44.68,
3288,r086,All recipients (number)<sup>c</sup> -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Other<sup>e</sup>,All recipients (number)<sup>c</sup>,Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Other<sup>e</sup>,6,17.09,17.11,,,0.0,0.0,27.27,0.0,5.88,24.39,10.64,16.67
