table_id,row_id,teaching_field_and_selected_school_characteristic_full_path,teaching_field_and_selected_school_characteristic_level_1,teaching_field_and_selected_school_characteristic_level_2,teaching_field_and_selected_school_characteristic_level_3,teaching_field_and_selected_school_characteristic_level_4,teaching_field_and_selected_school_characteristic_hierarchy_depth,field_less_than_bachelor_s_degree,field_bachelor_s_degree,field_master_s_or_higher_degree_total,field_master_s_or_higher_degree_master_s_degree,field_master_s_or_higher_degree_higher_than_master_s_degreea
4105,r011,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup> -> 50&#8211;74,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,50&#8211;74,4,2,44,55,48,7
4105,r012,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup> -> 75 or more,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,75 or more,4,3,37,60,52,8
4105,r013,All public middle and high school teachers -> Mathematics -> Community type ,All public middle and high school teachers,Mathematics,Community type ,,3,,,,,
4105,r014,All public middle and high school teachers -> Mathematics -> Community type  -> City,All public middle and high school teachers,Mathematics,Community type ,City,4,2,40,58,50,8
4105,r015,All public middle and high school teachers -> Mathematics -> Community type  -> Suburban,All public middle and high school teachers,Mathematics,Community type ,Suburban,4,3,31,66,59,7
4105,r016,All public middle and high school teachers -> Mathematics -> Community type  -> Town,All public middle and high school teachers,Mathematics,Community type ,Town,4,4,44,53,49,4
4105,r017,All public middle and high school teachers -> Mathematics -> Community type  -> Rural,All public middle and high school teachers,Mathematics,Community type ,Rural,4,3,41,57,51,6
4105,r018,All public middle and high school teachers -> Mathematics -> Region,All public middle and high school teachers,Mathematics,Region,,3,,,,,
4105,r019,All public middle and high school teachers -> Mathematics -> Region -> Northeast,All public middle and high school teachers,Mathematics,Region,Northeast,4,2,22,76,67,8
4105,r020,All public middle and high school teachers -> Mathematics -> Region -> Midwest,All public middle and high school teachers,Mathematics,Region,Midwest,4,3,25,72,66,5
4105,r021,All public middle and high school teachers -> Mathematics -> Region -> South,All public middle and high school teachers,Mathematics,Region,South,4,3,50,48,41,7
4105,r022,All public middle and high school teachers -> Mathematics -> Region -> West,All public middle and high school teachers,Mathematics,Region,West,4,2,37,61,54,7
4105,r023,All public middle and high school teachers -> Science,All public middle and high school teachers,Science,,,2,3,33,64,55,9
4105,r024,All public middle and high school teachers -> Science -> Minority enrollment (percent),All public middle and high school teachers,Science,Minority enrollment (percent),,3,,,,,
4105,r025,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Science,Minority enrollment (percent),0&#8211;24,4,3,25,71,62,9
4105,r026,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Science,Minority enrollment (percent),25&#8211;49,4,3,34,63,55,9
4105,r027,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Science,Minority enrollment (percent),50&#8211;74,4,3,45,52,46,6
4105,r028,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Science,Minority enrollment (percent),75 or more,4,3,34,63,49,13
4105,r029,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup>,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,,3,,,,,
4105,r030,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup> -> 0&#8211;34,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,0&#8211;34,4,3,25,72,63,9
4105,r031,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup> -> 35&#8211;49,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,35&#8211;49,4,4,38,58,50,8
4105,r032,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup> -> 50&#8211;74,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,50&#8211;74,4,2,38,59,48,11
4105,r033,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup> -> 75 or more,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,75 or more,4,3,35,62,53,9
4105,r034,All public middle and high school teachers -> Science -> Community type ,All public middle and high school teachers,Science,Community type ,,3,,,,,
4105,r035,All public middle and high school teachers -> Science -> Community type  -> City,All public middle and high school teachers,Science,Community type ,City,4,3,34,64,54,10
4105,r036,All public middle and high school teachers -> Science -> Community type  -> Suburban,All public middle and high school teachers,Science,Community type ,Suburban,4,2,29,69,60,10
4105,r037,All public middle and high school teachers -> Science -> Community type  -> Town,All public middle and high school teachers,Science,Community type ,Town,4,3,41,57,49,7
4105,r038,All public middle and high school teachers -> Science -> Community type  -> Rural,All public middle and high school teachers,Science,Community type ,Rural,4,5,38,57,48,9
4105,r039,All public middle and high school teachers -> Science -> Region,All public middle and high school teachers,Science,Region,,3,,,,,
4105,r040,All public middle and high school teachers -> Science -> Region -> Northeast,All public middle and high school teachers,Science,Region,Northeast,4,4,17,79,70,10
4105,r041,All public middle and high school teachers -> Science -> Region -> Midwest,All public middle and high school teachers,Science,Region,Midwest,4,3,27,71,66,5
4105,r042,All public middle and high school teachers -> Science -> Region -> South,All public middle and high school teachers,Science,Region,South,4,3,45,52,41,11
4105,r043,All public middle and high school teachers -> Science -> Region -> West,All public middle and high school teachers,Science,Region,West,4,2,33,65,54,11
4105,r044,All public middle and high school teachers -> Other<sup>c</sup>,All public middle and high school teachers,Other<sup>c</sup>,,,2,4,36,61,51,10
4105,r045,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent),All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),,3,,,,,
4105,r046,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),0&#8211;24,4,3,31,66,57,9
4105,r047,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),25&#8211;49,4,3,35,62,52,10
4105,r048,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),50&#8211;74,4,4,41,55,46,10
4105,r049,All public middle and high school teachers -> Other<sup>c</sup> -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Other<sup>c</sup>,Minority enrollment (percent),75 or more,4,4,37,59,48,11
4105,r050,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup>,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,,3,,,,,
4105,r051,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup> -> 0&#8211;34,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,0&#8211;34,4,4,32,65,54,10
4105,r052,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup> -> 35&#8211;49,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,35&#8211;49,4,3,35,62,51,11
4105,r053,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup> -> 50&#8211;74,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,50&#8211;74,4,4,36,60,50,10
4105,r054,All public middle and high school teachers -> Other<sup>c</sup> -> School poverty level (percent)<sup>b</sup> -> 75 or more,All public middle and high school teachers,Other<sup>c</sup>,School poverty level (percent)<sup>b</sup>,75 or more,4,3,41,56,47,9
4105,r055,All public middle and high school teachers -> Other<sup>c</sup> -> Community type ,All public middle and high school teachers,Other<sup>c</sup>,Community type ,,3,,,,,
4105,r056,All public middle and high school teachers -> Other<sup>c</sup> -> Community type  -> City,All public middle and high school teachers,Other<sup>c</sup>,Community type ,City,4,3,35,62,52,11
4105,r057,All public middle and high school teachers -> Other<sup>c</sup> -> Community type  -> Suburban,All public middle and high school teachers,Other<sup>c</sup>,Community type ,Suburban,4,3,32,65,54,11
4105,r058,All public middle and high school teachers -> Other<sup>c</sup> -> Community type  -> Town,All public middle and high school teachers,Other<sup>c</sup>,Community type ,Town,4,4,42,54,46,8
4105,r059,All public middle and high school teachers -> Other<sup>c</sup> -> Community type  -> Rural,All public middle and high school teachers,Other<sup>c</sup>,Community type ,Rural,4,5,41,54,46,8
4105,r060,All public middle and high school teachers -> Other<sup>c</sup> -> Region,All public middle and high school teachers,Other<sup>c</sup>,Region,,3,,,,,
4105,r061,All public middle and high school teachers -> Other<sup>c</sup> -> Region -> Northeast,All public middle and high school teachers,Other<sup>c</sup>,Region,Northeast,4,3,20,77,66,11
4105,r062,All public middle and high school teachers -> Other<sup>c</sup> -> Region -> Midwest,All public middle and high school teachers,Other<sup>c</sup>,Region,Midwest,4,3,30,67,58,9
4105,r063,All public middle and high school teachers -> Other<sup>c</sup> -> Region -> South,All public middle and high school teachers,Other<sup>c</sup>,Region,South,4,5,47,48,41,8
4105,r064,All public middle and high school teachers -> Other<sup>c</sup> -> Region -> West,All public middle and high school teachers,Other<sup>c</sup>,Region,West,4,4,34,62,48,14
