table_id,row_id,time_period,_b_all_science_engineering_and_health_graduate_students_b_level_1,_b_all_science_engineering_and_health_graduate_students_b_level_2,_b_all_science_engineering_and_health_graduate_students_b_level_3,_b_all_science_engineering_and_health_graduate_students_b_hierarchy_depth,value
8297,r061,1978<sup>a</sup>,"All science, engineering, and health graduate students",Total,,2,339912
8297,r062,1978<sup>a</sup>,"All science, engineering, and health graduate students",Full time,Number,3,223030
8297,r063,1978<sup>a</sup>,"All science, engineering, and health graduate students",Full time,Percent,3,65.6
8297,r064,1978<sup>a</sup>,"All science, engineering, and health graduate students",Part time,Number,3,116882
8297,r065,1978<sup>a</sup>,"All science, engineering, and health graduate students",Part time,Percent,3,34.4
8297,r066,1978<sup>a</sup>,All science graduate students,Total,,2,236465
8297,r067,1978<sup>a</sup>,All science graduate students,Full time,Number,3,164151
8297,r068,1978<sup>a</sup>,All science graduate students,Full time,Percent,3,69.4
8297,r069,1978<sup>a</sup>,All science graduate students,Part time,Number,3,72314
8297,r070,1978<sup>a</sup>,All science graduate students,Part time,Percent,3,30.6
8297,r071,1978<sup>a</sup>,All engineering graduate students,Total,,2,67787
8297,r072,1978<sup>a</sup>,All engineering graduate students,Full time,Number,3,37586
8297,r073,1978<sup>a</sup>,All engineering graduate students,Full time,Percent,3,55.4
8297,r074,1978<sup>a</sup>,All engineering graduate students,Part time,Number,3,30201
8297,r075,1978<sup>a</sup>,All engineering graduate students,Part time,Percent,3,44.6
8297,r076,1978<sup>a</sup>,All health graduate students,Total,,2,35660
8297,r077,1978<sup>a</sup>,All health graduate students,Full time,Number,3,21293
8297,r078,1978<sup>a</sup>,All health graduate students,Full time,Percent,3,59.7
8297,r079,1978<sup>a</sup>,All health graduate students,Part time,Number,3,14367
8297,r080,1978<sup>a</sup>,All health graduate students,Part time,Percent,3,40.3
8297,r081,1979,"All science, engineering, and health graduate students",Total,,2,357578
8297,r082,1979,"All science, engineering, and health graduate students",Full time,Number,3,231760
8297,r083,1979,"All science, engineering, and health graduate students",Full time,Percent,3,64.8
8297,r084,1979,"All science, engineering, and health graduate students",Part time,Number,3,125818
8297,r085,1979,"All science, engineering, and health graduate students",Part time,Percent,3,35.2
8297,r086,1979,All science graduate students,Total,,2,247235
8297,r087,1979,All science graduate students,Full time,Number,3,168959
8297,r088,1979,All science graduate students,Full time,Percent,3,68.3
8297,r089,1979,All science graduate students,Part time,Number,3,78276
8297,r090,1979,All science graduate students,Part time,Percent,3,31.7
8297,r091,1979,All engineering graduate students,Total,,2,71808
8297,r092,1979,All engineering graduate students,Full time,Number,3,40041
8297,r093,1979,All engineering graduate students,Full time,Percent,3,55.8
8297,r094,1979,All engineering graduate students,Part time,Number,3,31767
8297,r095,1979,All engineering graduate students,Part time,Percent,3,44.2
8297,r096,1979,All health graduate students,Total,,2,38535
8297,r097,1979,All health graduate students,Full time,Number,3,22760
8297,r098,1979,All health graduate students,Full time,Percent,3,59.1
8297,r099,1979,All health graduate students,Part time,Number,3,15775
8297,r100,1979,All health graduate students,Part time,Percent,3,40.9
8297,r101,1980,"All science, engineering, and health graduate students",Total,,2,367078
8297,r102,1980,"All science, engineering, and health graduate students",Full time,Number,3,238416
8297,r103,1980,"All science, engineering, and health graduate students",Full time,Percent,3,64.9
8297,r104,1980,"All science, engineering, and health graduate students",Part time,Number,3,128662
8297,r105,1980,"All science, engineering, and health graduate students",Part time,Percent,3,35.1
8297,r106,1980,All science graduate students,Total,,2,251265
8297,r107,1980,All science graduate students,Full time,Number,3,171767
8297,r108,1980,All science graduate students,Full time,Percent,3,68.4
8297,r109,1980,All science graduate students,Part time,Number,3,79498
8297,r110,1980,All science graduate students,Part time,Percent,3,31.6
8297,r111,1980,All engineering graduate students,Total,,2,74335
8297,r112,1980,All engineering graduate students,Full time,Number,3,42650
8297,r113,1980,All engineering graduate students,Full time,Percent,3,57.4
8297,r114,1980,All engineering graduate students,Part time,Number,3,31685
8297,r115,1980,All engineering graduate students,Part time,Percent,3,42.6
8297,r116,1980,All health graduate students,Total,,2,41478
8297,r117,1980,All health graduate students,Full time,Number,3,23999
8297,r118,1980,All health graduate students,Full time,Percent,3,57.9
8297,r119,1980,All health graduate students,Part time,Number,3,17479
8297,r120,1980,All health graduate students,Part time,Percent,3,42.1
8297,r121,1981,"All science, engineering, and health graduate students",Total,,2,375130
8297,r122,1981,"All science, engineering, and health graduate students",Full time,Number,3,242049
8297,r123,1981,"All science, engineering, and health graduate students",Full time,Percent,3,64.5
8297,r124,1981,"All science, engineering, and health graduate students",Part time,Number,3,133081
8297,r125,1981,"All science, engineering, and health graduate students",Part time,Percent,3,35.5
8297,r126,1981,All science graduate students,Total,,2,252404
8297,r127,1981,All science graduate students,Full time,Number,3,172200
8297,r128,1981,All science graduate students,Full time,Percent,3,68.2
8297,r129,1981,All science graduate students,Part time,Number,3,80204
8297,r130,1981,All science graduate students,Part time,Percent,3,31.8
8297,r131,1981,All engineering graduate students,Total,,2,79585
8297,r132,1981,All engineering graduate students,Full time,Number,3,45752
8297,r133,1981,All engineering graduate students,Full time,Percent,3,57.5
8297,r134,1981,All engineering graduate students,Part time,Number,3,33833
8297,r135,1981,All engineering graduate students,Part time,Percent,3,42.5
8297,r136,1981,All health graduate students,Total,,2,43141
8297,r137,1981,All health graduate students,Full time,Number,3,24097
8297,r138,1981,All health graduate students,Full time,Percent,3,55.9
8297,r139,1981,All health graduate students,Part time,Number,3,19044
8297,r140,1981,All health graduate students,Part time,Percent,3,44.1
8297,r141,1982,"All science, engineering, and health graduate students",Total,,2,382291
8297,r142,1982,"All science, engineering, and health graduate students",Full time,Number,3,244757
8297,r143,1982,"All science, engineering, and health graduate students",Full time,Percent,3,64.0
8297,r144,1982,"All science, engineering, and health graduate students",Part time,Number,3,137534
8297,r145,1982,"All science, engineering, and health graduate students",Part time,Percent,3,36.0
8297,r146,1982,All science graduate students,Total,,2,255146
8297,r147,1982,All science graduate students,Full time,Number,3,172090
8297,r148,1982,All science graduate students,Full time,Percent,3,67.4
8297,r149,1982,All science graduate students,Part time,Number,3,83056
8297,r150,1982,All science graduate students,Part time,Percent,3,32.6
8297,r151,1982,All engineering graduate students,Total,,2,83720
8297,r152,1982,All engineering graduate students,Full time,Number,3,49784
8297,r153,1982,All engineering graduate students,Full time,Percent,3,59.5
8297,r154,1982,All engineering graduate students,Part time,Number,3,33936
8297,r155,1982,All engineering graduate students,Part time,Percent,3,40.5
8297,r156,1982,All health graduate students,Total,,2,43425
8297,r157,1982,All health graduate students,Full time,Number,3,22883
8297,r158,1982,All health graduate students,Full time,Percent,3,52.7
8297,r159,1982,All health graduate students,Part time,Number,3,20542
8297,r160,1982,All health graduate students,Part time,Percent,3,47.3
8297,r161,1983,"All science, engineering, and health graduate students",Total,,2,390432
8297,r162,1983,"All science, engineering, and health graduate students",Full time,Number,3,252017
8297,r163,1983,"All science, engineering, and health graduate students",Full time,Percent,3,64.5
8297,r164,1983,"All science, engineering, and health graduate students",Part time,Number,3,138415
8297,r165,1983,"All science, engineering, and health graduate students",Part time,Percent,3,35.5
8297,r166,1983,All science graduate students,Total,,2,255820
8297,r167,1983,All science graduate students,Full time,Number,3,175472
8297,r168,1983,All science graduate students,Full time,Percent,3,68.6
8297,r169,1983,All science graduate students,Part time,Number,3,80348
8297,r170,1983,All science graduate students,Part time,Percent,3,31.4
8297,r171,1983,All engineering graduate students,Total,,2,91146
8297,r172,1983,All engineering graduate students,Full time,Number,3,53932
8297,r173,1983,All engineering graduate students,Full time,Percent,3,59.2
8297,r174,1983,All engineering graduate students,Part time,Number,3,37214
8297,r175,1983,All engineering graduate students,Part time,Percent,3,40.8
8297,r176,1983,All health graduate students,Total,,2,43466
8297,r177,1983,All health graduate students,Full time,Number,3,22613
8297,r178,1983,All health graduate students,Full time,Percent,3,52.0
8297,r179,1983,All health graduate students,Part time,Number,3,20853
8297,r180,1983,All health graduate students,Part time,Percent,3,48.0
8297,r181,1984,"All science, engineering, and health graduate students",Total,,2,394670
8297,r182,1984,"All science, engineering, and health graduate students",Full time,Number,3,253922
8297,r183,1984,"All science, engineering, and health graduate students",Full time,Percent,3,64.3
8297,r184,1984,"All science, engineering, and health graduate students",Part time,Number,3,140748
8297,r185,1984,"All science, engineering, and health graduate students",Part time,Percent,3,35.7
8297,r186,1984,All science graduate students,Total,,2,256903
8297,r187,1984,All science graduate students,Full time,Number,3,175766
8297,r188,1984,All science graduate students,Full time,Percent,3,68.4
8297,r189,1984,All science graduate students,Part time,Number,3,81137
8297,r190,1984,All science graduate students,Part time,Percent,3,31.6
8297,r191,1984,All engineering graduate students,Total,,2,92739
8297,r192,1984,All engineering graduate students,Full time,Number,3,55191
8297,r193,1984,All engineering graduate students,Full time,Percent,3,59.5
8297,r194,1984,All engineering graduate students,Part time,Number,3,37548
8297,r195,1984,All engineering graduate students,Part time,Percent,3,40.5
8297,r196,1984,All health graduate students,Total,,2,45028
8297,r197,1984,All health graduate students,Full time,Number,3,22965
8297,r198,1984,All health graduate students,Full time,Percent,3,51.0
8297,r199,1984,All health graduate students,Part time,Number,3,22063
8297,r200,1984,All health graduate students,Part time,Percent,3,49.0
8297,r201,1985,"All science, engineering, and health graduate students",Total,,2,404021
8297,r202,1985,"All science, engineering, and health graduate students",Full time,Number,3,257287
8297,r203,1985,"All science, engineering, and health graduate students",Full time,Percent,3,63.7
8297,r204,1985,"All science, engineering, and health graduate students",Part time,Number,3,146734
8297,r205,1985,"All science, engineering, and health graduate students",Part time,Percent,3,36.3
8297,r206,1985,All science graduate students,Total,,2,261973
8297,r207,1985,All science graduate students,Full time,Number,3,178020
8297,r208,1985,All science graduate students,Full time,Percent,3,68.0
8297,r209,1985,All science graduate students,Part time,Number,3,83953
8297,r210,1985,All science graduate students,Part time,Percent,3,32.0
8297,r211,1985,All engineering graduate students,Total,,2,96018
8297,r212,1985,All engineering graduate students,Full time,Number,3,55918
8297,r213,1985,All engineering graduate students,Full time,Percent,3,58.2
8297,r214,1985,All engineering graduate students,Part time,Number,3,40100
8297,r215,1985,All engineering graduate students,Part time,Percent,3,41.8
8297,r216,1985,All health graduate students,Total,,2,46030
8297,r217,1985,All health graduate students,Full time,Number,3,23349
8297,r218,1985,All health graduate students,Full time,Percent,3,50.7
8297,r219,1985,All health graduate students,Part time,Number,3,22681
8297,r220,1985,All health graduate students,Part time,Percent,3,49.3
8297,r221,1986,"All science, engineering, and health graduate students",Total,,2,415520
8297,r222,1986,"All science, engineering, and health graduate students",Full time,Number,3,266168
8297,r223,1986,"All science, engineering, and health graduate students",Full time,Percent,3,64.1
8297,r224,1986,"All science, engineering, and health graduate students",Part time,Number,3,149352
8297,r225,1986,"All science, engineering, and health graduate students",Part time,Percent,3,35.9
8297,r226,1986,All science graduate students,Total,,2,266077
8297,r227,1986,All science graduate students,Full time,Number,3,182532
8297,r228,1986,All science graduate students,Full time,Percent,3,68.6
8297,r229,1986,All science graduate students,Part time,Number,3,83545
8297,r230,1986,All science graduate students,Part time,Percent,3,31.4
8297,r231,1986,All engineering graduate students,Total,,2,101905
8297,r232,1986,All engineering graduate students,Full time,Number,3,60197
8297,r233,1986,All engineering graduate students,Full time,Percent,3,59.1
8297,r234,1986,All engineering graduate students,Part time,Number,3,41708
8297,r235,1986,All engineering graduate students,Part time,Percent,3,40.9
8297,r236,1986,All health graduate students,Total,,2,47538
8297,r237,1986,All health graduate students,Full time,Number,3,23439
8297,r238,1986,All health graduate students,Full time,Percent,3,49.3
8297,r239,1986,All health graduate students,Part time,Number,3,24099
8297,r240,1986,All health graduate students,Part time,Percent,3,50.7
8297,r241,1987,"All science, engineering, and health graduate students",Total,,2,421497
8297,r242,1987,"All science, engineering, and health graduate students",Full time,Number,3,271056
8297,r243,1987,"All science, engineering, and health graduate students",Full time,Percent,3,64.3
8297,r244,1987,"All science, engineering, and health graduate students",Part time,Number,3,150441
8297,r245,1987,"All science, engineering, and health graduate students",Part time,Percent,3,35.7
8297,r246,1987,All science graduate students,Total,,2,269256
8297,r247,1987,All science graduate students,Full time,Number,3,185143
8297,r248,1987,All science graduate students,Full time,Percent,3,68.8
8297,r249,1987,All science graduate students,Part time,Number,3,84113
8297,r250,1987,All science graduate students,Part time,Percent,3,31.2
8297,r251,1987,All engineering graduate students,Total,,2,103983
8297,r252,1987,All engineering graduate students,Full time,Number,3,61962
8297,r253,1987,All engineering graduate students,Full time,Percent,3,59.6
8297,r254,1987,All engineering graduate students,Part time,Number,3,42021
8297,r255,1987,All engineering graduate students,Part time,Percent,3,40.4
8297,r256,1987,All health graduate students,Total,,2,48258
8297,r257,1987,All health graduate students,Full time,Number,3,23951
8297,r258,1987,All health graduate students,Full time,Percent,3,49.6
8297,r259,1987,All health graduate students,Part time,Number,3,24307
8297,r260,1987,All health graduate students,Part time,Percent,3,50.4
8297,r261,1988,"All science, engineering, and health graduate students",Total,,2,424523
8297,r262,1988,"All science, engineering, and health graduate students",Full time,Number,3,275127
8297,r263,1988,"All science, engineering, and health graduate students",Full time,Percent,3,64.8
8297,r264,1988,"All science, engineering, and health graduate students",Part time,Number,3,149396
8297,r265,1988,"All science, engineering, and health graduate students",Part time,Percent,3,35.2
8297,r266,1988,All science graduate students,Total,,2,272309
8297,r267,1988,All science graduate students,Full time,Number,3,187525
8297,r268,1988,All science graduate students,Full time,Percent,3,68.9
8297,r269,1988,All science graduate students,Part time,Number,3,84784
8297,r270,1988,All science graduate students,Part time,Percent,3,31.1
8297,r271,1988,All engineering graduate students,Total,,2,102854
8297,r272,1988,All engineering graduate students,Full time,Number,3,63032
8297,r273,1988,All engineering graduate students,Full time,Percent,3,61.3
8297,r274,1988,All engineering graduate students,Part time,Number,3,39822
8297,r275,1988,All engineering graduate students,Part time,Percent,3,38.7
8297,r276,1988,All health graduate students,Total,,2,49360
8297,r277,1988,All health graduate students,Full time,Number,3,24570
8297,r278,1988,All health graduate students,Full time,Percent,3,49.8
8297,r279,1988,All health graduate students,Part time,Number,3,24790
8297,r280,1988,All health graduate students,Part time,Percent,3,50.2
8297,r281,1989,"All science, engineering, and health graduate students",Total,,2,434478
8297,r282,1989,"All science, engineering, and health graduate students",Full time,Number,3,282648
8297,r283,1989,"All science, engineering, and health graduate students",Full time,Percent,3,65.1
8297,r284,1989,"All science, engineering, and health graduate students",Part time,Number,3,151830
8297,r285,1989,"All science, engineering, and health graduate students",Part time,Percent,3,34.9
8297,r286,1989,All science graduate students,Total,,2,278577
8297,r287,1989,All science graduate students,Full time,Number,3,192424
8297,r288,1989,All science graduate students,Full time,Percent,3,69.1
8297,r289,1989,All science graduate students,Part time,Number,3,86153
8297,r290,1989,All science graduate students,Part time,Percent,3,30.9
8297,r291,1989,All engineering graduate students,Total,,2,104065
8297,r292,1989,All engineering graduate students,Full time,Number,3,64396
8297,r293,1989,All engineering graduate students,Full time,Percent,3,61.9
8297,r294,1989,All engineering graduate students,Part time,Number,3,39669
8297,r295,1989,All engineering graduate students,Part time,Percent,3,38.1
8297,r296,1989,All health graduate students,Total,,2,51836
8297,r297,1989,All health graduate students,Full time,Number,3,25828
8297,r298,1989,All health graduate students,Full time,Percent,3,49.8
8297,r299,1989,All health graduate students,Part time,Number,3,26008
8297,r300,1989,All health graduate students,Part time,Percent,3,50.2
8297,r301,1990,"All science, engineering, and health graduate students",Total,,2,452113
8297,r302,1990,"All science, engineering, and health graduate students",Full time,Number,3,292782
8297,r303,1990,"All science, engineering, and health graduate students",Full time,Percent,3,64.8
8297,r304,1990,"All science, engineering, and health graduate students",Part time,Number,3,159331
8297,r305,1990,"All science, engineering, and health graduate students",Part time,Percent,3,35.2
8297,r306,1990,All science graduate students,Total,,2,289383
8297,r307,1990,All science graduate students,Full time,Number,3,199313
8297,r308,1990,All science graduate students,Full time,Percent,3,68.9
8297,r309,1990,All science graduate students,Part time,Number,3,90070
8297,r310,1990,All science graduate students,Part time,Percent,3,31.1
8297,r311,1990,All engineering graduate students,Total,,2,107658
8297,r312,1990,All engineering graduate students,Full time,Number,3,66010
8297,r313,1990,All engineering graduate students,Full time,Percent,3,61.3
8297,r314,1990,All engineering graduate students,Part time,Number,3,41648
8297,r315,1990,All engineering graduate students,Part time,Percent,3,38.7
8297,r316,1990,All health graduate students,Total,,2,55072
8297,r317,1990,All health graduate students,Full time,Number,3,27459
8297,r318,1990,All health graduate students,Full time,Percent,3,49.9
8297,r319,1990,All health graduate students,Part time,Number,3,27613
8297,r320,1990,All health graduate students,Part time,Percent,3,50.1
8297,r321,1991,"All science, engineering, and health graduate students",Total,,2,471212
8297,r322,1991,"All science, engineering, and health graduate students",Full time,Number,3,307010
8297,r323,1991,"All science, engineering, and health graduate students",Full time,Percent,3,65.2
8297,r324,1991,"All science, engineering, and health graduate students",Part time,Number,3,164202
8297,r325,1991,"All science, engineering, and health graduate students",Part time,Percent,3,34.8
8297,r326,1991,All science graduate students,Total,,2,299057
8297,r327,1991,All science graduate students,Full time,Number,3,206036
8297,r328,1991,All science graduate students,Full time,Percent,3,68.9
8297,r329,1991,All science graduate students,Part time,Number,3,93021
8297,r330,1991,All science graduate students,Part time,Percent,3,31.1
8297,r331,1991,All engineering graduate students,Total,,2,113535
8297,r332,1991,All engineering graduate students,Full time,Number,3,71034
8297,r333,1991,All engineering graduate students,Full time,Percent,3,62.6
8297,r334,1991,All engineering graduate students,Part time,Number,3,42501
8297,r335,1991,All engineering graduate students,Part time,Percent,3,37.4
8297,r336,1991,All health graduate students,Total,,2,58620
8297,r337,1991,All health graduate students,Full time,Number,3,29940
8297,r338,1991,All health graduate students,Full time,Percent,3,51.1
8297,r339,1991,All health graduate students,Part time,Number,3,28680
8297,r340,1991,All health graduate students,Part time,Percent,3,48.9
8297,r341,1992,"All science, engineering, and health graduate students",Total,,2,493522
8297,r342,1992,"All science, engineering, and health graduate students",Full time,Number,3,322555
8297,r343,1992,"All science, engineering, and health graduate students",Full time,Percent,3,65.4
8297,r344,1992,"All science, engineering, and health graduate students",Part time,Number,3,170967
8297,r345,1992,"All science, engineering, and health graduate students",Part time,Percent,3,34.6
8297,r346,1992,All science graduate students,Total,,2,312478
8297,r347,1992,All science graduate students,Full time,Number,3,215965
8297,r348,1992,All science graduate students,Full time,Percent,3,69.1
8297,r349,1992,All science graduate students,Part time,Number,3,96513
8297,r350,1992,All science graduate students,Part time,Percent,3,30.9
8297,r351,1992,All engineering graduate students,Total,,2,118039
8297,r352,1992,All engineering graduate students,Full time,Number,3,74443
8297,r353,1992,All engineering graduate students,Full time,Percent,3,63.1
8297,r354,1992,All engineering graduate students,Part time,Number,3,43596
8297,r355,1992,All engineering graduate students,Part time,Percent,3,36.9
8297,r356,1992,All health graduate students,Total,,2,63005
8297,r357,1992,All health graduate students,Full time,Number,3,32147
8297,r358,1992,All health graduate students,Full time,Percent,3,51.0
8297,r359,1992,All health graduate students,Part time,Number,3,30858
8297,r360,1992,All health graduate students,Part time,Percent,3,49.0
8297,r361,1993,"All science, engineering, and health graduate students",Total,,2,504304
8297,r362,1993,"All science, engineering, and health graduate students",Full time,Number,3,329644
8297,r363,1993,"All science, engineering, and health graduate students",Full time,Percent,3,65.4
8297,r364,1993,"All science, engineering, and health graduate students",Part time,Number,3,174660
8297,r365,1993,"All science, engineering, and health graduate students",Part time,Percent,3,34.6
8297,r366,1993,All science graduate students,Total,,2,318851
8297,r367,1993,All science graduate students,Full time,Number,3,220097
8297,r368,1993,All science graduate students,Full time,Percent,3,69.0
8297,r369,1993,All science graduate students,Part time,Number,3,98754
8297,r370,1993,All science graduate students,Part time,Percent,3,31.0
8297,r371,1993,All engineering graduate students,Total,,2,116872
8297,r372,1993,All engineering graduate students,Full time,Number,3,73808
8297,r373,1993,All engineering graduate students,Full time,Percent,3,63.2
8297,r374,1993,All engineering graduate students,Part time,Number,3,43064
8297,r375,1993,All engineering graduate students,Part time,Percent,3,36.8
8297,r376,1993,All health graduate students,Total,,2,68581
8297,r377,1993,All health graduate students,Full time,Number,3,35739
8297,r378,1993,All health graduate students,Full time,Percent,3,52.1
8297,r379,1993,All health graduate students,Part time,Number,3,32842
8297,r380,1993,All health graduate students,Part time,Percent,3,47.9
8297,r381,1994,"All science, engineering, and health graduate students",Total,,2,504399
8297,r382,1994,"All science, engineering, and health graduate students",Full time,Number,3,332088
8297,r383,1994,"All science, engineering, and health graduate students",Full time,Percent,3,65.8
8297,r384,1994,"All science, engineering, and health graduate students",Part time,Number,3,172311
8297,r385,1994,"All science, engineering, and health graduate students",Part time,Percent,3,34.2
8297,r386,1994,All science graduate students,Total,,2,318118
8297,r387,1994,All science graduate students,Full time,Number,3,221409
8297,r388,1994,All science graduate students,Full time,Percent,3,69.6
8297,r389,1994,All science graduate students,Part time,Number,3,96709
8297,r390,1994,All science graduate students,Part time,Percent,3,30.4
8297,r391,1994,All engineering graduate students,Total,,2,113024
8297,r392,1994,All engineering graduate students,Full time,Number,3,71570
8297,r393,1994,All engineering graduate students,Full time,Percent,3,63.3
8297,r394,1994,All engineering graduate students,Part time,Number,3,41454
8297,r395,1994,All engineering graduate students,Part time,Percent,3,36.7
8297,r396,1994,All health graduate students,Total,,2,73257
8297,r397,1994,All health graduate students,Full time,Number,3,39109
8297,r398,1994,All health graduate students,Full time,Percent,3,53.4
8297,r399,1994,All health graduate students,Part time,Number,3,34148
8297,r400,1994,All health graduate students,Part time,Percent,3,46.6
8297,r401,1995,"All science, engineering, and health graduate students",Total,,2,499640
8297,r402,1995,"All science, engineering, and health graduate students",Full time,Number,3,329283
8297,r403,1995,"All science, engineering, and health graduate students",Full time,Percent,3,65.9
8297,r404,1995,"All science, engineering, and health graduate students",Part time,Number,3,170357
8297,r405,1995,"All science, engineering, and health graduate students",Part time,Percent,3,34.1
8297,r406,1995,All science graduate students,Total,,2,315265
8297,r407,1995,All science graduate students,Full time,Number,3,219389
8297,r408,1995,All science graduate students,Full time,Percent,3,69.6
8297,r409,1995,All science graduate students,Part time,Number,3,95876
8297,r410,1995,All science graduate students,Part time,Percent,3,30.4
8297,r411,1995,All engineering graduate students,Total,,2,107201
8297,r412,1995,All engineering graduate students,Full time,Number,3,67782
8297,r413,1995,All engineering graduate students,Full time,Percent,3,63.2
8297,r414,1995,All engineering graduate students,Part time,Number,3,39419
8297,r415,1995,All engineering graduate students,Part time,Percent,3,36.8
8297,r416,1995,All health graduate students,Total,,2,77174
8297,r417,1995,All health graduate students,Full time,Number,3,42112
8297,r418,1995,All health graduate students,Full time,Percent,3,54.6
8297,r419,1995,All health graduate students,Part time,Number,3,35062
8297,r420,1995,All health graduate students,Part time,Percent,3,45.4
8297,r421,1996,"All science, engineering, and health graduate students",Total,,2,494079
8297,r422,1996,"All science, engineering, and health graduate students",Full time,Number,3,328536
8297,r423,1996,"All science, engineering, and health graduate students",Full time,Percent,3,66.5
8297,r424,1996,"All science, engineering, and health graduate students",Part time,Number,3,165543
8297,r425,1996,"All science, engineering, and health graduate students",Part time,Percent,3,33.5
8297,r426,1996,All science graduate students,Total,,2,311957
8297,r427,1996,All science graduate students,Full time,Number,3,218180
8297,r428,1996,All science graduate students,Full time,Percent,3,69.9
8297,r429,1996,All science graduate students,Part time,Number,3,93777
8297,r430,1996,All science graduate students,Part time,Percent,3,30.1
8297,r431,1996,All engineering graduate students,Total,,2,103224
8297,r432,1996,All engineering graduate students,Full time,Number,3,65859
8297,r433,1996,All engineering graduate students,Full time,Percent,3,63.8
8297,r434,1996,All engineering graduate students,Part time,Number,3,37365
8297,r435,1996,All engineering graduate students,Part time,Percent,3,36.2
8297,r436,1996,All health graduate students,Total,,2,78898
8297,r437,1996,All health graduate students,Full time,Number,3,44497
8297,r438,1996,All health graduate students,Full time,Percent,3,56.4
8297,r439,1996,All health graduate students,Part time,Number,3,34401
8297,r440,1996,All health graduate students,Part time,Percent,3,43.6
8297,r441,1997,"All science, engineering, and health graduate students",Total,,2,487208
