table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_engineering_fields,field_biological_biomedical_and_biosystems_engineering,field_chemical_and_petroleum_engineering,field_civil_environmental_and_transportation_engineering,field_electrical_and_computer_engineering,field_engineering_technologies,field_industrial_engineering_and_operations_research,field_materials_and_mining_engineering,field_mechanical_engineering,field_engineering_other
7602,r032,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Northeast,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Northeast,,4,16.5,27.7,22.8,11.4,12.6,14.4,19.4,11.6,15.7,14.0
7602,r033,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> South,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,South,,4,25.3,24.0,24.9,34.3,21.6,21.5,27.8,20.3,27.0,27.7
7602,r034,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> West,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,West,,4,33.5,26.9,30.6,23.9,44.7,34.9,24.5,40.6,30.3,33.8
7602,r035,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Outside the United States,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Outside the United States,,,3,9.4,4.8,8.7,14.7,8.6,15.8,11.2,8.2,9.7,7.7
7602,r036,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Location unknown,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Location unknown,,,3,0.1,0.2,0.0,0.0,0.1,0.0,0.2,0.3,0.1,0.2
7602,r037,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location in same state as doctorate institution (%),Doctorate recipients reporting postgraduation status (number),Postgraduation location in same state as doctorate institution (%),,,,2,37.7,47.3,30.4,45.5,34.6,37.3,29.0,34.8,43.1,36.4
7602,r038,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),,,,2,6489,602,845,657,1542,311,405,415,1043,669
7602,r039,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,3,25.9,32.7,28.8,30.1,16.7,25.1,17.0,33.0,29.0,29.4
7602,r040,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans,,,3,42.5,28.4,34.7,35.0,56.7,43.1,59.5,30.4,40.2,40.5
7602,r041,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,3,29.6,32.9,34.9,33.0,25.2,29.9,22.5,35.2,29.9,27.4
7602,r042,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Other status<sup>a</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Other status<sup>a</sup>,,,3,1.9,6.0,1.5,1.8,1.3,1.9,1.0,1.0,0.9,2.5
7602,r043,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,,,3,,,,,,,,,,
7602,r044,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Postdoc fellowship or research associateship,,4,95.9,93.4,96.3,97.0,94.2,92.3,95.7,97.8,97.7,96.4
7602,r045,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Other training or unknown<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Other training or unknown<sup>c</sup>,,4,4.1,6.6,3.7,3.0,5.8,7.7,4.3,2.2,2.3,3.6
7602,r046,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,,,3,,,,,,,,,,
7602,r047,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,,4,15.3,17.5,6.8,23.9,13.3,,29.9,,12.9,16.2
7602,r048,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,In tenure track faculty position (%),5,51.5,,,72.7,53.4,,62.5,,44.4,38.6
7602,r049,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,Not in tenure track position (%),5,41.3,,,27.3,41.4,50.0,27.8,,46.3,45.5
7602,r050,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Government,,4,7.5,,,13.9,3.9,6.7,7.5,5.6,10.5,16.6
7602,r051,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Industry or business<sup>e</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Industry or business<sup>e</sup>,,4,72.1,73.7,86.7,55.2,77.9,74.6,56.8,84.9,71.4,58.7
7602,r052,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Nonprofit organization,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Nonprofit organization,,4,3.2,,,2.6,3.1,,4.6,,3.6,7.4
7602,r053,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Other or unknown<sup>f</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Other or unknown<sup>f</sup>,,4,1.9,2.9,1.4,4.3,1.8,3.0,1.2,0.0,1.7,1.1
7602,r054,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,,4,,,,,,,,,,
7602,r055,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Research and development,5,66.9,69.3,76.4,32.9,72.5,64.3,61.3,70.9,66.8,70.4
7602,r056,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Teaching,5,7.5,5.5,,13.9,6.3,,13.5,,7.4,7.3
7602,r057,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Management or administration,5,2.4,4.9,0.0,,,,6.1,0.0,,
7602,r058,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Professional services and other,5,23.2,20.2,,,,26.4,19.1,,,
7602,r059,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,,4,,,,,,,,,,
7602,r060,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Research and development,5,18.5,15.3,13.8,29.2,17.9,,22.6,,19.9,16.2
7602,r061,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Teaching,5,6.5,,,10.6,,,,,5.1,6.2
7602,r062,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Management or administration,5,11.6,24.5,13.0,14.8,,,,17.1,10.7,12.7
7602,r063,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Professional services and other,5,19.4,,,11.1,20.0,20.2,19.6,17.9,20.5,21.5
7602,r064,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> No secondary activity,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,No secondary activity,5,44.0,37.4,50.0,34.7,48.6,39.5,34.3,49.6,43.7,43.5
7602,r065,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Activity unknown,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Activity unknown,,4,5.1,4.7,5.8,5.7,4.3,3.7,4.6,7.1,6.7,4.1
7602,r066,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,,,3,,,,,,,,,,
7602,r067,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup>,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,,4,90.1,95.4,90.9,85.0,91.0,83.5,88.4,90.1,90.2,91.5
7602,r068,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Midwest,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Midwest,5,15.3,19.0,13.1,15.4,12.4,15.6,14.8,19.8,17.9,15.8
7602,r069,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Northeast,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Northeast,5,15.5,24.7,22.6,10.7,11.8,14.6,20.3,10.6,15.4,13.0
7602,r070,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> South,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,South,5,25.3,23.1,24.4,34.6,21.6,21.7,29.0,20.5,26.5,29.1
7602,r071,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> West,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,West,5,33.5,27.7,30.2,23.8,44.9,31.6,23.5,39.2,30.1,32.9
7602,r072,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Outside the United States,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Outside the United States,,4,9.8,4.3,9.1,15.0,8.8,16.5,11.6,9.5,9.7,8.3
7602,r073,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Location unknown,Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Location unknown,,4,0.1,0.3,0.0,0.0,0.2,0.0,0.0,0.4,0.1,0.2
7602,r074,Doctorate recipients reporting postgraduation status (number) -> Male doctorate recipients reporting postgraduation status (number) -> Postgraduation location in same state as doctorate institution (%),Doctorate recipients reporting postgraduation status (number),Male doctorate recipients reporting postgraduation status (number),Postgraduation location in same state as doctorate institution (%),,,3,37.8,46.5,30.8,47.7,33.6,40.1,30.0,36.1,43.6,36.8
7602,r075,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),,,,2,2265,413,352,282,324,127,158,186,231,192
7602,r076,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,3,26.5,34.9,23.0,26.2,19.4,29.1,13.9,26.3,29.9,31.8
7602,r077,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite employment plans,,,3,38.9,28.1,42.6,34.0,49.1,27.6,60.8,36.0,36.4,40.6
7602,r078,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,3,32.1,32.0,33.5,38.3,28.1,40.9,23.4,36.6,30.7,26.0
7602,r079,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Other status<sup>a</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Other status<sup>a</sup>,,,3,2.5,5.1,0.9,1.4,3.4,2.4,1.9,1.1,3.0,1.6
7602,r080,Doctorate recipients reporting postgraduation status (number) -> Female doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Female doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,,,3,,,,,,,,,,
