table_id,row_id,_span_ng_bind_html_hcol_content_span_span_industry_and_company_size_span_span_span_full_path,_span_ng_bind_html_hcol_content_span_span_industry_and_company_size_span_span_span_level_1,_span_ng_bind_html_hcol_content_span_span_industry_and_company_size_span_span_span_level_2,_span_ng_bind_html_hcol_content_span_span_industry_and_company_size_span_span_span_level_3,_span_ng_bind_html_hcol_content_span_span_industry_and_company_size_span_span_span_level_4,_span_ng_bind_html_hcol_content_span_span_industry_and_company_size_span_span_span_level_5,_span_ng_bind_html_hcol_content_span_span_industry_and_company_size_span_span_span_hierarchy_depth,field_naics_code,field_worldwide_r_d_performance_totala,field_worldwide_r_d_performance_paid_for_by_the_company,field_worldwide_r_d_performance_paid_for_by_others,field_domestic_r_d_performance_total,field_domestic_r_d_performance_paid_for_by_the_company,field_domestic_r_d_performance_paid_for_by_others,field_foreign_r_d_performance_total,field_foreign_r_d_performance_paid_for_by_the_company,field_foreign_r_d_performance_paid_for_by_others
1374,r031,All companies (number of domestic employees) -> Micro companies<sup>b</sup> -> 5 &#8211; 9,All companies (number of domestic employees),Micro companies<sup>b</sup>,5 &#8211; 9,,,3,–,3943,3579,964,3921,3507,964,190,181,64
1374,r032,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,,,,,,,,
1374,r033,All companies (number of domestic employees) -> Small companies -> 10 &#8211; 19,All companies (number of domestic employees),Small companies,10 &#8211; 19,,,3,–,6761,6395,1088,6757,6390,1085,186,174,46
1374,r034,All companies (number of domestic employees) -> Small companies -> 20 &#8211; 49,All companies (number of domestic employees),Small companies,20 &#8211; 49,,,3,–,8416,7891,1240,8397,7873,1239,354,345,16
1374,r035,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,,,,,,,,
1374,r036,All companies (number of domestic employees) -> Medium companies -> 50 &#8211; 99,All companies (number of domestic employees),Medium companies,50 &#8211; 99,,,3,–,4716,4523,442,4712,4519,439,212,207,26
1374,r037,All companies (number of domestic employees) -> Medium companies -> 100 &#8211; 249,All companies (number of domestic employees),Medium companies,100 &#8211; 249,,,3,–,4065,3912,508,4062,3909,505,438,429,18
1374,r038,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,,,,,,,,
1374,r039,All companies (number of domestic employees) -> Large companies -> 250 &#8211; 499,All companies (number of domestic employees),Large companies,250 &#8211; 499,,,3,–,1624,1569,187,1623,1567,184,263,256,15
1374,r040,All companies (number of domestic employees) -> Large companies -> 500 &#8211; 999,All companies (number of domestic employees),Large companies,500 &#8211; 999,,,3,–,868,840,101,868,840,100,206,204,12
1374,r041,"All companies (number of domestic employees) -> Large companies -> 1,000 &#8211; 4,999",All companies (number of domestic employees),Large companies,"1,000 &#8211; 4,999",,,3,–,960,927,155,959,926,144,406,397,44
1374,r042,"All companies (number of domestic employees) -> Large companies -> 5,000 &#8211; 9,999",All companies (number of domestic employees),Large companies,"5,000 &#8211; 9,999",,,3,–,236,227,45,235,226,42,113,111,15
1374,r043,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,153,146,54,153,146,54,90,86,19
1374,r044,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,100,100,36,98,98,34,66,65,20
