table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_clinical_trials,field_federal_all_r_d_expenditures,field_federal_clinical_trials,field_nonfederal_all_r_d_expenditures,field_nonfederal_clinical_trials
12720,r012,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['209,409', '']","['1,698', '']","['94,483', '']","['213', '']","['114,926', '']","['1,485', '']"
12720,r013,California,California,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r014,California -> Public,California,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r015,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['35,830', '']","['1,441', '']","['14,810', '']","['1,308', '']","['21,020', '']","['133', '']"
12720,r016,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['13,152', '']","['233', '']","['7,606', '']","['233', '']","['5,546', '']","['0', '']"
12720,r017,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['11,443', '']","['6', '']","['9,845', '']","['6', '']","['1,598', '']","['0', '']"
12720,r018,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['34,466', '']","['218', '']","['16,507', '']","['218', '']","['17,959', '']","['0', '']"
12720,r019,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['1,076,754', '']","['297', '']","['496,298', '']","['297', '']","['580,456', '']","['0', '']"
12720,r020,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['962,399', '']","['19,038', '']","['494,847', '']","['6,074', '']","['467,552', '']","['12,964', '']"
12720,r021,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['609,614', '']","['22,200', '']","['335,393', '']","['7,923', '']","['274,221', '']","['14,277', '']"
12720,r022,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['1,721,665', '']","['115,088', '']","['878,571', '']","['78,769', '']","['843,094', '']","['36,319', '']"
12720,r023,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['1,705,410', '']","['27,837', 'i']","['1,083,790', '']","['11,340', 'i']","['621,620', '']","['16,497', 'i']"
12720,r024,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['2,046,539', '']","['94,522', '']","['858,066', '']","['41,584', '']","['1,188,473', '']","['52,938', '']"
12720,r025,California -> Private,California,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r026,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['41,791', '']","['269', '']","['10,015', '']","['250', '']","['31,776', '']","['19', '']"
12720,r027,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['19,551', '']","['232', '']","['13,297', '']","['0', '']","['6,254', '']","['232', '']"
12720,r028,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['22,262', '']","['4,108', '']","['12,485', '']","['733', '']","['9,777', '']","['3,375', '']"
12720,r029,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['14,086', '']","['724', '']","['2,921', '']","['724', '']","['11,165', '']","['0', '']"
12720,r030,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['1,537,846', '']","['193,031', '']","['943,669', '']","['77,195', '']","['594,177', '']","['115,836', '']"
12720,r031,"California -> Private -> Touro U., California",California,Private,"Touro U., California",3,"['2,877', '']","['969', '']","['1,279', '']","['969', '']","['1,598', '']","['0', '']"
12720,r032,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['1,154,804', '']","['121,805', '']","['683,819', '']","['29,697', '']","['470,985', '']","['92,108', '']"
12720,r033,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['8,929', '']","['233', '']","['6,099', '']","['0', '']","['2,830', '']","['233', '']"
12720,r034,Colorado,Colorado,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r035,Colorado -> Public,Colorado,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r036,"Colorado -> Public -> Colorado State U., Fort Collins",Colorado,Public,"Colorado State U., Fort Collins",3,"['498,073', '']","['150', '']","['354,401', '']","['6', '']","['143,672', '']","['144', '']"
12720,r037,Colorado -> Public -> U. Colorado Anschutz Medical Campus,Colorado,Public,U. Colorado Anschutz Medical Campus,3,"['686,026', '']","['62,501', '']","['474,523', '']","['7,558', '']","['211,503', '']","['54,943', '']"
12720,r038,Colorado -> Public -> U. Northern Colorado,Colorado,Public,U. Northern Colorado,3,"['9,064', '']","['32', '']","['1,705', '']","['0', '']","['7,359', '']","['32', '']"
12720,r039,Colorado -> Private,Colorado,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r040,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,3,"['53,484', '']","['671', '']","['33,148', '']","['636', '']","['20,336', '']","['35', '']"
12720,r041,Connecticut,Connecticut,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r042,Connecticut -> Public,Connecticut,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r043,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['390,165', '']","['10,267', '']","['238,701', '']","['7,939', '']","['151,464', '']","['2,328', '']"
12720,r044,Connecticut -> Private,Connecticut,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r045,"Connecticut -> Private -> Trinity C., Hartford",Connecticut,Private,"Trinity C., Hartford",3,"['4,099', '']","['98', '']","['687', '']","['98', '']","['3,412', '']","['0', '']"
12720,r046,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,3,"['1,326,807', '']","['41,353', '']","['741,198', '']","['0', '']","['585,609', '']","['41,353', '']"
12720,r047,Delaware,Delaware,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r048,Delaware -> Public,Delaware,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r049,Delaware -> Public -> U. Delaware,Delaware,Public,U. Delaware,3,"['428,128', '']","['3,828', '']","['202,469', '']","['3,814', '']","['225,659', '']","['14', '']"
12720,r050,District of Columbia,District of Columbia,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r051,District of Columbia -> Private,District of Columbia,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r052,District of Columbia -> Private -> Gallaudet U.,District of Columbia,Private,Gallaudet U.,3,"['9,894', '']","['1,103', '']","['5,523', '']","['891', '']","['4,371', '']","['212', '']"
12720,r053,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,3,"['360,260', '']","['10,235', '']","['162,892', '']","['5,120', '']","['197,368', '']","['5,115', '']"
12720,r054,District of Columbia -> Private -> Georgetown U.,District of Columbia,Private,Georgetown U.,3,"['337,006', '']","['14,006', '']","['127,370', '']","['4', '']","['209,636', '']","['14,002', '']"
12720,r055,District of Columbia -> Private -> Howard U.,District of Columbia,Private,Howard U.,3,"['84,756', '']","['554', '']","['47,662', '']","['42', '']","['37,094', '']","['512', '']"
12720,r056,Florida,Florida,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r057,Florida -> Public,Florida,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r058,Florida -> Public -> Florida Atlantic U.,Florida,Public,Florida Atlantic U.,3,"['77,593', '']","['435', '']","['35,108', '']","['327', '']","['42,485', '']","['108', '']"
12720,r059,Florida -> Public -> Florida International U.,Florida,Public,Florida International U.,3,"['306,434', '']","['9,802', '']","['156,381', '']","['9,162', '']","['150,053', '']","['640', '']"
12720,r060,Florida -> Public -> Florida State U.,Florida,Public,Florida State U.,3,"['414,463', '']","['6,087', '']","['195,323', '']","['5,223', '']","['219,140', '']","['864', '']"
12720,r061,Florida -> Public -> U. Central Florida,Florida,Public,U. Central Florida,3,"['247,259', '']","['1,407', '']","['124,256', '']","['1,259', '']","['123,003', '']","['148', '']"
12720,r062,Florida -> Public -> U. Florida,Florida,Public,U. Florida,3,"['1,250,201', '']","['53,702', '']","['529,391', '']","['18,554', '']","['720,810', '']","['35,148', '']"
12720,r063,Florida -> Public -> U. South Florida,Florida,Public,U. South Florida,3,"['461,390', '']","['20,153', '']","['242,224', '']","['243', '']","['219,166', '']","['19,910', '']"
12720,r064,Florida -> Private,Florida,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r065,Florida -> Private -> Nova Southeastern U.,Florida,Private,Nova Southeastern U.,3,"['50,173', '']","['560', '']","['11,637', '']","['312', '']","['38,536', '']","['248', '']"
12720,r066,Florida -> Private -> U. Miami,Florida,Private,U. Miami,3,"['509,951', '']","['55,437', '']","['291,783', '']","['15,118', '']","['218,168', '']","['40,319', '']"
12720,r067,Georgia,Georgia,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r068,Georgia -> Public,Georgia,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r069,Georgia -> Public -> Augusta U.,Georgia,Public,Augusta U.,3,"['139,121', '']","['5,106', '']","['64,410', '']","['276', '']","['74,711', '']","['4,830', '']"
12720,r070,Georgia -> Public -> U. Georgia,Georgia,Public,U. Georgia,3,"['570,956', '']","['853', '']","['221,804', '']","['573', '']","['349,152', '']","['280', '']"
12720,r071,Georgia -> Private,Georgia,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r072,Georgia -> Private -> Emory U.,Georgia,Private,Emory U.,3,"['1,094,328', '']","['63,284', '']","['664,370', '']","['14,456', '']","['429,958', '']","['48,828', '']"
12720,r073,Georgia -> Private -> Mercer U.,Georgia,Private,Mercer U.,3,"['45,247', '']","['260', '']","['29,944', '']","['0', '']","['15,303', '']","['260', '']"
12720,r074,Georgia -> Private -> Morehouse School of Medicine,Georgia,Private,Morehouse School of Medicine,3,"['57,125', '']","['3,692', '']","['41,069', '']","['0', '']","['16,056', '']","['3,692', '']"
12720,r075,Hawaii,Hawaii,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r076,Hawaii -> Public,Hawaii,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r077,"Hawaii -> Public -> U. Hawaii, Manoa",Hawaii,Public,"U. Hawaii, Manoa",3,"['313,143', '']","['122', '']","['192,205', '']","['28', '']","['120,938', '']","['94', '']"
12720,r078,Illinois,Illinois,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r079,Illinois -> Public,Illinois,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r080,"Illinois -> Public -> Southern Illinois U., Carbondale",Illinois,Public,"Southern Illinois U., Carbondale",3,"['58,291', '']","['4,631', '']","['17,209', '']","['3,021', '']","['41,082', '']","['1,610', '']"
12720,r081,"Illinois -> Public -> U. Illinois, Chicago",Illinois,Public,"U. Illinois, Chicago",3,"['492,936', '']","['32,022', '']","['274,424', '']","['24,598', '']","['218,512', '']","['7,424', '']"
12720,r082,"Illinois -> Public -> U. Illinois, Urbana-Champaign",Illinois,Public,"U. Illinois, Urbana-Champaign",3,"['821,023', '']","['1,468', '']","['460,491', '']","['767', '']","['360,532', '']","['701', '']"
12720,r083,Illinois -> Private,Illinois,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r084,"Illinois -> Private -> Loyola U., Chicago",Illinois,Private,"Loyola U., Chicago",3,"['52,445', '']","['4,033', '']","['29,712', '']","['568', '']","['22,733', '']","['3,465', '']"
12720,r085,Illinois -> Private -> Midwestern U.,Illinois,Private,Midwestern U.,3,"['12,725', '']","['242', '']","['2,862', '']","['202', '']","['9,863', '']","['40', '']"
12720,r086,Illinois -> Private -> Northwestern U.,Illinois,Private,Northwestern U.,3,"['1,114,269', '']","['369,078', '']","['678,062', '']","['305,866', '']","['436,207', '']","['63,212', '']"
12720,r087,Illinois -> Private -> Rosalind Franklin U. of Medicine and Science,Illinois,Private,Rosalind Franklin U. of Medicine and Science,3,"['11,629', '']","['3', '']","['7,124', '']","['0', '']","['4,505', '']","['3', '']"
12720,r088,Illinois -> Private -> Rush U.,Illinois,Private,Rush U.,3,"['132,394', '']","['25,705', '']","['93,180', '']","['10,790', '']","['39,214', '']","['14,915', '']"
12720,r089,Illinois -> Private -> U. Chicago,Illinois,Private,U. Chicago,3,"['628,302', '']","['36,774', '']","['476,689', '']","['323', '']","['151,613', '']","['36,451', '']"
12720,r090,Indiana,Indiana,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r091,Indiana -> Public,Indiana,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r092,Indiana -> Public -> Ball State U.,Indiana,Public,Ball State U.,3,"['11,650', '']","['2,415', '']","['6,355', '']","['2,415', '']","['5,295', '']","['0', '']"
12720,r093,"Indiana -> Public -> Indiana U., Bloomington",Indiana,Public,"Indiana U., Bloomington",3,"['853,056', '']","['68,056', '']","['432,223', '']","['34,391', '']","['420,833', '']","['33,665', '']"
12720,r094,"Indiana -> Public -> Indiana U.-Purdue U., Indianapolis",Indiana,Public,"Indiana U.-Purdue U., Indianapolis",3,"['87,648', '']","['1,911', '']","['39,869', '']","['1,548', '']","['47,779', '']","['363', '']"
12720,r095,Iowa,Iowa,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r096,Iowa -> Public,Iowa,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r097,Iowa -> Public -> U. Iowa,Iowa,Public,U. Iowa,3,"['662,134', '']","['22,624', '']","['331,824', '']","['0', '']","['330,310', '']","['22,624', '']"
12720,r098,Iowa -> Private,Iowa,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r099,Iowa -> Private -> Des Moines U.,Iowa,Private,Des Moines U.,3,"['3,932', '']","['57', '']","['556', '']","['10', '']","['3,376', '']","['47', '']"
12720,r100,"Iowa -> Private -> Palmer C. of Chiropractic, Davenport",Iowa,Private,"Palmer C. of Chiropractic, Davenport",3,"['1,725', '']","['1,500', '']","['1,500', '']","['1,500', '']","['225', '']","['0', '']"
12720,r101,Kansas,Kansas,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r102,Kansas -> Public,Kansas,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r103,Kansas -> Public -> U. Kansas,Kansas,Public,U. Kansas,3,"['466,222', '']","['27,280', '']","['211,111', '']","['1,594', '']","['255,111', '']","['25,686', '']"
12720,r104,Kentucky,Kentucky,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r105,Kentucky -> Public,Kentucky,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r106,Kentucky -> Public -> U. Kentucky,Kentucky,Public,U. Kentucky,3,"['504,005', '']","['12,140', '']","['265,543', '']","['3,609', '']","['238,462', '']","['8,531', '']"
12720,r107,Kentucky -> Public -> U. Louisville,Kentucky,Public,U. Louisville,3,"['220,568', '']","['11,264', '']","['100,890', '']","['3,689', '']","['119,678', '']","['7,575', '']"
12720,r108,Louisiana,Louisiana,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r109,Louisiana -> Public,Louisiana,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r110,"Louisiana -> Public -> Louisiana State U., Baton Rouge",Louisiana,Public,"Louisiana State U., Baton Rouge",3,"['384,268', '']","['16,698', '']","['127,243', '']","['13,699', '']","['257,025', '']","['2,999', '']"
12720,r111,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, New Orleans",Louisiana,Public,"Louisiana State U., Health Sciences Center, New Orleans",3,"['68,707', '']","['767', '']","['35,933', '']","['144', '']","['32,774', '']","['623', '']"
12720,r112,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, Shreveport",Louisiana,Public,"Louisiana State U., Health Sciences Center, Shreveport",3,"['35,624', '']","['4,244', '']","['18,742', '']","['469', '']","['16,882', '']","['3,775', '']"
12720,r113,Louisiana -> Private,Louisiana,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r114,Louisiana -> Private -> Tulane U.,Louisiana,Private,Tulane U.,3,"['258,439', '']","['9,074', '']","['152,468', '']","['86', '']","['105,971', '']","['8,988', '']"
12720,r115,Maine,Maine,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r116,Maine -> Private,Maine,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r117,Maine -> Private -> U. New England,Maine,Private,U. New England,3,"['6,756', '']","['16', '']","['4,777', '']","['16', '']","['1,979', '']","['0', '']"
12720,r118,Maryland,Maryland,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r119,Maryland -> Public,Maryland,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r120,Maryland -> Public -> U. Maryland<sup>a</sup>,Maryland,Public,U. Maryland<sup>a</sup>,3,"['1,385,302', '']","['30,384', '']","['825,546', '']","['7,577', '']","['559,756', '']","['22,807', '']"
12720,r121,Maryland -> Private,Maryland,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r122,Maryland -> Private -> Johns Hopkins U.<sup>b</sup>,Maryland,Private,Johns Hopkins U.<sup>b</sup>,3,"['3,801,585', '']","['51,211', '']","['3,324,551', '']","['582', '']","['477,034', '']","['50,629', '']"
12720,r123,Massachusetts,Massachusetts,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r124,Massachusetts -> Public,Massachusetts,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12720,r125,"Massachusetts -> Public -> U. Massachusetts, Medical School",Massachusetts,Public,"U. Massachusetts, Medical School",3,"['326,731', '']","['7,260', '']","['223,490', '']","['126', '']","['103,241', '']","['7,134', '']"
12720,r126,Massachusetts -> Private,Massachusetts,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
