table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_all_u_s_citizen_and_permanent_resident_doctorate_recipients_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
969,r013,All fields -> Psychology and social sciences ,All fields,Psychology and social sciences ,,2,6874,100.0,8.4,0.4,7.7,7.7,69.3,3.0,1.0,2.5
969,r014,All fields -> Psychology and social sciences  -> Psychology,All fields,Psychology and social sciences ,Psychology,3,3403,100.0,8.6,0.3,6.5,6.7,72.1,3.1,0.6,2.2
969,r015,All fields -> Psychology and social sciences  -> Anthropology,All fields,Psychology and social sciences ,Anthropology,3,357,100.0,9.2,0.3,5.6,4.8,73.7,3.1,1.7,1.7
969,r016,All fields -> Psychology and social sciences  -> Economics,All fields,Psychology and social sciences ,Economics,3,539,100.0,5.9,0.2,16.1,3.3,63.5,3.3,1.3,6.3
969,r017,All fields -> Psychology and social sciences  -> Political science and government,All fields,Psychology and social sciences ,Political science and government,3,578,100.0,4.8,0.2,5.7,7.3,75.3,2.6,2.1,2.1
969,r018,All fields -> Psychology and social sciences  -> Sociology,All fields,Psychology and social sciences ,Sociology,3,567,100.0,11.6,0.2,6.2,10.4,65.1,3.7,0.9,1.9
969,r019,All fields -> Psychology and social sciences  -> Other social sciences,All fields,Psychology and social sciences ,Other social sciences,3,1430,100.0,9.0,0.8,9.6,11.6,63.0,2.4,1.3,2.2
969,r020,All fields -> Engineering,All fields,Engineering,,2,4339,100.0,6.6,0.2,16.9,3.9,64.9,2.6,1.5,3.3
969,r021,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,240,100.0,6.7,0.0,10.4,3.3,72.9,3.8,0.4,2.5
969,r022,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,700,100.0,6.1,0.0,23.9,3.3,61.0,2.4,1.3,2.0
969,r023,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,471,100.0,5.3,0.0,18.9,2.1,67.3,3.0,0.4,3.0
969,r024,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,243,100.0,9.5,0.4,12.3,6.6,66.3,0.8,0.8,3.3
969,r025,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,586,100.0,6.7,0.0,24.2,3.2,55.1,2.7,2.0,6.0
969,r026,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,86,100.0,4.7,1.2,18.6,16.3,52.3,1.2,1.2,4.7
969,r027,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,3,483,100.0,7.0,0.0,13.5,3.1,66.7,5.0,1.9,2.9
969,r028,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,592,100.0,7.1,0.2,13.3,2.7,69.1,1.5,2.4,3.7
969,r029,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,938,100.0,6.4,0.7,12.7,5.1,68.1,2.3,1.7,2.9
969,r030,All fields -> Education,All fields,Education,,2,4047,100.0,8.2,0.5,5.5,14.7,65.7,2.1,0.9,2.4
969,r031,All fields -> Education -> Education administration,All fields,Education,Education administration,3,871,100.0,8.4,0.8,4.2,21.4,59.2,2.2,0.8,3.0
969,r032,All fields -> Education -> Education research,All fields,Education,Education research,3,2018,100.0,8.2,0.3,6.1,13.4,66.7,1.9,0.9,2.3
969,r033,All fields -> Education -> Teacher education,All fields,Education,Teacher education,3,96,100.0,4.2,1.0,4.2,13.5,72.9,3.1,0.0,1.0
969,r034,All fields -> Education -> Teaching fields,All fields,Education,Teaching fields,3,745,100.0,8.1,0.4,5.6,10.1,71.8,1.6,0.9,1.5
969,r035,All fields -> Education -> Other education,All fields,Education,Other education,3,317,100.0,8.8,1.3,5.4,16.1,59.6,3.2,1.3,4.4
969,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,4290,100.0,7.2,0.4,4.2,3.4,78.2,2.7,1.8,2.1
969,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,433,100.0,19.9,0.5,4.4,1.2,67.2,3.0,1.4,2.5
969,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,895,100.0,7.5,0.4,2.9,4.9,79.0,2.0,2.1,1.1
969,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,1274,100.0,6.1,0.5,4.2,3.5,79.4,2.1,2.3,2.0
969,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1688,100.0,4.6,0.2,4.9,3.2,79.7,3.4,1.4,2.6
969,r041,All fields -> Other<sup>a</sup>,All fields,Other<sup>a</sup>,,2,1921,100.0,7.0,0.2,9.7,12.8,63.7,2.7,1.3,2.7
969,r042,All fields -> Other<sup>a</sup> -> Business management and administration,All fields,Other<sup>a</sup>,Business management and administration,3,830,100.0,7.1,0.0,13.6,11.3,60.7,2.5,1.8,2.9
969,r043,All fields -> Other<sup>a</sup> -> Communication,All fields,Other<sup>a</sup>,Communication,3,463,100.0,5.6,0.2,6.3,9.9,71.3,3.0,0.9,2.8
969,r044,All fields -> Other<sup>a</sup> -> Non-S&E fields nec,All fields,Other<sup>a</sup>,Non-S&E fields nec,3,628,100.0,8.0,0.3,7.0,16.9,62.1,2.5,1.0,2.2
