table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_computer_applications_median_salary,field_computer_applications_se,field_management_sales_or_administrationa_median_salary,field_management_sales_or_administrationa_se,field_professional_services_median_salary,field_professional_services_se,field_any_r_db_median_salary,field_any_r_db_se,field_teaching_median_salary,field_teaching_se,field_otherc_median_salary,field_otherc_se
3747,r038,All occupations -> Engineering occupations&#160;&#160;,All occupations,Engineering occupations&#160;&#160;,,,2,130000,500,139000,4000,150000,5000,129000,5000,132000,3000,100000,1000,130000,4500
3747,r039,"All occupations -> Engineering occupations&#160;&#160; -> Aerospace, aeronautical, astronautical engineer",All occupations,Engineering occupations&#160;&#160;,"Aerospace, aeronautical, astronautical engineer",,3,149000,1500,145000,10000,159000,5000,S,S,149000,5000,,,155000,14500
3747,r040,All occupations -> Engineering occupations&#160;&#160; -> Chemical engineer,All occupations,Engineering occupations&#160;&#160;,Chemical engineer,,3,137000,4500,S,S,142000,8500,,,139000,5500,80000,7500,129000,6000
3747,r041,"All occupations -> Engineering occupations&#160;&#160; -> Civil, architectural, sanitary engineer",All occupations,Engineering occupations&#160;&#160;,"Civil, architectural, sanitary engineer",,3,109000,5000,128000,15500,129000,7000,110000,17500,100000,4500,95000,25500,111000,34500
3747,r042,All occupations -> Engineering occupations&#160;&#160; -> Electrical engineer,All occupations,Engineering occupations&#160;&#160;,Electrical engineer,,3,149000,1000,150000,11000,166000,7000,163000,38000,149000,2500,103000,3500,142000,7000
3747,r043,All occupations -> Engineering occupations&#160;&#160; -> Industrial engineers,All occupations,Engineering occupations&#160;&#160;,Industrial engineers,,3,119000,3500,,,125000,24500,,,115000,5500,108000,25000,127000,13000
3747,r044,All occupations -> Engineering occupations&#160;&#160; -> Mechanical engineer,All occupations,Engineering occupations&#160;&#160;,Mechanical engineer,,3,129000,3500,114000,9000,149000,10500,,,124000,5000,100000,7000,143000,33000
3747,r045,"All occupations -> Engineering occupations&#160;&#160; -> Postsecondary teacher, engineering",All occupations,Engineering occupations&#160;&#160;,"Postsecondary teacher, engineering",,3,108000,2500,S,S,128000,4000,,,118000,5000,99000,2000,,
3747,r046,All occupations -> Engineering occupations&#160;&#160; -> Other engineer,All occupations,Engineering occupations&#160;&#160;,Other engineer,,3,130000,500,126000,5500,140000,7000,130000,6000,129000,2500,112000,10500,121000,4500
3747,r047,All occupations -> S&E-related occupations&#160;,All occupations,S&E-related occupations&#160;,,,2,130000,500,138000,7500,160000,4000,158000,13500,130000,3000,85000,1500,108000,6500
3747,r048,"All occupations -> S&E-related occupations&#160; -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations&#160;,"Health occupations, except postsecondary teachers and managers",,3,139000,3500,129000,60500,125000,10500,157000,17000,130000,5000,100000,19500,101000,12500
3747,r049,"All occupations -> S&E-related occupations&#160; -> Postsecondary teacher, health and related science",All occupations,S&E-related occupations&#160;,"Postsecondary teacher, health and related science",,3,105000,2500,,,148000,13500,165000,20000,115000,3000,90000,1000,86000,20000
3747,r050,"All occupations -> S&E-related occupations&#160; -> S&E managers, including health",All occupations,S&E-related occupations&#160;,"S&E managers, including health",,3,164000,4000,171000,19000,170000,4000,198000,34500,150000,2500,,,135000,17500
3747,r051,All occupations -> S&E-related occupations&#160; -> S&E precollege teachers,All occupations,S&E-related occupations&#160;,S&E precollege teachers,,3,63000,2500,,,50000,11000,,,,,63000,2500,,
3747,r052,All occupations -> S&E-related occupations&#160; -> S&E technicians/ technologists,All occupations,S&E-related occupations&#160;,S&E technicians/ technologists,,3,129000,3500,129000,5500,151000,15000,S,S,130000,6000,S,S,71000,20000
3747,r053,All occupations -> S&E-related occupations&#160; -> Other S&E-related occupation,All occupations,S&E-related occupations&#160;,Other S&E-related occupation,,3,132000,8500,,,125000,11000,113000,4000,155000,9000,,,,
3747,r054,All occupations -> Non-S&E occupations&#160;,All occupations,Non-S&E occupations&#160;,,,2,138000,3500,139000,9000,154000,4000,139000,6000,145000,6000,82000,2000,108000,5000
3747,r055,"All occupations -> Non-S&E occupations&#160; -> Arts, humanities-related occupation",All occupations,Non-S&E occupations&#160;,"Arts, humanities-related occupation",,3,93000,3500,,,109000,11500,89000,4000,94000,9000,89000,23000,89000,3500
3747,r056,All occupations -> Non-S&E occupations&#160; -> Management-related occupation,All occupations,Non-S&E occupations&#160;,Management-related occupation,,3,140000,5500,140000,21500,140000,6000,159000,11500,145000,5500,129000,49000,110000,11500
3747,r057,All occupations -> Non-S&E occupations&#160; -> Non S&E managers,All occupations,Non-S&E occupations&#160;,Non S&E managers,,3,179000,3500,139000,15500,185000,5000,174000,13500,172000,6500,106000,23500,159000,13500
3747,r058,All occupations -> Non-S&E occupations&#160; -> Non S&E postsecondary teachers,All occupations,Non-S&E occupations&#160;,Non S&E postsecondary teachers,,3,100000,2000,,,121000,12500,123000,13500,137000,11000,84000,3000,98000,8500
3747,r059,All occupations -> Non-S&E occupations&#160; -> Non S&E precollege/ other teachers,All occupations,Non-S&E occupations&#160;,Non S&E precollege/ other teachers,,3,68000,4000,,,93000,17000,,,70000,10000,60000,8500,S,S
3747,r060,"All occupations -> Non-S&E occupations&#160; -> Sales, marketing occupation",All occupations,Non-S&E occupations&#160;,"Sales, marketing occupation",,3,120000,5000,,,119000,5500,105000,35500,125000,15500,,,122000,34000
3747,r061,All occupations -> Non-S&E occupations&#160; -> Social service-related occupation,All occupations,Non-S&E occupations&#160;,Social service-related occupation,,3,74000,5000,,,78000,7000,70000,2500,79000,4500,69000,10000,77000,12500
3747,r062,All occupations -> Non-S&E occupations&#160; -> Other non-S&E occupation,All occupations,Non-S&E occupations&#160;,Other non-S&E occupation,,3,125000,6000,,,70000,7000,179000,13000,86000,8000,51000,12500,72000,10500
