table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_businesses,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_organizations,field_any_public_private_partnership_fundinga
12493,r011,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Insect Management and Molecular Diagnostics Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Insect Management and Molecular Diagnostics Laboratory,,,4,"['1,358', '']","['1,358', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r012,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> National Veterinary Services Laboratories/ Center for Veterinary Biologics,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,National Veterinary Services Laboratories/ Center for Veterinary Biologics,,,4,"['5,790', '']","['5,790', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r013,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> National Wildlife Research Center,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,National Wildlife Research Center,,,4,"['33,101', '']","['20,125', '']","['1,946', '']","['0', '']","['0', '']","['11,030', '']",Yes
12493,r014,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Plant Pathogen Confirmatory Diagnostics Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Plant Pathogen Confirmatory Diagnostics Laboratory,,,4,"['1,665', '']","['1,665', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r015,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Treatment and Inspection Methods Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Treatment and Inspection Methods Laboratory,,,4,"['450', '']","['450', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r016,All agencies -> Department of Agriculture -> Economic Research Service,All agencies,Department of Agriculture,Economic Research Service,,,,3,"['78,038', '']","['78,038', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r017,All agencies -> Department of Agriculture -> Forest Service,All agencies,Department of Agriculture,Forest Service,,,,3,"['299,844', '']","['288,731', '']","['6,563', '']","['974', '']","['1,963', '']","['1,612', '']",No
12493,r018,All agencies -> Department of Agriculture -> Forest Service -> Forest Products Laboratory,All agencies,Department of Agriculture,Forest Service,Forest Products Laboratory,,,4,"['19,275', '']","['18,057', '']","['11', '']","['720', '']","['267', '']","['220', '']",No
12493,r019,All agencies -> Department of Agriculture -> Forest Service -> International Institute of Tropical Forestry,All agencies,Department of Agriculture,Forest Service,International Institute of Tropical Forestry,,,4,"['7,856', '']","['7,798', '']","['0', '']","['0', '']","['21', '']","['38', '']",No
12493,r020,All agencies -> Department of Agriculture -> Forest Service -> Northern Research Station,All agencies,Department of Agriculture,Forest Service,Northern Research Station,,,4,"['53,497', '']","['49,840', '']","['1,409', '']","['30', '']","['1,242', '']","['976', '']",No
12493,r021,All agencies -> Department of Agriculture -> Forest Service -> Pacific Northwest Research Station,All agencies,Department of Agriculture,Forest Service,Pacific Northwest Research Station,,,4,"['52,212', '']","['48,895', '']","['3,250', '']","['0', '']","['65', '']","['3', '']",No
12493,r022,All agencies -> Department of Agriculture -> Forest Service -> Pacific Southwest Research Station,All agencies,Department of Agriculture,Forest Service,Pacific Southwest Research Station,,,4,"['22,703', '']","['20,813', '']","['1,443', '']","['49', '']","['260', '']","['137', '']",No
12493,r023,All agencies -> Department of Agriculture -> Forest Service -> Rocky Mountain Research Station,All agencies,Department of Agriculture,Forest Service,Rocky Mountain Research Station,,,4,"['76,579', '']","['75,739', '']","['450', '']","['167', '']","['109', '']","['116', '']",No
12493,r024,All agencies -> Department of Agriculture -> Forest Service -> Southern Research Station,All agencies,Department of Agriculture,Forest Service,Southern Research Station,,,4,"['50,301', '']","['50,170', '']","['0', '']","['8', '']","['0', '']","['123', '']",No
12493,r025,All agencies -> Department of Agriculture -> Forest Service -> Washington Office Research and Development,All agencies,Department of Agriculture,Forest Service,Washington Office Research and Development,,,4,"['17,420', '']","['17,420', '']","['0', '']","['0', '']","['0', '']","['0', '']",No
12493,r026,All agencies -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Department of Agriculture,National Agricultural Statistics Service,,,,3,"['10,226', '']","['10,226', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r027,All agencies -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Department of Agriculture,Natural Resources Conservation Service,,,,3,"['10,777', '']","['10,777', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r028,All agencies -> Department of Agriculture -> Natural Resources Conservation Service -> Plant Materials Center,All agencies,Department of Agriculture,Natural Resources Conservation Service,Plant Materials Center,,,4,"['10,258', '']","['10,258', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r029,All agencies -> Department of Agriculture -> Natural Resources Conservation Service -> Soil Science Research Branch,All agencies,Department of Agriculture,Natural Resources Conservation Service,Soil Science Research Branch,,,4,"['520', '']","['520', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r030,All agencies -> Department of Commerce,All agencies,Department of Commerce,,,,,2,"['1,373,618', ' ']","['1,372,285', ' ']","['23', ' ']","['147', ' ']","['1', ' ']","['1,163', ' ']",Yes
12493,r031,All agencies -> Department of Commerce -> Census Bureau,All agencies,Department of Commerce,Census Bureau,,,,3,"['156,946', '']","['155,612', '']","['23', '']","['147', '']","['1', '']","['1,163', '']",Yes
12493,r032,All agencies -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Department of Commerce,National Institute of Standards and Technology,,,,3,"['660,622', '']","['660,622', '']","['0', '']","['0', '']","['0', '']","['0', '']",Yes
12493,r033,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,,,,3,"['548,741', '']","['548,741', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r034,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,,,4,"['21,517', '']","['21,517', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r035,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support -> Office of the Chief Administrative Officer,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,Office of the Chief Administrative Officer,,5,"['21,504', '']","['21,504', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r036,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support -> Office of the Chief Information Officer,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support,Office of the Chief Information Officer,,5,"['13', '']","['13', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r037,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",,,4,"['33,185', '']","['33,185', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r038,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service -> Center for Satellite Applications and Research",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",Center for Satellite Applications and Research,,5,"['27,813', '']","['27,813', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r039,"All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service -> National Centers for Environmental Information",All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",National Centers for Environmental Information,,5,"['5,372', '']","['5,372', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r040,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,,4,"['65,086', '']","['65,086', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r041,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Alaska Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Alaska Fisheries Science Center,,5,"['10,842', '']","['10,842', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r042,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Alaska Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Alaska Regional Office,,5,"['3,500', '']","['3,500', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r043,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Greater Atlantic Region Fisheries Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Greater Atlantic Region Fisheries Office,,5,"['2,467', '']","['2,467', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r044,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Northeast Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Northeast Fisheries Science Center,,5,"['6,421', '']","['6,421', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r045,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Northwest Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Northwest Fisheries Science Center,,5,"['5,252', '']","['5,252', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r046,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Habitat Conservation,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Habitat Conservation,,5,"['1,993', '']","['1,993', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r047,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Protected Resources,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Protected Resources,,5,"['767', '']","['767', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r048,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Science and Technology,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Science and Technology,,5,"['3,037', '']","['3,037', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r049,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Office of Sustainable Fisheries,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Office of Sustainable Fisheries,,5,"['858', '']","['858', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r050,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Pacific Island Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Pacific Island Fisheries Science Center,,5,"['4,380', '']","['4,380', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r051,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Pacific Islands Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Pacific Islands Regional Office,,5,"['1,978', '']","['1,978', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r052,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southeast Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southeast Fisheries Science Center,,5,"['8,142', '']","['8,142', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r053,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southeast Regional Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southeast Regional Office,,5,"['3,597', '']","['3,597', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r054,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> Southwest Fisheries Science Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,Southwest Fisheries Science Center,,5,"['5,811', '']","['5,811', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r055,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service -> West Coast Region,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,West Coast Region,,5,"['6,042', '']","['6,042', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r056,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,,,4,"['46,567', '']","['46,567', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r057,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Center for Operational Oceanographic Products and Services,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Center for Operational Oceanographic Products and Services,,5,"['1,392', '']","['1,392', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r058,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Integrated Ocean Observing System,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Integrated Ocean Observing System,,5,"['1,968', '']","['1,968', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r059,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> National Centers for Coastal Ocean Science,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,National Centers for Coastal Ocean Science,,5,"['27,813', '']","['27,813', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r060,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> National Geodetic Survey,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,National Geodetic Survey,,5,"['7,123', '']","['7,123', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r061,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office for Coastal Management,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office for Coastal Management,,5,"['143', '']","['143', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r062,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office of Response and Restoration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office of Response and Restoration,,5,"['1,213', '']","['1,213', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r063,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service -> Office of the Coast Survey,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,Office of the Coast Survey,,5,"['6,914', '']","['6,914', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r064,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,,,4,"['20,210', '']","['20,210', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r065,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> National Centers for Environmental Prediction,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,National Centers for Environmental Prediction,,5,"['11,695', '']","['11,695', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r066,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> Office of Science and Technology Integration,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,Office of Science and Technology Integration,,5,"['2,258', '']","['2,258', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r067,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service -> Office of Water Prediction,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,Office of Water Prediction,,5,"['6,257', '']","['6,257', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r068,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,,,4,"['336,599', '']","['336,599', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r069,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Air Resources Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Air Resources Laboratory,,5,"['8,013', '']","['8,013', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r070,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Atlantic Oceanographic and Meteorological Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Atlantic Oceanographic and Meteorological Laboratory,,5,"['25,169', '']","['25,169', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r071,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Chemical Sciences Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Chemical Sciences Laboratory,,5,"['21,670', '']","['21,670', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r072,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Climate Program Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Climate Program Office,,5,"['36,844', '']","['36,844', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r073,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Earth System Research Laboratories,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Earth System Research Laboratories,,5,"['2,995', '']","['2,995', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r074,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Geophysical Fluid Dynamics Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Geophysical Fluid Dynamics Laboratory,,5,"['26,840', '']","['26,840', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r075,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Monitoring Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Monitoring Laboratory,,5,"['18,811', '']","['18,811', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r076,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Ocean Monitoring and Observing Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Ocean Monitoring and Observing Program,,5,"['16,745', '']","['16,745', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r077,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Global Systems Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Global Systems Laboratory,,5,"['15,959', '']","['15,959', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r078,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Great Lakes Environmental Research Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Great Lakes Environmental Research Laboratory,,5,"['12,660', '']","['12,660', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r079,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> National Sea Grant College Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,National Sea Grant College Program,,5,"['21,562', '']","['21,562', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r080,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> National Severe Storms Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,National Severe Storms Laboratory,,5,"['26,747', '']","['26,747', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r081,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Ocean Acidification Program,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Ocean Acidification Program,,5,"['1,475', '']","['1,475', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r082,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Office of Ocean Exploration and Research,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Office of Ocean Exploration and Research,,5,"['24,242', '']","['24,242', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r083,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Office of Research Transition and Application,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Office of Research Transition and Application,,5,"['7,988', '']","['7,988', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r084,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Pacific Marine Environment Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Pacific Marine Environment Laboratory,,5,"['26,030', '']","['26,030', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r085,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Physical Sciences Laboratory,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Physical Sciences Laboratory,,5,"['19,840', '']","['19,840', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r086,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Oceanic and Atmospheric Research -> Weather Program Office,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Oceanic and Atmospheric Research,Weather Program Office,,5,"['23,007', '']","['23,007', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r087,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,,,4,"['25,577', '']","['25,577', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r088,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations -> Marine and Aviation Operations Center,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,Marine and Aviation Operations Center,,5,"['5,424', '']","['5,424', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
12493,r089,All agencies -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations -> National Oceanic and Atmospheric Administration Corps,All agencies,Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,National Oceanic and Atmospheric Administration Corps,,5,"['20,152', '']","['20,152', '']","['0', '']","['0', '']","['0', '']","['0', '']",Not provided
