table_id,row_id,_b_sex_citizenship_ethnicity_race_and_broad_field_b_full_path,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_1,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_2,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_3,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_4,_b_sex_citizenship_ethnicity_race_and_broad_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_in_hbcus,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_in_hbcus,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_in_hbcus,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_in_hbcus,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_in_hbcus
6044,r050,All individuals -> Black or African American individuals -> Science -> Physical sciences,All individuals,Black or African American individuals,Science,Physical sciences,4,1096,16.0,338,23.4,758,12.7,49,6.1,na,0.0
6044,r051,All individuals -> Black or African American individuals -> Science -> Psychology,All individuals,Black or African American individuals,Science,Psychology,4,7044,8.2,5425,7.9,1619,8.9,37,0.0,na,0.0
6044,r052,All individuals -> Black or African American individuals -> Science -> Social sciences,All individuals,Black or African American individuals,Science,Social sciences,4,6442,10.7,4364,11.0,2078,10.0,79,1.3,na,0.0
6044,r053,All individuals -> Black or African American individuals -> Engineering,All individuals,Black or African American individuals,Engineering,,3,4583,9.3,2952,9.0,1631,9.7,68,2.9,na,0.0
6044,r054,"All individuals -> Black or African American individuals -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All individuals,Black or African American individuals,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,163,0.0,115,0.0,48,0.0,0,0.0,na,0.0
6044,r055,"All individuals -> Black or African American individuals -> Engineering -> Biological, biomedical, and biosystems engineering",All individuals,Black or African American individuals,Engineering,"Biological, biomedical, and biosystems engineering",4,450,4.0,188,8.0,262,1.1,30,0.0,na,0.0
6044,r056,"All individuals -> Black or African American individuals -> Engineering -> Chemical, petroleum, and chemical-related engineering",All individuals,Black or African American individuals,Engineering,"Chemical, petroleum, and chemical-related engineering",4,255,4.7,112,4.5,143,4.9,7,0.0,na,0.0
6044,r057,"All individuals -> Black or African American individuals -> Engineering -> Civil, environmental, transportation and related engineering fields",All individuals,Black or African American individuals,Engineering,"Civil, environmental, transportation and related engineering fields",4,509,3.5,347,2.9,162,4.9,5,0.0,na,0.0
6044,r058,"All individuals -> Black or African American individuals -> Engineering -> Electrical, electronics, communications and computer engineering",All individuals,Black or African American individuals,Engineering,"Electrical, electronics, communications and computer engineering",4,974,7.7,674,5.9,300,11.7,6,0.0,na,0.0
6044,r059,"All individuals -> Black or African American individuals -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All individuals,Black or African American individuals,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,623,5.8,488,3.3,135,14.8,2,50.0,na,0.0
6044,r060,All individuals -> Black or African American individuals -> Engineering -> Mechanical engineering,All individuals,Black or African American individuals,Engineering,Mechanical engineering,4,561,5.3,336,3.9,225,7.6,4,0.0,na,0.0
6044,r061,"All individuals -> Black or African American individuals -> Engineering -> Metallurgical, mining, materials and related engineering fields",All individuals,Black or African American individuals,Engineering,"Metallurgical, mining, materials and related engineering fields",4,168,1.8,65,1.5,103,1.9,3,0.0,na,0.0
6044,r062,All individuals -> Black or African American individuals -> Engineering -> Other engineering,All individuals,Black or African American individuals,Engineering,Other engineering,4,880,26.5,627,26.6,253,26.1,11,9.1,na,0.0
6044,r063,All individuals -> Black or African American individuals -> Health,All individuals,Black or African American individuals,Health,,3,8282,8.3,6764,7.6,1518,11.4,435,0.9,na,0.0
6044,r064,All individuals -> Black or African American individuals -> Health -> Clinical medicine<sup>b</sup>,All individuals,Black or African American individuals,Health,Clinical medicine<sup>b</sup>,4,5126,7.5,4511,6.2,615,17.1,382,0.0,na,0.0
6044,r065,All individuals -> Black or African American individuals -> Health -> Other health,All individuals,Black or African American individuals,Health,Other health,4,3156,9.7,2253,10.6,903,7.5,53,7.5,na,0.0
