table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_engineering_fields,field_aerospace_aeronautical_astronautical_and_space_engineering,field_biological_biomedical_and_biosystems_engineering,field_chemical_and_petroleum_engineering,field_civil_environmental_and_transportation_engineering,field_electrical_and_computer_engineering,field_engineering_technologies,field_industrial_engineering_and_operations_research,field_materials_and_mining_engineering,field_mechanical_engineering,field_engineering_other
11714,r021,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,51.2,61.2,52.8,52.2,43.2,52.7,42.5,49.9,47.6,55.9,50.9
11714,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,,,,,,,
11714,r023,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),Years since earning bachelor's degree,,3,7.4,7.2,7.0,6.6,8.4,8.1,8.2,8.0,6.8,7.3,7.9
11714,r024,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,6.6,6.5,6.0,5.8,7.3,7.0,7.3,7.0,6.0,6.4,6.8
11714,r025,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,5.3,5.3,5.3,5.3,5.0,5.4,5.3,5.0,5.0,5.3,5.2
11714,r026,All doctorate recipients (number)<sup>a</sup> -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Received tuition remission (%),,,2,86.5,81.1,87.8,88.4,88.7,85.6,82.2,83.7,86.6,88.4,84.0
11714,r027,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,7873,489,743,889,863,1719,317,436,649,1277,491
11714,r028,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),,3,,,,,,,,,,,
11714,r029,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,40.4,55.2,66.4,47.5,30.4,27.3,28.4,35.3,43.9,39.2,46.8
11714,r030,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,55.0,39.1,29.1,49.0,65.0,68.1,70.0,60.6,50.7,56.0,46.6
11714,r031,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Unknown,4,4.6,5.7,4.6,3.5,4.6,4.6,1.6,4.1,5.4,4.8,6.5
11714,r032,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,,,,,,,
11714,r033,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,46.9,48.5,51.7,52.4,41.1,46.2,47.6,41.1,47.3,48.0,41.1
11714,r034,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Married,4,33.7,31.3,26.9,29.7,40.3,35.6,39.4,37.6,30.8,32.5,35.8
11714,r035,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,6.6,,,,4.6,5.9,6.3,6.9,,,3.9
11714,r036,"All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,1.1,,,,2.5,0.9,1.6,2.3,,,1.4
11714,r037,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,11.6,12.5,9.4,9.9,11.4,11.4,5.0,12.2,12.6,13.0,17.7
11714,r038,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has dependent age 18 or younger (%),,3,15.7,13.3,8.9,12.1,22.3,17.4,17.4,18.2,13.3,14.8,20.1
11714,r039,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has one or more functional limitations (%),,3,9.3,6.6,12.6,11.0,9.3,8.5,8.9,8.4,11.0,8.2,8.8
11714,r040,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,30.3,29.8,29.6,29.3,31.4,30.8,31.0,30.8,29.4,30.2,30.8
11714,r041,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,80.1,85.8,72.0,85.3,87.0,78.0,74.5,65.3,72.8,89.8,74.1
11714,r042,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),,3,75.3,82.7,54.4,55.2,92.2,82.4,85.0,82.8,62.6,78.6,77.0
11714,r043,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,50.6,59.9,53.2,51.8,44.0,52.2,43.4,47.9,46.3,53.3,50.0
11714,r044,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,,,
11714,r045,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,7.6,7.2,7.0,6.7,8.4,8.2,8.2,8.0,6.9,7.4,8.0
11714,r046,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,6.7,6.6,6.1,6.0,7.3,7.0,7.3,6.9,6.0,6.5,6.8
11714,r047,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.3,5.3,5.3,5.3,5.0,5.5,5.3,5.0,5.0,5.3,5.3
11714,r048,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Received tuition remission (%),,3,86.0,81.0,88.5,88.0,87.1,84.9,82.6,81.7,86.7,88.4,83.7
11714,r049,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),,,2,2851,95,570,356,416,400,85,191,263,275,200
11714,r050,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),,3,,,,,,,,,,,
11714,r051,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,47.9,54.7,64.4,50.0,43.8,29.0,38.8,41.4,50.2,48.4,46.5
11714,r052,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,46.1,36.8,30.9,44.4,50.0,63.3,58.8,51.8,44.9,45.5,45.5
11714,r053,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Unknown,4,6.1,8.4,4.7,5.6,6.3,7.8,2.4,6.8,4.9,6.2,8.0
11714,r054,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,,,,,,,
11714,r055,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,43.5,40.0,48.8,50.8,36.8,41.8,35.3,35.1,50.6,44.0,36.0
11714,r056,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Married,4,33.0,25.3,27.0,29.8,40.4,37.8,42.4,36.6,26.6,34.9,32.5
11714,r057,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,9.0,,,,7.5,5.0,10.6,8.4,,,10.0
11714,r058,"All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,1.7,,,,2.6,1.5,7.1,3.7,,,2.5
11714,r059,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,12.8,14.7,10.0,11.0,12.7,14.0,4.7,16.2,12.5,14.5,19.0
11714,r060,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has dependent age 18 or younger (%),,3,10.3,6.2,7.8,6.9,12.4,13.4,17.3,14.8,6.9,9.7,13.6
11714,r061,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has one or more functional limitations (%),,3,12.6,11.3,12.3,12.8,12.7,10.2,11.3,15.0,11.0,15.5,15.7
11714,r062,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,29.6,29.3,29.1,28.8,30.6,30.1,31.0,30.6,28.9,29.3,30.5
11714,r063,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,73.5,80.5,72.9,81.2,76.7,75.6,54.2,54.0,67.6,84.7,67.6
11714,r064,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),,3,71.7,87.8,52.8,55.1,88.4,85.4,80.7,85.6,58.3,81.5,74.6
11714,r065,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,52.8,68.1,52.2,53.4,41.4,54.8,38.8,54.4,51.1,67.5,53.2
11714,r066,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,,,
11714,r067,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,7.1,7.0,6.8,6.3,8.4,7.5,8.2,8.1,6.5,7.0,7.3
11714,r068,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,6.3,6.4,6.0,5.8,7.0,7.0,7.4,7.2,5.8,6.3,6.8
11714,r069,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.3,5.6,5.3,5.1,5.0,5.3,5.3,5.1,5.0,5.3,5.0
11714,r070,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Received tuition remission (%),,3,87.9,81.7,86.8,89.6,92.2,88.6,80.5,88.3,86.3,88.4,84.8
