table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_land_acquisition,field_domestic_r_d_buildings_and_land_improvement,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
8839,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['2,466', '&nbsp;']","['32 - 53', '&nbsp;']","['*', '&nbsp;']","['12', '&nbsp;']","['21', '&nbsp;']","['*', 'i']","['0 - 19', 'i']"
8839,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['22,872', '&nbsp;']","['4,619', '&nbsp;']","['16', '&nbsp;']","['1,545', '&nbsp;']","['1,841', '&nbsp;']","['425', '&nbsp;']","['792', '&nbsp;']"
8839,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['4,547', '&nbsp;']","['194', '&nbsp;']","['*', '&nbsp;']","['39', '&nbsp;']","['136', '&nbsp;']","['3', '&nbsp;']","['16', 'i']"
8839,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['2,390', '&nbsp;']","['72 - 93', '&nbsp;']","['1', '&nbsp;']","['9', '&nbsp;']","['51', '&nbsp;']","['13', '&nbsp;']","['0 - 19', '&nbsp;']"
8839,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['10,040', '&nbsp;']","['310', '&nbsp;']","['*', '&nbsp;']","['65', '&nbsp;']","['154', '&nbsp;']","['5', '&nbsp;']","['85', '&nbsp;']"
8839,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['4,747', '&nbsp;']","['166', 'i']","['0', '&nbsp;']","['25', 'i']","['125', 'i']","['1', 'i']","['16', 'i']"
8839,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['9,752', '&nbsp;']","['96', '&nbsp;']","['0', '&nbsp;']","['17', '&nbsp;']","['66', '&nbsp;']","['*', '&nbsp;']","['13', '&nbsp;']"
8839,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['5,454', '&nbsp;']","['278', '&nbsp;']","['30', '&nbsp;']","['20', '&nbsp;']","['157', '&nbsp;']","['17', '&nbsp;']","['55', '&nbsp;']"
8839,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,259', '&nbsp;']","['1,298', '&nbsp;']","['2', '&nbsp;']","['157', '&nbsp;']","['727', '&nbsp;']","['290', '&nbsp;']","['122', '&nbsp;']"
8839,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,137', '&nbsp;']","['152', '&nbsp;']","['0', '&nbsp;']","['28', '&nbsp;']","['41', '&nbsp;']","['79', '&nbsp;']","['4', '&nbsp;']"
8839,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1,902', '&nbsp;']","['400', '&nbsp;']","['1', '&nbsp;']","['36', '&nbsp;']","['313', '&nbsp;']","['28', '&nbsp;']","['21', '&nbsp;']"
8839,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['2,398', '&nbsp;']","['109', '&nbsp;']","['0', '&nbsp;']","['19', '&nbsp;']","['80', '&nbsp;']","['2', '&nbsp;']","['7', '&nbsp;']"
8839,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['10,822', '&nbsp;']","['638', '&nbsp;']","['1', '&nbsp;']","['74', '&nbsp;']","['292', '&nbsp;']","['181', '&nbsp;']","['90', '&nbsp;']"
8839,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['39,845', '&nbsp;']","['7,578', '&nbsp;']","['4', 'i']","['532', '&nbsp;']","['5,349', '&nbsp;']","['1,207', '&nbsp;']","['485', '&nbsp;']"
8839,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['4,053', '&nbsp;']","['742', '&nbsp;']","['0', '&nbsp;']","['6', 'i']","['429', '&nbsp;']","['259', 'i']","['48', '&nbsp;']"
8839,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['21,535', 'i']","['3,850', '&nbsp;']","['0', '&nbsp;']","['88', '&nbsp;']","['2,983', '&nbsp;']","['561', '&nbsp;']","['218', '&nbsp;']"
8839,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['6,783', '&nbsp;']","['1,046', 'i']","['4', 'i']","['99', 'i']","['673', 'i']","['97', 'i']","['173', 'i']"
8839,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['864', '&nbsp;']","['211', 'i']","['0', '&nbsp;']","['21', 'i']","['152', 'i']","['22', 'i']","['15', 'i']"
8839,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['3,223', '&nbsp;']","['638', 'i']","['4', 'i']","['65', 'i']","['370', 'i']","['64', 'i']","['135', 'i']"
8839,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['2,696', '&nbsp;']","['197', '&nbsp;']","['0', '&nbsp;']","['13', '&nbsp;']","['150', '&nbsp;']","['11', 'i']","['23', '&nbsp;']"
8839,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['7,474', '&nbsp;']","['1,940', '&nbsp;']","['*', '&nbsp;']","['339', '&nbsp;']","['1,265', '&nbsp;']","['290', '&nbsp;']","['47', '&nbsp;']"
8839,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['3,817', '&nbsp;']","['638', '&nbsp;']","['0', '&nbsp;']","['34', '&nbsp;']","['479', '&nbsp;']","['21', '&nbsp;']","['104', '&nbsp;']"
8839,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['63,159', '&nbsp;']","['1,924', '&nbsp;']","['42', '&nbsp;']","['275', '&nbsp;']","['1,208', '&nbsp;']","['234', '&nbsp;']","['164', '&nbsp;']"
8839,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['52,378', '&nbsp;']","['1,418', '&nbsp;']","['28', '&nbsp;']","['203', '&nbsp;']","['865', '&nbsp;']","['214', '&nbsp;']","['108', '&nbsp;']"
8839,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['8,223', '&nbsp;']","['403', '&nbsp;']","['1', '&nbsp;']","['59', '&nbsp;']","['301', '&nbsp;']","['13', '&nbsp;']","['29', '&nbsp;']"
8839,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['7,695', '&nbsp;']","['318', '&nbsp;']","['1', '&nbsp;']","['35', '&nbsp;']","['250', '&nbsp;']","['11', '&nbsp;']","['20', '&nbsp;']"
8839,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['528', '&nbsp;']","['85', '&nbsp;']","['0', '&nbsp;']","['24', '&nbsp;']","['50', '&nbsp;']","['2', '&nbsp;']","['9', '&nbsp;']"
8839,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['22', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['1', '&nbsp;']","['*', 'i']","['0', '&nbsp;']"
8839,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,537', '&nbsp;']","['102', '&nbsp;']","['13', 'i']","['14', 'i']","['41', '&nbsp;']","['7', '&nbsp;']","['27', '&nbsp;']"
8839,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['1,132', '&nbsp;']","['35', '&nbsp;']","['*', '&nbsp;']","['9', '&nbsp;']","['21', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']"
8839,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['20,418', '&nbsp;']","['1,201', '&nbsp;']","['7', '&nbsp;']","['73 - 98', '&nbsp;']","['589', '&nbsp;']","['182 - 226', '&nbsp;']","['288 - 338', '&nbsp;']"
8839,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['15,501', '&nbsp;']","['1,020', '&nbsp;']","['5', '&nbsp;']","['74', '&nbsp;']","['518', '&nbsp;']","['183', '&nbsp;']","['240', '&nbsp;']"
8839,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['4,917', '&nbsp;']","['182', '&nbsp;']","['2', '&nbsp;']","['0 - 25', '&nbsp;']","['71', '&nbsp;']","['0 - 43', '&nbsp;']","['48 - 98', '&nbsp;']"
8839,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['397,551', '&nbsp;']","['12,767', '&nbsp;']","['24', '&nbsp;']","['987', '&nbsp;']","['4,065', '&nbsp;']","['5,859', '&nbsp;']","['1,831', '&nbsp;']"
8839,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['15,851', '&nbsp;']","['110', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['80', '&nbsp;']","['9', '&nbsp;']","['17', 'i']"
8839,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['102,740', '&nbsp;']","['362', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['12', '&nbsp;']","['9', '&nbsp;']","['341', '&nbsp;']"
8839,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['5,072', '&nbsp;']","['181', '&nbsp;']","['4', '&nbsp;']","['53', '&nbsp;']","['56', 'i']","['32', '&nbsp;']","['36', '&nbsp;']"
8839,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['3 - 54,098', '&nbsp;']","['3 - 1,643', 'i']","['0', '&nbsp;']","['4', 'i']","['0 - 139', 'i']","['0 - 1,054', 'i']","['0 - 454', 'i']"
8839,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['20,208', '&nbsp;']","['220 - 311', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['14', 'i']","['207', '&nbsp;']","['0 - 91', 'i']"
8839,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['153,819', '&nbsp;']","['5,301', '&nbsp;']","['1', '&nbsp;']","['361', '&nbsp;']","['2,554', '&nbsp;']","['2,010', '&nbsp;']","['374', '&nbsp;']"
8839,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['22,655', '&nbsp;']","['1,091', '&nbsp;']","['*', '&nbsp;']","['186', '&nbsp;']","['547', '&nbsp;']","['232', '&nbsp;']","['125', '&nbsp;']"
8839,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['210', '&nbsp;']","['6', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['2', 'i']","['5', 'i']"
8839,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['22,445', '&nbsp;']","['1,085', '&nbsp;']","['*', '&nbsp;']","['186', '&nbsp;']","['547', '&nbsp;']","['231', '&nbsp;']","['121', '&nbsp;']"
8839,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['61,468', '&nbsp;']","['205', 'i']","['0', '&nbsp;']","['*', '&nbsp;']","['53', '&nbsp;']","['148', 'i']","['3', '&nbsp;']"
8839,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['26,346', '&nbsp;']","['2,130', '&nbsp;']","['*', '&nbsp;']","['146', '&nbsp;']","['620', '&nbsp;']","['1,265', '&nbsp;']","['100', '&nbsp;']"
8839,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['43,351', '&nbsp;']","['1,874', '&nbsp;']","['0', '&nbsp;']","['30', '&nbsp;']","['1,334', '&nbsp;']","['365', '&nbsp;']","['146', '&nbsp;']"
8839,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['28,420', '&nbsp;']","['1,969', '&nbsp;']","['*', 'i']","['*', '&nbsp;']","['119', '&nbsp;']","['1,639', 'i']","['211', '&nbsp;']"
8839,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['1,395', '&nbsp;']","['35', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['7', '&nbsp;']","['26', '&nbsp;']","['2', 'i']"
8839,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['65', 'i']","['2', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['1', 'i']","['1', 'i']"
8839,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['1,330', '&nbsp;']","['33', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['7', '&nbsp;']","['25', '&nbsp;']","['*', '&nbsp;']"
8839,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['12,142', '&nbsp;']","['2,838', '&nbsp;']","['19', '&nbsp;']","['522', '&nbsp;']","['1,064', '&nbsp;']","['865', '&nbsp;']","['370', '&nbsp;']"
8839,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,381', '&nbsp;']","['135', '&nbsp;']","['*', '&nbsp;']","['6', '&nbsp;']","['28', '&nbsp;']","['19', '&nbsp;']","['81', '&nbsp;']"
8839,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['4,543', '&nbsp;']","['1,148', '&nbsp;']","['0', '&nbsp;']","['63', '&nbsp;']","['573', '&nbsp;']","['363', '&nbsp;']","['149', '&nbsp;']"
8839,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['3,532', '&nbsp;']","['1,063', '&nbsp;']","['18', '&nbsp;']","['446', '&nbsp;']","['415', '&nbsp;']","['100', '&nbsp;']","['84', '&nbsp;']"
8839,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['17', 'i']","['14', 'i']","['0', '&nbsp;']","['1', '&nbsp;']","['13', 'i']","['*', 'i']","['0', '&nbsp;']"
8839,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['1,355', '&nbsp;']","['328', '&nbsp;']","['18', '&nbsp;']","['88', '&nbsp;']","['146', '&nbsp;']","['39', '&nbsp;']","['36', '&nbsp;']"
8839,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['2,151', '&nbsp;']","['712', 'i']","['*', 'i']","['356', '&nbsp;']","['253', 'i']","['55', 'i']","['48', 'i']"
8839,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['9', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']"
8839,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['2,686', '&nbsp;']","['493', 'i']","['0', '&nbsp;']","['7', '&nbsp;']","['48', 'i']","['383', 'i']","['55', '&nbsp;']"
8839,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['3,782', '&nbsp;']","['83', 'i']","['*', 'i']","['14', '&nbsp;']","['25', '&nbsp;']","['13', 'i']","['31', 'i']"
8839,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['29 - 54,124', '&nbsp;']","['29 - 1,669', '&nbsp;']","['*', 'i']","['30', 'i']","['0 - 139', '&nbsp;']","['0 - 1,054', '&nbsp;']","['0 - 454', '&nbsp;']"
8839,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['686,393', '&nbsp;']","['32,494', '&nbsp;']","['147', '&nbsp;']","['4,060', '&nbsp;']","['15,731', '&nbsp;']","['8,436', '&nbsp;']","['4,120', '&nbsp;']"
8839,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8839,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['1,784', '&nbsp;']","['452', '&nbsp;']","['2', '&nbsp;']","['50', '&nbsp;']","['152', '&nbsp;']","['108', '&nbsp;']","['141', '&nbsp;']"
8839,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['8,869', '&nbsp;']","['1,025', '&nbsp;']","['1', '&nbsp;']","['121', '&nbsp;']","['525', '&nbsp;']","['199', '&nbsp;']","['178', '&nbsp;']"
8839,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8839,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['5,891', '&nbsp;']","['1,152', '&nbsp;']","['11', '&nbsp;']","['212', '&nbsp;']","['484', '&nbsp;']","['218', 'i']","['228', '&nbsp;']"
8839,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['19,307', '&nbsp;']","['1,593', '&nbsp;']","['33', '&nbsp;']","['350', '&nbsp;']","['726', '&nbsp;']","['320', '&nbsp;']","['164', '&nbsp;']"
8839,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
