table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_personnel_functions_personnel,field_all_personnel_functions_ftes,field_researchers_personnel,field_researchers_ftes,field_r_d_technicians_personnel,field_r_d_technicians_ftes,field_r_d_support_staff_personnel,field_r_d_support_staff_ftes
10170,r017,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['1,336', 'i']","['543.4', 'i']","['390', 'i']","['179.2', 'i']","['662', 'i']","['267.9', 'i']","['284', 'i']","['96.3', 'i']"
10170,r018,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['256', 'i']","['105.4', 'i']","['110', 'i']","['50.7', 'i']","['82', 'i']","['33.0', 'i']","['64', 'i']","['21.7', 'i']"
10170,r019,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r020,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['51', '']","['9.9', '']","['27', '']","['6.3', '']","['18', '']","['2.7', '']","['6', '']","['0.9', '']"
10170,r021,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r022,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r023,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['9,812', '']","['1,365.0', '']","['5,205', '']","['811.0', '']","['2,452', '']","['151.0', '']","['2,155', '']","['403.0', '']"
10170,r024,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['56', '']","['20.5', 'i']","['10', '']","['4.6', 'i']","['5', '']","['2.0', 'i']","['41', '']","['13.9', 'i']"
10170,r025,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['1,252', '']","['403.0', '']","['228', '']","['201.0', '']","['611', '']","['112.0', '']","['413', '']","['90.0', '']"
10170,r026,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['9,155', '']","['3,609.0', '']","['1,444', '']","['581.0', '']","['2,572', '']","['1,489.0', '']","['5,139', '']","['1,539.0', '']"
10170,r027,United States -> Arizona -> Private,United States,Arizona,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r028,United States -> Arizona -> Private -> Sonoran U. Health Sciences,United States,Arizona,Private,Sonoran U. Health Sciences,4,"['8', '']","['6.5', '']","['6', '']","['5.0', '']","['2', '']","['1.5', '']","['0', '']","['0.0', '']"
10170,r029,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r030,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r031,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['273', '']","['64.2', '']","['110', '']","['27.8', '']","['145', '']","['26.5', '']","['18', '']","['9.9', '']"
10170,r032,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['1,507', '']","['833.0', '']","['518', '']","['310.0', '']","['322', '']","['257.0', '']","['667', '']","['266.0', '']"
10170,r033,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['3,152', '']","['1,497.0', '']","['1,224', '']","['524.0', '']","['1,416', '']","['723.0', '']","['512', '']","['250.0', '']"
10170,r034,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['449', 'i']","['180.1', 'i']","['115', 'i']","['52.8', 'i']","['218', 'i']","['88.0', 'i']","['116', 'i']","['39.3', 'i']"
10170,r035,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['132', '']","['109.8', '']","['42', '']","['34.7', '']","['35', '']","['30.2', '']","['55', '']","['44.9', '']"
10170,r036,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['72', '']","['33.1', 'i']","['72', '']","['33.1', 'i']","['NA', '']","['0.0', 'i']","['NA', '']","['0.0', 'i']"
10170,r037,United States -> California,United States,California,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r038,United States -> California -> Public,United States,California,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r039,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['1,128', '']","['466.4', 'i']","['183', '']","['84.1', 'i']","['945', '']","['382.3', 'i']","['0', '']","['0.0', 'i']"
10170,r040,"United States -> California -> Public -> California State Polytechnic U., Humboldt",United States,California,Public,"California State Polytechnic U., Humboldt",4,"['460', '']","['98.7', '']","['52', '']","['12.8', '']","['129', '']","['38.7', '']","['279', '']","['47.2', '']"
10170,r041,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['277', '']","['41.0', '']","['62', '']","['24.0', '']","['9', '']","['3.0', '']","['206', '']","['14.0', '']"
10170,r042,"United States -> California -> Public -> California State U., Bakersfield",United States,California,Public,"California State U., Bakersfield",4,"['82', '']","['37.5', '']","['20', '']","['10.8', '']","['46', '']","['14.9', '']","['16', '']","['11.8', '']"
10170,r043,"United States -> California -> Public -> California State U., Channel Islands",United States,California,Public,"California State U., Channel Islands",4,"['87', '']","['13.9', '']","['21', '']","['4.6', '']","['57', '']","['7.6', '']","['9', '']","['1.7', '']"
10170,r044,"United States -> California -> Public -> California State U., Chico",United States,California,Public,"California State U., Chico",4,"['200', '']","['19.2', '']","['50', '']","['5.5', '']","['73', '']","['8.7', '']","['77', '']","['5.0', '']"
10170,r045,"United States -> California -> Public -> California State U., Dominguez Hills",United States,California,Public,"California State U., Dominguez Hills",4,"['68', '']","['33.1', '']","['9', '']","['2.3', '']","['37', '']","['18.0', '']","['22', '']","['12.8', '']"
10170,r046,"United States -> California -> Public -> California State U., East Bay",United States,California,Public,"California State U., East Bay",4,"['543', 'i']","['221.3', 'i']","['182', 'i']","['83.7', 'i']","['233', 'i']","['94.1', 'i']","['128', 'i']","['43.5', 'i']"
10170,r047,"United States -> California -> Public -> California State U., Fresno",United States,California,Public,"California State U., Fresno",4,"['569', 'i']","['232.0', 'i']","['191', 'i']","['87.7', 'i']","['244', 'i']","['98.7', 'i']","['134', 'i']","['45.6', 'i']"
10170,r048,"United States -> California -> Public -> California State U., Fullerton",United States,California,Public,"California State U., Fullerton",4,"['620', '']","['58.4', '']","['226', '']","['19.7', '']","['304', '']","['33.7', '']","['90', '']","['5.0', '']"
10170,r049,"United States -> California -> Public -> California State U., Long Beach",United States,California,Public,"California State U., Long Beach",4,"['713', '']","['198.5', '']","['151', '']","['35.2', '']","['528', '']","['140.0', '']","['34', '']","['23.3', '']"
10170,r050,"United States -> California -> Public -> California State U., Los Angeles",United States,California,Public,"California State U., Los Angeles",4,"['457', '']","['100.0', '']","['120', '']","['40.0', '']","['254', '']","['45.0', '']","['83', '']","['15.0', '']"
10170,r051,"United States -> California -> Public -> California State U., Maritime Academy",United States,California,Public,"California State U., Maritime Academy",4,"['22', '']","['11.4', '']","['8', '']","['2.9', '']","['11', '']","['6.4', '']","['3', '']","['2.1', '']"
10170,r052,"United States -> California -> Public -> California State U., Monterey Bay",United States,California,Public,"California State U., Monterey Bay",4,"['229', '']","['36.6', '']","['33', '']","['3.6', '']","['117', '']","['27.3', '']","['79', '']","['5.7', '']"
10170,r053,"United States -> California -> Public -> California State U., Northridge",United States,California,Public,"California State U., Northridge",4,"['352', '']","['129.2', 'i']","['69', '']","['31.7', 'i']","['22', '']","['8.9', 'i']","['261', '']","['88.6', 'i']"
10170,r054,"United States -> California -> Public -> California State U., Sacramento",United States,California,Public,"California State U., Sacramento",4,"['391', '']","['177.4', 'i']","['357', '']","['164.1', 'i']","['27', '']","['10.9', 'i']","['7', '']","['2.4', 'i']"
10170,r055,"United States -> California -> Public -> California State U., San Bernardino",United States,California,Public,"California State U., San Bernardino",4,"['279', '']","['45.0', '']","['70', '']","['6.0', '']","['15', '']","['1.7', '']","['194', '']","['37.3', '']"
10170,r056,"United States -> California -> Public -> California State U., San Marcos",United States,California,Public,"California State U., San Marcos",4,"['234', '']","['112.0', '']","['78', '']","['27.0', '']","['139', '']","['72.0', '']","['17', '']","['13.0', '']"
10170,r057,"United States -> California -> Public -> California State U., Stanislaus",United States,California,Public,"California State U., Stanislaus",4,"['166', '']","['10.5', '']","['61', '']","['3.5', '']","['103', '']","['6.5', '']","['2', '']","['0.5', '']"
10170,r058,United States -> California -> Public -> Naval Postgraduate School,United States,California,Public,Naval Postgraduate School,4,"['582', 'i']","['247.1', 'i']","['276', 'i']","['127.0', 'i']","['253', 'i']","['102.1', 'i']","['53', 'i']","['18.0', 'i']"
10170,r059,United States -> California -> Public -> San Diego State U.,United States,California,Public,San Diego State U.,4,"['2,663', '']","['1,152.6', 'i']","['1,449', '']","['666.0', 'i']","['1,145', '']","['463.2', 'i']","['69', '']","['23.4', 'i']"
10170,r060,United States -> California -> Public -> San Francisco State U.,United States,California,Public,San Francisco State U.,4,"['902', '']","['281.6', '']","['310', '']","['130.6', '']","['537', '']","['123.3', '']","['55', '']","['27.7', '']"
10170,r061,United States -> California -> Public -> San Jose State U.,United States,California,Public,San Jose State U.,4,"['1,034', '']","['198.9', '']","['306', '']","['90.2', '']","['51', '']","['23.8', '']","['677', '']","['84.9', '']"
10170,r062,United States -> California -> Public -> Sonoma State U.,United States,California,Public,Sonoma State U.,4,"['165', '']","['69.3', 'i']","['53', '']","['24.4', 'i']","['106', '']","['42.9', 'i']","['6', '']","['2.0', 'i']"
10170,r063,"United States -> California -> Public -> U. California, Berkeley",United States,California,Public,"U. California, Berkeley",4,"['9,928', '']","['3,533.8', '']","['6,202', '']","['2,414.3', '']","['773', '']","['448.4', '']","['2,953', '']","['671.1', '']"
10170,r064,"United States -> California -> Public -> U. California, Davis",United States,California,Public,"U. California, Davis",4,"['11,130', '']","['4,218.5', '']","['6,063', '']","['2,370.8', '']","['1,886', '']","['1,129.4', '']","['3,181', '']","['718.3', '']"
10170,r065,"United States -> California -> Public -> U. California, Irvine",United States,California,Public,"U. California, Irvine",4,"['5,186', '']","['1,802.9', '']","['3,935', '']","['1,404.6', '']","['683', '']","['253.1', '']","['568', '']","['145.2', '']"
10170,r066,"United States -> California -> Public -> U. California, Los Angeles",United States,California,Public,"U. California, Los Angeles",4,"['12,044', '']","['5,498.5', '']","['6,516', '']","['2,877.2', '']","['2,651', '']","['1,400.3', '']","['2,877', '']","['1,221.0', '']"
10170,r067,"United States -> California -> Public -> U. California, Merced",United States,California,Public,"U. California, Merced",4,"['1,207', '']","['296.3', '']","['900', '']","['235.1', '']","['39', '']","['20.0', '']","['268', '']","['41.2', '']"
10170,r068,"United States -> California -> Public -> U. California, Office of the President",United States,California,Public,"U. California, Office of the President",4,"['459', '']","['179.0', '']","['92', '']","['18.1', '']","['120', '']","['53.7', '']","['247', '']","['107.2', '']"
10170,r069,"United States -> California -> Public -> U. California, Riverside",United States,California,Public,"U. California, Riverside",4,"['2,551', 'i']","['1,038.2', 'i']","['843', 'i']","['387.5', 'i']","['1,095', 'i']","['442.8', 'i']","['613', 'i']","['207.9', 'i']"
10170,r070,"United States -> California -> Public -> U. California, San Diego",United States,California,Public,"U. California, San Diego",4,"['13,582', '']","['5,412.0', '']","['6,961', '']","['2,627.7', '']","['3,328', '']","['1,924.6', '']","['3,293', '']","['859.7', '']"
10170,r071,"United States -> California -> Public -> U. California, San Francisco",United States,California,Public,"U. California, San Francisco",4,"['10,001', '']","['5,526.5', '']","['5,315', '']","['2,852.0', '']","['3,026', '']","['1,894.1', '']","['1,660', '']","['780.4', '']"
10170,r072,"United States -> California -> Public -> U. California, Santa Barbara",United States,California,Public,"U. California, Santa Barbara",4,"['3,936', '']","['1,225.9', '']","['2,423', '']","['866.9', '']","['357', '']","['134.9', '']","['1,156', '']","['224.1', '']"
10170,r073,"United States -> California -> Public -> U. California, Santa Cruz",United States,California,Public,"U. California, Santa Cruz",4,"['2,467', '']","['785.1', '']","['1,575', '']","['564.4', '']","['210', '']","['101.8', '']","['682', '']","['118.9', '']"
10170,r074,United States -> California -> Private,United States,California,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r075,United States -> California -> Private -> Azusa Pacific U.,United States,California,Private,Azusa Pacific U.,4,"['288', '']","['144.1', '']","['246', '']","['123.0', '']","['2', '']","['1.8', '']","['40', '']","['19.3', '']"
10170,r076,United States -> California -> Private -> Biola U.,United States,California,Private,Biola U.,4,"['388', 'i']","['242.4', 'i']","['186', 'i']","['133.3', 'i']","['163', 'i']","['81.9', 'i']","['39', 'i']","['27.2', 'i']"
10170,r077,United States -> California -> Private -> California Institute of Technology,United States,California,Private,California Institute of Technology,4,"['2,801', '']","['1,768.9', 'i']","['1,482', '']","['1,064.9', 'i']","['1,100', '']","['552.5', 'i']","['219', '']","['151.5', 'i']"
10170,r078,United States -> California -> Private -> California Lutheran U.,United States,California,Private,California Lutheran U.,4,"['73', '']","['9.8', '']","['69', '']","['8.3', '']","['1', '']","['0.3', '']","['3', '']","['1.2', '']"
10170,r079,United States -> California -> Private -> Chapman U.,United States,California,Private,Chapman U.,4,"['391', '']","['256.3', 'i']","['72', '']","['51.7', 'i']","['85', '']","['42.7', 'i']","['234', '']","['161.9', 'i']"
10170,r080,United States -> California -> Private -> Charles R. Drew U. of Medicine and Science,United States,California,Private,Charles R. Drew U. of Medicine and Science,4,"['41', '']","['29.2', 'i']","['30', '']","['21.6', 'i']","['0', '']","['0.0', '']","['11', '']","['7.6', 'i']"
10170,r081,United States -> California -> Private -> Claremont Graduate U.,United States,California,Private,Claremont Graduate U.,4,"['195', '']","['120.6', '']","['33', '']","['7.2', '']","['158', '']","['111.3', '']","['4', '']","['2.1', '']"
10170,r082,United States -> California -> Private -> Claremont McKenna C.,United States,California,Private,Claremont McKenna C.,4,"['517', 'i']","['341.2', 'i']","['236', 'i']","['169.7', 'i']","['123', 'i']","['61.9', 'i']","['158', 'i']","['109.6', 'i']"
10170,r083,United States -> California -> Private -> Harvey Mudd C.,United States,California,Private,Harvey Mudd C.,4,"['87', '']","['50.8', 'i']","['33', '']","['23.7', 'i']","['54', '']","['27.1', 'i']","['0', '']","['0.0', 'i']"
10170,r084,United States -> California -> Private -> High Tech High Graduate School of Ed.,United States,California,Private,High Tech High Graduate School of Ed.,4,"['25', '']","['18.8', '']","['20', '']","['15.0', '']","['0', '']","['0.0', '']","['5', '']","['3.8', '']"
10170,r085,United States -> California -> Private -> Keck Graduate Institute,United States,California,Private,Keck Graduate Institute,4,"['37', '']","['24.7', '']","['22', '']","['15.4', '']","['0', '']","['0.0', '']","['15', '']","['9.3', '']"
10170,r086,United States -> California -> Private -> La Sierra U.,United States,California,Private,La Sierra U.,4,"['91', '']","['16.5', '']","['20', '']","['7.5', '']","['2', '']","['1.5', '']","['69', '']","['7.5', '']"
10170,r087,United States -> California -> Private -> Loma Linda U.,United States,California,Private,Loma Linda U.,4,"['306', '']","['64.0', '']","['245', '']","['24.0', '']","['57', '']","['38.0', '']","['4', '']","['2.0', '']"
10170,r088,United States -> California -> Private -> Loyola Marymount U.,United States,California,Private,Loyola Marymount U.,4,"['423', '']","['74.6', '']","['154', '']","['23.1', '']","['161', '']","['37.0', '']","['108', '']","['14.5', '']"
10170,r089,United States -> California -> Private -> Marshall B. Ketchum U.,United States,California,Private,Marshall B. Ketchum U.,4,"['325', 'i']","['215.3', 'i']","['196', 'i']","['140.8', 'i']","['76', 'i']","['38.1', 'i']","['53', 'i']","['36.4', 'i']"
10170,r090,United States -> California -> Private -> Occidental C.,United States,California,Private,Occidental C.,4,"['303', 'i']","['188.3', 'i']","['105', 'i']","['75.4', 'i']","['127', 'i']","['63.9', 'i']","['71', 'i']","['49.0', 'i']"
10170,r091,United States -> California -> Private -> Pepperdine U.,United States,California,Private,Pepperdine U.,4,"['243', '']","['174.6', 'i']","['243', '']","['174.6', 'i']","['NA', '']","['0.0', 'i']","['NA', '']","['0.0', 'i']"
10170,r092,United States -> California -> Private -> Pomona C.,United States,California,Private,Pomona C.,4,"['201', '']","['140.5', '']","['26', '']","['2.3', '']","['175', '']","['138.2', '']","['0', '']","['0.0', '']"
10170,r093,United States -> California -> Private -> Santa Clara U.,United States,California,Private,Santa Clara U.,4,"['378', 'i']","['243.0', 'i']","['145', 'i']","['103.9', 'i']","['115', 'i']","['57.8', 'i']","['118', 'i']","['81.3', 'i']"
10170,r094,United States -> California -> Private -> Scripps Research Institute,United States,California,Private,Scripps Research Institute,4,"['1,719', '']","['1,452.7', '']","['216', '']","['172.2', '']","['1,387', '']","['1,176.2', '']","['116', '']","['104.3', '']"
10170,r095,United States -> California -> Private -> Stanford U.,United States,California,Private,Stanford U.,4,"['11,031', '']","['6,860.9', 'i']","['4,342', '']","['3,119.8', 'i']","['4,679', '']","['2,350.2', 'i']","['2,010', '']","['1,390.9', 'i']"
10170,r096,"United States -> California -> Private -> Touro U., California",United States,California,Private,"Touro U., California",4,"['31', '']","['18.2', '']","['18', '']","['5.2', '']","['13', '']","['13.0', '']","['0', '']","['0.0', '']"
10170,r097,United States -> California -> Private -> U. of the Pacific,United States,California,Private,U. of the Pacific,4,"['56', '']","['25.0', '']","['15', '']","['3.0', '']","['10', '']","['6.0', '']","['31', '']","['16.0', '']"
10170,r098,United States -> California -> Private -> U. San Diego,United States,California,Private,U. San Diego,4,"['120', '']","['106.0', '']","['76', '']","['73.0', '']","['28', '']","['24.0', '']","['16', '']","['9.0', '']"
10170,r099,United States -> California -> Private -> U. San Francisco,United States,California,Private,U. San Francisco,4,"['379', 'i']","['250.3', 'i']","['173', 'i']","['124.5', 'i']","['90', 'i']","['45.4', 'i']","['116', 'i']","['80.4', 'i']"
10170,r100,United States -> California -> Private -> U. Southern California,United States,California,Private,U. Southern California,4,"['11,878', '']","['3,190.8', '']","['2,060', '']","['517.1', '']","['5,863', '']","['1,802.4', '']","['3,955', '']","['871.3', '']"
10170,r101,United States -> California -> Private -> Western U. of Health Sciences,United States,California,Private,Western U. of Health Sciences,4,"['118', '']","['42.4', '']","['28', '']","['5.7', '']","['71', '']","['34.7', '']","['19', '']","['2.0', '']"
10170,r102,United States -> Colorado,United States,Colorado,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r103,United States -> Colorado -> Public,United States,Colorado,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r104,United States -> Colorado -> Public -> Colorado School of Mines,United States,Colorado,Public,Colorado School of Mines,4,"['1,593', '']","['1,106.4', '']","['1,119', '']","['809.1', '']","['446', '']","['284.9', '']","['28', '']","['12.4', '']"
10170,r105,"United States -> Colorado -> Public -> Colorado State U., Fort Collins",United States,Colorado,Public,"Colorado State U., Fort Collins",4,"['2,294', '']","['924.0', '']","['2,033', '']","['836.0', '']","['49', '']","['27.0', '']","['212', '']","['61.0', '']"
10170,r106,"United States -> Colorado -> Public -> Colorado State U., Pueblo",United States,Colorado,Public,"Colorado State U., Pueblo",4,"['253', 'i']","['101.8', 'i']","['99', 'i']","['45.5', 'i']","['63', 'i']","['25.4', 'i']","['91', 'i']","['30.9', 'i']"
10170,r107,United States -> Colorado -> Public -> Fort Lewis C.,United States,Colorado,Public,Fort Lewis C.,4,"['234', '']","['96.2', 'i']","['33', '']","['15.2', 'i']","['196', '']","['79.3', 'i']","['5', '']","['1.7', 'i']"
10170,r108,United States -> Colorado -> Public -> U. Colorado Anschutz Medical Campus<sup>a</sup>,United States,Colorado,Public,U. Colorado Anschutz Medical Campus<sup>a</sup>,4,"['7,002', '']","['4,613.0', '']","['2,222', '']","['1,513.0', '']","['2,172', '']","['1,476.0', '']","['2,608', '']","['1,624.0', '']"
10170,r109,United States -> Colorado -> Public -> U. Colorado Boulder,United States,Colorado,Public,U. Colorado Boulder,4,"['5,442', 'i']","['2,215.6', 'i']","['1,799', 'i']","['826.9', 'i']","['2,336', 'i']","['945.1', 'i']","['1,307', 'i']","['443.6', 'i']"
10170,r110,United States -> Colorado -> Public -> U. Colorado Colorado Springs,United States,Colorado,Public,U. Colorado Colorado Springs,4,"['47', '']","['38.8', '']","['11', '']","['9.3', '']","['9', '']","['5.0', '']","['27', '']","['24.5', '']"
10170,r111,United States -> Colorado -> Public -> U. Colorado Denver<sup>a</sup>,United States,Colorado,Public,U. Colorado Denver<sup>a</sup>,4,"['692', '']","['197.0', '']","['210', '']","['20.0', '']","['326', '']","['133.0', '']","['156', '']","['44.0', '']"
10170,r112,United States -> Colorado -> Public -> U. Northern Colorado,United States,Colorado,Public,U. Northern Colorado,4,"['189', '']","['14.5', '']","['32', '']","['3.8', '']","['59', '']","['3.2', '']","['98', '']","['7.5', '']"
10170,r113,United States -> Colorado -> Public -> U.S. Air Force Academy,United States,Colorado,Public,U.S. Air Force Academy,4,"['300', '']","['59.0', '']","['300', '']","['59.0', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
10170,r114,United States -> Colorado -> Private,United States,Colorado,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r115,United States -> Colorado -> Private -> Colorado C.,United States,Colorado,Private,Colorado C.,4,"['274', 'i']","['179.9', 'i']","['125', 'i']","['89.5', 'i']","['65', 'i']","['32.6', 'i']","['84', 'i']","['57.8', 'i']"
10170,r116,United States -> Colorado -> Private -> U. Denver,United States,Colorado,Private,U. Denver,4,"['991', '']","['887.0', '']","['287', '']","['258.0', '']","['657', '']","['587.0', '']","['47', '']","['42.0', '']"
10170,r117,United States -> Connecticut,United States,Connecticut,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r118,United States -> Connecticut -> Public,United States,Connecticut,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r119,United States -> Connecticut -> Public -> Central Connecticut State U.,United States,Connecticut,Public,Central Connecticut State U.,4,"['98', '']","['7.1', '']","['51', '']","['2.3', '']","['47', '']","['4.8', '']","['0', '']","['0.0', '']"
10170,r120,United States -> Connecticut -> Public -> Eastern Connecticut State U.,United States,Connecticut,Public,Eastern Connecticut State U.,4,"['82', '']","['10.0', '']","['53', '']","['9.0', '']","['0', '']","['0.0', '']","['29', '']","['1.0', '']"
10170,r121,United States -> Connecticut -> Public -> Southern Connecticut State U.,United States,Connecticut,Public,Southern Connecticut State U.,4,"['178', '']","['48.0', '']","['100', '']","['41.0', '']","['72', '']","['1.0', '']","['6', '']","['6.0', '']"
10170,r122,United States -> Connecticut -> Public -> U. Connecticut,United States,Connecticut,Public,U. Connecticut,4,"['4,399', '']","['1,207.7', '']","['1,057', '']","['245.8', '']","['2,991', '']","['854.7', '']","['351', '']","['107.2', '']"
10170,r123,United States -> Connecticut -> Private,United States,Connecticut,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
