table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
12341,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['NA', '&nbsp;']","['33,058', '&nbsp;']","['35,910', '&nbsp;']","['36,726', '&nbsp;']","['43,473', '&nbsp;']","['46,714', '&nbsp;']","['42,083', '&nbsp;']","['42,073', '  ']","['42,296', '  ']","['39,739', '&nbsp;']","['39,857', '&nbsp;']","['42,647', '  ']","['49,118', '  ']","['62,625', '  ']"
12341,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['1,609', '&nbsp;']","['2,043', '&nbsp;']","['2,267', '&nbsp;']","['2,787', 'i']","['3,112', '&nbsp;']","['3,830', '&nbsp;']","['3,648', '&nbsp;']","['3,617 - 3,659', '  ']","['3,828', '  ']","['3,827 - 3,833', '&nbsp;']","['119 - 46,668', '&nbsp;']","['3,505 - 3,538', '  ']","['3,912', '  ']","['3,891', '  ']"
12341,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['3,008', '&nbsp;']","['2,895', '&nbsp;']","['5,450', '&nbsp;']","['5,574', '&nbsp;']","['7,787', '&nbsp;']","['10,356', '&nbsp;']","['10,600', '&nbsp;']","['14,051 - 14,099', '  ']","['18,893', '  ']","['28,214 - 28,226', '&nbsp;']","['37,071', '&nbsp;']","['49,620', '  ']","['55,447', '  ']","['61,649', '  ']"
12341,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['5,410', '&nbsp;']","['6,278', '&nbsp;']","['8,313', '&nbsp;']","['11,506', '&nbsp;']","['13,654', '&nbsp;']","['17,022', '&nbsp;']","['21,526', '&nbsp;']","['24,530', '  ']","['29,323', '  ']","['39,713', '&nbsp;']","['6,086 - 52,635', '&nbsp;']","['56,449', '  ']","['69,044', '  ']","['91,051', '  ']"
12341,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['NA', '&nbsp;']","['2,568', '&nbsp;']","['3,943', '&nbsp;']","['4,159', '&nbsp;']","['4,999', '&nbsp;']","['4,748', '&nbsp;']","['6,359', '&nbsp;']","['8,468', '  ']","['8,582', '  ']","['8,347', '&nbsp;']","['10,081', '&nbsp;']","['13,820', '  ']","['22,876', '  ']","['19,834', '  ']"
12341,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['NA', '&nbsp;']","['367', '&nbsp;']","['D', '&nbsp;']","['400', '&nbsp;']","['202', '&nbsp;']","['268', '&nbsp;']","['313', '&nbsp;']","['477', '  ']","['892', '  ']","['1,072', '&nbsp;']","['1,472', '&nbsp;']","['3,412', '  ']","['2,199', '  ']","['2,500', 'i ']"
12341,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['NA', '&nbsp;']","['NA', '&nbsp;']","['365', '&nbsp;']","['379', '&nbsp;']","['D', '&nbsp;']","['58', '&nbsp;']","['D', '&nbsp;']","['27', '  ']","['77', '  ']","['6', '&nbsp;']","['48', '&nbsp;']","['6 - 13', '  ']","['7', '  ']","['5', 'i ']"
12341,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['21', 'i']","['D', '&nbsp;']","['210', '&nbsp;']","['D', '&nbsp;']","['450', '  ']","['814', '  ']","['1,066', '&nbsp;']","['1,423', '&nbsp;']","['3,399 - 3,406', '  ']","['2,192', '  ']","['2,494', 'i ']"
12341,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['47,709', '&nbsp;']","['37,108', '&nbsp;']","['39,731', '&nbsp;']","['40,843', '&nbsp;']","['37,345', '&nbsp;']","['37,995', 'i']","['46,255', '&nbsp;']","['39,585 - 54,209', '  ']","['46,587', '  ']","['58,333', '&nbsp;']","['66,987', '&nbsp;']","['67,606', '  ']","['84,401', '  ']","['93,801', '  ']"
12341,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['3,384', '&nbsp;']","['4,156', '&nbsp;']","['D', '&nbsp;']","['2,541', 'i']","['3,173', '&nbsp;']","['3,374', '&nbsp;']","['4,158', 'i']","['56 - 9,557', '  ']","['2,575', '  ']","['4,005', '&nbsp;']","['4,192', '&nbsp;']","['4,223', '  ']","['4,510', '  ']","['3,919', '  ']"
12341,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['15,310', '&nbsp;']","['12,458', '&nbsp;']","['13,181', '&nbsp;']","['13,404', 'i']","['10,535', 'i']","['12,579', 'i']","['17,227', '&nbsp;']","['15,483 - 20,617', '  ']","['17,190', '  ']","['20,378', '&nbsp;']","['26,357', '&nbsp;']","['21,242', '  ']","['24,909', '  ']","['27,108', '  ']"
12341,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['19,307', '&nbsp;']","['16,408', '&nbsp;']","['19,295', '&nbsp;']","['20,225', '&nbsp;']","['18,478', '&nbsp;']","['17,870', '&nbsp;']","['20,630', '&nbsp;']","['20,194', '  ']","['22,635', '  ']","['28,620', '&nbsp;']","['30,131', '&nbsp;']","['35,171', 'i ']","['47,138', 'i ']","['53,196', 'i ']"
12341,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['179', 'i ']","['244', '  ']","['311', '  ']"
12341,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['8,492', '&nbsp;']","['6,266', '&nbsp;']","['7,985', '&nbsp;']","['8,364', '&nbsp;']","['5,889', '&nbsp;']","['4,898', '&nbsp;']","['7,114', 'i']","['6,062', '  ']","['6,076', '  ']","['8,428 - 8,442', '&nbsp;']","['8,884', '&nbsp;']","['8,745 - 9,233', '  ']","['12,856', '  ']","['14,299', '  ']"
12341,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['10,129', '&nbsp;']","['9,591', '&nbsp;']","['10,697', '&nbsp;']","['11,261', '&nbsp;']","['11,794', '&nbsp;']","['12,291', '&nbsp;']","['12,807', '&nbsp;']","['13,409', '  ']","['15,680', '  ']","['19,507', '&nbsp;']","['20,473', 'i']","['25,569', 'i ']","['33,468', 'i ']","['37,886', 'i ']"
12341,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['686', '&nbsp;']","['551', '&nbsp;']","['613', '&nbsp;']","['600', '&nbsp;']","['795', '&nbsp;']","['682', '&nbsp;']","['709', '&nbsp;']","['723', '  ']","['879', '  ']","['672 - 683', '&nbsp;']","['774', '&nbsp;']","['190 - 678', '  ']","['569', '  ']","['700', '  ']"
12341,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['9,708', '&nbsp;']","['4,086', '&nbsp;']","['D', '&nbsp;']","['4,674', '&nbsp;']","['5,158', '&nbsp;']","['4,172', 'i']","['4,240', '&nbsp;']","['3,852', '  ']","['4,188', '  ']","['5,330', '&nbsp;']","['6,307', '&nbsp;']","['6,970', '  ']","['7,844', '  ']","['9,577', '  ']"
12341,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['708', 'i']","['535', 'i']","['501', 'i']","['771', 'i']","['1,002', '  ']","['1,132', '  ']","['1,497', '&nbsp;']","['2,290', '&nbsp;']","['1,485', '  ']","['2,163', '  ']","['2,948', '  ']"
12341,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', ' ']","['D', '&nbsp;']","['D', '&nbsp;']","['1,054 - 6,188', 'i ']","['1,665', '  ']","['2,162 - 5,963', '&nbsp;']","['0 - 21,303', '&nbsp;']","['0 - 6,883', '  ']","['3,523', '  ']","['3,539', '  ']"
12341,r074,All companies (number of domestic employees)<sup>a</sup>,All companies (number of domestic employees)<sup>a</sup>,,,,,1,–,"['336,571', '&nbsp;']","['338,451', '&nbsp;']","['359,490', '&nbsp;']","['374,916', '&nbsp;']","['396,352', '&nbsp;']","['416,343', '&nbsp;']","['429,174', '&nbsp;']","['457,591', '  ']","['484,740', '  ']","['543,369', '&nbsp;']","['595,683', '&nbsp;']","['648,421', '  ']","['744,338', '  ']","['841,131', '  ']"
12341,r075,All companies (number of domestic employees)<sup>a</sup> -> Micro companies,All companies (number of domestic employees)<sup>a</sup>,Micro companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12341,r076,All companies (number of domestic employees)<sup>a</sup> -> Micro companies -> 5&#8211;9,All companies (number of domestic employees)<sup>a</sup>,Micro companies,5&#8211;9,,,3,–,"['NA', '&nbsp;']","['3,792', '&nbsp;']","['4,143', '&nbsp;']","['3,025', 'i']","['3,442', 'i']","['3,409', 'i']","['3,101', 'i']","['1,728', 'i ']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '  ']","['NA', '  ']","['NA', '  ']"
12341,r077,All companies (number of domestic employees)<sup>a</sup> -> Small companies,All companies (number of domestic employees)<sup>a</sup>,Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12341,r078,All companies (number of domestic employees)<sup>a</sup> -> Small companies -> 10&#8211;19,All companies (number of domestic employees)<sup>a</sup>,Small companies,10&#8211;19,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,750', 'i']","['5,031', 'i ']","['3,532', '  ']","['4,511', '&nbsp;']","['5,647', '&nbsp;']","['5,352', '  ']","['5,631', '  ']","['5,537', '  ']"
12341,r079,All companies (number of domestic employees)<sup>a</sup> -> Small companies -> 20&#8211;49,All companies (number of domestic employees)<sup>a</sup>,Small companies,20&#8211;49,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['10,654', 'i']","['9,972', '  ']","['9,513', '  ']","['11,825', '&nbsp;']","['12,753', '&nbsp;']","['13,542', '  ']","['15,799', '  ']","['15,636', '  ']"
12341,r080,All companies (number of domestic employees)<sup>a</sup> -> Medium companies,All companies (number of domestic employees)<sup>a</sup>,Medium companies,,,,2,–,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12341,r081,All companies (number of domestic employees)<sup>a</sup> -> Medium companies -> 50&#8211;99,All companies (number of domestic employees)<sup>a</sup>,Medium companies,50&#8211;99,,,3,,"['13,785', '&nbsp;']","['9,470', '&nbsp;']","['9,834', '&nbsp;']","['9,728', '&nbsp;']","['9,289', '&nbsp;']","['10,677', '&nbsp;']","['11,946', '&nbsp;']","['9,639', '  ']","['10,635', '  ']","['13,095', '&nbsp;']","['14,566', '&nbsp;']","['13,810', '&nbsp;']","['15,232', '  ']","['16,227', '  ']"
12341,r082,All companies (number of domestic employees)<sup>a</sup> -> Medium companies -> 100&#8211;249,All companies (number of domestic employees)<sup>a</sup>,Medium companies,100&#8211;249,,,3,–,"['14,365', '&nbsp;']","['12,989', '&nbsp;']","['13,354', '&nbsp;']","['13,665', '&nbsp;']","['14,980', '&nbsp;']","['15,081', '&nbsp;']","['14,964', '&nbsp;']","['16,160', '  ']","['18,584', '  ']","['20,486', '&nbsp;']","['21,707', '&nbsp;']","['27,382', '&nbsp;']","['25,955', '  ']","['29,864', '  ']"
12341,r083,All companies (number of domestic employees)<sup>a</sup> -> Large companies,All companies (number of domestic employees)<sup>a</sup>,Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12341,r084,All companies (number of domestic employees)<sup>a</sup> -> Large companies -> 250&#8211;499,All companies (number of domestic employees)<sup>a</sup>,Large companies,250&#8211;499,,,3,–,"['12,315', '&nbsp;']","['11,439', '&nbsp;']","['14,573', '&nbsp;']","['12,693', '&nbsp;']","['13,379', '&nbsp;']","['13,675', '&nbsp;']","['14,837', '&nbsp;']","['14,751', '  ']","['16,522', '  ']","['21,971', '&nbsp;']","['21,517', '&nbsp;']","['23,862', '  ']","['28,269', '  ']","['33,789', '  ']"
12341,r085,All companies (number of domestic employees)<sup>a</sup> -> Large companies -> 500&#8211;999,All companies (number of domestic employees)<sup>a</sup>,Large companies,500&#8211;999,,,3,–,"['12,124', '&nbsp;']","['11,794', '&nbsp;']","['11,388', '&nbsp;']","['12,955', '&nbsp;']","['13,663', '&nbsp;']","['15,422', '&nbsp;']","['17,442', '&nbsp;']","['16,601', '  ']","['20,173', '  ']","['20,309', '&nbsp;']","['26,988', '&nbsp;']","['24,460', '  ']","['34,739', '  ']","['36,458', '  ']"
12341,r086,"All companies (number of domestic employees)<sup>a</sup> -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees)<sup>a</sup>,Large companies,"1,000&#8211;4,999",,,3,–,"['54,600', '&nbsp;']","['60,782', '&nbsp;']","['63,801', '&nbsp;']","['62,729', '&nbsp;']","['69,212', '&nbsp;']","['71,679', '&nbsp;']","['71,259', '&nbsp;']","['79,017', '  ']","['79,494', '  ']","['83,959', '&nbsp;']","['92,592', '&nbsp;']","['107,102', '  ']","['116,273', '  ']","['128,912', '  ']"
12341,r087,"All companies (number of domestic employees)<sup>a</sup> -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees)<sup>a</sup>,Large companies,"5,000&#8211;9,999",,,3,–,"['27,461', '&nbsp;']","['34,453', '&nbsp;']","['32,578', '&nbsp;']","['41,006', '&nbsp;']","['43,087', '&nbsp;']","['51,305', '&nbsp;']","['48,399', '&nbsp;']","['49,479', '  ']","['54,572', '  ']","['61,047', '&nbsp;']","['62,772', '&nbsp;']","['61,221', '  ']","['77,879', '  ']","['72,325', '  ']"
12341,r088,"All companies (number of domestic employees)<sup>a</sup> -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees)<sup>a</sup>,Large companies,"10,000&#8211;24,999",,,3,–,"['61,681', '&nbsp;']","['50,710', '&nbsp;']","['61,593', '&nbsp;']","['60,544', '&nbsp;']","['60,844', '&nbsp;']","['63,818', '&nbsp;']","['70,864', '&nbsp;']","['81,547', '  ']","['87,965', '  ']","['108,249', '&nbsp;']","['111,685', '&nbsp;']","['111,585', '  ']","['132,811', '  ']","['153,179', '  ']"
12341,r089,"All companies (number of domestic employees)<sup>a</sup> -> Large companies -> 25,000 or more",All companies (number of domestic employees)<sup>a</sup>,Large companies,"25,000 or more",,,3,–,"['118,424', '&nbsp;']","['125,067', '&nbsp;']","['132,719', '&nbsp;']","['144,097', '&nbsp;']","['152,547', '&nbsp;']","['155,180', '&nbsp;']","['159,959', '&nbsp;']","['173,666', '  ']","['183,750', '  ']","['197,916', '&nbsp;']","['225,456', '&nbsp;']","['260,105', '  ']","['291,751', '  ']","['349,204', '  ']"
