table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields_number_,field_all_fields_percent_,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11683,r022,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Assistantship -> Teaching,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Assistantship,Teaching,4,19010,100.0,84.8,1.3,12.0,6.0,23.8,2.4,1.9,6.4,3.5,15.0,2.8,9.6,15.2,2.6,1.7,6.6,1.4,2.8
11683,r023,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Assistantship -> Research,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Assistantship,Research,4,19341,100.0,90.5,2.2,13.9,6.6,30.6,2.7,2.0,4.3,3.9,14.8,2.2,7.2,9.5,2.4,1.6,2.9,0.4,2.2
11683,r024,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Assistantship -> Other,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Assistantship,Other,4,1870,100.0,72.4,2.7,8.7,3.5,18.4,2.6,2.8,4.3,3.0,8.0,6.5,11.8,27.6,2.5,7.7,9.5,2.2,5.8
11683,r025,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Traineeship,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Traineeship,,3,865,100.0,96.2,0.6,51.1,2.2,16.0,0.8,5.2,1.7,1.8,5.8,5.3,5.7,3.8,,0.8,1.5,,
11683,r026,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Internship or clinical residency,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Internship or clinical residency,,3,3416,100.0,95.7,0.7,5.0,18.3,38.1,1.7,1.4,7.1,7.3,5.5,6.8,3.7,4.3,0.8,0.6,1.8,0.3,0.9
11683,r027,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Loan (any source),All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Loan (any source),,3,4503,100.0,69.5,2.0,13.3,2.9,16.3,1.3,4.4,2.1,2.2,6.7,7.5,10.9,30.5,3.1,9.6,9.7,2.5,5.6
11683,r028,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Personal sources,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Personal sources,,3,,,,,,,,,,,,,,,,,,,,
11683,r029,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Personal sources -> Savings,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Personal sources,Savings,4,13400,100.0,80.4,2.0,15.1,5.1,22.9,1.9,3.0,4.4,3.5,9.2,3.6,9.6,19.6,3.4,4.7,6.6,1.5,3.4
11683,r030,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Personal sources,Other earnings during graduate school,4,6715,100.0,70.8,2.2,13.2,4.0,16.2,1.7,3.6,3.9,2.9,6.4,5.1,11.6,29.2,2.6,8.4,10.9,2.7,4.6
11683,r031,"All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,"Spouse's, partner's, or family's earnings or savings",,3,9418,100.0,80.7,1.6,15.2,4.8,23.2,2.2,3.0,4.3,3.3,9.8,4.0,9.3,19.3,3.3,3.8,7.6,1.5,3.2
11683,r032,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Employer reimbursement or assistance,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Employer reimbursement or assistance,,3,2494,100.0,74.9,2.2,12.4,6.5,21.9,2.6,4.3,4.0,3.3,8.1,2.3,7.4,25.1,3.0,11.0,6.1,0.8,4.3
11683,r033,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Foreign (non-U.S.) support,,3,1370,100.0,82.7,3.1,10.1,6.1,31.2,2.8,3.9,3.9,3.9,6.6,0.5,10.6,17.3,3.0,3.1,5.4,1.5,4.2
11683,r034,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Other ,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Other ,,3,271,100.0,72.3,2.2,13.3,6.6,14.0,3.3,4.1,3.3,3.7,5.2,5.2,11.4,27.7,4.8,5.5,8.5,3.0,5.9
11683,r035,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,,,2,24303,100.0,75.0,2.6,19.9,2.0,10.3,2.0,6.9,2.2,2.4,6.9,10.1,9.7,25.0,2.4,10.3,5.9,1.7,4.8
11683,r036,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Fellowship or scholarship,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Fellowship or scholarship,,3,16956,100.0,75.9,2.5,21.2,1.8,10.3,2.3,6.0,2.0,2.5,6.8,9.2,11.3,24.1,2.4,7.7,7.1,2.2,4.6
11683,r037,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Dissertation grant,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Dissertation grant,,3,5474,100.0,69.1,2.3,14.6,0.8,5.1,1.9,7.6,0.8,1.9,3.1,11.5,19.5,30.9,2.2,7.3,11.4,3.7,6.4
11683,r038,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Assistantship,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Assistantship,,3,,,,,,,,,,,,,,,,,,,,
11683,r039,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Assistantship -> Teaching,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Assistantship,Teaching,4,16066,100.0,76.3,2.2,16.7,2.4,10.4,2.5,4.6,3.0,2.6,9.2,10.6,12.1,23.7,2.6,6.1,7.7,2.3,5.0
11683,r040,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Assistantship -> Research,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Assistantship,Research,4,15662,100.0,82.3,3.1,20.5,2.6,13.6,2.8,5.5,2.3,2.8,9.4,9.9,9.9,17.7,2.4,6.1,3.7,1.1,4.4
11683,r041,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Assistantship -> Other,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Assistantship,Other,4,2380,100.0,63.3,1.4,8.4,1.2,5.5,1.7,5.0,1.1,1.6,2.2,22.4,12.8,36.7,2.5,14.7,10.5,2.8,6.2
11683,r042,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Traineeship,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Traineeship,,3,1188,100.0,95.7,1.4,48.6,0.8,9.1,0.8,9.2,1.2,1.9,4.0,14.1,4.6,4.3,,1.1,1.3,,
11683,r043,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Internship or clinical residency,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Internship or clinical residency,,3,2829,100.0,91.6,1.4,8.4,6.8,15.2,2.1,3.4,4.4,4.5,4.5,36.5,4.3,8.4,0.8,2.6,1.9,1.2,1.9
11683,r044,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Loan (any source),All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Loan (any source),,3,5955,100.0,63.9,1.8,11.7,0.8,3.3,1.2,11.1,0.7,1.8,2.6,18.5,10.6,36.1,1.6,18.7,7.0,2.0,6.8
11683,r045,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Personal sources,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Personal sources,,3,,,,,,,,,,,,,,,,,,,,
11683,r046,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Personal sources -> Savings,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Personal sources,Savings,4,13984,100.0,72.2,2.4,18.8,1.7,7.9,2.1,7.5,1.7,2.2,5.4,12.0,10.4,27.8,2.6,11.9,6.1,1.9,5.4
11683,r047,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Personal sources,Other earnings during graduate school,4,8599,100.0,63.9,2.1,13.3,1.0,4.7,1.8,9.8,1.2,1.9,3.2,13.2,11.7,36.1,1.6,17.0,8.3,2.7,6.5
11683,r048,"All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,"Spouse's, partner's, or family's earnings or savings",,3,11330,100.0,72.9,2.1,19.4,1.7,8.6,1.8,7.1,1.9,2.1,5.2,12.9,10.1,27.1,2.8,10.8,6.3,2.0,5.2
11683,r049,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Employer reimbursement or assistance,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Employer reimbursement or assistance,,3,2734,100.0,60.5,2.3,13.4,1.7,5.2,1.7,14.7,1.3,2.1,3.0,7.7,7.4,39.5,3.0,24.7,4.9,0.8,6.1
11683,r050,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Foreign (non-U.S.) support,,3,910,100.0,69.8,3.2,15.7,2.9,9.8,2.3,7.8,2.4,2.6,6.2,3.3,13.6,30.2,3.6,10.0,7.0,3.2,6.4
11683,r051,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Other ,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Other ,,3,282,100.0,70.6,2.5,15.2,2.1,3.5,1.1,12.8,1.1,3.2,5.3,15.2,8.5,29.4,2.5,14.9,5.0,1.8,5.3
