table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
2852,r020,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From bachelor's,,3,8.7,8.3,6.9,7.8,9.4,7.4,14.8,11.0,11.4
2852,r021,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From graduate school start,,3,7.5,6.9,6.3,6.9,8.0,6.8,11.9,9.5,9.3
2852,r022,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From doctoral program start<sup>e</sup>,,3,5.8,5.5,5.6,5.7,6.0,5.3,5.7,6.8,5.1
2852,r023,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),,,2,30151,5819,4368,3144,3672,7833,1422,2479,1414
2852,r024,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,,,,,,
2852,r025,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,57.3,68.3,58.4,41.6,68.4,39.8,81.4,78.8,49.9
2852,r026,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,39.1,29.1,38.5,54.9,27.4,56.8,14.9,16.4,42.9
2852,r027,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,3.6,2.5,3.2,3.5,4.3,3.4,3.7,4.8,7.2
2852,r028,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,,,,,
2852,r029,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,38.2,37.6,48.1,44.0,32.2,43.1,18.6,27.2,25.0
2852,r030,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Married,4,42.6,43.7,34.5,38.8,43.2,41.2,61.4,47.6,50.7
2852,r031,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,5.9,8.0,7.0,4.9,7.5,3.6,3.7,7.7,3.7
2852,r032,"All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,2.2,1.8,1.2,1.8,3.9,1.1,4.9,3.8,3.7
2852,r033,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,11.1,9.0,9.2,10.6,13.3,10.9,11.4,13.7,16.9
2852,r034,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,3,59.6,49.0,70.1,61.4,48.3,78.8,23.0,55.5,34.5
2852,r035,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Master's earned (%),,3,68.5,49.4,54.4,70.5,82.4,73.1,88.0,83.6,79.1
2852,r036,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,31.3,31.0,29.6,30.3,32.9,30.3,38.2,34.5,35.0
2852,r037,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,
2852,r038,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,8.3,8.1,7.0,7.6,9.6,7.5,14.1,11.1,11.2
2852,r039,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.3,6.8,6.3,6.9,8.0,6.8,11.3,9.7,9.0
2852,r040,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>e</sup>,4,5.7,5.5,5.7,5.7,5.9,5.3,5.5,6.8,5.0
2852,r041,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),,,2,25542,6961,2213,1095,5399,2468,3213,2573,1620
2852,r042,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,,,,,,
2852,r043,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,70.4,72.9,61.2,43.7,78.0,45.9,83.8,79.1,62.7
2852,r044,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,25.7,24.6,36.3,53.3,16.9,50.0,12.5,16.3,30.9
2852,r045,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,3.8,2.5,2.5,2.9,5.1,4.1,3.7,4.6,6.4
2852,r046,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,,,,,
2852,r047,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,33.8,36.5,48.1,41.4,31.2,43.4,19.4,30.1,25.0
2852,r048,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Married,4,42.4,41.9,32.1,40.5,40.3,38.4,56.0,42.7,46.2
2852,r049,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,7.7,9.0,9.0,4.8,9.4,5.1,4.3,9.0,5.0
2852,r050,"All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,4.6,3.9,1.8,2.0,5.3,1.7,8.2,5.0,7.3
2852,r051,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,11.5,8.7,9.0,11.2,13.8,11.4,12.1,13.3,16.4
2852,r052,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,3,51.2,51.5,67.2,60.3,53.5,71.7,25.3,50.8,35.1
2852,r053,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Master's earned (%),,3,71.5,54.4,50.5,74.8,83.2,68.5,89.1,84.5,81.4
2852,r054,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,31.9,31.0,29.3,30.3,32.0,29.6,38.3,33.9,34.8
2852,r055,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,
2852,r056,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,9.2,8.3,6.8,7.9,9.3,7.1,15.0,11.0,11.6
2852,r057,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.8,7.0,6.0,7.0,7.9,6.3,12.3,9.3,9.8
2852,r058,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>e</sup>,4,5.8,5.6,5.3,5.5,6.0,5.1,5.8,6.8,5.3
